Mладоженецот	The groom	Mladozhenetsot
одвратности	abominations	odvratnosti
одвратностите	the abominations	odvratnostite
одвратува	repels	odvratuva
одвратуваа	they were repelling	odvratuvaa
одвратуваат	repel	odvratuvaat
одвратувај	repel	odvratuvaj
одвратувате	you repel	odvratuvate
одвреме	from time to time	odvreme
одвременавреме	from time to time	odvremenavreme
одврза	untied	odvrza
одврзаа	untied	odvrzaa
одврзавте	you untied	odvrzavte
одврзам	untie	odvrzam
одврзан	untied	odvrzan
одврзана	untied	odvrzana
одврзани	untied	odvrzani
одврзат	untie	odvrzat
одврзе	untie	odvrze
одврзете	untie	odvrzete
одврзи	untie	odvrzi
одврзиме	let's untie	odvrzime
одврзува	unties	odvrzuva
одврзуваа	they were untying	odvrzuvaa
одврзувам	I untie.	odvrzuvam
одврзувате	you untie	odvrzuvate
одгатна	guessed	odgatna
одгатнав	I guessed.	odgatnav
одгатнале	they figured it out	odgatnale
одгатнат	solved	odgatnat
одгатне	guess	odgatne
одгатнете	guess	odgatnete
одгатнуваш	you guess	odgatnuvash
одгласува	echoes	odglasuva
одгледа	raised	odgleda
одгледаат	raise	odgledaat
одгледав	I raised	odgledav
Одгледавте	You raised	Odgledavte
одгледај	raise	odgledaj
одгледал	raised	odgledal
одгледала	raised	odgledala
одгледале	raised	odgledale
одгледан	raised	odgledan
одгледани	raised	odgledani
одгледаните	the raised	odgledanite
одгледува	cultivates	odgleduva
одгледуваа	they raised	odgleduvaa
одгледуваат	they cultivate	odgleduvaat
одгледував	I was raising	odgleduvav
Одгледувајте	Cultivate	Odgleduvajte
одгледувал	cultivated	odgleduval
одгледувала	raised	odgleduvala
одгледувам	I grow	odgleduvam
одгледуван	cultivated	odgleduvan
одгледување	cultivation	odgleduvanje
одгледуваше	cultivated	odgleduvashe
одго	answer	odgo
одгова	answer	odgova
одговара	fits	odgovara
одговараа	they answered	odgovaraa
одговараат	they answer	odgovaraat
одговарав	I was answering.	odgovarav
одговаравме	we answered	odgovaravme
одговаравте	you answered	odgovaravte
одговарај	answer	odgovaraj
одговарајќи	responding	odgovarajkji
одговарајте	answer	odgovarajte
одговарам	I answer.	odgovaram
одговараме	we answer	odgovarame
одговаран	suitable	odgovaran
одговарате	you answer	odgovarate
одговараш	you answer	odgovarash
одговараше	was answering	odgovarashe
одгово	answer	odgovo
одговор	answer	odgovor
одговорам	I answer	odgovoram
одговорат	answer	odgovorat
одговорев	I answered	odgovorev
одговорен	responsible	odgovoren
одговорени	answered	odgovoreni
одговорено	answered	odgovoreno
одговорете	answer	odgovorete
одговореше	answered	odgovoreshe
одговори	answer	odgovori
одговорив	I answered	odgovoriv
одговоривме	we answered	odgovorivme
одговоривте	you answered	odgovorivte
одговорија	they answered	odgovorija
одговорил	answered	odgovoril
одговорила	answered	odgovorila
одговориле	they answered	odgovorile
одговориме	we answer	odgovorime
одговорите	the answers	odgovorite
одговориш	you answer	odgovorish
Одговорната	The responsible	Odgovornata
одговорни	responsible	odgovorni
одговорниот	the person in charge	odgovorniot
одговорните	those responsible	odgovornite
одговорност	responsibility	odgovornost
одговорноста	responsibility	odgovornosta
одговорот	the answer	odgovorot
одговорувај	answer	odgovoruvaj
одговорувајте	answer	odgovoruvajte
одговри	answer	odgovri
одгорови	up	odgorovi
одгрне	open	odgrne
одда	from	odda
оддава	gives away	oddava
оддаваа	they gave	oddavaa
оддаваат	give away	oddavaat
оддавајќи	giving away	oddavajkji
оддаваме	we give away	oddavame
оддавана	given away	oddavana
оддавате	you give	oddavate
оддаваше	was giving away	oddavashe
оддадат	give	oddadat
оддаде	gave away	oddade
оддадеме	let's give	oddademe
оддадена	devoted	oddadena
оддадете	give away	oddadete
оддадоа	they gave	oddadoa
оддала	gave away	oddala
оддале	far away	oddale
оддалеку	from afar	oddaleku
оддалечам	move away	oddalecham
оддалечат	move away	oddalechat
оддалечен	remote	oddalechen
оддалечена	remote	oddalechena
оддалечени	remote	oddalecheni
оддалечено	remotely	oddalecheno
оддалеченост	distance	oddalechenost
оддалеченоста	the distance	oddalechenosta
оддалечете	move away	oddalechete
оддалечи	move away	oddalechi
оддалечив	I moved away.	oddalechiv
оддалечивме	we moved away	oddalechivme
оддалечија	they moved away	oddalechija
оддалечил	moved away	oddalechil
оддалечите	move away	oddalechite
оддалечиш	move away	oddalechish
оддалечува	moves away	oddalechuva
оддалечуваа	they were moving away	oddalechuvaa
оддалечуваат	move away	oddalechuvaat
оддалечувај	move away	oddalechuvaj
Оддалечувајќи	Moving away	Oddalechuvajkji
оддалечувајте	move away	oddalechuvajte
оддалечуваме	we move away	oddalechuvame
оддалечуваш	you are moving away	oddalechuvash
оддалку	from afar	oddalku
оддалчува	distances	oddalchuva
оддамна	long ago	oddamna
оддание	dedication	oddanie
оддвоена	separated	oddvoena
оддвои	separate	oddvoi
оддвоија	separated	oddvoija
оддвоиле	separated	oddvoile
оддвоиш	separate	oddvoish
оддел	department	oddel
одделам	separate	oddelam
одделат	separate	oddelat
одделен	separate	oddelen
одделена	separated	oddelena
одделенето	the separation	oddeleneto
одделени	separated	oddeleni
одделение	class	oddelenie
одделението	the department	oddelenieto
одделенија	departments	oddelenija
одделенијата	the departments	oddelenijata
одделено	separated	oddeleno
одделеното	the separated	oddelenoto
одделете	separate	oddelete
оддели	departments	oddeli
одделив	I separated	oddeliv
одделивме	we separated	oddelivme
одделија	departments	oddelija
одделил	separated	oddelil
одделиние	department	oddelinie
одделинието	the department	oddelinieto
одделинија	department	oddelinija
одделите	the departments	oddelite
одделиш	you separate	oddelish
одделна	separate	oddelna
одделни	separate	oddelni
одделните	the separate ones	oddelnite
одделно	separately	oddelno
Одделот	The department	Oddelot
одделува	separates	oddeluva
одделуваа	separated	oddeluvaa
одделуваат	separate	oddeluvaat
Одделувај	Separate	Oddeluvaj
одделувајќи	separating	oddeluvajkji
одделувајте	separate	oddeluvajte
одделувањето	the separation	oddeluvanjeto
одделуваш	you separate	oddeluvash
одделуваше	separated	oddeluvashe
одден	one day	odden
одденнаден	day by day	oddennaden
оддесно	on the right	oddesno
оддолжам	repay	oddolzham
оддолжи	repay	oddolzhi
оддолжува	repays	oddolzhuva
оддолу	from below	oddolu
оддржите	hold on	oddrzhite
оддржување	maintenance	oddrzhuvanje
оддува	blow away	odduva
оде	go	ode
одеа	they were going	odea
одев	I was walking.	odev
одевме	we were going	odevme
одевте	you left	odevte
Одед	Ode	Oded
одеднаш	suddenly	odednash
Одедов	I left.	Odedov
одеж	clothing	odezh
одежда	clothes	odezhda
одеждата	the clothes	odezhdata
одежди	clothes	odezhdi
одеждите	the clothes	odezhdite
одеждочува	undress	odezhdochuva
одеждочуварот	the cloakroom attendant	odezhdochuvarot
одејќи	walking	odejkji
одек	echo	odek
одекна	echoed	odekna
одекнаа	echoed	odeknaa
одекне	echo	odekne
одекнува	echoes	odeknuva
одекнуваа	echoed	odeknuvaa
одекнуваат	echo	odeknuvaat
Одекнувајте	Echo	Odeknuvajte
одекнуваше	echoed	odeknuvashe
одел	suit	odel
одела	suit	odela
оделе	they went	odele
оденсе	from here	odense
одењата	the walks	odenjata
одење	walking	odenje
одењето	the walk	odenjeto
одерат	they peel	oderat
одере	skin	odere
Одеса	Odessa	Odesa
одете	go	odete
одеше	was walking	odeshe
одзади	from behind	odzadi
одзатнат	unclogged	odzatnat
одзва	respond	odzva
одзвал	responded	odzval
одзеде	took away	odzede
одзедоа	they took away	odzedoa
одзедов	I took away	odzedov
одзедовме	we took away	odzedovme
одзедовте	you took away	odzedovte
одзел	took away	odzel
одзеле	took away	odzele
одзема	subtracts	odzema
одземаа	they took away	odzemaa
одземаат	take away	odzemaat
одземав	I was taking away	odzemav
одземај	subtract	odzemaj
одземајте	subtract	odzemajte
одземам	I subtract	odzemam
одземаме	we subtract	odzemame
одземат	take away	odzemat
одземате	you subtract	odzemate
одземаш	you take away	odzemash
одземаше	took away	odzemashe
одземе	take away	odzeme
одземеме	subtract	odzememe
одземен	taken away	odzemen
одземена	confiscated	odzemena
одземени	confiscated	odzemeni
одземено	taken away	odzemeno
одземете	take away	odzemete
одземеш	you take away	odzemesh
одземи	take away	odzemi
одзовам	I respond.	odzovam
одзоват	respond	odzovat
одзове	respond	odzove
одѕва	echoes	oddzva
одѕваа	they responded	oddzvaa
одѕвав	I responded.	oddzvav
одѕвал	echoed	oddzval
одѕвива	echoes	oddzviva
одѕвиваа	they echoed	oddzvivaa
одѕвивате	you respond	oddzvivate
одѕвие	echo	oddzvie
одѕвиеш	echo	oddzviesh
одѕвијам	I respond.	oddzvijam
одѕвијат	echo	oddzvijat
одѕвонува	it rings	oddzvonuva
одѕив	turnout	oddziv
одѕива	responds	oddziva
одѕиваат	respond	oddzivaat
оди	go	odi
одиграат	play	odigraat
одигрува	plays	odigruva
одигруваат	they play	odigruvaat
одигруваше	played	odigruvashe
Одид	Odid	Odid
Одидовиот	The Odido	Odidoviot
Одиевата	Odie's	Odievata
Одиј	Go away.	Odij
Одија	Odia	Odija
одикија	odykia	odikija
Одилиев	Odiliyev	Odiliev
одиме	we are going	odime
одите	you go	odite
одиш	you go	odish
одишле	they went	odishle
одлагав	I was delaying.	odlagav
одлагај	postpone	odlagaj
одлагам	I postpone	odlagam
одлагање	delay	odlaganje
одлагаше	delayed	odlagashe
одлачени	detached	odlacheni
одлачува	secretes	odlachuva
одле	from here	odle
одлеа	they left	odlea
одлеавте	you left	odleavte
одлеаја	they melted	odleaja
одлеани	cast	odleani
одлеаниот	the cast	odleaniot
одлеано	cast	odleano
одлева	is pouring	odleva
одлево	from the left	odlevo
Одлеј	Cast	Odlej
одлепуваше	peeled off	odlepuvashe
одлета	fly away	odleta
одлетаат	fly away	odletaat
одлетав	I flew away.	odletav
Одлетај	Fly away	Odletaj
одлетале	flew away	odletale
одлетам	I fly away	odletam
одлетнуваат	they fly away	odletnuvaat
одлетнуват	fly away	odletnuvat
одлетуваме	we fly away	odletuvame
одлетуваше	flew away	odletuvashe
одликуваат	distinguish	odlikuvaat
одликување	decoration	odlikuvanje
одликуваше	distinguished	odlikuvashe
одличен	excellent	odlichen
одлична	excellent	odlichna
одлични	excellent	odlichni
Одлично	Excellent	Odlichno
одложен	postponed	odlozhen
одложено	postponed	odlozheno
одложи	postpone	odlozhi
одложив	I postponed	odlozhiv
одложува	postpones	odlozhuva
одложуваат	postpone	odlozhuvaat
одложувана	postponed	odlozhuvana
Одложуваната	The postponement	Odlozhuvanata
одложуваш	you are delaying	odlozhuvash
одломки	fragments	odlomki
одлука	decision	odluka
одлуката	the decision	odlukata
одлуки	decisions	odluki
одлуките	the decisions	odlukite
одлучам	I decide	odlucham
одлучен	determined	odluchen
одлучено	decided	odlucheno
одлучете	decide	odluchete
одлучи	decide	odluchi
одлучив	I decided	odluchiv
одлучивме	we decided	odluchivme
одлучивте	you decided	odluchivte
одлучија	they decided	odluchija
одлучил	decided	odluchil
одлучиме	let's decide	odluchime
одлучни	determined	odluchni
одлучно	decisively	odluchno
одлучува	decides	odluchuva
одлучувам	I decide	odluchuvam
одлучуваш	you decide	odluchuvash
одма	immediately	odma
одмаз	revenge	odmaz
одмазда	revenge	odmazda
одмаздам	I take revenge.	odmazdam
одмаздат	take revenge	odmazdat
одмаздата	revenge	odmazdata
одмазден	vengeful	odmazden
одмаздена	avenged	odmazdena
Одмаздете	Take revenge.	Odmazdete
одмазди	revenge	odmazdi
одмаздив	I took revenge.	odmazdiv
одмаздија	revenge	odmazdija
одмаздил	took revenge	odmazdil
одмаздиме	let's take revenge	odmazdime
одмаздите	the revenges	odmazdite
одмаздиш	revenge	odmazdish
одмаздник	avenger	odmazdnik
одмаздникот	the avenger	odmazdnikot
одмазднику	avenger	odmazdniku
одмаздниците	the avengers	odmazdnitsite
одмазднички	vindictive	odmazdnichki
одмаздничкиот	the vengeful one	odmazdnichkiot
одмаздува	takes revenge	odmazduva
одмаздуваа	they took revenge	odmazduvaa
одмаздуваат	take revenge	odmazduvaat
одмаздувај	take revenge	odmazduvaj
одмаздувајќи	taking revenge	odmazduvajkji
одмаздувајте	take revenge	odmazduvajte
одмаздувана	vengeful	odmazduvana
одмаздување	revenge	odmazduvanje
одмаздувањето	revenge	odmazduvanjeto
одмаздувате	you take revenge	odmazduvate
Одмаздувач	Avenger	Odmazduvach
одмаздувачка	vengeful	odmazduvachka
одмаздувачки	vindictive	odmazduvachki
одмаздуваш	you are taking revenge	odmazduvash
одмаздуваше	took revenge	odmazduvashe
одмазник	avenger	odmaznik
одмазникот	the avenger	odmaznikot
одмара	resting	odmara
одмараа	they were resting	odmaraa
одмараат	rest	odmaraat
одмарајте	rest	odmarajte
одмараш	you are resting	odmarash
одмараше	was resting	odmarashe
одменам	cancel	odmenam
одмени	cancel	odmeni
одменува	cancels	odmenuva
одменувањето	the cancellation	odmenuvanjeto
одмерам	I measure	odmeram
одмерен	measured	odmeren
одмерени	measured	odmereni
одмерениот	the measured one	odmereniot
одмери	measure	odmeri
одмерија	measured	odmerija
одмерил	weighed	odmeril
одмериш	you measure	odmerish
одмеруваш	you measure	odmeruvash
одмеруваше	was measuring	odmeruvashe
одместен	removed	odmesten
одмести	move	odmesti
одмет	waste	odmet
одметна	renegade	odmetna
одметнаа	they rebelled	odmetnaa
одметнавме	we rebelled	odmetnavme
одметнавте	you rebelled	odmetnavte
одметнал	renegade	odmetnal
одметнат	renegade	odmetnat
одметне	rebel	odmetne
одметнете	rebel	odmetnete
одметник	outlaw	odmetnik
одметнице	outlaws	odmetnitse
одметници	outlaws	odmetnitsi
одметниците	the outlaws	odmetnitsite
одметничка	outlaw	odmetnichka
одметничката	the outlaw	odmetnichkata
одметничке	outlaw	odmetnichke
одметнички	outlaw	odmetnichki
одметничкиот	the outlaw	odmetnichkiot
одметничките	the outlaws	odmetnichkite
одметништва	outlawry	odmetnishtva
одметништво	outlawry	odmetnishtvo
одметнува	rebels	odmetnuva
одметнуваат	rebel	odmetnuvaat
одметнувајќи	rebelling	odmetnuvajkji
одметнуваме	we rebel	odmetnuvame
одметнувања	rebellions	odmetnuvanja
одметнувањето	the rebellion	odmetnuvanjeto
одмилеа	they fell out of love	odmilea
одмина	passed away	odmina
одминаа	passed away	odminaa
одминав	I passed by.	odminav
одминала	passed	odminala
одминам	I pass by.	odminam
одминат	passed away	odminat
одмине	pass away	odmine
одминеш	you pass by	odminesh
одминува	passes by	odminuva
одминуваат	are passing by	odminuvaat
одминувај	pass by	odminuvaj
одминуваш	you are passing by	odminuvash
одмор	vacation	odmor
одмора	rest	odmora
одмораа	rested	odmoraa
одмораат	are resting	odmoraat
одморалишта	resorts	odmoralishta
одморалиште	resort	odmoralishte
одморалиштето	the resort	odmoralishteto
одморам	I am resting.	odmoram
одморат	rest	odmorat
одморате	you are resting	odmorate
одморев	I rested.	odmorev
одморете	rest	odmorete
одмори	vacations	odmori
одморија	they rested	odmorija
одморил	rested	odmoril
одмориме	we rest	odmorime
одморите	the holidays	odmorite
одмориш	you rest	odmorish
одмориште	rest area	odmorishte
одморува	resting	odmoruva
одморуваа	were resting	odmoruvaa
одморуваат	are resting	odmoruvaat
одморувавме	we were resting	odmoruvavme
одморувавте	you were resting	odmoruvavte
одморуваш	you are resting	odmoruvash
одморуваше	was resting	odmoruvashe
одмудроста	wisdom	odmudrosta
однад	from above	odnad
однадвор	from the outside	odnadvor
одназад	from behind	odnazad
однапред	in advance	odnapred
однатре	from the inside	odnatre
одне	one	odne
однел	took away	odnel
однеле	they took	odnele
одненадеж	suddenly	odnenadezh
однесам	take away	odnesam
однесат	take away	odnesat
однесе	take away	odnese
однесеме	take away	odneseme
однесен	carried away	odnesen
однесена	taken away	odnesena
однесени	taken away	odneseni
однесено	taken away	odneseno
однесете	take away	odnesete
однесеш	take away	odnesesh
однесеше	took away	odneseshe
однеси	take away	odnesi
однесоа	they took away	odnesoa
однесов	I took it.	odnesov
однесовме	we took	odnesovme
однесовте	you took	odnesovte
однесол	took away	odnesol
однесува	behaves	odnesuva
однесуваа	behaved	odnesuvaa
однесуваат	behave	odnesuvaat
однесувавме	we behaved	odnesuvavme
однесувај	behave	odnesuvaj
однесувајте	behave	odnesuvajte
однесувам	I behave	odnesuvam
однесуваме	we behave	odnesuvame
однесување	behavior	odnesuvanje
однесувањето	behavior	odnesuvanjeto
однесувате	you behave	odnesuvate
однесуваш	you behave	odnesuvash
однесуваше	behaved	odnesuvashe
однив	I went.	odniv
одново	again	odnovo
однос	relationship	odnos
односи	relationships	odnosi
односите	relations	odnosite
односно	that is,	odnosno
Односот	The relationship	Odnosot
одобрение	approval	odobrenie
одобрението	the approval	odobrenieto
одобри	approve	odobri
одобрив	I approved	odobriv
одобрија	approved	odobrija
одобрите	approve	odobrite
одобриш	approve	odobrish
одобрува	approves	odobruva
одобруваат	approve	odobruvaat
одобрував	I approved	odobruvav
одобрување	approval	odobruvanje
одобрувате	you approve	odobruvate
одобруваше	approved	odobruvashe
Одов	I left.	Odov
одовде	from here	odovde
одоговори	answer	odogovori
одожди	rain	odozhdi
одозгора	from above	odozgora
одозгоре	from above	odozgore
одоздо	from below	odozdo
одоздола	from below	odozdola
Одолам	I resist.	Odolam
Одолама	Odolamina	Odolama
Одоламеец	Odolamite	Odolameets
Одоламеецот	The Odolamite	Odolameetsot
Одоламец	Odola	Odolamets
Одоламецот	The Odolaman	Odolametsot
Одоламската	The Odollamites	Odolamskata
одоламски	Odola	odolamski
одоламскиот	the Odolamite	odolamskiot
одолговлекувате	you are procrastinating	odolgovlekuvate
одолеа	resisted	odolea
одолеат	resist	odoleat
одолее	resist	odolee
одолжи	extend	odolzhi
одолжува	delays	odolzhuva
Одом	From home	Odom
Одора	Odora	Odora
одослов	farewell	odoslov
одот	the way	odot
одошто	since	odoshto
одр	stay	odr
одра	scaffold	odra
одраз	reflection	odraz
одрази	reflection	odrazi
одразува	reflects	odrazuva
одразуваме	we reflect	odrazuvame
одраснал	grown up	odrasnal
одрваќа	it is tearing	odrvakja
одред	squad	odred
одреда	squad	odreda
одредам	I determine	odredam
одредат	determine	odredat
одредба	provision	odredba
одредбата	the provision	odredbata
одредби	provisions	odredbi
одредбите	the provisions	odredbite
одреден	certain	odreden
одредена	certain	odredena
одредената	the specified	odredenata
одредени	certain	odredeni
одредениот	the certain one	odredeniot
одредените	the certain ones	odredenite
одредено	certain	odredeno
одреденото	the certain	odredenoto
одредете	determine	odredete
одредеше	determined	odredeshe
одреди	determine	odredi
одредив	I determined	odrediv
одредија	they ordered	odredija
одредил	determined	odredil
одредите	determine	odredite
одредиш	determine	odredish
одредот	the squad	odredot
одредува	determines	odreduva
одредувајќи	determining	odreduvajkji
одредувам	I determine	odreduvam
одрекле	denied	odrekle
одрекоа	they denied	odrekoa
одреков	I denied	odrekov
одрековме	we denied	odrekovme
одрековте	you denied	odrekovte
одрекол	denied	odrekol
одрекува	denies	odrekuva
одрекуваат	deny	odrekuvaat
одрекување	denial	odrekuvanje
одрекуваш	you deny	odrekuvash
одрекуваше	denied	odrekuvashe
одречам	deny	odrecham
одречат	deny	odrechat
одрече	denied	odreche
одречеме	let's deny	odrecheme
одречен	denied	odrechen
одречеш	you deny	odrechesh
одречува	denies	odrechuva
одречуваа	they denied	odrechuvaa
одречуваат	deny	odrechuvaat
одречувај	deny	odrechuvaj
одречување	denial	odrechuvanje
одржа	held	odrzha
одржаа	held	odrzhaa
одржавте	you held	odrzhavte
одржал	held	odrzhal
одржам	hold	odrzham
одржат	hold	odrzhat
одрже	hold	odrzhe
одржете	maintain	odrzhete
одржец	support	odrzhets
одржи	hold	odrzhi
одржиме	we maintain	odrzhime
одржите	maintain	odrzhite
одржиш	you maintain	odrzhish
одржува	maintains	odrzhuva
одржуваат	maintain	odrzhuvaat
одржувај	maintain	odrzhuvaj
Одржувајте	Maintain	Odrzhuvajte
одржувам	I maintain	odrzhuvam
одржуваме	we maintain	odrzhuvame
одржување	maintenance	odrzhuvanje
одржуваше	maintained	odrzhuvashe
Одрод	Variety	Odrod
одрпана	ragged	odrpana
одсекаде	from everywhere	odsekade
Одстранете	Remove	Odstranete
Одуаје	Oduaye	Oduaje
Одувија	They blew away.	Oduvija
Одуеви	Oduev	Oduevi
Одуија	Oduiya	Oduija
Одуинците	The Oduins	Oduintsite
Одуј	Go away.	Oduj
Одуја	Oduya	Oduja
одумдесет	eighty	odumdeset
одушевен	enthusiastic	odusheven
одушевени	delighted	odusheveni
одушевено	enthusiastically	odusheveno
одушеви	delight	odushevi
одушевување	delight	odushevuvanje
Оел	Oil	Oel
ож	oh	ozh
ожа	alas	ozha
ожалостам	I am saddened.	ozhalostam
ожалостат	mourning	ozhalostat
ожалостен	mournful	ozhalosten
ожалостено	sadly	ozhalosteno
ожалости	sorrows	ozhalosti
ожалостивте	you grieved	ozhalostivte
ожалостил	mourned	ozhalostil
ожалостило	saddened	ozhalostilo
ожалостува	grieves	ozhalostuva
ожалостувајте	grieve	ozhalostuvajte
ожалостувал	grieved	ozhalostuval
ожалостувам	I grieve.	ozhalostuvam
ожеднат	thirsty	ozhednat
ожедне	thirsty	ozhedne
ожеднев	I am thirsty.	ozhednev
ожеднет	thirsty	ozhednet
ожедни	thirsty	ozhedni
ожедниш	you are thirsty	ozhednish
ожеднуваа	they were thirsty	ozhednuvaa
ожеднуваат	they are thirsty	ozhednuvaat
ожеднувам	I am thirsty.	ozhednuvam
оженат	married	ozhenat
оженет	married	ozhenet
оженете	get married	ozhenete
оженети	married	ozheneti
ожени	marry	ozheni
оженив	I married	ozheniv
оженивте	you married	ozhenivte
оженија	they got married	ozhenija
оженил	married	ozhenil
ожениле	they got married	ozhenile
ожениме	let's get married	ozhenime
ожениш	you marry	ozhenish
оженува	gets married	ozhenuva
ожесточам	I get angry.	ozhestocham
ожесточат	intensify	ozhestochat
ожесточи	intensify	ozhestochi
ожесточив	fierce	ozhestochiv
ожесточија	they became fierce	ozhestochija
ожесточите	intensify	ozhestochite
ожесточува	intensifies	ozhestochuva
ожесточуваа	they intensified	ozhestochuvaa
ожесточувајте	intensify	ozhestochuvajte
ожесточување	intensification	ozhestochuvanje
ожесточувате	you are getting tough	ozhestochuvate
ожи	live	ozhi
оживе	revived	ozhive
оживеа	came to life	ozhivea
оживеавте	you came to life	ozhiveavte
оживеаја	revived	ozhiveaja
оживеал	revived	ozhiveal
оживеале	revived	ozhiveale
оживеам	I come to life	ozhiveam
оживеан	revived	ozhivean
оживеат	revive	ozhiveat
оживее	revive	ozhivee
оживееја	they came to life	ozhiveeja
оживееме	come alive	ozhiveeme
оживеете	come to life	ozhiveete
оживееш	come to life	ozhiveesh
оживеј	revive	ozhivej
оживени	lively	ozhiveni
оживи	revive	ozhivi
оживиш	come alive	ozhivish
оживотвори	revive	ozhivotvori
оживотворува	revives	ozhivotvoruva
оживува	revives	ozhivuva
оживуваат	revive	ozhivuvaat
оживувава	revived	ozhivuvava
оживувам	I come to life	ozhivuvam
оживување	revival	ozhivuvanje
оживувањето	the revival	ozhivuvanjeto
оживуваш	you revive	ozhivuvash
оживуваше	revived	ozhivuvashe
ожнеа	they harvested	ozhnea
ожнеат	reap	ozhneat
ожнее	reap	ozhnee
ожнеевте	you harvested	ozhneevte
ожнееме	let's harvest	ozhneeme
ожнија	firewood	ozhnija
ожувувам	I come to life	ozhuvuvam
оз	oz	oz
Оза	Oza	Oza
озаконение	legalization	ozakonenie
озаконет	legalized	ozakonet
озаконетото	the legalized	ozakonetoto
озакони	legislate	ozakoni
озаконуваат	legalize	ozakonuvaat
озаконување	legalization	ozakonuvanje
Озанов	Ozanov	Ozanov
Озаови	Ozao's	Ozaovi
озари	shine	ozari
озбо	cold	ozbo
озборува	gossip	ozboruva
озборуваат	gossip	ozboruvaat
озборувајте	gossip	ozboruvajte
озборувања	gossip	ozboruvanja
озборувањата	the gossip	ozboruvanjata
озборување	gossip	ozboruvanje
озборувањето	gossip	ozboruvanjeto
озборувачи	gossipers	ozboruvachi
озборуваш	you gossip	ozboruvash
озгора	from above	ozgora
оздравам	I get well.	ozdravam
оздрават	get well	ozdravat
оздраве	get well	ozdrave
оздравеа	they recovered	ozdravea
оздравел	recovered	ozdravel
оздравела	recovered	ozdravela
оздравен	recovered	ozdraven
оздравениот	the healed one	ozdraveniot
оздрави	get well soon	ozdravi
оздравите	get well soon	ozdravite
оздравиш	get well soon	ozdravish
оздравува	is recovering	ozdravuva
оздравуваа	they were recovering	ozdravuvaa
оздравуваат	recover	ozdravuvaat
оздравувајќи	recovering	ozdravuvajkji
оздравувам	I am recovering.	ozdravuvam
оздравување	recovery	ozdravuvanje
оздравувањето	recovery	ozdravuvanjeto
оздравуваше	was recovering	ozdravuvashe
Озем	I take	Ozem
Ози	Ozzy	Ozi
Озиев	Oziev	Oziev
Озиеви	Ozzies	Ozievi
Озиевиот	Uzziah's	Ozieviot
Озиз	Oziz	Oziz
Озиил	Uziel	Oziil
Озиила	Ozil	Oziila
Озиилов	Ozilov	Oziilov
Озиилови	Ozils	Oziilovi
Озииловиот	The Ozil	Oziiloviot
Озииловите	The Ozils	Oziilovite
Озиин	Ozin	Oziin
Озиини	Ozini	Oziini
Озииниот	The Osian	Oziiniot
Озиј	Uzziah	Ozij
Озија	Uzziah	Ozija
Озик	Ozic	Ozik
Озил	Ozil	Ozil
Озила	Ozilla	Ozila
Озило	Ozilo	Ozilo
Озилови	Ozils	Ozilovi
Озиловите	The Ozils	Ozilovite
Озиловците	The Ozils	Ozilovtsite
Озин	Ozin	Ozin
Озината	The ogre	Ozinata
озлобат	bitter	ozlobat
Озлобен	Angry	Ozloben
озлобена	angry	ozlobena
озлобени	embittered	ozlobeni
озлобеноста	the malice	ozlobenosta
озлоби	malice	ozlobi
озлобија	malice	ozlobija
озлобуваат	they embitter	ozlobuvaat
озлобување	bitterness	ozlobuvanje
озлогласат	notorious	ozloglasat
озлогласен	notorious	ozloglasen
озлогласи	notorious	ozloglasi
озна	know	ozna
ознака	label	oznaka
ознаката	the mark	oznakata
означен	marked	oznachen
означете	mark	oznachete
означи	mark	oznachi
означив	I marked	oznachiv
означува	indicates	oznachuva
означуваат	indicate	oznachuvaat
означувајќи	indicating	oznachuvajkji
означување	marking	oznachuvanje
означуваше	marked	oznachuvashe
Озниевци	Oznievci	Oznievtsi
Озниј	Ozniy	Oznij
Озов	Ozov	Ozov
Озохија	Ozochia	Ozokhija
ојакна	strengthened	ojakna
ок	ok	ok
оквернуваше	was desecrating	okvernuvashe
Океани	Oceans	Okeani
оќелаве	baldness	okjelave
оќелавее	go bald	okjelavee
оќелави	bald	okjelavi
окло	around	oklo
оклоп	armor	oklop
оклопи	armor	oklopi
оклопите	the armor	oklopite
оклопот	the armor	oklopot
окна	windows	okna
окната	the windows	oknata
око	eye	oko
окова	shackles	okova
оковаа	chained	okovaa
окован	chained	okovan
окована	chained	okovana
оковани	chained	okovani
окованите	the chained	okovanite
оковано	chained	okovano
оковат	chain	okovat
окови	shackles	okovi
оковите	the shackles	okovite
оковот	the shackles	okovot
оковување	shackle	okovuvanje
окозуваа	they caused	okozuvaa
окол	around	okol
околи	surroundings	okoli
околиите	the neighborhoods	okoliite
околија	district	okolija
околијата	the neighborhood	okolijata
околина	environment	okolina
околината	the environment	okolinata
околини	surroundings	okolini
околините	the surroundings	okolinite
околна	surrounding	okolna
околни	surrounding	okolni
околните	the surrounding	okolnite
околности	circumstances	okolnosti
околностите	the circumstances	okolnostite
околоп	shell	okolop
околопот	the shell	okolopot
околу	around	okolu
околувратникот	the collar	okoluvratnikot
окоп	trench	okop
окопи	trenches	okopi
окопите	the trenches	okopite
окопнета	buried	okopneta
окопот	the trench	okopot
окорават	harden	okoravat
окоравеа	hardened	okoravea
окоравено	hardened	okoraveno
окорави	harden	okoravi
окоравија	they hardened	okoravija
окоравуваа	they hardened	okoravuvaa
