-Abarīmas	-Abarimas
pārplūdinās	will overflow
pārplūdināšu	overflow
pārplūdināt	to overflow
pārplūdināta	flooded
pārplūdinātām	flooded
pārplūdīs	will overflow
pārplūdušai	overflowing
pārplūdusi	overflowed
pārplūst	overflow
pārpratumus	misunderstandings
Pārprazdami	Overcome
pārproti	misunderstand
pārradīšu	I will recreate
pārradītu	would reproduce
pārraudzība	supervision
pārraudzībā	under supervision
pārraudzībai	for supervision
pārraudzīja	supervised
pārraudzīt	supervise
pārrauga	supervises
pārraugam	supervisor
pārraugi	supervisors
pārraugiem	supervisors
pārraugot	supervising
pārraugs	supervisor
pārraugu	overseer
pārraugus	overseers
pārraut	to break
pārrauti	broken
pārrāvis	broken
pārredz	sees through
pārredzamas	transparent
pārredzēt	to review
pārredzi	overview
pārrunādami	discussing
pārrunāja	discussed
pārrunājamā	negotiable
pārrunājamajā	in the negotiable
pārrunājams	negotiable
pārrunājiet	discuss
pārrunām	for negotiations
pārrunās	will discuss
pārrunu	negotiation
Paršandatu	Parshandat
pārsātināta	oversaturated
pārsedz	covers
pārsedza	covered
pārsedzis	covered
pārsegā	under the hood
pārsegas	covers
pārsegdams	covering
pārsegi	covers
pārsegt	to cover
pārsegto	covered
pārsegtu	would cover
pārsegu	cover
pārsegums	cover
pārsegus	covers
pārsēja	bandage
pārsien	bandage
pārsienamo	bandage
pārsies	will bandage
pārsiešu	bandage
pārsieti	bandaged
pārskaitās	transferred
Pārskaitiet	Count
pārskaitīja	transferred
pārskaitīti	transferred
pārskata	review
pārskatāms	reviewable
pārskatīšanās	revision
pārskats	review
pāršķel	split
pāršķeļ	splits
pāršķēla	split
pāršķēlās	split
pāršķēli	split
pāršķelsies	will split
pāršķeltu	split
pāršķir	reshuffle
pāršķīra	divided
pārskrēja	ran over
pāršļāksies	will spill over
pārspēj	surpasses
pārspēja	surpassed
pārspējis	surpassed
pārspēju	I beat
pārspēku	overpower
pārspēt	to beat
pārspīlētu	would exaggerate
pārsprādzis	burst
pārsprāga	burst
pārstādies	change
pārstai-gātu	would stop
pārstaigā	walk over
Pārstaigādami	Walking around
pārstaigādams	walking around
pārstaigāja	walked over
pārstaigājat	you walk over
pārstaigājiet	walk around
pārstaigājis	walked over
pārstaigājot	walking around
pārstaigāju	I walked over
pārstaigājuši	have walked
pārstaigās	will walk around
pārstaigāsi	you will walk over
pārstaigāt	to walk over
pārstaigātu	would walk over
pārstāja	stopped
pārstājusi	stopped
pārstatītājiem	for adjusters
pārstāvētāji	representatives
pārstāvji	representatives
pārstāvjiem	representatives
pārstāvju	representatives
pārstāvjus	representatives
pārsteidzas	surprised
pārsteidziet	surprise
pārsteidzīgi	hastily
pārsteidzīgs	hasty
pārsteigs	will surprise
pārsteigšanās	surprise
pārsteigšu	I will surprise
pārsteigt	to surprise
pārsteigta	surprised
pārsteigti	surprised
pārsteigtu	would be surprised
pārsteigusi	surprised
pārstiepa	overstretched
pārsūdzēja	appealed
parsūdzēji	complainants
pārsūdzējis	appealed
pārsūdzēt	to appeal
pārsūdzu	I appeal.
pārsvars	advantage
pārsvaru	advantage
pārsvērēji	overweighers
pārsviedis	overturned
pārticība	prosperity
pārticības	prosperity
pārticību	prosperity
pārticis	wealthy
pārtiec	pass
pārtiek	overeat
partieši	party members
pārtika	food
pārtikai	for food
pārtikas	food
pārtiks	food
pārtiksi	you will survive
pārtikt	to survive
pārtiktu	would survive
pārtiku	food
pārtikušajiem	for the wealthy
pārtikuši	wealthy
pārtrauc	interrupt
pārtrauca	interrupted
pārtraucām	we stopped
pārtraucis	interrupted
pārtraucu	I stopped
pārtrauks	will stop
pārtraukšana	interruption
pārtraukšu	I will stop.
pārtraukt	to stop
pārtraukts	interrupted
pārtrauktu	would stop
parunā	talk
parunas	gossip
parunāšu	I will talk.
parunāt	to talk
parunātu	would talk
parunu	proverb
parūpējieties	take care
pārus	couples
pārvadātājiem	carriers
parvaima	ferry
Parvājimas	Weakening
pārvald-niekiem	for managers
pārvalde	administration
pārvaldes	administrative
pārvaldi	administration
pārvaldībā	in management
pārvaldīdami	managing
pārvaldīja	managed
pārvaldīšanā	in management
pārvaldīšanas	management
pārvaldīšanu	management
pārvaldīsi	you will manage
pārvaldīt	to manage
pārvaldītajā	managed
pārvaldītu	would manage
pārvaldniek	manager
pārvaldnieka	manager
pārvaldniekā	in the manager
pārvaldniekam	manager
pārvaldnieki	managers
pārvaldniekiem	managers
pārvaldnieks	manager
pārvaldnieku	manager
pārvaldniekus	managers
pārvaldoņi	administrators
pārvalku	cover
pārvar	overcome
pārvarēja	overcame
pārvarējis	overcome
pārvarējuši	have overcome
pārvarēt	overcome
pārvarēts	overcome
pārvarētu	would overcome
pārvari	overcoming
pārvaru	overcome
pārveda	transferred
pārvedāt	to transport
pārvedi	transfer
pārvedīs	will transfer
pārvedīšu	will transfer
pārveduši	transferred
pārvei-dojās	transformed
pārveidodams	transforming
pārveidoja	transformed
pārveidojis	transformed
pārveidojuši	transformed
pārveidos	will transform
pārveidosies	will transform
pārveidošu	I will transform
pārveidot	transform
pārveidoti	transformed
pārvelc	swipe
pārvelk	swipe
pārvelkamos	retractable
pārvelsies	will roll over
pārvelties	to roll over
pārvēlušās	overdue
pārvērš	converts
pārvēršanai	for conversion
pārvēršanās	transformation
pārvēršanu	conversion
pārvēršas	turns into
pārvēršat	you turn
pārvērsdams	turning
pārvērst	convert
pārvērsta	converted
pārvērsti	converted
pārvērsts	converted
pārvērstu	convert
pārvēršu	I will convert
pārvērt	transform
pārvērta	turned
pārvērtās	turned into
pārvērtāt	you converted
pārvērti	transformed
pārvērties	transformed
pārvērtieties	transform
pārvērtis	transformed
pārvērtīs	will convert
pārvērtīsi	will transform
pārvērtīsies	will turn into
pārvērtīšu	I will convert
pārvērtušās	transformed
pārvērtuši	transformed
pārvērtušies	transformed
pārvērzdams	convertible
pārvest	to transfer
pārvesti	transferred
pārvestu	would transfer
pārvietoja	moved
pārvietojas	moving
pārvilka	pulled over
pārvilkt	to drag
pārvilktiem	overdrawn
pārvilkts	overdrawn
pārvilku	I pulled over
pārvirzījušies	shifted
pārziemoja	hibernate
pārziemojis	overwintered
pārziemošanai	for hibernation
pārziemošu	hibernate
pārziemot	to hibernate
pārziemotu	hibernate
pārziņā	in charge
pārziņai	for the manager
pārzināja	knew
pārzināt	to know
pārzinātu	would know
pārzini	manager
pārziņi	managers
pārziņiem	managers
pārzinim	manager
pārzinis	manager
pārzinot	knowing
pārziņu	manager
pārziņus	managers
Pās-Damimas	Pas-Damim
pasā	in the passport
paša	own
pašā	itself
Pašachs	Passover
pasacīja	told
pasacījis	told
pasacīs	will tell
pasācis	started
pasacīt	to tell
pasacīts	told
pasacītu	would tell
Pašahs	Passover
pašai	herself
pašaizliedzīgi	selflessly
pašaizliedzīgo	selfless
pasaka	fairy tale
pasāka	event
Pasakait	Tell me
pasakām	fairy tales
pasakas	fairy tales
pasakās	in fairy tales
pasaki	tell me
pasakiet	tell me
pasaku	fairy tale
pasākuma	event
pasākumam	for the event
pasākumos	at events
pasākumu	event
pašam	himself
pašām	themselves
pašamājinieki	homemakers
pašapmāns	self-deception
pašapvaldīšanās	self-control
pašapzinīgi	self-consciously
pasarg	protect
pasarga	protects
pasargā	protects
pasargādams	protecting
pasargait	protect
pasargāja	protected
pasargāji	protected
pasargājis	protected
pasargāju	protected
pasargājusi	protected
pasargājuši	protected
pasargās	will protect
pasargāsi	will protect
pasargāšu	I will protect
pasargāt	protect
pasargātajiem	protected
pasargāti	protected
pasargāts	protected
pasargātu	would protect
pasargi	protect
Pasargiet	Protect
pašas	themselves
pašās	themselves
pašattaisnojums	self-justification
pasau	world
pasauc	call
pasauca	called
pasauciet	call
pasaucis	called
pasaudzēs	will save
pasaudzēšu	I will save
pasaudzēta	preserved
pasaudzētā	domesticated
pasaukšu	I will call
pasaukt	to call
pasaukuši	summoned
pasaule	world
pasaulē	in the world
pasaulē—miesas	in the world—flesh
pasaulei	to the world
pasaules	world
pasauli	the world
pasauli—mūsu	the world—ours
pasaulīga	worldly
pasaulīgā	worldly
pasaulīgajām	worldly
pasaulīgām	worldly
pasaulīgas	worldly
pasaulīgās	worldly
pasaulīgi	worldly
paschas	Easter
Pašchur	Pashchur
Pašchura	Pashchura
Pašchurs	Pashchur
Pašchuru	Pashchuru
Pašeacha	Paseacha
Paseachu	Paseachu
Pašeaha	Passover
Paseahu	Pasaha
pašgudri	self-consciously
pašgudro	self-knowledge
Pashā	Easter
pashu	my own
Pašhur	Pashhur
Pašhura	Pashhur
Pašhurs	Pashhur
Pašhuru	Pashhur
pasi	passport
pašiedomā	self-imagining
pašiedomas	self-conceit
pašiedomībā	in self-conceit
pašiedomības	conceit
pašiedomīgā	conceited
pašiedomīgi	conceitedly
pašiem	themselves
pasit	to pass
pašizdomāta	self-made
pašizdomāti	self-made
pašizdomātus	self-made
pašizraudzīto	self-selected
paskaidro	explains
paskaidroja	explained
paskaidrojam	let's explain
Paskaidrojiet	Explain
paskaidrojis	explained
paskaidroju	I explained
paskaidrojumu	explanation
paskaidrojumus	explanations
paskaidrojuši	explained
paskaidrošu	I will explain.
paskaidrot	explain
paskata	looks
paskatīdamās	looking around
Paskaties	Look
paskatījās	looked
paskatījies	looked
paskatījos	I looked.
paskatīties	to look
paskats	look
pašķir	separate
pašķīrās	separated
pašķirdamies	parting ways
pašķīris	divorced
pašķirtos	would separate
paskrējis	ran away
paskubinādami	by urging
paskubinait	push
paskubināja	hurried
paskubināju	I woke up.
paskubinājumu	encouragement
paskubināšanai	to hurry up
paskubināt	to hurry
paskubinātu	to hurry up
paskubini	push
pašlaik	currently
paslēp	hide
paslēpa	hid
paslēpās	hid
paslepen	secretly
paslēpi	hide
paslēpies	hidden
paslēpiet	hide
paslēpieties	hide
paslēpis	hidden
paslēpj	hide
paslēpjama	hideable
paslēpjas	hiding
pašlepnības	pride
pašlepno	self-important
paslēpos	I will hide.
paslēpsies	will hide
paslēpšu	I will hide.
paslēpšus	hidden
paslēpta	hidden
paslēptas	hidden
paslēpti	hidden
paslēpties	hide
paslēptos	would hide
paslēpts	hidden
paslēptu	hide
paslēptus	hidden
paslēptuvē	in hiding
paslēptuvēm	hiding places
paslēptuves	hiding places
paslēptuvēs	in hiding places
paslēptuves—ir	hiding places—are
paslēptuvi	hiding place
paslēpu	hid
paslepus	secretly
paslēpusi	hidden
paslēpušies	hidden
paslīdējusi	slipped
paslu-dinājis	declared
paslu-dini	preach
pasludi-nājis	declared
pasludina	declares
pasludinādami	declaring
pasludinādams	declaring
pasludināja	declared
pasludinājām	declared
pasludinājāt	declared
pasludināji	announced
pasludinājis	declared
pasludinājis—citādi	declared—otherwise
pasludināju	I declared
pasludinājuma	announcement
pasludinājumi	advertisements
pasludinājums	announcement
pasludinājumu	announcement
pasludinājuši	declared
pasludinām	declare
pasludināms	declarable
pasludinās	will declare
pasludināšanai	for announcement
pasludināšanas	announcements
pasludināsi	will declare
pasludināsiet	will declare
pasludināšu	I will declare
pasludināt	to declare
pasludināta	declared
pasludinātajiem	to the declared
pasludinātājs	announcer
pasludinātam	declared
pasludināto	announced
pasludinātos	would be declared
pasludināts	declared
pasludinātu	would declare
pasludini	declare
pasludiniet	declare
pasludinu	I declare
pasmejas	laughs
pasmējās	laughed
pasmēla	picked up
pasmelšu	I will sink.
pasmelt	to scoop
pasnaud	take a nap
pasnaust	to take a nap
pasniedz	serves
pasniedza	served
pasniedzējus	teachers
Pasniedziet	Serve
pasniedzis	taught
pasniegs	will present
pasniegšanas	presentation
pasniegšu	I will present
pasniegt	to serve
pasniegta	served
pasniegtu	would serve
pašos	in themselves
pašpaļāvība	self-reliance
pašpaļāvībā	self-reliance
pašpaļāvības	self-reliance
pašpārliecinātās	self-confident
paspārni	underwings
pašpazemošanās	self-abasement
paspēja	managed
paspējis	managed
paspējuši	managed
paspēsit	will you manage
pašreiz	currently
pašreizējo	current
pašreizējos	current
pašrocīgi	manually
pastai-gājas	walking-walking
pastaigā-damies	walking
pastaigādamies	walking
pastaigājas	walking
pastaigājās	walked
pastaigājaties	take a walk
pastaigājies	walked
pastaigājiet	take a walk
pastaigātos	would walk
pastara	last
pastarā	lastly
pastarajās	in the last
pastāsta	tells
pastāsti	tell me
Pastāstiet	Tell me
pastāstīja	told
pastāstīs	will tell
pastāstīsit	will tell
pastāstīt	to tell
pastāstīts	told
pastāstītu	would tell
pastāvam	exist
pastāvat	exist
pastavēja	standing
pastāvēja	existed
pastāvēju	existed
pastāvējuši	existed
pastāvēs	will exist
pastāvēšanas	existence
pastāvēsi	will exist
pastāvēsiet	will exist
pastāvēsim	we will exist
pastāvētu	would exist
pastāvība	constancy
pastāvība—cerību	constancy—hope
pastāvības	permanence
pastāvību	permanence
pastāviet	exist
pastāvīga	permanent
pastāvīgā	permanent
pastāvīgam	permanent
pastāvīgām	permanent
pastāvīgās	permanent
pastāvīgi	constantly
pastāvīgiem	permanent
pastāvīgs	permanent
pastāvīgus	permanent
pastāvošais	existing
pastāvošo	existing
pastāvot	existing
pastāvu	exist
pasteidzās	hurried
pasteidzies	hurry up
pasteidzieties	hurry up
pasteidzina	accelerates
pasteidzinot	hastening
pasteidzos	hurry up
pastiepsies	will stretch
pastiprina	reinforces
pastiprinādams	reinforcing
pastiprināja	reinforced
pastiprināt	reinforce
pastiprinātājas	amplifiers
pastiprinātu	would reinforce
pastiprinātus	reinforced
pastiprini	reinforce
pastipriniet	reinforce
pastrādādams	working
pastrādājusi	worked
pastrādātu	would work
pasu	passport
pašūdināja	self-watered
pasugām	subspecies
pasugas	subspecies
pašuj	own
pašus	themselves
pašvaldoņi	self-governing
pat	even
pat-reiz	even-once
pat-vēruma	even-handed
pātaga	whip
pātagām	whips
pātagas	whips
pātagu	whip
pataisīia	repair
pataisīja	corrected
pataisīju	I fixed it.
pataisīt	to fix
patapināts	borrowed
Patarā	In Patara
pataupa	saves
pataupījis	saved
pataupījusi	saved
pataupījuši	have saved
pataupīt	save
patei-camies	thank you
patei-cības	thanks
pateic	thank you
pateica	said
pateicam	thank you
pateicām	we thanked
pateicamies	thank you
pateicas	thanks
pateicās	thanked
pateici	thank you
pateicība	gratitude
pateicībā	in gratitude
pateicībai	for gratitude
pateicībām	thanks
pateicibas	thanks
pateicības	gratitude
pateicību	gratitude
Pateiciet	Thank you
Pateicieties	Thank you.
pateicīgi	gratefully
pateicīgs	grateful
pateicis	thanked
pateicos	thank you
pateicoties	thanks to
pateicu	I said
pateikdamies	thanking
pateikdams	thanking
pateiks	will tell
Pateikšana	Saying
pateikšanu	telling
pateiksiet	you will tell
pateiksim	let's say
pateiksimies	let's thank you
pateiksities	thank you
pateikšos	I will thank you.
pateikšu	I will tell you.
pateikt	to say
pateikta	submitted
pateikties	to thank
pateiktos	would say
pateikts	said
pateiktu	would say
pateikusi	told
pateikuši	have said
pateikušies	thanked
patērējuši	consumed
patgalvīgs	headstrong
pati	herself
patī-kami	please
patīc	like
patici	please
paticis	liked
patiesa	true
patiesā	true
patiesais	the true
patiesajā	in the true
patiesajā—viņa	in the real—she
patiesajam	for the true
patiešām	really
patiesas	true
patiesās	true
patiesi	truly
Patiesi—es	Truly—I
patiesība	truth
patiesībā	in fact
patiesībai	to the truth
patiesībām	truths
patiesības	truths
patiesību	truth
patiesību—īstā	truth—the real thing
patiesie	true
patiesiem	true
patiesīga	true
patiesīgais	the true one
patiesīgi	truly
patiesīgs	true
patiesīgu	true
patieso	the true
patiess	true
patiesu	true
patiesus	true
patīk	like
patika	liked
patīkama	pleasant
patīkamai	pleasantly
patīkamajā	in the pleasant
patīkamajiem	pleasant ones
patīkamas	pleasant
patīkamās	pleasant
patīkami	pleasantly
patīkamo	pleasant
patīkams	pleasant
patīkamu	pleasant
patīkamus	pleasant
patikas	likes
patikdami	pleasing
patiki	liked
patiks	will like
patikšanu	liking
patiksies	will like
patiksimies	we will like it
patikt	to like
patiktu	would like
patiktu—un	would like—and
patiku	I liked it.
patikuši	liked
patlaban	currently
patmīlības	selfishness
patmīlīgi	selfishly
Patmosu	Patmos
Patmu	Patmos
Patra	Patras
Patrā	Patras
patreiz	currently
patriarhs	patriarch
patriarhu	patriarch
Patrobu	Patrobus
Patrosā	In Patros
Patrosas	Patros
Patrusieši	Pathrusians
patrusiešus	Patrusians
Patrusimu	Patrushim
pats	himself
patstāvības	independence
patstāvību	independence
patu-rat	patu-rat
patur	keeps
paturat	keep
paturēja	kept
paturējām	we kept
paturēji	retainers
paturējis	kept
paturēju	I kept
paturēs	will keep
paturēsi	you will keep
paturēsim	let's keep
paturēsit	will keep
paturēšu	I will keep
paturēt	to keep
paturēti	reserved
paturētu	would keep
paturi	hold
paturiet	keep
paturot	keeping
patvaļā	at will
patvaldoņiem	autocrats
patvaļīgi	arbitrarily
patvē-rums	shelter
patvejros	in shelters
patveros	in shelters
patverties	to take refuge
patvertne	shelter
patvertnes	shelters
patvēruma	asylum
patvērumā	in the shelter
patvērumam	for shelter
patvērums	refuge
patvērumu	refuge
pauda	expressed
paudāt	express
paudēja	expressed
paudiet	express
paudis	expressed
paudīs	will express
paudīsi	will express
paudīsim	let's express
paudīšu	I will express
pauduši	expressed
paugurains	hilly
pauguriem	hills
Paula	Paula
paurī	in the past
pausme	wave
paust	express
pausta	expressed
pausti	expressed
pausts	expressed
paustu	express
pauti	expressed
pauž	expresses
paužam	pause
paužamās	to be expressed
paužas	pauses
pauzdamas	pausing
pauzdami	pausing
pauzdams	expressing
paužu	pause
pavada	accompanies
pavadait	accompany
pavadām	escort
pavadāmiem	to be accompanied
pavadāt	you accompany
pavadībā	accompanied
pavadīdami	accompanying
pavadīdams	accompanying
pavadiet	spend
pavadīja	spent
pavadījām	we spent
pavadījis	spent
pavadīju	I spent
pavadījuši	spent
pavadīs	will accompany
pavadīšanai	for accompaniment
pavadīsim	let's spend
pavadīsit	will spend
pavadīt	to accompany
pavadītā	accompanied
pavadītāji	escorts
pavadīti	accompanied
pavadīts	accompanied
pavadītu	would accompany
pavadoni	companions
pavadoņi	companions
pavadonībā	accompanied
pavadonības	companions
pavadoņiem	companions
pavadonis	companion
pavadoņu	companions
pavadot	accompanying
pavaicāt	to ask
pavairo	reproduce
pavairoja	multiplied
pavairojas	multiply
pavairojās	multiplied
pavairojat	multiply
pavairojis	multiplied
pavairot	to multiply
pavairotu	multiply
pavakarā	in the evening
pavakare	evening
pavakarē	in the evening
pavakars	evening
pavaldoņi	subordinates
pavaldoņiem	subordinates
pavaldoņu	subordinate
pavaldoņus	subordinates
pavalstniekiem	subjects
pavalstnieku	subjects
pavāram	to cook
pavarda	hearth
pavārs	cook
pavārtē	in the kitchen
pavārtes	cooking
pavārti	cooks
pavasaris	spring
pavē-lēja	ordered
pavē-lējis	ordered
pavē-lēt	to order
paveda	led
pavedējam	seducer
pavēderes	abdomen
pavēderi	abdomen
pavedieni	threads
pavediens	thread
pavedienu	thread
pavedienus	threads
pavedina	seduces
pavedināja	seduced
pavedinājis	seduced
pavedinājumu	thread
pavedinājuši	seduced
pavedināt	to seduce
pavedis	led
paveica	did it
paveicies	lucky
paveicis	done
paveicu	I did it.
paveikto	accomplished
paveiktu	would do
paveļ	command
pavēl	commands
pavēl-nieks	commander
pavēlam	we recommend
pavēlat	you command
pavēle	command
pavēlē-dams	commanding
pavēlēdami	commanding
pavēlēdams	commanding
pavēlei	command
pavēlēja	ordered
pavēlējām	we ordered
pavēlēji	commanders
pavēlējis	ordered
pavēlējis—tādu	ordered—such
pavēlēju	I ordered
pavēlējusi	ordered
pavēlējuši	ordered
pavēlēļis	commander
pavēlēm	orders
pavēles	orders
pavēlēs	will command
pavēlēsi	you will order
pavēlēšu	I will order
pavēlēt	to command
pavēlēta	ordered
pavēlētāj	commander
pavēlēts	ordered
pavēlētu	would order
pavēli	command
pavēliet	order
pavēlniecei	mistress
pavēlnieces	mistresses
pavēlniek	commander
pavēlnieka	commander's
pavēlniekam	to the commander
pavēlnieki	commanders
pavēlniekiem	for the commanders
pavēlnieks	commander
pavēlnieku	commander
pavēlniekus	commanders
pavēlu	I command
pavēļu	command
pavēņa	shadow
pavēni	slowly
pavēnī	in the shade
pavēnis	shadow
pavep	to smoke
paver	opens
paverdzināja	enslaved
paverdzinātas	enslaved
pavēri	open
pavērs	will open
pavērsa	turned
pavērst	to turn
pavērsta	turned
pavērsts	turned
pavērsušies	turned around
pavestajai	to the betrayed
pavēsti	summon
pavēstī	in the message
pavēstīdams	announcing
pavesties	to give up
pavēstīja	told
pavēstījis	announced
pavēstījumi	announcements
pavēstījumus	announcements
pavēstījuši	have told
pavēstīs	will tell
pavēstīšu	I will tell you.
pavēstīt	to announce
pavēstīts	announced
pavezdams	to be carried away
Pāvil	Paul
Pāvila	Paul
Pāvilam	To Paul
pavilcināju	I delayed.
pavilkt	pull
Pāvils	Paul
Pāvilu	Paul
pavirši	carelessly
paviršiem	superficial
Pavirzies	Move forward
pavirzījās	moved
pavirzīsies	will move
pavisam	completely
pāvus	peacocks
pazaudē	lose
pazaudēja	lost
pazaudēji	lost
pazaudējis	lost
pazaudējot	losing
pazaudējusi	lost
pazaudējuši	lost
pazaudēs	will lose
pazaudēsi	you will lose
pazaudēt	to lose
pazaudēto	lost
pazaudētu	would lose
pazcrņos	in the market
paze-mīgos	humble
paze-mots	humiliated
pažēlodams	pitiful
pažēlotu	regret
pazeme	underworld
pazemē	underground
pazemei	underground
pazemes	underground
pazemi	underground
pazemī-giem	humble-for
pazemība	humility
pazemībā	in humility
pazemības	humility
pazemību	humility
pazemīga	humble
pazemīgā	humble
pazemīgais	humble
pazemīgajiem	for the humble
pazemīgajos	in the humble
pazemīgi	humbly
pazemīgie	the humble
pazemīgiem	humble
pazemīgo	the humble
pazemīgos	the humble
pazemīgs	humble
pazemīgu	humble
pazemīgus	humble
pazemināts	lowered
pazemini	lower
pazemo	humiliate
pazemodams	humiliating
pazemoja	humiliated
pazemojas	humbles
pazemojās	humbled
pazemoji	humiliated
pazemojies	humbled
pazemojiet	humiliate
pazemojieties	humble yourself
pazemojis	humiliated
pazemoju	humiliated
pazemojuma	humiliation
pazemojumā	in humiliation
pazemojumi	humiliations
pazemojumiem	humiliations
pazemojums	humiliation
pazemojumu	humiliation
pazemojuši	humiliated
pazemojušies	humiliated
pazemos	humble
pazemošanai	for humiliation
pazemošanās	humiliation
pazemošanu	humiliation
pazemosies	humbled
pazemošos	humiliating
pazemošu	humiliating
pazemot	to humiliate
pazemota	humiliated
pazemotajiem	for the humiliated
pazemotam	humiliated
pazemoti	humiliated
pazemotiem	humiliated
pazemoties	to humble oneself
pazemotos	humiliated
pazemots	humiliated
pazemotu	humiliated
pazīdami	knowingly
pazīdams	knowing
pazīdītu	would know
pazīme	sign
pazina	knew
pazinām	we knew
paziņas	acquaintances
pazināt	to know
pazinēji	connoisseurs
pazinējiem	for connoisseurs
pazinējs	connoisseur
pazinējus	connoisseurs
pazinis	acquaintance
paziņo	announces
paziņodams	announcing
paziņoja	announced
paziņojiet	announce
paziņojis	announced
paziņojot	announcing
paziņos	will announce
paziņosim	let's announce
paziņošu	I will announce
paziņot	to announce
paziņota	announced
paziņots	announced
paziņotu	would announce
pazinu	I knew
pazinušas	have known
pazinusi	known
pazinuši	have known
pazīs	will know
pazīs-tam	know-it
pazīšana	acquaintance
pazīšanai	for recognition
pazīšanas	acquaintances
pazīšanu	acquaintance
pazīsiet	you will know
pazīst	knows
pazīstam	familiar
pazīstama	known
pazīstamā	familiar
pazīstamajiem	to the familiar
pazīstami	familiar
pazīstamie	the famous
pazīstamiem	familiar
pazīstams	familiar
pazīstamus	familiar
pazīstat	you know
pazīsti	know
pazīstiet	know
pazīstot	knowing
pazīstu	I know
pazīšu	I will know
pazīt	to know
pazīts	known
pazītu	would know
pažobeles	scoundrels
pazūd	disappears
pazuda	disappeared
pazudina	destroys
pazudinā	ruined
pazudinā-šana	destruction
pazudināja	ruined
pazudinājis	ruined
pazudinājumu	ruin
pazudinājuši	ruined
pazudinās	will ruin
pazudināšana	destruction
pazudināšanā	in ruin
pazudināšanai	for destruction
pazudināšanas	destruction
pazudināšanu	destruction
pazudināt	to ruin
pazudinātam	ruined
pazudināti	ruined
pazudināts	ruined
pazudini	destroy
pazudis	lost
pazudīsit	will disappear
pazudušajai	for the missing
pazudušajām	for the missing
pazudušām	missing
pazudušas	disappeared
pazudušās	missing
pazudusi	disappeared
pazuduši	disappeared
pazudušie	missing persons
pazudušo	missing
pazugina	disappears
pazušana	disappearance
pazušanā	disappearing
pazušanai	for disappearance
pazušanas	disappearances
pazušanu	disappearance
pazust	to disappear
pazustu	would disappear
pazuzdami	disappearing
pē	foot
Pē-teris	Peter
pec	after
pēcgalā	after all
peci	oven
Pēcn	After
pēcnā-cēju	descendant
pēcnācē-jiem	descendants
pēcnācēiem	descendants
pēcnācēja	descendant
pēcnācējā	descendant
pēcnācējam	descendant
pēcnācēji	descendants
pēcnācējiem	descendants
pēcnācējos	descendants
pēcnācējs	descendant
pēcnācēju	offspring
pēcnācējus	descendants
pēcnākamās	subsequent
pēcnākamiem	for posterity
pēcnākamos	subsequent
pēcražu	post-harvest
pēcteči	descendants
pēctečiem	descendants
pēctecis	successor
pēcteču	descendants
pēctečus	descendants
Pedacūra	Pedicure
Pedahēls	Pedahel
pēdai	foot
Pedaja	Pedaya
Pedajas	Pedajas
Pedaju	Pedaju
pēdām	feet
pēdas	feet
pēdās	in the footsteps
pēdējā	last
pēdējai	for the last
pēdējais	last
pēdējam	for the last
pēdējām	the last ones
pēdējie	the last ones
pēdējiem	for the last
pēdējo	last
pēdējos	the last ones
pēdīgajās	in the last
pēdīgi	finally
pēdu	foot
Pehuletajs	Pehuletay
pejkādu	pejkad
Peka	Peck
Pekacha	Pekah
Pekachja	Pekachya
Pekachju	Pekachyu
Pekachs	Pekach
Pekachu	Pekachu
Pekaha	Pekah
Pekahja	Pekahiah
Pekahju	Pekahyu
Pekahs	Pekah
Pekahu	Pekah
peklē	in hell
Pekodas	Pequod
pēkšņa	sudden
pēkšņā	sudden
pēkšņi	suddenly
peļ	mouse
Pelaja	Pelagia
Pelaljas	Pelalyas
peļams	moldy
peļamu	moldy
Pelatja	Pelatiah
Pelatju	Pelatihu
pelavām	chaff
pelavas	chaff
pelavu	chaff
peldams	floating
peldēja	swimmer
peldes	swimming
peldēšanu	swimming
peldēt	to swim
peldētājs	swimmer
peldēties	to swim
peldētos	would swim
peldētu	would swim
pele	mouse
Pelega	Peleg
Pelegam	To Peleg
Pelegs	Peleg
Pelegu	Peleg
pēlējs	hunter
pēlēju	I was playing.
pelēks	gray
pelēm	mice
peles	mice
Peleta	Pellet
Peletas	Pellets
Pelets	Pellet
pelikāni	pelicans
pelikāns	pelican
peļķes	puddles
pelna	earns
peļņa	profit
peļņai	for profit
pelnaities	earn
peļnas	profits
peļņas	profit
peļņās	in profits
pelni	ashes
pelniem	ashes
pelnījis	deserved
pelnījušas	deserved
pelnījusi	deserved
pelnījuši	deserve
pelnīs	will earn
pelnītā	deserved
pelnītiem	deserved
pelnīto	deserved
pelnītos	deserve
pelnītu	would deserve
pelnos	in ashes
pelnu	ash
peļņu	profit
pelnus	ashes
pelonietis	Pelonian
pelta	pelt
pelti	pelts
pelts	fur
peļu	mouse
pelūko	looking
pelus	mouse
Peluzija	Pelusium
Peluziju	Pelusium
Penīna	Pennine
Penīnai	For Peninnah
Penučlu	Penuchlu
Penuēlas	Penuel
Penuēlu	Penuel
Peora	Peor
Peoras	Peor
Peoru	Peor
per	through
per-sonīgi	personally
pēra	pair
Peracima	Peracima
Perat-upes	Perat-river
Peratupes	Peratupes
pērc	buy
Pērcies	Buy
pērciet	buy
perē	in the brood
Perec-Uza	Peretz-Uza
Pereca	Peretz
