⼀事,yī shì,A thing
耶路撒冷,yē lù sā lěng ,Jerusalem
耹,qín,qin
聆聽,líng tīng,Listen
聖,shèng,Holy
聖名,shèng míng,Holy name
聖⼦,shèng zi,Saint
聖⼭,shèng shān,Holy
聖徒,shèng tú,saint
聖殿,shèng diàn,temple
聖⺟,shèng mǔ,Holy
聖潔,shèng jié,Holy
聖火,shèng huǒ,The torch
聖者,shèng zhě,Saint
聖靈,shèng líng,The Holy Spirit
聚,jù,Poly
聚集,jù jí ,Gather
聲,shēng,sound
聲⾳,shēng yīn,Sound
聲響,shēng xiǎng,sound
聽到,tīng dào,Hear it
聽得,tīng dé,Hear it
聽從,tīng cóng ,obey
聽我,tīng wǒ,Listen to me
聽眾,tīng zhòng ,audience
聽⾒,tīng jiàn,Listen to
聽過,tīng guò,Heard of it
⾁⾝,ròu shēn,flesh
⾁體,ròu tǐ,Body
肩膀,jiān bǎng ,shoulder
肩負,jiān fù,shoulder
背,bèi,Back
背上,bèi shàng,Back
背後,bèi hòu,behind
背負,bèi fù,bear
背起,bèi qǐ,Stand up
胸懷,xiōng huái,mind
能不能,néng bù néng ,Can it be
能⼒,néng lì,Power
能夠,néng gòu,were able
能⼿,néng shǒu,Can be hands
能有,néng yǒu,can have
能為,néng wéi,Can be
能看,néng kàn,can see
能⾒,néng jiàn,Can be
脫去,tuō qù,Take off
脫落,tuō luò ,Fall off
脫離,tuō lí,Divorced
腦海,nǎo hǎi ,Mind
腰,yāo,waist
腳,jiǎo,foot
腳下,jiǎo xià,At the foot of the foot
腳凳,jiǎo dèng,Footstool
腳步,jiǎo bù,pace
腳步聲,jiǎo bù shēng ,Footsteps
腹,fù,belly
膏,gāo,paste
膏油,gāo yóu,Anointing oil
膚⾊,fū sè,Skinny
臂,bì,arm
臉,liǎn,face
臉上,liǎn shàng,Face
臉孔,liǎn kǒng,Face
臨到,lín dào ,Come to
臨近,lín jìn ,Near
⾃卑,zì bēi,Ashamed
⾃在,zì zài,At ease
⾃⼰,zì jǐ,Self
⾃有,zì yǒu,Own
⾃由,zì yóu,Free
⾄,zhì,To
⾄今,zhì jīn,To this day
⾄寶,zhì bǎo,Treasure
⾄尊,zhì zūn,To respect
⾄聖,zhì shèng,To holy
⾄⾼,zhì gāo,To high
興衰,xīng shuāi ,Rise and fall
興起,xīng qǐ,Rise
舉,jǔ,Lift
舉⼿,jǔ shǒu,Give your hands
舉⽬,jǔ mù,The purpose
舉起,jǔ qǐ,lift
舉起來,jǔ qǐ lái ,Lift up
舉起⼿來,jǔ qǐ shǒu lái,Raise your hands
舊事,jiù shì,Old things
舊的,jiù de,old
舌頭,shé tou,tongue
舞動,wǔ dòng ,Dancing
舞蹈,wǔ dǎo ,dance
良,liáng,good
良善,liáng shàn,Good
艱困,jiān kùn,Hardships
艱苦,jiān kǔ,hard
艱難,jiān nán,difficult
花園,huā yuán ,garden
花朵,huā duǒ ,Flowers
花蕊,huā ruǐ,Stamens
若,ruò,If
若是,ruò shì,if
苦,kǔ,bitter
苦楚,kǔ chǔ ,suffering
苦痛,kǔ tòng ,pain
苦難,kǔn àn,suffering
茲,zī,Hereby
草原,cǎo yuán ,grassland
荒漠,huāng mò,desert
莊稼,zhuāng jia,Crops
莫,mò,Mo
菁,jīng,Jing
華⼈,huá rén,Chinese
萬,wàn,Million
萬世,wàn shì ,Forever
萬事,wàn shì,everything
萬⼈,wàn rén,Full of people
萬代,wàn dài ,Bandai
萬名,wàn míng,Million
萬國,wàng uó,IWC
萬有,wàn yǒu,Everything
萬物,wàn wù,All things
萬福,wàn fú,Wanfu
萬邦,wàn bāng,Wanbang
落,luò,drop
落下,luò xià,fall
葉,yè,leaf
著迷,zháo mí,Fascinated
葛,gé,Ge
葡萄園,pú táo yuán ,vineyard
葡萄樹,pú táo shù ,Vines
蒙,méng,Mongolian
蒙恩,méng ēn,Grace
蓮,lián,lotus
蔣,jiǎng,Chiang
蔭,yīn,shade
蔭庇,yīn bì,Shade
藉著,jí zhe,By
藍天,lán tiān ,Blue sky
藏,cáng,Tibetan
處境,chǔ jìng ,Situation
處所,chù suǒ,Place
處死,chǔ sǐ,To be executed
虛假,xū jiǎ ,false
虛名,xū míng ,False name
虛空,xū kōng ,Void
號,hào,number
號⾓,hào jiǎo,horn
號⾓聲,hào jiǎo shēng,horn sound
蜜,mì,honey
融化,róng huà,melt
蟲,chóng,insect
蠶,cán,silkworm
⾎,xuè,blood
⾎氣,xuè qì,Gas
⾏事,xíng shì,Doing things
⾏動,xíng dòng,Move
⾏號,xíng hào,Line number
⾏走,xíng zǒu,Walk away
⾏路,xíng lù,Way road
⾏蹤,xíng zōng,Trail
街,jiē,street
衣,yī,clothes
衣裳,yī shang,clothes
衷⼼,zhōng xīn,Heartfelt
被殺,bèi shā,Killed
袮,mí,You
裂,liè,crack
裏,lǐ,in
裏⾯,lǐ miàn,Inside
裝不下,zhuān g bùxià,Not fit
裡⾯,li miàn,Inside
⻄,xi,west
要有,yào yǒu,There is
覆蓋,fù gài ,cover
⾒,jiàn,see
⾒證,jiàn zhèng,Testify
親,qīn,Dear
親吻,qīn wěn,kiss
親嘴,qīn zuǐ,kiss
親密,qīn mì,close
親愛,qīn 'ài,dear
親愛的,qīn 'ài de,Dear
親眼看⾒,qīn yǎnkàn jiàn ,Look at the eyes
親⾝經歷,qīn shēn jīng lì,Experience
親近,qīn jìn ,Close to
觀看,guān kàn,Watch
⾓⽯,jiǎo shí,cornerstone
⾓落,jiǎo luò,Fall off
觸,chù,touch
觸動,chù dòng ,Touch
觸摸,chù mō,touch
觸碰,chù pèng,Touch
⾔,yán,Language
⾔語,yán yǔ,Language
計劃,jì huá ,plan
計畫,jì huà,plan
討,tǎo,discuss
記念,jìn iàn ,Remember
記號,jì hào ,mark
記載,jì zǎi ,Record
設立,shè lì,set up
許多,xǔ duō ,a lot of
訴說,sù shuō ,tell
証,zhèng,certificate
詛,zǔ,curse
詞曲,cí qǔ,Lyrics
試,shì,test
試探,shì tàn,Temptation
試煉,shì liàn,Trial
詩歌,shī gē,Poetry
話,huà,words
話語,huà yǔ,Discourse
該做,gāi zuò,Do so
該說,gāi shuō,That said
誇,kuā,boast
認,rèn,recognize
認罪,rèn zuì,Plead guilty
認識,rèn shi,understanding
誓,shì,oath
誓⾔,shì yán,An oath
語,yǔ,language
語⾔,yǔ yán,Language
誠信,chéng xìn,Integrity
誠哉,chéng zāi,Sincerity
誠實,chéng shí,honest
誠⼼,chéng xīn,Sincerely
誠然,chéng rán,It is true
說,shuō,Say
說來,shuō lái,Say it
說的,shuō de,Said
説,shuō,Say
誰,shuí,Who
誰在,shuí zài,Who is there
誰是,shuí shì,Who is
誰能,shuí néng,Who can
誼,yì,friendship
談論著,tán lùn zhù,Talked about
請,qǐng,please
請聽,qǐng tīng,Please listen
諸,zhū,various
謙卑,qiān bēi,humble
謙恭,qiāng ōng,Humble
謝謝,xiè xiè ,Thank you
謳,ōu,Ou
警醒,jǐng xǐng,Alert
護庇,hù bì,Shelter
變化,biàn huà,Variety
變換,biàn huàn,Transform
變更,biàn gēng,change
變為,biàn wèi,Change to
讚,zàn,Thumbs up
讚嘆,zàn tàn ,Praise
讚美,zàn měi ,praise
⾕中,gǔ zhōng,In the middle
⾕底,gǔ dǐ,Bottom
豐富,fēng fù,rich
豐收,fēng shōu,Harvest
豐沛,fēng pèi,Abundant
豐盛,fēng shèng ,rich
豐饒,fēng ráo,Abundance
財富,cái fù,wealth
貧窮,pín qióng ,poverty
貴重,guì zhòng ,precious
買,mǎi,buy
貼近,tiē jìn ,Close to
賜福,cì fú,Blessed
賜給,cì gěi,give
賞,shǎng,reward
賞賜,shǎng cì,reward
賺取,zhuàn qǔ,Earn
贏得,yíng dé,win
贖,shú,redemption
贖回,shú huí,redemption
赦免,shè miǎn ,pardon
赦罪,shè zuì,Forgive sins
走上,zǒu shàng,Go on
走出,zǒu chū ,Go out
走到,zǒu dào,Come on
走動,zǒu dòng ,Walk around
走在,zǒu zài,Walking in
走路,zǒu lù,walk
走進,zǒu jìn,Walk into
走過,zǒu guò ,Through
起了,qǐ le ,get up
起來,qǐ lái ,stand up
起初,qǐ chū ,at first
起始,qǐ shǐ,Start
起死回⽣,qǐ sǐ huí shēng,Back to life
超,chāo,ultra
超乎,chāo hu,Beyond
超越,chāo yuè,Go beyond
超過,chāo guò,exceed
越過,yuè guò ,Over
跌倒,dié dǎo ,Fall
跑,pǎo,run
跟,gēn,with
跟前,gēn qián ,in front of
跟著,gēn zhe,Follow
跟隨,gēn suí,follow
跨過,kuà guò ,Crossed
跪下,guì xià,Kneel down
跪拜,guì bài ,bow down
路途,lù tú,The way
跳舞,tiào wǔ,dancing
跳跳,tiào tiào,Jumping
跳躍,tiào yuè,jump
跳進,tiào jìn,jump into
踏,tà,tread
踐踏,jiàn tà,trample
躥,cuān,jump up
⾝,shēn,body
⾝上,shēn shang,body
⾝為,shēn wèi,as of
⾝軀,shēn qū,The body
⾝邊,shēn biān,Side edge
⾝體,shēn tǐ,Body
躲藏,duǒ cáng ,hide
躲避,duǒ bì,To avoid
躺臥,tǎng wò,Lying down
⾞,chē,car
軍,jūn,military
軍隊,jūn duì ,army
軛,è,yoke
軟弱,ruǎn ruò,weak
載,zài,Contained
輕,qīng,light
輕易,qīng yì,easily
輕聲,qīng shēng ,Softly
輕輕,qīng qīng,lightly
輝煌,huī huáng ,brilliant
轉,zhuǎn,turn
轉到,zhuǎn dào,Go to
轉化,zhuǎn huà,Conversion
轉向,zhuǎn xiàng ,Turn to
轉為,zhuǎn wèi,Turn to
轉眼之間,zhuǎn yǎn zhī jiān,Between the twinkling of an eye
轉變,zhuǎn biàn,change
辦,bàn,do
迎接,yíng jiē,meet
迎著,yíng zhe,Greeted
返,fǎn,return
迫切,pò qiè ,urgent
述說,shù shuō ,Said
迷失,mí shī ,Lost
追求,zhuī qiú,pursue
追隨,zhuī suí,follow
逃,táo,escape
逃跑,táo pǎo ,Run away
逃離,táo lí,get away
透過,tòu guò ,Through
逐,zhú,By
途,tú,way
逗,dòu,tease
這,zhè,This
這⼀,zhè yī,This one
這⼀個,zhè yī gè,This one
這些,zhè xiē ,These ones
這個,zhè ge,This one
這塊,zhè kuài,This piece
這是,zhè shì,this is
這樣,zhè yàng ,such
這裡,zhè lǐ,Here
造出,zào chū,Made
造成,zào chéng ,Cause
造物主,zào wù zhǔ ,Creator
連,lián,even
連合,lián hé,Together
連結,lián jié,link
週⼀,zhōu yī,One week
週三,zhōu sān,on Wednesday
週⼆,zhōu èr,Zhou
週五,zhōu wǔ,Friday
週六,zhōu liù,on Saturday
週四,zhōu sì,On Thursday
進,jìn,Enter
進來,jìn lái,Come in
進入,jìn rù,enter
逼迫,bī pò,force
遇,yù,Met
遇⾒,yù jiàn,In case
運⾏,yùn xíng,Run
遍地,biàn dì,Over and over
遍照,biàn zhào,Pass by
過去,guò qù,past
過於,guò wū,too
過程,guò chéng ,process
過錯,guò cuò ,fault
道修,dào xiū,Road repair
道成,dào chéng,Dao Cheng
道路,dào lù,the way
遠,yuǎn,far
遠⼼,yuǎn xīn,Far away
遠⽅,yuǎn fāng,Far away
遠比,yuǎn bǐ,Far more than
遠處,yuǎn chù,far away
遠超過,yuǎn chāo guò,Far more than
遠離,yuǎn lí,keep away
遭,zāo,By being
遭受,zāo shòu ,suffer
遭遇,zāo yù,encounter
遮蓋,zhē gài ,Cover
遵守,zūn shǒu ,comply with
遵⾏,zūn xíng,To follow
選,xuǎn,selected
選擇,xuǎn zé,select
遺忘,yí wàng ,Forgotten
避難所,bìn àn suǒ,refuge
邀請,yāo qǐng ,invite
邁開,mài kāi,Take a break
還,hái,also
還在,hái zài,Still in
還怕,hái pà,Afraid of it
還是,hái shì,still is
還有,hái yǒu,and also
還沒有,hái méi yǒu,not yet
還要,hái yào,But also
那,nà,that
那⼀,nà yī,That one
那些,nà xiē ,Those ones
那位,nà wèi,Who
那天,nèi tiān ,That day
那裡,nà lǐ ,There
邦,bāng,state
邵,shào,Shao
部,bù,unit
都,dōu,All
都不,dōu bù,Do not
都不能,dōu bù néng ,both are not
都來,dōu lái,Have come
都可,dōu kě,Can be
都因,dōu yīn,All because of
都在,dōu zài,Are there
都是,dōu shì,Are all
都能,dōu néng,Can all
都要,dōu yào,Have to
配向,pèi xiàng ,Matching
酒,jiǔ,liqueur
醒,xǐng,wake
醞釀,yùn niàng ,Brewing
醫,yī,medical
醫治,yī zhì ,heal
釋放,shì fàng ,freed
⾥,lǐ,in
重,zhòng,weight
重修,chóng xiū,Rebuilt
重擔,zhòng dàn,The burden
重新,chóng xīn,Reappear
重⽣,zhòng shēng,To be born
重要,zhòng yào,important
野,yě,wild
⾦,jīn,gold
⾦銀,jīn yín,Silver
釘,dīng,nail
釘在,dīng zài,Nail in
釘死,dīng sǐ,crucify
釘痕,dīng hén,Nail marks
鈴⿎,líng gǔ,Bells
鉤,gōu,hook
銀錢,yín qián ,money
銅,tóng,copper
錄,lù,record
錢財,qián cái,money
錫,xī,tin
錯失,cuò shī,Missed
鎖,suǒ,lock
鎖鏈,suǒ liàn ,chain
鏈,liàn,chain
鑒察,jiàn chá,Inspection
鑰匙,yào shi,key
長老,zhǎng lǎo,Elders
⾨前,mén qián,Before the front
⾨徒,mén tú,door
閃亮,shǎn liàng,Shiny
閃耀,shǎn yào,shine
閃電,shǎn diàn ,lightning
開⼝,kāi kǒu,Opening
開啟,kāi qǐ,Open
開始,kāi shǐ,Start
開⾨,kāi mén,Open
關鍵,guān jiàn,The essential
阮,ruǎn,Nguyen
阻,zǔ,Resistance
阻擋,zǔ dǎng ,Block
阻攔,zǔ lán ,stop
阻礙,zǔ'ài ,Obstructed
阿,ā,A
阿們,ā men,Amen
阿拉,ā lā ,Allah
阿爸,ā bà,Abba
陋,lòu,ugly
降下,jiàng xià,lower
降下來,jiàn g xiàlái,Come down
降世,jiàng shì,Come to the world
降伏,xiáng fú,Surrender
降服,xiáng fú,surrender
降⽣,jiàng shēng,Was born
降臨,jiàng lín,Come on
限,xiàn,limit
限制,xiàn zhì,limit
院,yuàn,hospital
陣營,zhèn yíng ,camp
除,chú,except
除去,chù qú,Removed
除掉,chú diào,Get rid of
陪伴,péi bàn ,accompany
陰間,yīn jiān ,Hell
陳,chén,Chen
陶匠,táo jiang,Potter
陶醉在,táo zuì zài,Intoxicated in
陷,xiàn,trap
陷落,xiàn luò,Fall
陽光,yáng guāng ,sunlight
隆,lóng,Long
隆隆,lóng lóng ,rumble
隔,gé,Separated
隔斷,gé duàn ,cut off
隔絕,gé jué ,Isolated
隨,suí,With
隨時,suí shí ,at any time
隨著,suí zhe,along with
隨風,suí fēng,The wind
險阻,xiǎn zǔ,Obstruction
隱密,yǐn mì,Secretly
隱藏,yǐn cáng ,hide
雀,què,bird
雅,yā,elegant
雖,suī,although
雖有,suī yǒu,Though
雖然,suī rán ,although
雙,shuāng,double
雙⼿,shuāng shǒu,Double hands
雙眼,shuāng yǎn,Eyes
雙臂,shuāng bì,Arms
離去,lí qù,Leave
離開,lí kāi ,go away
雨,yǔ,rain
雨絲,yǔ sī ,Rain wire
雪⽩,xuě bái,Snow white
雲,yún,cloud
雲彩,yún cai,Clouds
雲端,yún duān,Clouds
雷,léi,mine
雷聲,léi shēng,thunder
雷鳴,léi míng ,Thunder
需要,xū yào ,need
震動,zhèn dòng ,shock
震天,zhèn tiān,Earthquake
震撼,zhèn hàn,Shocked
霜雪,shuāng xuě,Frost
露,lù,dew
靈魂,líng hún,soul
青年,qīng nián ,youth
青翠,qīng cuì,Green
青草,qīng cǎo,grass
靜風,jìng fēng,Static wind
非,fēi,non-
靠在,kào zài,Leaning on
靠⾃⼰,kào zì jǐ,Rely on self
靠著,kào zhe,Leaning against
靠近,kào jìn ,near
⾯,miàn,Screen for
⾯前,miàn qián,Before the front
⾯對,miàn duì,On the right
⾯對⾯,miàn duì miàn,Face to face
鞭,biān,whip
⾳,yīn,Sound
⾳樂,yīn yuè,Music
韻,yùn,rhyme
響,xiǎng,ring
響徹,xiǎng chè,Resounded
響徹雲霄,xiǎn g chè yúnxiāo ,Resounded through the sky
響應,xiǎng yìng,response
響聲,xiǎng shēng ,sound
響起,xiǎng qǐ,Sounded
響起來,xiǎn g qǐlái,Sounded up
頂上,dǐng shàng ,Top
項,xiàng,item
順從,shùn cóng ,obedience
順服,shùn fú,Obediently
頌,sòng,Ode
頌揚,sòng yáng,Praise
頌讚,sòng zàn,Praise
預備,yù bèi ,preparation
預⾔,yù yán,The first language
領受,lǐng shòu,Receive
領會,lǐng huì,understand
頭髮,tóu fà,hair
願主,yuàn zhǔ,May the Lord
願意,yuàn yì,willing
顧念,gùn iàn ,Conversation
顫抖,chàn dǒu,Trembling
顯出,xiǎn chū,Show
顯得,xiǎn de,It seems
顯明,xiǎn míng ,obvious
顯現,xiǎn xiàn,appear
風吹,fēng chuī ,Wind blowing
風暴,fēng bào,storm
風浪,fēng làng,storm
風采,fēng cǎi,Style
風雨,fēng yǔ,wind and rain
⾶到,fēi dào,fly to
⾶翔,fēi xiáng,fly
⾶起來,fēi qǐ lái ,fly
⾶越,fēi yuè,fly over
⾶躍,fēi yuè,Jumping
飢渴,jī kě,Hungry
飢荒,jī huang,famine
飲,yǐn,drink
飼,sì,feed
養,yǎng,support
饑渴,jī kě,Hungry
⾸先,shǒu xiān,first of all
⾸歌,shǒu gē,song
香,xiāng,Fragrant
香味,xiāng wèi,fragrance
香氣,xiāng qì,aroma
馨香,xīn xiāng ,Fragrance
⾺,mǎ,horse
⾺拉,mǎ lā,mara
駕著,jià zhe,Driving
駕駛,jià shǐ,drive
騰,téng,Teng
驗,yàn,Test
驚,jīng,shock
驚嘆,jīng tàn,Marvel
驚奇,jīng qí,Surprised
驚惶,jīng huáng ,Panic
骸骨,hái gǔ,Bones
體會,tǐ huì ,Experience
⾼,gāo,High
⾼低,gāo dī,High and low
⾼唱,gāo chàng,Sing high
⾼喊,gāo hǎn,Shouting
⾼⼭,gāo shān,High
⾼崗,gāo gǎng,Gao Gang
⾼昂,gāo áng,High up
⾼歌,gāo gē,High song
⾼深,gāo shēn,Deep
⾼空,gāo kōng,High sky
⾼聲,gāo shēng,Aroused
⾼臺,gāo tái,High platform
⾼舉,gāo jǔ,High hold
