"a.c.","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>a.c.</b><br>See <a href=""entry://alternating current"">alternating current</a>"
"Lorentz, Hendrick Antoon","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Lorentz, Hendrick Antoon</b><br><i>(1853&ndash;1928)</i>
<br> Dutch physicist who was one of the founders of the electron theory of matter, which provided an explanation of the <a href=""entry://Zeeman effect"">Zeeman effect</a>; for this work Lorentz shared the 1902 Nobel Prize with Pieter Zeeman (1865&ndash;1943). Lorentz also solved one of the problems raised by the <a href=""entry://Michelson-Morley experiment"">Michelson-Morley experiment</a> (see <a href=""entry://Lorentz-Fitzgerald contraction"">Lorentz-Fitzgerald contraction</a>) and suggested the <a href=""entry://Lorentz transformations"">Lorentz transformations</a>, both of which were used by Einstein in his special theory of relativity"
"Lorentz-Fitzgerald contraction","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Lorentz-Fitzgerald contraction</b><i>(Fitzgerald contraction)</i>
<br>The contraction of a moving body in the direction of its motion. It was proposed independently by H. A. Lorentz and G. F. Fitzgerald (1851&ndash;1901) in 1892 to account for the null result of the <a href=""entry://Michelson-Morley experiment"">Michelson-Morley experiment</a>. The contraction was given a theoretical background in Einstein's special theory of <a href=""entry://relativity"">relativity</a>. In this theory, an object of length =<sub class=""ind"">0</sub> at rest in one <a href=""entry://frame of reference"">frame of reference</a> will appear, to an observer in another frame moving with relative velocity <i>v</i> with respect to the first, to have length =<sub class=""ind"">0</sub>v(1 - <i>v</i><sup class=""expo"">2</sup>/<i>c</i><sup class=""expo"">2</sup>), where <i>c</i> is the speed of light. The original hypothesis regarded this contraction as a real one accompanying the absolute motion of the body. The contraction is in any case negligible unless <i>v</i> is of the same order as <i>c</i>"
"Lorentz-Lorenz equation","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Lorentz-Lorenz equation</b><br>A relation between the <a href=""entry://polarizability"">polarizability</a>
α of a molecule and the <a href=""entry://refractive index"">refractive index</a>
<i>n</i> of a substance made up of molecules with this polarizability. The Lorentz-Lorenz equation can be written in the form <div class=""equ"">α = (3/4π</img><i>N</i>) [(<i>n</i><sup class=""expo"">2</sup>-1/<i>(n</i><sup class=""expo"">2</sup> + 2)]</div>, where <i>N</i> is the number of molecules per unit volume. The equation provides a link between a microscopic quantity (the polarizability) and a macroscopic quantity (the refractive index). It was derived using macroscopic electrostatics in 1880 by H. A. Lorentz and independently by the Danish physicist Ludwig Valentin Lorenz also in 1880. Compare <a href=""entry://Clausius-Mossotti equation"">Clausius-Mossotti equation</a>"
"Loschmidt's constant","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Loschmidt's constant</b><i>(Loschmidt number)</i>
<br>Symbol <i>N</i><sub class=""ind"">L</sub>. The number of particles per unit volume of an <a href=""entry://ideal gas"">ideal gas</a> at STP. It has the value 2.686763(23) × 10<sup class=""expo"">25</sup> m<sup class=""expo"">-3</sup> and was first worked out by Joseph Loschmidt (1821&ndash;95)"
"loudness","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>loudness</b><br>The physiological perception of sound intensity. As the ear responds differently to different frequencies, for a given intensity loudness is dependent on frequency. Sounds with frequencies between 1000 hertz and 5000 Hz are louder than sounds of the same intensity at higher or lower frequencies. Duration is also a factor in loudness, long bursts of sound being louder than short bursts. Loudness increases up to a duration of about 0.2 second; above this limit loudness does not increase with duration.
<br>Relative loudness is usually measured on the assumption of proportionality to the logarithm of the intensity (for a given frequency), i.e. proportionality to the relative intensity on the <a href=""entry://decibel"">decibel</a> scale. A subjective judgment is made of the relative intensity above threshold that a note of 1000 Hz must have to match the specimen sound; the loudness of this, in <a href=""entry://phon"">phons</a>, is then equal to that relative intensity in decibels"
"loudspeaker","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>loudspeaker</b><br>A transducer for converting an electrical signal into an acoustic signal. Usually it is important to preserve as many characteristics of the electrical waveform as possible. The device must be capable of reproducing frequencies in the range 150&ndash;8000 hertz for speech and 20&ndash;20 000 Hz for music.
<br>The most common loudspeaker consists of a moving-coil device. In this a cone-shaped diaphragm is attached to a coil of wire and made to vibrate in accordance with the electrical signal by the interaction between the current passing through the coil and a steady magnetic field from a permanent magnet surrounding it"
"low frequency","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>low frequency</b>(LF)
<br>A radio frequency in the range 30&ndash;300 kilohertz; i.e. having a wavelength in the range 1&ndash;10 kilometre"
"low-dimensional system","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>low-dimensional system</b><br>A solid-state system in which the dimension is less than three. In practice, a <i>two-dimensional system</i> is a thin film or layer and a <i>one-dimensional system</i> is a thin wire. Two-dimensional systems have applications to <a href=""entry://semiconductor"">semiconductor</a> technology, in such devices as MOSFETs (see <a href=""entry://transistor"">transistors</a>). The behaviour of low-dimensional systems is of interest because the problems for low-dimensional systems (particularly one-dimensional systems) are much easier to solve than the corresponding problems in three dimensions. Clusters of atoms and very small crystals can be considered as <i>zero-dimensional systems</i>"
"lowering of vapour pressure","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>lowering of vapour pressure</b><br>A reduction in the saturated vapour pressure of a pure liquid when a solute is introduced. If the solute is a solid of low vapour pressure, the decrease in vapour pressure of the liquid is proportional to the concentration of particles of solute; i.e. to the number of dissolved molecules or ions per unit volume. To a first approximation, it does not depend on the nature of the particles. See <a href=""entry://colligative properties"">colligative properties</a>; <a href=""entry://Raoult's law"">Raoult's law</a>"
"lubrication","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>lubrication</b><br>The use of a substance to prevent contact between solid surfaces in relative motion in order to reduce friction, wear, overheating, and rusting. Liquid hydrocarbons (oils), either derived from petroleum or made synthetically, are the most widely used lubricants as they are relatively inexpensive, are good coolants, provide the appropriate range of viscosities, and are thermally stable. Additives include polymeric substances that maintain the desired viscosity as the temperature increases, antioxidants that prevent the formation of a sludge, and alkaline-earth phenates that neutralize acids and reduce wear.
<br>At high temperatures, solid lubricants, such as graphite or molybdenum disulphide, are often used. Semifluid lubricants (greases) are used to provide a seal against moisture and dirt and to remain attached to vertical surfaces. They are made by adding gelling agents, such as metallic soaps, to liquid lubricants.
<br>Recent technology has made increasing use of gases as lubricants, usually in air bearings. Their very low viscosities minimize energy losses at the bearings but necessitate some system for pumping the gas continuously to the bearings. The principle is that of the hovercraft"
"lumen","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>lumen</b><br>Symbol lm. The SI unit of <a href=""entry://luminous flux"">luminous flux</a> equal to the flux emitted by a uniform point source of 1 candela in a solid angle of 1 steradian"
"luminance","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>luminance</b><i>(photometric brightness)</i>
<br>Symbol <i>L</i>. The <a href=""entry://luminous intensity"">luminous intensity</a> of any surface in a given direction per unit projected area of the surface, viewed from that direction. It is given by the equation <div class=""equ""><i>L</i> = d<i>I</i>/(d<i>A</i>cosθ</img>)</div>, where <i>I</i> is the luminous intensity and θ</img> is the angle between the line of sight and the normal to the surface area <i>A</i> being considered. It is measured in candela per square metre"
"luminescence","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>luminescence</b><br>The emission of light by a substance for any reason other than a rise in its temperature. In general, atoms of substances emit <a href=""entry://photon"">photons</a> of electromagnetic energy when they return to the <a href=""entry://ground state"">ground state</a> after having been in an excited state (see <a href=""entry://excitation"">excitation</a>). The causes of the excitation are various. If the exciting cause is a photon, the process is called <i>photoluminescence</i> ; if it is an electron it is called <i>electroluminescence</i> . <i>Chemiluminescence</i> is luminescence resulting from a chemical reaction (such as the slow oxidation of phosphorus); <a href=""entry://bioluminescence"">bioluminescence</a> is the luminescence produced by a living organism (such as a firefly). If the luminescence persists significantly after the exciting cause is removed it is called <i>phosphorescence</i> ; if it does not it is called <i>fluorescence</i> . This distinction is arbitrary since there must always be some delay; in some definitions a persistence of more than 10 nanoseconds (10<sup class=""expo"">-8</sup> s) is treated as phosphorescence"
"luminosity","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>luminosity</b><br><b>1</b>
<a href=""entry://Luminous intensity"">Luminous intensity</a> in a particular direction; the apparent brightness of an image.
<br><b>2</b> The brightness of a star defined as the total energy radiated in unit time. It is related to the surface area (<i>A</i>) and the <i>effective temperature</i> (<div class=""equ""><i>T</i><sub class=""ind"">e</sub></div>; the temperature of a black body having the same radius as the star and radiating the same amount of energy per unit area in one second) by a form of <a href=""entry://Stefan's law"">Stefan's law</a>, i.e. <div class=""equ""><i>L</i> = AσT<sub class=""ind"">e</sub><sup class=""expo"">4</sup></div>where σ is the Stefan constant and <i>L</i> is the luminosity."
"luminous exitance","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>luminous exitance</b><br>See <a href=""entry://exitance"">exitance</a>"
"luminous flux","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>luminous flux</b><br>Symbol Φ<sub class=""ind"">v</sub>. A measure of the rate of flow of light, i.e. the radiant flux in the wavelength range 380&ndash;760 nanometres, corrected for the dependence on wavelength of the sensitivity of the human eye. It is measured by reference to emission from a standard source, usually in lumens"
"luminous intensity","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>luminous intensity</b><br>Symbol <i>I</i><sub class=""ind"">v</sub>. A measure of the light-emitting ability of a light source, either generally or in a particular direction. It is measured in candelas"
"lunar eclipse","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>lunar eclipse</b><br>See <a href=""entry://eclipse"">eclipse</a>"
"lunation","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>lunation</b><br>See <a href=""entry://synodic month"">synodic month</a>"
"lux","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>lux</b><br>Symbol lx. The SI unit of <a href=""entry://illuminance"">illuminance</a> equal to the illumination produced by a <a href=""entry://luminous flux"">luminous flux</a> of 1 lumen distributed uniformly over an area of 1 square metre"
"Lyman series","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Lyman series</b><br>See <a href=""entry://hydrogen spectrum"">hydrogen spectrum</a>."
"m.k.s. units","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>m.k.s. units</b><br>A <a href=""entry://metric system"">metric system</a> of units devised by A. Giorgi (and sometimes known as <i>Giorgi units</i> ) in 1901. It is based on the metre, kilogram, and second and grew from the earlier <a href=""entry://c.g.s. units"">c.g.s. units</a>. The electrical unit chosen to augment these three basic units was the ampere and the <a href=""entry://permeability"">permeability</a> of space (magnetic constant) was taken as 10<sup class=""expo"">-7</sup> H m<sup class=""expo"">-1</sup>. To simplify electromagnetic calculations the magnetic constant was later changed to 4π</img> × 10<sup class=""expo"">-7</sup> H m<sup class=""expo"">-1</sup> to give the <i>rationalized MKSA system</i> . This system, with some modifications, formed the basis of <a href=""entry://SI units"">SI units</a>, now used in most scientific work"
"m.m.f.","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>m.m.f.</b><br>See <a href=""entry://magnetomotive force"">magnetomotive force</a>"
"Mach number","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Mach number</b><br>The ratio of the relative speeds of a fluid and a rigid body to the speed of sound in that fluid under the same conditions of temperature and pressure. If the Mach number exceeds 1 the fluid or body is moving at a <i>supersonic speed</i> . If the Mach number exceeds 5 it is said to be <i>hypersonic</i> . The number is named after Ernst Mach (1838&ndash;1916)"
"Mach's principle","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Mach's principle</b><br>The <a href=""entry://inertia"">inertia</a> of any particular piece of matter is attributable to the interaction between that piece of matter and the rest of the universe. A body in isolation would have zero inertia. This principle was stated by Ernst Mach in the 1870s and was made use of by Einstein in his general theory of <a href=""entry://relativity"">relativity</a>"
"machine","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>machine</b>
<br>A device capable of making the performance of mechanical work easier, usually by overcoming a force of resistance (the load) at one point by the application of a more convenient force (the effort) at some other point. In physics, the six so-called <i>simple machines</i> are the lever, wedge, inclined plane, screw, pulley, and wheel and axle"
"Maclaurin's series","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Maclaurin's series</b><br>See <a href=""entry://Taylor series"">Taylor series</a>"
"macroscopic","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>macroscopic</b><br>Designating a size scale very much larger than that of atoms and molecules. Macroscopic objects and systems are described by <a href=""entry://classical physics"">classical physics</a> although <a href=""entry://quantum mechanics"">quantum mechanics</a> can have macroscopic consequences. Compare <a href=""entry://mesoscopic"">mesoscopic</a>; <a href=""entry://microscopic"">microscopic</a>"
"Magellanic clouds","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Magellanic clouds</b><br>Two small galaxies situated close to the Milky Way that are only visible from the southern hemisphere. They were first recorded by Ferdinand Magellan (1480&ndash;1521) in 1519"
"magic numbers","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magic numbers</b><br>Numbers of neutrons or protons that occur in atomic nuclei to produce very stable structures. The magic numbers for both protons and neutrons are 2, 8, 20, 28, 50, and 82. For neutrons 126 and 184 are also magic numbers and for protons 114 is a magic number. The relationship between stability and magic numbers led to a nuclear <a href=""entry://shell model"">shell model</a> in analogy to the electron shell model of the atom"
"Magnadur","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Magnadur</b><br>A tradename for a ceramic material used to make permanent magnets. It consists of sintered iron oxide and barium oxide"
"Magnalium","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Magnalium</b><br>A tradename for an aluminium-based alloy of high reflectivity for light and ultraviolet radiation that contains 1&ndash;2% of copper and between 5% and 30% of magnesium. Strong and light, these alloys also sometimes contain other elements, such as tin, lead, and nickel"
"magnet","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnet</b><br>A piece of magnetic material (see <a href=""entry://magnetism"">magnetism</a>) that has been magnetized and is therefore surrounded by a <a href=""entry://magnetic field"">magnetic field</a>. A magnet, often in the shape of a bar or horseshoe, that retains appreciable magnetization indefinitely (provided it is not heated, beaten, or exposed to extraneous magnetic fields) is called a <i>permanent magnet</i> . See also <a href=""entry://electromagnet"">electromagnet</a>"
"magnetic bottle","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic bottle</b><br>A nonuniform <a href=""entry://magnetic field"">magnetic field</a> used to contain the <a href=""entry://plasma"">plasma</a> in a thermonuclear experimental device. At the temperature of a thermonuclear reaction (10<sup class=""expo"">8</sup> K) any known substance would vaporize and the plasma has therefore to be contained in such a way that it does not come into contact with a material surface. The magnetic bottle provides a means of achieving this, by deflecting away from its boundaries the moving charged particles that make up the plasma"
"magnetic bubble memory","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic bubble memory</b><br>A form of computer memory in which a small magnetized region of a substance is used to store information. Bubble memories consist of materials, such as magnetic garnets, that are easily magnetized in one direction but hard to magnetize in the perpendicular direction. A thin film of these materials deposited on a nonmagnetic substrate constitutes a bubble-memory chip. When a magnetic field is applied to such a chip, by placing it between two permanent magnets, cylindrical domains (called magnetic bubbles) are formed. These bubbles constitute a magnetic region of one polarity surrounded by a magnetic region of the opposite polarity. Information is represented as the presence or absence of a bubble at a specified storage location and is retrieved by means of a rotating magnetic field. Typically a chip measures 15 mm<sup class=""expo"">2</sup>, or 25 mm<sup class=""expo"">2</sup> enclosed in two permanent magnets and two rotating field coils; each chip can store up to one million bits"
"magnetic circuit","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic circuit</b><br>A closed path containing a <a href=""entry://magnetic flux"">magnetic flux</a>. The path is clearly delimited only if it consists mainly or wholly of ferromagnetic or other good magnetic materials; examples include transformer cores and iron parts in electrical machines. The design of these parts can often be assisted by analogy with electrical circuits, treating the <a href=""entry://magnetomotive force"">magnetomotive force</a> as the analogue of e.m.f., the magnetic flux as current, and the <a href=""entry://reluctance"">reluctance</a> as resistance. There is, however, no actual flow around a magnetic circuit"
"magnetic compass","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic compass</b><br>See <a href=""entry://compass"">compass</a>"
"magnetic constant","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic constant</b><br>See <a href=""entry://permeability"">permeability</a>"
"magnetic containment","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic containment</b><br>See <a href=""entry://thermonuclear reactor"">thermonuclear reactor</a>"
"magnetic declination","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic declination</b><br>See <a href=""entry://geomagnetism"">geomagnetism</a>"
"magnetic dip","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic dip</b><br>See <a href=""entry://geomagnetism"">geomagnetism</a>"
"magnetic disk","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic disk</b><br>A smooth aluminium disk, usually 35.6 cm in diameter, both surfaces of which are coated with magnetic iron oxide. The disks are used as a recording medium in computers, up to ten such disks being mounted in a disk pack. Data is recorded in concentric tracks on both surfaces with up to 236 tracks per centimetre. The disks rotate at 3600 revolutions per minute, information being put onto the disk and removed from it by means of a record-playback head. See also <a href=""entry://floppy disk"">floppy disk</a>"
"magnetic domain","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic domain</b><br>See <a href=""entry://magnetism"">magnetism</a>"
"magnetic elements","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic elements</b><br>See <a href=""entry://geomagnetism"">geomagnetism</a>"
"magnetic equator","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic equator</b><br>See <a href=""entry://equator"">equator</a>; <a href=""entry://geomagnetism"">geomagnetism</a>"
"magnetic field","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic field</b><br>A <a href=""entry://field"">field</a> of force that exists around a magnetic body (see <a href=""entry://magnetism"">magnetism</a>) or a current-carrying conductor. Within a magnetic field a magnetic dipole may experience a torque and a moving charge may experience a force. The strength and direction of the field can be given in terms of the <i>magnetic flux density</i> (or <i>magnetic induction</i> ), symbol <i>B</i>; it can also be given in terms of the <i>magnetic field strength</i> (<i>magnetizing force</i> or <i>magnetic intensity</i> ), symbol <i>H</i>.
<br>The magnetic flux density is a vector quantity and is the <a href=""entry://magnetic flux"">magnetic flux</a> per unit area of a magnetic field at right angles to the magnetic force. It can be defined in terms of the effects the field has, for example by <div class=""equ""><i>B</i> = <i>F</i>/<i>qv</i>sinθ</img></div>, where <i>F</i> is the force a moving charge <i>q</i> would experience if it was travelling at a velocity <i>v</i> in a direction making an angle θ</img> with that of the field. The <a href=""entry://SI units"">SI unit</a> is the tesla.
<br>The magnetic field strength is also a vector quantity and is related to <i>B</i> by: <div class=""equ""><i>H</i> = <i>B</i>/µ</div>where µ is the <a href=""entry://permeability"">permeability</a> of the medium. The SI unit of field strength is the ampere per metre (A m<sup class=""expo"">-1</sup>)"
"magnetic field strength","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic field strength</b><br>See <a href=""entry://magnetic field"">magnetic field</a>"
"magnetic flux","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic flux</b><br>Symbol φ. A measure of quantity of magnetism, taking account of the strength and the extent of a <a href=""entry://magnetic field"">magnetic field</a>. The flux d φ through an element of area d<i>A</i> perpendicular to <i>B</i> is given by <div class=""equ"">dφ = <i>B</i>d<i>A</i></div>. The <a href=""entry://SI units"">SI unit</a> of magnetic flux is the weber"
"magnetic flux density","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic flux density</b><br>See <a href=""entry://magnetic field"">magnetic field</a>"
"magnetic force","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic force</b><br>The attractive or repulsive force exerted on a <a href=""entry://magnetic pole"">magnetic pole</a> or a moving electric charge in a <a href=""entry://magnetic field"">magnetic field</a>"
"magnetic induction","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic induction</b><br>See <a href=""entry://magnetic field"">magnetic field</a>"
"magnetic intensity","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic intensity</b><br>See <a href=""entry://magnetic field"">magnetic field</a>"
"magnetic meridian","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic meridian</b><br>See <a href=""entry://meridian"">meridian</a>"
"magnetic mirror","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic mirror</b><br>A device used to contain <a href=""entry://plasma"">plasma</a> in thermonuclear experimental devices. It consists of a region of high magnetic field strength at the end of a containment tube. Ions entering the region reverse their motion and return to the plasma from which they have emerged. See also <a href=""entry://magnetic bottle"">magnetic bottle</a>"
"magnetic moment","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic moment</b><br>The ratio between the maximum torque (<i>T</i><sub class=""ind"">max</sub>) exerted on a magnet, current-carrying coil, or moving charge situated in a <a href=""entry://magnetic field"">magnetic field</a> and the strength of that field. It is thus a measure of the strength of a magnet or current-carrying coil. In the Sommerfeld approach this quantity (also called <i>electromagnetic moment</i> or <i>magnetic area moment</i> ) is <i>T</i><sub class=""ind"">max</sub>/<i>B</i>. In the Kennelly approach the quantity (also called <i>magnetic dipole moment</i> ) is <i>T</i><sub class=""ind"">max</sub>/<i>H</i>.
<br>In the case of a magnet placed in a magnetic field of field strength <i>H</i>, the maximum torque <i>T</i><sub class=""ind"">max</sub> occurs when the axis of the magnet is perpendicular to the field. In the case of a coil of <i>N</i> turns and area <i>A</i> carrying a current <i>I</i>, the magnetic moment can be shown to be <div class=""equ""><i>m</i> = <i>T</i>/<i>B</i> = <i>NIA</i></div> or <div class=""equ""><i>m</i> = <i>T</i>/<i>H</i> = µ<i>NIA</i></div>. Magnetic moments are measured in <a href=""entry://SI units"">SI units</a> in A m<sup class=""expo"">2</sup>.
<br>An orbital electron has an orbital magnetic moment <i>IA</i>, where <i>I</i> is the equivalent current as the electron moves round its orbit. It is given by <div class=""equ""><i>I</i> = <i>q</i>ω</img>/2π</img></div>, where <i>q</i> is the electronic charge and ω</img> is its angular velocity. The orbital magnetic moment is therefore <div class=""equ""><i>IA</i> = <i>q</i>ω</img><i>A</i>/2π</img></div>, where <i>A</i> is the orbital area. If the electron is spinning there is also a spin magnetic moment (see <a href=""entry://spin"">spin</a>); atomic nuclei also have magnetic moments (see <a href=""entry://nuclear moment"">nuclear moment</a>)"
"magnetic monopole","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic monopole</b><br>A hypothetical magnetic entity consisting of an isolated elementary north or south pole. It has been postulated as a source of a <a href=""entry://magnetic field"">magnetic field</a> by analogy with the way in which an electrically charged particle produces an electric field. Numerous ingenious experiments have been designed to detect the monopole but so far none has produced an unequivocal result. Magnetic monopoles are predicted to exist in certain <a href=""entry://gauge theory"">gauge theories</a> with <a href=""entry://Higgs boson"">Higgs bosons</a>. In particular, some <a href=""entry://grand unified theories"">grand unified theories</a> predict very heavy monopoles (with mass of order 10 <sup class=""expo"">16</sup> GeV). Magnetic monopoles are also predicted to exist in <a href=""entry://Kaluza-Klein theory"">Kaluza-Klein theories</a> and <a href=""entry://superstring theory"">superstring theory</a>"
"magnetic permeability","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic permeability</b><br>See <a href=""entry://permeability"">permeability</a>"
"magnetic poles","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic poles</b><br><b>1</b> See <a href=""entry://geomagnetism"">geomagnetism</a>.
<br><b>2</b> The regions of a <a href=""entry://magnet"">magnet</a> from which the magnetic forces appear to originate. A magnetized bar has a pole at each end; if it is freely suspended in the earth's magnetic field (see <a href=""entry://geomagnetism"">geomagnetism</a>) it will rotate so that one end points approximately towards the earth's geographical north pole. This end is called the north-seeking end or the north pole of the magnet. The other end is accordingly called the south-seeking end or south pole. In the obsolete theory associated with the c.g.s. electromagnetic system of units, a <i>unit magnetic pole</i> was treated as one of a pair, which repelled each other with a force of 1 dyne when separated by 1 cm in space."
"magnetic potential","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic potential</b><br>See <a href=""entry://magnetomotive force"">magnetomotive force</a>"
"magnetic quantum number","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic quantum number</b><br>See <a href=""entry://atom"">atom</a>"
"magnetic resonance imaging","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic resonance imaging</b><br>See <a href=""entry://nuclear magnetic resonance"">nuclear magnetic resonance</a> (Feature)"
"magnetic susceptibility","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic susceptibility</b><br>See <a href=""entry://susceptibility"">susceptibility</a>"
"magnetic tape","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic tape</b><br>A plastic tape coated with a ferromagnetic material - iron oxide powder, chromium dioxide, or, for the best results, particles of pure iron. The tape is used for recording data in tape recorders and computers. To record, the tape is passed over a recording head containing a gap in a magnetic circuit whose magnetization is modulated by the information to be recorded; the information is imprinted on the tape in the form of the direction of magnetization of the individual particles of iron oxide. The particles themselves are not rotated by the magnetizing field: it is their directions of magnetization that are orientated in accordance with the information. In audio-frequency recorders a high-frequency bias (in the range 75&ndash;100 kHz) is used to reduce distortion by facilitating the re-orientation. The playback procedure is the reverse of recording; the tape containing its orientation of tiny magnets is fed over the gap of the same (now the playback) head, in whose coil corresponding e.m.f.s are generated by induction"
"magnetic variation","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>magnetic variation</b><i>(secular magnetic variation)</i>
<br>See <a href=""entry://geomagnetism"">geomagnetism</a>"
