e	and
bananzola	banana
banazola	banana
banca	bank
bancada	bench
bancal	banking
bancaria	banking
bancário	banking
bancarrota	bankruptcy
bancarrotear	to bankrupt
bancarroteiro	bankrupt
banco-d'água	water bank
bancroftíase	bancroftiasis
bancroftose	bancroftosis
bandada	banded
banda-forra	band-lining
bandagem	bandage
bandalha	scoundrel
bandalhar	to vandalize
bandalheira	mischief
bandalhice	mischief
bandalhismo	banditry
bandalhista	bandit
bandalho	scoundrel
bandaneco	bandana
bandar	band
bandarilha	banderilla
bandarilhar	banderilla
bandarilheiro	banderillero
bandarrear	to band
bandeamento	banding
bandear	to band
bandeira-alemã	german flag
bandeirada	flag
bandeirado	flagged
bandeira-do-campo	field flag
bandeira-espanhola	spanish flag
bandeirante	flag bearer
bandeirante-do-sul	southern flag bearer
bandeirantense	bandeirante
bandeirantismo	flag-bearing
bandeira-paulista	paulista flag
bandeirar	flag
bandeireiro	flag bearer
bandeirinha	flag
bandeirinha-de-rabo-vermelho	red-tailed bunting
bandeirismo	flag-waving
bandeirista	flag bearer
bandeirístico	flag
bandeiro	flagbearer
bandeirola	pennant
bandeirologia	flagology
bandeirológico	flagological
bandeiroso	flagbearer
bandeja-d'água	water tray
bandejão	tray
bandejar	tray
bandeta	tray
bandidaço	big bandit
bandidagem	banditry
bandidismo	banditry
bandim	bandit
bandó	bando
bandô	bando
bandoleirismo	banditry
bandoleiro	bandit
bandoleta	headband
bandolim	mandolin
bandolina	mandolin
bandolinista	mandolinist
bandoria	bandory
bandulho	belly
bandurrear	to bandurrear
baneane	banana
bangalô	bungalow
bangiácea	bangiaceous
bangue	bang
bangue-bangue	bang-bang
bangueiro	banker
banguela	toothless
banguelê	toothless
banguelo	toothless
bangulê	bangule
banhadal	bathing
banhâni	banana
banheira	bathtub
banhista	bather
banho-cheiroso	scented bath
banho-maria	bain-marie
baniane	banyan
banimento	banishment
banisterina	banisterin
baniua	banned
banjista	banjist
banjoísta	banjoist
banqueiro	banker
banqueta	stool
banqueteador	banqueter
banqueteiro	banqueter
banquisa	ice floe
banto	bantu
banzar	to banish
banzativo	banzative
banzé	banze
banzear	to bathe
banzeiro	bathhouse
baobá	baobab
baque	thud
baquear	to flounder
baquelita	bakelite
baqueta	drumstick
baquetar	drum
baquetear	clubbing
báquico	Bacchic
baquista	baquist
baquité	baquite
bará	bara
baraço	tether
barafunda	mess
barafustar	fuss
baragnose	baragnosis
barajá	baraja
baralha	shuffle
baralhada	shuffle
baralhado	shuffled
baralhador	shuffler
baralhamento	shuffling
baralhar	shuffle
baralho	cheap
baranga	slut
barão	baron
barãoense	baronense
bararuá	bararua
barata-cascuda	cockroach
barata-d'água	water bug
barata-da-praia	beach cockroach
barata-das-palmeiras	palm cockroach
barata-descascada	peeled cockroach
barata-do-arroz	rice cockroach
barata-do-coqueiro	coconut cockroach
barata-do-fígado	liver cockroach
barata-do-mato	bush cockroach
barata-germânica	German cockroach
barata-noiva	cockroach bride
barata-nua	naked cockroach
barata-oriental	oriental cockroach
baratar	cheapen
barataria	cheapness
barata-voa	flying cockroach
barateador	cheapener
barateamento	cheapening
baratear	cheapen
barateio	cheapening
barateiro	cheap
barateza	cheapness
baratinado	cheap
baratinar	cheapen
baratinha	cockroach
baratinha-d'água	water cockroach
baratômetro	baratometer
barátrico	baratric
báratro	barbaric
baraúna	barauna
barba-azul	bluebeard
barba-branca	whitebeard
barbacã	barbican
barbaças	beards
barbaçudo	bearded
barbada	beard
barba-de-barata	cockroach beard
barba-de-bode	goat's beard
barba-de-boi	ox beard
barba-de-cabra	goat's beard
barba-de-pau	wooden beard
barba-de-são-pedro	St. Peter's beard
barba-de-timão	rudder beard
barba-de-velho	old man's beard
barbadiano	barbadian
barbadinho	bearded man
barbado	bearded
barbalhada	bearded
barbalho	beard
barbalhoste	beardbeard
barbantinho	little string
barbaquá	barbecue
barbaquim	beard
barbará	barbara
barbaramente	barbarously
barbarense	barbarian
barbaresco	barbaric
barbaria	barbarity
barbaridade	barbarity
barbárie	barbarism
barbarisco	barbaric
barbarismo	barbarism
barbarizar	barbarize
barbarizo	barbaric
barbarrão	barbarian
barbasco	beard
barbata	fin
barbatão	big beard
barbatimão-de-folha-miúda	small-leaved barbatimão
barbatimão-falso	false barbatimão
barbatimão-verdadeiro	true barbatimão
barbato	bearded
barbeação	shaving
barbeado	shaved
barbeador	shaver
barbearia	barber shop
barbechar	shave
barbecho	barbeque
barbeiácea	bearded
barbeiragem	shaving
barbeiro-azul	blue barber
barbeirola	beardless
barbeito	bearded man
barbela	dewlap
barbelões	barbelons
barbeta	barbette
barbeuiácea	barbeuiaceae
barbialçado	bearded
barbica	beard
barbicacho	chinstrap
barbicas	barbicans
barbicha	goatee
barbichas	goatee
barbífero	barbiferous
barbiforme	barbiform
barbilhão	barbel
barbilho	barbel
barbiloiro	barbel
barbilongo	long beard
barbilouro	barbilore
barbinegro	blackbeard
barbípede	barbiped
barbirrostro	bearded man
barbirruivo	redbeard
barbiturato	barbiturate
barbitúrico	barbiturate
barbiturismo	barbiturate
barbono	barbon
barbotina	slip
barbudinho	bearded
barbudo	bearded
bárbula	barbule
bárbus	barbus
bárbus-de-cinco-listras	five-striped barbus
barça	barca
barcaça	barge
barcacinha	little boat
barcada	boat
barca-d'água	water boat
barca-farol	lightship
barcagem	ferryboat
barca-nova	new boat
barcarola	barcarolle
barcarolar	boatcarol
barceiro	boatman
barcelense	barcelosense
barcelonense	barcelonian
barcelonês	barcelonese
barda	bard
bardana	burdock
bardana-maior	greater burdock
bardana-menor	lesser burdock
bardar	bard
bárdico	bardic
bardo	bard
bareinita	Bahraini
barestesia	baresthesia
bareta	baret
barga	barge
bargado	barred
barganhar	bargain
barganhista	bargainer
bargantaria	bargaining
bargante	bargainer
bargantear	bargain
barganteria	bargaining
bária	baria
bariatria	bariatrics
baricentro	barycenter
bárico	baric
baridade	barity
barifonia	bariphony
barifônico	bariphonic
barigui	belly
barimetria	barimetry
barimétrico	barimetric
bário	barium
bariolagem	baryolage
bárion	baryon
bariônico	baryonic
bariquelídeo	barychelid
baririçô-amarelo	yellow-bellied thrush
barisfera	barisphere
barita	barite
baritífero	barytes
baritina	barite
barítono	baritone
barlaventeador	windward windward
barlaventear	windward
barlavento	windward
barman	bartender
barnabé	barnabas
barnabita	barnabite
barocoria	barochory
barocórico	barochoric
barognose	barognosis
barógrafo	barograph
barologia	barology
barológico	barological
barométrico	barometric
barômetro	barometer
barometrografia	barometrography
barometrográfico	barometrographic
barometrógrafo	barometrograph
baronagem	baronage
baronato	barony
baronesa	baroness
baronete	baronet
baronia	barony
baronista	baronist
baroscópio	baroscope
barossinusite	barosinusitis
barostato	barostat
baróstato	barostat
barqueira	boatwoman
barqueiro	boatman
barquejar	to boat
barqueta	boat
barquice	boating
barquiço	boat
barra-bandeira	flag bar
barracamento	barracks
barracão	shed
barração	shed
barracento	barren
barraconense	Barraconense
barrado	barred
barra-fogo	fire bar
barrageiro	dam operator
barra-limpa	clean bar
barra-manteiga	butter bar
barramento	bus
barra-mina	mine bar
barramunda	barramundi
barranca	ravine
barranceira	ravine
barrancoso	ravine
barrancudo	ravine
barranqueira	ravine
barranqueiro	ravine
barrão	barron
barra-pesada	heavy bar
barraqueiro	stallholder
barraquista	stallholder
barrasco	barracks
barra-suja	dirty bar
barravento	windward
barrear	to bar
barregã	rump
barregão	big belly
barregar	to belly
barrego	I go to the barrens
barreguice	belly
barreio	mudflat
barreirar	barrier
barreirinhense	barreirinhan
barreiro	clay
barrela	lye
barreleiro	barreler
barrense	barren
barrento	muddy
barreta	barrette
barretada	barrette
barrete	cap
barretear	to cap
barreteiro	bartender
barretina	shako
barrica	barrel
barricão	big barrel
barricar	barricade
barrido	bellowed
barriga-branca	white belly
barrigada	belly
barriga-d'água	water belly
barrigal	belly
barrigatintim	tummy
barriga-verde	green belly
barriguda	pot-bellied
barriguda-de-espinho	thorn-bellied
barrigudinho	little belly
barrigudo	pot-bellied
barrigudo-cinzento	gray-bellied
barrigudo-pardo	brown-bellied
barrigueira	belly band
barrilada	barrel
barrileira	barrel
barrilete	barrel
barrilha	soda ash
barrilheira	kelp
barrilote	barrel
barrinhense	barrinho
barriqueiro	barriquero
barriquinha	little barrel
barrir	to bellow
barrista	barista
barroada	mud
barro-altino	clay-altino
barroar	to mud
barroca	baroque
barrocada	baroque
barrocal	clayey
barroco	baroque
barro-pretense	clay-pretense
barroqueira	clay pot
barroquismo	baroque
barroso	muddy
barrotar	to bar
barrote	bar
barroteamento	barring
barrotear	bar route
barrotim	clay pot
barrufar	to rumble
barrufo	barruff
barruma	mud
bartedouro	bartender
bartholinite	bartholinitis
bartônia	bartonia
bartramiácea	bartramiaceae
barulhaço	noise
barulhar	make noise
barulheiro	noisy
barulhoso	noisy
barúria	baruria
barururu	rumble
basáltico	basaltic
basaltícola	basaltic
basaltiforme	basaltiform
basaltito	basaltite
basalto	basalt
basbaque	dumbfounded
basbaquice	stupidity
bas-bleu	blue-blue
basco	Basque
bascófono	Basque-speaking
báscula	weighbridge
basculador	tipper
basculante	tipper
basculhadeira	tipper
basculhadela	dump
basculhador	tipper
basculhar	to tip
basculho	trash
básculo	scale
baseamento	basis
basebol	baseball
baselácea	basellacea
basicamente	basically
basicidade	basicity
básico	basic
basidade	basicity
basídio	basidium
basidiocárpico	basidiocarpic
basidiocarpo	basidiocarp
basidiolíquen	basidiolichen
basidiomiceto	basidiomycete
basidiospórico	basidiosporic
basidiósporo	basidiospore
basificação	basification
basificante	basifying
basificar	basify
basifixo	basifix
basífugo	basifuge
basilar	basic
basileto	basilet
basiliano	basilian
basílica	basilica
basilical	basilica
basilicão	basil
básio	basium
basiocestro	basiocestrum
basiofobia	basiophobia
basiofóbico	basiophobic
basiótribo	basiotribe
basiotripsia	basiotripsy
basípeto	basipetal
basipterígio	basipterygium
basitarso	basitarsus
basite	basitis
basofilia	basophilia
basófilo	basophil
basomatóforo	basomatophore
basônimo	basonym
basquete	basketball
basquetebol	basketball
basquetebolista	basketball player
basquetebolístico	basketball
basqueteira	basketball player
bassê	dachshund
bastão-de-são-josé	St. Joseph's wand
bastão-de-velho	old man's stick
bastão-do-imperador	emperor's staff
bastarda	bastard
bastardão	bastard
bastardear	bastardize
bastardeira	bastard
bastardia	bastardy
bastardinha	little bastard
bastardinho	little bastard
bastear	suffice
bastecer	supply
basteira	enough
basteirado	basted
basteirar	to suffice
bastiães	bastions
bastião	bastion
bastidão	bastion
bastidor	frame
bastilha	Bastille
bastimento	bastion
bastiões	bastions
bastita	bastite
bastnasita	bastnasite
basto	enough
bastonada	baton
bastonário	president
bastonete	rod
bastura	rubbish
batacaço	potato
batácea	potato
bataclã	bataclan
batacotó	potato
batacotô	potatocotô
bataguaçuense	Bataguaçuense
bataiporanense	Bataiporanense
batalhação	battle
batalhador	fighter
batalha-naval	battleship
batalhante	fighter
batalheira	battleship
batalhense	battleship
bataque	batak
batará	will beat
bataria	battery
batata	potato
batata-baroa	taro
batata-brava	wild potato
batata-cenoura	carrot potato
batatada	potato soup
batata-da-ilha	island potato
batata-da-terra	potato
batata-da-uva-do-mato	wild grape potato
batata-de-caboclo	country potato
batata-de-pedra	stone potato
batata-de-purga	purge potato
batata-do-campo	field potato
batata-doce	sweet potato
batata-do-inferno	hell potato
batata-do-mar	sea ​​potato
batata-do-rio	river potato
batataiense	potatoian
batata-inglesa	potato
batatal	potato field
batata-miúda	small potato
batatão	potato
batatão-amarelo	yellow potato
batatarana	potato
batata-roxa	purple potato
batata-silvestre	wild potato
batateira	potato
batateiral	potato field
batateiro	potato grower
batatinha	potato
batatinha-amarela	yellow potato
batatinha-caapeba	caapeba potato
batatinha-d'água	water potato
batatinha-do-campo	field potato
batatinha-frita	French fries
batatinha-purgativa	purgative potato
batatudo	potato
batauá	Batauá
batávico	Batavic
batavo	Batavian
bateada	beat
bateador	beater
batear	to beat
bate-barba	shave
bate-bate	knock knock
bate-baú	trunk
bate-bico	chatterbox
bate-boca	bickering
bate-bola	kick the ball
bate-chinela	slipper
bate-coxa	thigh-beater
bate-cu	ass-kissing
batecum	thumps
batedeira	mixer
batedela	beat
batedoiro	beater
batedor	beater
batedora	beater
batedouro	scoop
batedura	beating
bateeiro	boatman
bate-enxuga	wipe-dry
bate-estaca	pile driver
bate-estacas	pile driver
bate-folha	leaf beater
bátega	whip
bateia	pan
bateira	drum
batelada	batch
batelão	barge
bateleiro	boatman
bate-orelha	ear flap
batepandé	pandemonium
bate-papo	chat
bate-pau	beat the stick
bate-pé	foot stomping
bate-prego	nail driver
bate-pronto	ready-made
baterista	drummer
bate-saco	punching bag
bate-sela	saddle pad
batetê	batete
bate-testa	forehead beat
bate-virilha	groin slapper
batial	bathyal
batianestesia	bathianesthesia
batianestésico	bathianesthetic
batição	beating
baticardia	bathycardia
baticárdico	bathycardic
batidácea	batidaceous
batidale	batele
batidela	beat
batiergídeo	bathyergid
batimento	beat
batimetria	bathymetry
batimétrico	bathymetric
batímetro	bathymeter
batina	cassock
batiplancto	bathyplankton
batiplâncton	bathyplankton
batiputá	batputa
batique	batik
bátis	bathis
batiscafo	bathyscaphe
batíscafo	bathyscaphe
batisfera	bathysphere
batisférico	bathyspheric
batismal	baptismal
batissela	bathissela
batista	baptist
batistério	baptistery
batité	batite
batizamento	baptism
batizante	baptizing
batoca	thump
batocada	knock
batocar	knock
batocrômico	bathochromic
batocromo	bathochrome
batofobia	batophobia
batofóbico	batophobic
batófobo	batophobic
batografia	batography
batográfico	batographic
batoídeo	batoid
batóideo	batoid
batólito	batholith
batologia	batology
batológico	batological
batom	lipstick
batometria	bathometry
batométrico	bathometric
batômetro	bathometer
batoque	bung
batoqueira	cheater
batota	cheating
batotar	cheat
batotear	cheat
batoteiro	cheater
batracoide	batrachoid
batracoidídeo	batrachoid
batracoidiforme	batrachoidiform
batracospermácea	batracospermaceae
batráquio	batrachian
batucada	drumming
batucador	drummer
batucajé	drumming
batucar	drum
batueira	drummer
batuera	drummer
batuíra	plover
batuíra-de-bando	plover
batuíra-de-coleira	collared plover
batuíra-de-esporão	spurred plover
batuíra-do-campo	field plover
batuíra-do-mar-grosso	deep-sea plover
batuirão	batueiro
batuirinha	little bat
batuque	drumming
batuque-boi	bull drum
batuqueiro	drummer
batuquira	drum
baturiteense	baturitense
batuta	baton
baú	trunk
bauá	baua
baudelairiano	Baudelairean
bauerácea	Baueraceae
bauhínia	bauhinia
baul	trunk
baúle	chest
bauleiro	trunkman
baumê	baume
baúna	chestnut
baúna-de-fogo	fire chestnut
baúna-do-alto	tall banana
baúna-fogo	fire chestnut
baunilha	vanilla
baunilha-do-peru	Peruvian vanilla
baunilha-dos-jardins	vanilla-of-the-gardens
baunilha-falsa	fake vanilla
baunilhazinha	little vanilla
baunilheira	vanilla tree
bauru	Bauru
bauruense	Bauruense
bautismo	baptism
bautizado	baptized
bautizar	baptize
bauxita	bauxite
bávaro	bavarian
baxá	baxa
baxalato	baxalate
bazar	bazaar
bazareiro	bazaar
bazé	baze
bazófia	boast
bazofiador	boastful
bazofiar	boast
bazófio	bazofio
bazuca	bazooka
B.C.G.	BCG
bdelômetro	bedelometer
bdelonemérteo	bdelonemerteo
bê	baby
bê-á-bá	ABC
beaquéo	beaqueo
bearnês	bearnese
beata	blessed
beatão	bigot
beateiro	beater
beatério	beatery
beatice	beatitude
beatificação	beatification
beatificado	beatified
beatificador	beatifier
beatificar	beatify
beatífico	beatific
beatinha	little saint
beato	blessed
beatriz	Beatrice
beaumôntia	beaumontia
bebaça	drink
bebaço	big drink
bebedoiro	drinking fountain
bebedourense	Drinking water
bebeerina	baby girl
bebe-gás	gas drinker
bêbera	drunk
beberar	drink
bebereira	drinking
beberete	drink
beberibense	Drinking
bebericação	sipping
bebericador	drinker
bebericar	sip
beberina	drink
beberraz	drunkard
beberrica	drink
beberricação	drinking
beberricador	drinker
beberricar	tipple
beberronia	drinking
beberrote	drink
beberu	drank
bebezaina	baby girl
bebível	drinkable
bebum	drunkard
becape	backup
bêche-de-mer	sea ​​cliff
bécher	beaker
bedel	beadle
bedelhar	snoop
bedém	bedem
beduí	Bedouin
beduim	bedouin
beethoveniano	Beethovenian
bege	beige
begônia	begonia
begoniácea	begoniacea
begônia-de-folha-estreita	narrowleaf begonia
begônia-real	royal begonia
begônia-sangue	blood begonia
begônia-sempre-florida	ever-flowering begonia
beguinaria	beguinage
beguino	beguine
behaviorismo	behaviorism
behaviorista	behaviorist
bei	kiss
beiça	lip
beiçada	kiss
beicinho	pout
beiçoca	pout
beiço-de-negra	black lip
beiçola	lip
beiçolada	pouting
beiçorra	lip
beiçudo	pouty
beidelita	beidelite
beidellita	beidellite
beijador	kisser
beija-flor	hummingbird
beija-flor-d'água	water hummingbird
beija-flor-da-mata	hummingbird
beija-flor-da-mata-virgem	virgin forest hummingbird
beija-flor-de-barriga-branca	white-bellied hummingbird
beija-flor-de-garganta-verde	green-throated hummingbird
beija-flor-de-orelha-violeta	violet-eared hummingbird
beija-flor-de-papo-branco	white-throated hummingbird
beija-flor-de-topete	crested hummingbird
beija-flor-do-mato	wild hummingbird
beija-flor-do-mato-virgem	virgin forest hummingbird
beija-flor-grande	big hummingbird
beija-flor-grande-do-mato	large-hummingbird-of-the-woods
beija-flor-pardo	brown hummingbird
beija-flor-rubi	ruby hummingbird
beija-flor-vermelho	red hummingbird
beija-mão	kisses the hand
beija-pé	kiss-foot
beijinho	Condensed milk dessert with coconut
beijoca	smack
beijocador	kisser
beijocar	smack
beijo-de-frade	friar's kiss
beijo-de-freira	nun's kiss
beijo-de-moça	girl's kiss
beijo-de-palmas	clap-kiss
beijoeiro	kisser
beijoim	kisses
beijoqueiro	kisser
beiju	kisses
beijuaçu	kisses
beijucica	kisses
beijueiro	kisser
beijuguaçu	kisses
beiju-membeca	kiss-membeca
beiju-moqueca	beijú-moqueca
beijupirá	cobia
beiju-poqueca	kiss-kiss
beijuteica	kisses
beijuxica	kisses
beilhó	kiss
beira-campo	fieldside
beira-corgo	riverside
beiradear	to border
beiradeiro	edge of the river
beiradejar	bordering
beirado	eaves
beira-estrada	roadside
beirante	edge
beirar	border
beira-rio	riverside
beira-seveira	edge of the forest
beira-sobeira	edge of the ledge
beirute	Beirut
beisebol	baseball
beiupirá	beiupira
beje	beige
bejinho	kiss
bejuco	kiss
bel	beautiful
belacíssimo	very beautiful
beladona	belladonna
bela-emília	beautiful-emilia
bela-luz	beautiful light
bela-margarida	beautiful daisy
belarmino	belarmine
belas-artes	fine arts
belas-letras	belles-lettres
belatriz	bellatrix
bela-vistano	beautiful-vistano
bela-vistense	beautiful-vistense
belaz	beautiful
belbute	Belbute
belbutina	velveteen
bel canto	beautiful song
belchior	Belchior
beldade	beauty
beldosa	beautiful
beldroega	purslane
beldroega-da-praia	beach purslane
beldroega-de-cuba	Cuban purslane
beldroega-grande	Great purslane
beldroega-miúda	small purslane
beldroega-pequena	small purslane
beldroegas	purslane
beldroega-verdadeira	true purslane
beleguim	bailiff
beleléu	beleleu
beletrista	novelist
beletrística	belletristics
belezaria	beauty shop
belezinha	beautiful
belezoca	beautiful
belezura	beauty
belfa	Belfa
belfo	beautiful
belfudo	beautiful
belga	Belgian
bélgico	belgian
belgradino	Belgrade
beliche	bunkbed
belicismo	warmongering
belicista	warmonger
belicosidade	bellicosity
belicoso	bellicose
belicuete	bunk bed
beligerância	belligerence
beligerante	belligerent
belígero	belligerent
belila	bella
belipotente	bellipotent
belisária	belisaria
belisário	belisario
beliscada	pinched
beliscado	pinched
beliscão	pinch
beliscar	pinch
belisco	pinch
beliz	Belize
belizenho	Belizean
belle époque	belle epoque
belmontense	Belmontense
belo-campense	Belo-Campo
belo-horizontino	Belo Horizonte
belo-jardinense	Belo-Jardinense
belona	beautiful
belonave	battleship
belonesita	Belonesita
belonídeo	bellonid
beloniforme	belloniform
belontiídeo	belontiid
belóstoma	bellostoma
belostomatídeo	belostomatid
belostomídeo	belostomid
belóstomo	bellestome
belo-valense	Belo-Valense
beltrano	so-and-so
beltrão	belt
beluário	beluarium
beluíno	beluino
belveder	belvedere
belver	believe
belvisiácea	belvisiaceae
belzebu	Beelzebub
bem-acabado	well finished
bem-afamado	well-known
bem-afortunado	fortunate
bem-agradecido	thank you very much
bem-ajambrado	well-dressed
bem-amado	beloved
bem-apanhado	well caught
bem-apessoado	good-looking
bem-apresentado	well presented
bem-arranjado	well-arranged
bem-arrumado	well-groomed
bem-aventurar	to bless
bem-avindo	welcome
bem-avisado	well-informed
bembé	wellbe
bêmber	bember
bembicíneo	bembicineus
bem-bom	good-good
bem-comportado	well behaved
bem-composto	well-composed
bem-conformado	well-formed
bem-criado	well-bred
bem-dizer	well-saying
bem-dormido	well-slept
bem-dotado	well endowed
bem-educado	well-mannered
bem-encarado	good looking
bem-fadado	well-fated
bem-fadar	good-faith
bem-falante	well-spoken
bem-fazer	well-doing
bem-humorado	good-natured
bem-ido	well-done
bem-lançado	well-launched
bem-mandado	well-sent
bem-me-quer	love me
bem-nado	well-swam
bem-nascido	well-born
bemol	flat
bemolizado	flattened
bemolizar	flatten
bem-ordenado	well-ordered
bem-ouvido	well-heard
bem-parado	well-standing
bemposta	well-placed
bem-posto	well-placed
bem-procedido	well-behaved
bem-proporcionado	well-proportioned
bem-querer	well-wishing
bem-querido	dear
bem-soante	good-sounding
bem-sonante	good-sounding
bem-te-vi	I see you
bem-te-vi-carrapateiro	well-saw-you-tick-eater
bem-te-vi-cavaleiro	I saw you knight
bem-te-vi-de-cabeça-rajada	well-saw-you-with-a-stripe-head
bem-te-vi-de-coroa	crowned well-see-you
bem-te-vi-de-gamela	I saw you in a bowl
bem-te-vi-de-três-riscas	three-striped kiskadee
bem-te-vi-do-bico-chato	flat-billed kiskadee
bem-te-vi-do-bico-largo	broad-billed kiskadee
bem-te-vi-do-gado	cattle-welcome-you
bem-te-vi-do-mato	bush-kissed-well-you-saw-you
bem-te-vi-do-mato-virgem	great-kiss-of-the-virgin-forest
bem-te-vi-escuro	dark-well-saw-you
bem-te-vi-gamela	I saw you bowl
bem-te-vi-miúdo	I saw you kid
bem-te-vi-pequeno	little kiskadee
bem-te-vi-pirata	pirated well-see-you
bem-te-vi-preto	black kiskadee
bem-te-vi-rajado	striped well-see-you
bem-te-vi-riscado	well-you-saw-striped
bem-te-vizinho	good-neighbor
bem-te-vizinho-de-asa-ferrugínea	rusty-winged neighbor
bem-te-vizinho-do-brejo	welcome-you-neighbor-of-the-swamp
benção	blessing
bênção-de-deus	God's blessing
bendenguê	bendengue
bendição	blessing
bendizente	blessed
beneditinense	Benedictine
beneditino	Benedictine
benedito	blessed
benedito-novense	benediction-novense
beneficente	charitable
beneficentíssimo	most beneficent
beneficiação	improvement
beneficiado	benefited
beneficiador	beneficiator
beneficiário	recipient
beneficiável	beneficial
benéfico	beneficial
benemerência	benevolence
benemerente	benevolent
benemérito	benefactor
benesse	blessing
benetitácea	benetitacea
benevolentíssimo	most benevolent
benfazejo	beneficent
benfazer	to do good
benfeito	well done
benfeitoria	improvement
benfeitorizar	benefactor
bengalada	cane
bengaleiro	cloakroom
bengalês	Bengali
bengali	Bengali
bengasiano	bengasian
beninense	Beninese
beniquê	benique
benjamim	Benjamin
benjoeiro	benzoin
benjoí	benzoin
benodáctilo	benodactyl
benodátilo	benodactyl
benquerença	benevolence
benquerente	well-wisher
benquerer	to be liked
benquistar	to win
bentererê	benterere
benthamismo	Benthamism
bêntico	benthic
bento-fernandense	bento-fernandan
bentônico	benthic
bentonita	bentonite
bentoplancto	bentoplankton
bentoplâncton	bentoplankton
benzaldeído	benzaldehyde
benzedeiro	healer
benzedor	blesser
benzedrina	benzedrine
benzedura	blessing
benzênico	benzene
benzeno	benzene
benzenossulfônico	benzenesulfonic
benzer	bless
benzidina	benzidine
benzido	blessed
benzidrol	benzhydrol
benzila	benzyl
benzilhão	benzillion
benzimidazol	benzimidazole
benzina	benzine
benzinho-amor	darling-love
benzoato	benzoate
benzocaína	benzocaine
benzodiazepina	benzodiazepine
benzofenona	benzophenone
benzofurano	benzofuran
benzoico	benzoic
benzoil	benzoyl
benzoíla	benzoyl
benzoína	benzoin
benzopireno	benzopyrene
beócio	Boeotian
beomicetácea	beomycete
bequadro	natural
béquer	beaker
béquico	bequico
bequilha	tailwheel
berárdia	berdia
berbequim	drill
berbere	Berber
berberidácea	barberry
berberidopsidácea	barberidopsid
berberina	berberine
bérberis	barberry
berbigão	cockle
berbigueira	cockle
berçô	cradle
berçudo	crib
bereba	beer
beré-beré	bere-bere
berenguendém	berenguendem
bereré	berere
bererê	berere
beréu	bereu
bergamota	bergamot
bergamoteira	bergamot tree
berganhar	to fight
berganhista	brigand
bergantim	brigantine
bergère	bergere
bergsoniano	bergsonian
bergsonismo	Bergsonism
beriba	beriberi
beribá	beribah
beribéri	beriberi
beribérico	beriberi
bericídeo	bericid
bericiforme	bericiform
bericomorfo	bericomorph
berílio	beryllium
beriliose	berylliosis
beringela	eggplant
berinjela	eggplant
beririçó	beririzó
berivá	beriva
berkelianismo	berkelianism
berkélio	berkelium
berlinde	marble
berlinense	berlin
berlinês	Berliner
berlinita	berlinite
berloque	charm
bermuda	shorts
bermudão	boxer shorts
bermudas	Bermuda
bermudense	bermudian
bermudês	Bermudan
bermudões	Bermuda shorts
bernardense	Bernardense
bernardinense	Bernardine
bernardo-eremita	hermit crab
bernês	Bernese
bernicida	bernicide
bérnio	bernio
bernúncia	bernunciation
berô	bero
beroé	beroe
béroe	beroe
beroídeo	beroid
beróideo	beroid
berôncio	beroncio
berquélio	berkelium
berra-boi	bull bellow
berraçada	screamed
berrador	howler
berrante	gaudy
berraria	would scream
berregante	shouty
berregar	to scream
berrego	I cried
berreiro	scream
berruga	wart
berrugoso	warty
berruguento	warty
berta	Bertha
berthierita	berthierite
berthollídeo	berthollid
bertolídeo	bertolid
bertopolitano	bertopolitan
bertrandita	bertrandite
berzabum	hello boom
berzelianita	berzelianite
berzelita	berzelite
besantar	to kiss
besante	bezant
besigue	kiss
besoiro	beetle
besouragem	beetle
besoural	beetle
besouro	beetle
besouro-bombardeiro	bombardier beetle
besouro-da-figueira	fig beetle
besouro-de-chifre	horned beetle
besouro-saltador	jumping beetle
besouro-verde	green beetle
bespa	wasp
bessarábio	Bessarabian
bestagem	nonsense
bestalhão	idiot
bestar	to beast
bestarel	beast
besteira	nonsense
besteirada	nonsense
béstia	beast
bestiaga	beastiaga
bestiagem	bestiage
bestialidade	bestiality
bestialismo	bestiality
bestialização	bestialization
bestializar	bestialize
bestialogia	bestialogy
bestialógico	bestialogical
bestiário	bestiary
bestice	stupidity
bestidade	bestness
bestificação	bestification
bestificante	besotting
bestificar	bestify
bestilha	beast
bestiola	beast
best-seller	best seller
besuntadela	smeared
besuntão	big ass
besuntar	to smear
betabloqueador	beta blocker
betaemissor	beta emitter
betaglobulina	betaglobulin
betaína	betaine
betaniense	Bethanian
betão	concrete
betar	bet
betaru-amarelo	yellow bettaru
betatópico	betatopic
bétatron	betatron
bete	Bet
bétel	betel
bétele	betel
beterraba	beet
beterrabal	beetroot
beterrabeiro	beetroot
betesga	alley
bético	betic
betilho	beetroot
betilídeo	betilid
betinense	Betinense
bétis	betis
betonada	concreted
betonar	to concrete
betoneira	concrete mixer
betoneirista	concrete mixer
betônica	betony
betre	bet
bétris	birch
betu	bet
bétula	birch
betulácea	betulacea
betulina	betulin
betulíneo	betulinum
betumar	to tar
betuminado	bituminated
betuminoso	bituminous
bexiga	bladder
bexigada	bladder
bexigar	bladder
bexigoso	pockmarked
bexiguento	pockmarked
bezerrada	calf
bezerrão	calf
bezerreiro	calf herder
bi(s)-	bis)-
biafrense	Biafran
bialado	bialated
biangulado	biangulated
bianual	biannual
biaristado	bi-ristan
biarmônico	biharmonic
biaro	black
