ve	And
asgari	minimum
ası	Vaccine
asıcıl	hanging
asılabilme	hanging ability
asılabilmek	to be able to hang
asılanabilme	hangability
asılanabilmek	to be hanged
asılanış	hanging
asılanma	hanging
asılanmak	hang
asılış	hanging
asıllı	Origin
asılma	hanging
asılmak	hang
asılmışadam	hangedman
asılsızlık	baselessness
asıltı	hanging
asım	Asim
asımlık	Asimlik
asınma	wear
asınmak	to wear
asıntı	Asthenia
asır	century
asırlarca	for centuries
asırlık	Centuries old
aside	acid
asidimetre	acidimeter
asil	royal
asileşme	rebellion
asileşmek	become rebellious
asillik	nobility
asilzadelik	Nobility
asimetri	asymmetry
asimetrik	asymmetric
asimilasyon	assimilation
asimile	assimilate
asimptot	asymptote
asistan	assistant
asistanlık	assistantship
asit	acid
asitli	acidic
asitölçer	acidometer
ask	love
askarit	ascarid
askarlama	soldiering
askarlamak	to soldier
askat	Askat
askerce	soldierly
askerci	soldier
askerileşme	militarization
askerileşmek	militarize
askerileştirilme	militarization
askerileştirilmek	be militarized
askerileştirme	militarization
askerileştirmek	militarize
askeriye	the military
askıcı	hanger
askılı	Suspender
askılık	coat hanger
askıntı	appendage
askısız	strapless
askıyeri	hanger place
asklı	Hanger
askospor	ascospore
aslanağzı	snapdragon
aslanca	lionish
aslangiller	lions
aslankulağı	Snapdragon
aslankuyruğu	liontail
aslanlaşma	lionization
aslanlaşmak	lionize
aslanlık	lionhood
aslanpençesi	lion's claw
aslen	originally
asli	original
asliye	First Instance
asmabahçe	Asmabahce
asmabiti	hanging plant
asmadalı	hanging
asmagiller	vines
asmakabağı	grapevine
asmakat	mezzanine
asmolen	hollow block
asonans	assonance
asorti	assortment
asortik	assorted
asosyal	asocial
asparagas	asparagus
aspir	Safflower
aspiratör	aspirator
aspur	Safflower
asri	modern
asrileşme	modernization
asrileşmek	modernize
asrileştirme	modernization
asrileştirmek	modernize
asrilik	modernity
assolist	headliner
ast	subordinate
astar	liner
astarlama	lining
astarlamak	to prime
astarlanma	priming
astarlanmak	be primed
astarlatma	priming
astarlatmak	prime
astarlı	lined
astarlık	for lining
astarsız	unlined
astarya	primera
astasım	My base
astatin	astatine
astbaşkan	Vice President
astbaşkanlık	Vice Presidency
asteğmen	Second Lieutenant
asteğmenlik	Second Lieutenant
astım	asthma
astımlı	asthmatic
astırabilme	ability to hang
astırabilmek	to be able to hang
astırılma	hanging
astırılmak	be hanged
astırıverme	hang on
astırıvermek	hang up
astırma	hang
astırmak	hang
astigmatizm	astigmatism
astik	Astik
astragan	astrakhan
astralon	astraloon
astrofizik	astrophysics
astrolog	astrologer
astroloji	astrology
astrometri	astrometry
astronom	astronomer
astronomi	astronomy
astronomik	astronomical
astronot	astronaut
astronotik	astronautics
astronotluk	astronaut
astropikal	subtropical
astsubay	petty officer
astsubaylık	petty officer
astyön	astyon
asude	calm
asuman	Asuman
Asurca	Assyrian
Asuri	Assyrian
Asyalılık	Asianness
aş	cook
aşabilme	being able to overcome
aşabilmek	To overcome
aşağılama	humiliation
aşağılanabilme	humiliation
aşağılanabilmek	to be humiliated
aşağılanış	humiliation
aşağılanmak	be humiliated
aşağılaşabilme	humiliation
aşağılaşabilmek	to be humiliated
aşağılaşma	humiliation
aşağılaşmak	become inferior
aşağılatma	humiliation
aşağılatmak	humiliate
aşağılayabilme	humiliation
aşağılayabilmek	to be able to humiliate
aşağılayış	humiliation
aşağılıklaşabilme	despicable
aşağılıklaşabilmek	to be despicable
aşağılıklaşma	debasement
aşağılıklaşmak	become inferior
aşağılı yukarılı	up and down
aşağısama	humiliation
aşağısamak	to despise
aşağısanma	humiliation
aşağısanmak	be looked down upon
aşağısayabilme	contempt
aşağısayabilmek	to despise
aşama	stage
aşamalanış	phasing
aşamalanma	phasing
aşamalanmak	be phased
aşamalı	gradual
aşamalılık	gradualness
aşçıbaşı	head chef
aşçıbaşılık	Chef
aşçılık	cooking
aşerme	craving
aşermek	crave
aşevi	soup kitchen
aşhane	Kitchen
aşı	Vaccine
aşıboyalı	Ochre
aşıboyası	ochre
aşıcı	suspensory
âşık	in love
âşıkane	in love
âşıklık	minstrelsy
âşıktaş	Ashiktas
âşıktaşlık	Ashiktaslik
aşılabilme	surmountability
aşılabilmek	be surpassed
aşılama	vaccination
aşılamak	inoculate
aşılanabilme	vaccinability
aşılanabilmek	to be vaccinated
aşılanış	vaccination
aşılanma	vaccination
aşılanmak	be vaccinated
aşılatabilme	Ability to vaccinate
aşılatabilmek	to be able to vaccinate
aşılatılabilme	vaccinability
aşılatılabilmek	to be vaccinated
aşılatılma	vaccination
aşılatılmak	be vaccinated
aşılatma	vaccination
aşılatmak	inoculate
aşılayabilme	ability to vaccinate
aşılayabilmek	to be able to inoculate
aşılayım	Let me inoculate
aşılı	hanging
aşılma	hanging
aşılmak	hang
aşılmaz	insurmountable
aşım	overflow
aşınabilme	wearability
aşınabilmek	to be worn out
aşındırabilme	erodibility
aşındırabilmek	to be able to erode
aşındıran	abrasive
aşındırılabilme	erodibility
aşındırılabilmek	be eroded
aşındırılış	erosion
aşındırılma	erosion
aşındırılmak	be worn away
aşındırış	erosion
aşındırıverme	erosion
aşındırıvermek	erode
aşındırma	abrasion
aşındırmak	erode
aşınım	wear and tear
aşınış	wear and tear
aşınıverme	erosion
aşınıvermek	wear out
aşınmak	wear and tear
aşınmaz	wear-resistant
aşınmazlık	wear resistance
aşınmış	worn out
aşıntı	wear and tear
aşır	century
aşırabilme	Ability to steal
aşırabilmek	to be able to steal
aşıramento	overthrow
aşırıbellem	hypermemory
aşırıbesi	excess food
aşırıcı	extremist
aşırıcılık	extremism
aşırıdoyma	oversaturation
aşırıduyu	hypersensibility
aşırıergime	overmelting
aşırıkasılım	overcontraction
aşırıketlenme	overstimulation
aşırılık	extremism
aşırılabilme	transcendence
aşırılabilmek	to be overdone
aşırılma	overdoing
aşırılmak	be overlooked
aşırıverme	overdoing
aşırıvermek	overdo it
aşırma	plagiarism
aşırmacı	plagiarist
aşırmacılık	plagiarism
aşırmak	to steal
aşırmasyon	plagiarism
aşırtı	overdo it
aşırtma	plagiarism
aşırtmak	to steal
aşısız	Unvaccinated
aşıt	acid
aşıtaşı	Vaccine stone
aşıverme	overdoing
aşıvermek	to get over
aşikâr	apparent
aşikâre	obvious
aşina	familiar
aşinalık	familiarity
aşiyan	Aşiyan
aşkıncı	transcendental
aşkıncılık	Transcendentalism
aşkınlaşma	transcendence
aşkınlaşmak	transcend
aşkınlaştırılma	transcendence
aşkınlaştırılmak	be transcendent
aşkınlaştırma	transcendence
aşkınlaştırmak	transcend
aşkınlık	transcendence
aşkolsun	Love you
aşlama	Overcoming
aşlamacı	Chef
aşlamak	to overcome
aşlık	Cooking
aşma	suspended
aşmak	exceed
aşna	Ashna
aşnı	Excess
aşnılama	erosion
aşnılık	Excess
aşotu	Ashwath
aşoz	Ashoz
aştırma	overdoing
aştırmak	to overcome
aşure	Ashura
aşurelik	Ashura
aşüfte	in the street
aşüftelik	prostitution
atabek	Atabeg
atabey	Atabey
atabilme	ability to throw
atabilmek	be able to throw
atacılık	atavism
ataerki	patriarchy
ataerkil	patriarchal
ataerkillik	Patriarchy
atak	attack
atakça	aggressively
ataklık	Boldness
atalet	inertia
atalık	ancestor
atama	assignment
atamak	assign
atanabilme	appointability
atanabilmek	to be appointed
atanış	Appointment
atanmak	to be appointed
ataraksi	ataraxia
ataraksiya	ataraxia
atardamar	artery
atardamarbilim	arteriosclerosis
atardamarcık	arteriole
atasal	ancestral
atasözü	proverb
ataş	paperclip
ataşe	attache
ataşelik	Attaché
Atatürkçü	Ataturkist
Atatürkçülük	Ataturkism
atavik	Atavik
atavizm	atavism
atbalığı	horsefish
atçı	horseman
atçılık	horse breeding
ate	fire
ateist	atheist
ateizm	atheism
atelye	workshop
aterina	Atherina
ateşbalığı	pilchard
ateşbaz	fire addict
ateşböceği	firefly
ateşböcekleri	Fireflies
ateşçi	stoker
ateşçiçeği	Fireflower
ateşçilik	firefighting
ateşkayığı	Fireboat
ateşkes	truce
ateşleme	ignition
ateşlemek	ignite
ateşlendirme	ignition
ateşlendirmek	ignite
ateşlenenebilme	flammability
ateşlenebilmek	to be ignited
ateşleniş	Ignition
ateşlenme	fever
ateşlenmek	get hot
ateşletme	ignition
ateşletmek	ignite
ateşleyici	igniter
ateşleyiverme	don't fire
ateşleyivermek	to light up
ateşlik	fire pit
ateşlilik	vehemence
ateşperest	fire worshipper
ateşperestlik	fire worship
atfedilme	attribution
atfedilmek	be attributed
atfen	referring to
atfetme	attribution
atfetmek	to attribute
atgiller	Horses
atıcı	shooter
atıcılık	shooting
atıf	citation
atık	waste
atıksu	wastewater
atılabilme	throwability
atılabilmek	be able to be thrown away
atılgan	aggressive
atılganlaşabilme	ability to be assertive
atılganlaşabilmek	be bold
atılganlaşma	assertiveness
atılganlaşmak	be bold
atılganlık	assertiveness
atılım	leap
atılımcı	enterprising
atılımcılık	Initiative
atılış	Breakthrough
atılıverme	leapfrog
atılıvermek	jump in
atım	My horse
atımcı	shooter
atımcılık	shooting
atımlık	throwaway
atış	shot
atışabilme	ability to shoot
atışabilmek	be able to shoot
atışbilim	Shootology
atışma	bickering
atışmak	quarrel
atıştırabilme	snacking
atıştırabilmek	to snack on
atıştırış	snack
atıştırıverme	snack
atıştırıvermek	snack on
atıştırma	snack
atıştırmak	snack
atıverme	throw away
atıvermek	throw away
ati	horse
atik	waste
atika	attica
atiklik	agility
atkestanesi	horse chestnut
atkestanesigiller	horse chestnut family
atkı	scarf
atkılama	scarfing
atkılamak	to scarf
atkılı	scarfed
atkılık	scarf
atkuyruğu	ponytail
atkuyruğugiller	horsetail
atlama	jump
atlamak	jump
atlambaç	jump
atlandırma	Skipping
atlandırmak	skip
altangaç	Altangac
atlangıç	jump
atlanılma	skipping
atlanılmak	be skipped
atlanma	skipping
atlanmak	to be skipped
atlas	Atlas
atlasçiçeği	cactus
atlasçiçeğigiller	Atlasaceae
atlatabilme	ability to overcome
atlatabilmek	be able to get over it
atlatılabilme	evasion
atlatılabilmek	be able to be overcome
atlatılış	evasion
atlatılma	evasion
atlatılmak	be bypassed
atlatış	jump
atlatma	bypass
atlatmak	bypass
atlayabilme	Ability to jump
atlayabilmek	be able to jump
atlayış	jump
atlayıverme	don't jump
atlayıvermek	jump in
atletik	athletic
atletizm	athletics
atlıkarınca	carousel
atmasyon	hot air
atmasyoncu	Atmationist
atmasyonculuk	Atmationism
atmık	throw away
atmosfer	atmosphere
atmosferik	atmospheric
atol	atoll
atomal	atomic
atomaltı	subatomic
atombilim	atomology
atombilimsel	atomistic
atomcu	atomist
atomculuk	atomism
atomik	atomic
atomizör	atomizer
atölye	workshop
atraksiyon	attraction
atropin	atropine
atsineği	gadfly
attırabilme	ability to throw
attırabilmek	to be able to throw
attırılabilme	ejectability
attırılabilmek	be expelled
attırılma	expulsion
attırılmak	be thrown out
attırış	cumshot
attırıverme	don't jump
attırıvermek	throw away
attırma	cumshot
attırmak	throw away
aut	out
avadan	from the tool
avadancı	equipment man
avadanlık	equipment
aval	gawk
avalca	gawking
avallaşma	gawking
avallaşmak	to gawk
avamca	vulgar
avanak	simpleton
avanakça	naughty
avanaklık	foolishness
avangart	avant-garde
avans	advance
avanta	pickings
avantacı	deadbeat
avantacılık	freeloader
avantaj	advantage
avantajlı	advantageous
avantajsız	without advantage
avantalı	advantageous
avantür	Advance
avara	idle
avaracı	vagabond
avaralık	idleness
Avarca	Avarian
avareleşebilme	ability to be idle
avareleşebilmek	to be idle
avareleşme	vagrancy
avareleşmek	to be idle
avareleştirebilme	vagrancy
avareleştirebilmek	to be able to vagabond
avareleştirme	vagrancy
avareleştirmek	to make vagabond
avarelik	idleness
avarlık	Avarklik
avarya	average
avaze	loud
avcar	Avcar
avcarlama	hunter
avcarlamak	to hunt
avcarlanma	hunting
avcarlanmak	to be hunted
avcarlayabilme	ability to hunt
avcarlayabilmek	to be able to hunt
avcıl	Avril
avcıotu	Hunter grass
avenü	avenue
averaj	average
avgın	Avgin
avisto	Avisto
avize	chandelier
avizeağacı	yucca
avlak	hunting ground
avlama	hunting
avlanabilme	hunting ability
avlanabilmek	to be able to hunt
avlanış	hunting
avlanma	hunting
avlatabilme	ability to hunt
avlatabilmek	to be able to hunt
avlatma	hunting
avlatmak	hunt
avlayabilme	ability to hunt
avlayabilmek	to be able to hunt
avlayış	hunting
avlayıverme	don't hunt
avlayıvermek	hunt down
avokado	avocado
Avrasya	Eurasia
avrat	woman
avratlık	womanhood
avratsı	Eurasian
avret	Private
Avrupai	European
Avrupalı	European
Avrupalılaşabilme	Europeanization
Avrupalılaşabilmek	Becoming European
Avrupalılaşma	Europeanism
Avrupalılaşmak	Becoming European
Avrupalılık	Europeanness
Avşar	Avsar
avuçlama	palming
avuçlamak	to grasp
avuçlanabilme	palmability
avuçlanabilmek	be able to grasp
avuçlanma	palming
avuçlanmak	to be grasped
avuçlatma	palming
avuçlatmak	to grasp
avuçlayabilme	ability to grasp
avuçlayabilmek	be able to grasp
avuçlayış	palming
avuçlayıverme	grasping
avuçlayıvermek	grasp
avukat	lawyer
avukatlık	advocacy
avunabilme	consolation
avunabilmek	be consoled
avundurma	consolation
avundurmak	console
avunma	being distracted
avunulma	consolation
avunulmak	be consoled
avunuş	consolation
avunuverme	consolation
avunuvermek	console
avur zavur	go ahead and say hello
avurt	cheek
avurtlak	cheekbone
avurtlama	cheekbone
avurtlamak	to blush
avurtlu	cheeky
Avustralyalı	Australian
Avusturyalı	Austrian
avut	console
avutabilme	consolation
avutabilmek	to console
avutma	consolation
avutuculuk	consolation
avutulabilme	comfortability
avutulabilmek	be consoled
avutulma	consolation
avutuluş	consolation
avutuş	consolation
avutuverme	consolation
avutuvermek	console
ayabilme	Ability to see
ayabilmek	be able to see
ayakaltı	underfoot
ayakbastı	set foot
ayakçak	walker
ayakçı	errand boy
ayakçılık	errand boy
ayakçın	errand boy
ayakkabı	shoe
ayakkabıcı	shoemaker
ayakkabıcılık	shoemaking
ayakkabılık	shoe rack
ayaklama	rebellion
ayaklamak	to stand up
ayaklanabilme	ability to rise up
ayaklanabilmek	to be able to stand up
ayaklandırabilme	ability to rise up
ayaklandırabilmek	to be able to rise up
ayaklandırılabilme	ability to rise
ayaklandırılabilmek	to be able to rise up
ayaklandırılma	uprising
ayaklandırılmak	be revolted
ayaklandırma	sedition
ayaklandırmak	to revolt
ayaklanış	uprising
ayaklanıverme	Don't rise up
ayaklanıvermek	rise up
ayaklanmak	riot
ayaksız	footless
ayaksızlar	footless
ayaktakımı	rabble
ayaktaş	Standing
ayaktaşlık	companionship
ayakteri	footsweat
ayaktopçu	footballer
ayaktopçuluk	foot ball
ayaktopu	football
ayakucu	foot end
ayaküstü	on foot
ayaküzeri	on foot
ayakyolu	footpath
ayalama	adjustment
ayalamak	to set
ayan	Ayan
ayar	adjustment
ayarlama	adjustment
ayarlamak	to arrange
ayarlanabilme	adjustable
ayarlanabilmek	be adjustable
ayarlanış	adjustment
ayarlanma	adjustment
ayarlanmak	be adjusted
ayarlatabilme	adjustable
ayarlatabilmek	be able to adjust
ayarlatma	adjustment
ayarlatmak	to arrange
ayarlayabilme	adjustable
ayarlayabilmek	be able to adjust
ayarlayış	adjustment
ayarlayıverme	set up
ayarlayıvermek	set up
ayarlı	adjustable
ayarsız	out of whack
ayarsızlık	irregularity
ayartabilme	seducibility
ayartabilmek	be able to seduce
ayartı	temptation
ayartıcı	seductive
ayartıcılık	seduction
ayartılabilme	temptability
ayartılabilmek	be tempted
ayartılış	temptation
ayartılma	temptation
ayartılmak	be tempted
ayartış	temptation
ayartıverme	seduction
ayartıvermek	seduce
ayartma	temptation
ayartmak	seduce
ayaz	frosty
ayazıma	to my frost
ayazımak	frosty
ayazlama	frostbite
ayazlamak	to freeze
ayazlatabilme	frost ability
ayazlatabilmek	to freeze
ayazlatma	frostbite
ayazlatmak	to freeze
ayazlayabilme	frost ability
ayazlayabilmek	to be able to freeze
ayazlık	frostiness
ayazma	holy spring
aybalığı	Sunfish
aybalığıgiller	Sunfish
aybaşılı	menstrual
ayça	Ayca
ayçekirdeği	sunflower seeds
ayçiçeği	sunflower
ayçöreği	crescent roll
aydaş	moon
aydaşlık	Monthly life
aydede	in the moon
aydemir	Aydemir
aydınca	brightly
aydınger	Tracing paper
aydınlanabilme	enlightenment
aydınlanabilmek	to be enlightened
aydınlanış	enlightenment
aydınlanıverme	enlightenment
aydınlanıvermek	to light up
aydınlanma	enlightenment
aydınlanmacı	enlightened
aydınlanmacılık	enlightenment
aydınlanmak	enlighten
aydınlaşma	enlightenment
aydınlaşmak	enlighten
aydınlatabilme	ability to enlighten
aydınlatabilmek	to enlighten
aydınlatılabilme	enlightenment
aydınlatılabilmek	to be enlightened
aydınlatılış	enlightenment
aydınlatılma	enlightenment
aydınlatılmak	be enlightened
aydınlatış	enlightenment
aydınlatıverme	enlightenment
aydınlatıvermek	enlighten
aydınlatma	lighting
aydınlıkçı	enlightened
aydınlıkölçer	illuminometer
aydırabilme	ability to understand
aydırabilmek	to be able to understand
aydırılma	enlightenment
aydırılmak	be enlightened
aydırma	Don't be discouraged
aydırmak	to enlighten
aygın	Stag
aygırlaşma	stallion
aygırlaşmak	to become a stallion
aygırlık	stallion
aygıt	device
aygıtçı	Apparatus
aygıtçılık	instrumentalism
ayhali	moonhal
ayıbacağı	bearleg
ayıbalığı	seal
ayıboğan	Bear Strangler
ayıcı	bear leader
ayıcılık	bear husbandry
ayıgiller	bears
ayıgülü	bear rose
ayıkabilme	Ability to sober up
ayıkabilmek	to be able to sober up
ayıkış	sober
ayıklama	Sorting
ayıklamak	to sort out
ayıklanabilme	Sortability
ayıklanabilmek	be able to separate
ayıklanıverme	Sorting out
ayıklanıvermek	be sorted out
ayıklanma	Sorting out
ayıklanmak	get rid of
ayıklatabilme	Ability to sort
ayıklatabilmek	to be able to sort out
ayıklatma	weeding
ayıklatmak	weed out
ayıklayabilme	Ability to sort
ayıklayabilmek	be able to sort out
ayıklayıverme	sorting out
ayıklayıvermek	sort out
ayıklık	sobriety
ayıkma	sobering up
ayıkmak	get sober
ayıktırma	sobering up
ayıktırmak	sober up
ayıkulağı	auricula
ayılabilme	Ability to wake up
ayılabilmek	to wake up
ayılaşma	bearishness
ayılaşmak	become a bear
ayılık	boorishness
ayılıverme	don't wake up
ayılıvermek	wake up
ayılma	sobering
ayılmak	wake up
ayıltabilme	ability to wake up
ayıltabilmek	to be able to wake up
ayıltı	woke up
ayıltılma	awakening
ayıltılmak	be sobered up
ayıltma	sobering up
ayıltmak	wake up
ayınga	moonlight
ayıngacı	bearbearer
ayıngacılık	smutty
ayın oyun	game of the month
ayıplama	blame
ayıplamak	blame
ayıplanabilme	blameworthiness
ayıplanabilmek	to be blamed
ayıplanma	disgrace
ayıplanmak	be blamed
ayıplayabilme	to be able to blame
ayıplayabilmek	to be able to blame
ayıplayıcı	disparaging
ayıplı	shameful
ayıpsınma	shame
ayıpsınmak	be ashamed
ayıpsız	shameless
ayırabilme	ability to distinguish
ayırabilmek	to be able to separate
ayıraç	reagent
ayırayazma	separate writing
ayırayazmak	separate
ayırga	separate
ayırıcı	separator
ayırıcılık	distinctiveness
ayırım	distinction
ayırış	separation
ayırıverme	separation
ayırıvermek	to separate
ayırmaç	separator
ayırtaç	distinguish
ayırtabilme	ability to distinguish
ayırtabilmek	to be able to distinguish
ayırtı	reserve
ayırtılabilme	reserveability
ayırtılabilmek	be reserved
ayırtılma	reservation
ayırtılmak	be reserved
ayırtma	reservation
ayırtmak	to reserve
ayırtman	book
ayırtmanlık	reservation
ayıt	bear
ayıtma	wake up
ayıtmak	wake up
ayıüzümü	Bearberry
ayıverme	Don't be afraid
ayıvermek	to bear
aykırılama	contradiction
aykırılamak	to contradict
aykırılaşma	nonconformity
aykırılaşmak	become a contradiction
aykırılık	contradiction
ayla	Ayla
aylaklaşabilme	ability to loaf
aylaklaşabilmek	be able to loaf
aylaklaşma	idleness
aylaklaşmak	to loaf around
aylaklık	idleness
aylandız	Aylandiz
aylarca	for months
aylı	moony
aylıkçı	Monthly worker
aylıkçılık	Monthly work
aylıklı	monthly
ayma	I am not aware
aymak	To be awake
aymaz	Unconscious
aymazlaşabilme	inattentiveness
aymazlaşabilmek	be able to be careless
aymazlaşma	indifference
aymazlaşmak	be careless
aymazlık	carelessness
aymercek	Aymercek
ayn	mirror
aynabakar	mirror-looking
aynacı	mirror man
aynalama	mirroring
aynalamak	mirror
aynalı	mirrored
aynalık	mirror
aynalısazan	mirrorcarp
aynasız	cop
aynasızlanma	mirrorlessness
aynasızlanmak	to be mirrorless
aynasızlık	mirrorlessness
aynaşık	mirror image
aynaşıklık	mirror image
aynaşma	mirroring
aynaşmak	mirror
aynataşı	mirror stone
aynaz	Aynaz
aynılık	sameness
aynısefa	Calendula
aynıyla	Same as
ayniyat	goods
ayniyet	sameness
aynştaynyum	Einsteinium
ayol	woman
ayraç	bracket
ayral	Ayral
ayrallık	estrangement
ayrancı	Ayrancı
ayrancılık	Ayrancılık
ayranlaşabilme	ayran
ayranlaşabilmek	to be able to become ayran
ayranlaşıverme	Ayran
ayranlaşıvermek	become buttermilky
ayranlaşma	Ayran
ayranlaşmak	To become a drunkard
ayrıbasım	offprint
ayrıcalı	privileged
ayrıcalıklı	privileged
ayrıcalıklılık	exclusivity
ayrıcalıksız	unprivileged
ayrıcalıksızlık	inprivilege
ayrıcasız	without privilege
ayrıcinsten	from different sexes
ayrıç	also
ayrık	separate
ayrıklı	Discrete
ayrıklık	separateness
ayrıkotu	couch grass
ayrıksı	eccentric
ayrıksılık	Exceptionality
ayrıksın	You are separate
ayrıksız	without distinction
ayrılabilme	separability
ayrılabilmek	be able to leave
ayrılanma	separation
ayrılanmak	to leave
ayrılaşma	separation
ayrılaşmak	Separate
ayrılayazma	Separation
ayrılayazmak	to separate
ayrılı	separated
ayrılıkçı	separatist
ayrılıkçılık	separatism
ayrılırlık	separation
ayrılış	departure
ayrılışma	separation
ayrılışmak	to leave
ayrılıverme	separation
ayrılıvermek	to leave
ayrılmazlık	indissolubility
ayrımcı	discriminatory
ayrımcık	discrimination
ayrımcılık	discrimination
ayrımlama	differentiation
ayrımlaşabilme	differentiation
ayrımlaşabilmek	to be able to differentiate
ayrımlaşma	differentiation
ayrımlaşmak	differentiate
ayrımlaştırabilme	ability to differentiate
ayrımlaştırabilmek	be able to differentiate
ayrımlaştırma	Differentiation
ayrımlaştırmak	differentiate
ayrımlı	Differential
ayrımlılaşabilme	differentiation
ayrımlılaşabilmek	to be able to differentiate
ayrımlılaşma	Differentiation
ayrımlılaşmak	differentiate
ayrımlılaştırabilme	differentiation
ayrımlılaştırabilmek	to differentiate
ayrımlılaştırılabilme	differentiability
ayrımlılaştırılabilmek	be differentiated
ayrımlılaştırılma	Differentiation
ayrımlılaştırılmak	be differentiated
ayrımlılaştırma	Differentiation
ayrımlılaştırmak	differentiate
ayrımlılık	discrimination
ayrımsal	differential
ayrımsallık	Differentiality
ayrımsama	indifference
ayrımsamak	to distinguish
ayrımsanabilme	distinguishability
ayrımsanabilmek	to be distinguished
ayrımsanıverme	don't notice
ayrımsanıvermek	to realize
ayrımsanma	discrimination
ayrımsanmak	be distinguished
ayrımsayış	discrimination
ayrımsayıverme	discriminative counting
ayrımsayıvermek	differentiate
ayrımsız	indiscriminately
ayrımsızlaşabilme	indiscrimination
ayrımsızlaşabilmek	to be indiscriminate
ayrımsızlaşma	indiscrimination
ayrımsızlaşmak	become indiscriminate
ayrımsızlık	indiscrimination
ayrınç	detail
ayrıntı	detail
ayrıntıcı	detail oriented
ayrıntıcılık	meticulousness
ayrıntılandırabilme	Ability to elaborate
ayrıntılandırabilmek	be able to elaborate
ayrıntılandırılabilme	detailability
ayrıntılandırılabilmek	to be detailed
ayrıntılandırılma	Elaboration
ayrıntılandırılmak	be detailed
ayrıntılandırış	Elaboration
ayrıntılandırma	Elaboration
ayrıntılandırmak	elaborate
ayrıntısal	detailed
ayrıntısız	superficial
ayrışabilir	decomposable
ayrışabilirlik	decomposability
ayrışabilme	decomposability
ayrışabilmek	to be able to separate
ayrışık	dissociated
ayrışıklık	heterogeneity
ayrışım	separation
ayrışma	decomposition
ayrışmak	dissociate
ayrıştırabilme	decomposition
ayrıştırıcı	separator
ayrıştırıcılık	segregation
ayrıştırılabilme	decomposability
ayrıştırılabilmek	be separated
ayrıştırılma	separation
ayrıştırılmak	be separated
ayrıştırıverme	parsing
ayrıştırıvermek	to separate
ayrıştırma	decomposition
ayrıştırmak	to separate
ayrıt	part
ayrıtürden	from different species
aysar	Aysar
aysarlık	Aysarlik
aysberg	iceberg
aysı	moon
aysız	moonless
ayşekadın	Ayşekadın
aytışma	conversation
aytışmak	to speak up
ayva	quince
ayvadana	Quince
ayvalık	quince
ayvan	Ayvan
ayvaz	Ayvaz
ayyaşlaşabilme	drunkenness
ayyaşlaşabilmek	to be drunk
ayyaşlaşma	drunkenness
ayyaşlaşmak	get drunk
ayyaşlık	debauchery
ayyuk	Ayyuk
azabilme	ability to be angry
azabilmek	to be able to get angry
azade	free
azadelik	freedom
azalabilme	decrease
azalabilmek	to decrease
azalış	decrease
azalma	reduction
azalmak	decrease
azaltabilme	ability to reduce
azaltabilmek	to be able to reduce
azaltıcı	reducing
azaltılabilme	reducibility
azaltılabilmek	can be reduced
azaltılma	reduction
azaltılmak	be reduced
azaltma	decrease
azaltmak	to reduce
azamet	greatness
azametli	pompous
azami	maximum
azaplı	tormented
azapsız	without suffering
azar azar	gradually
azarlanabilme	ability to be scolded
azarlanabilmek	to be scolded
azarlanma	scolding
azarlanmak	be scolded
azarlatma	scolding
azarlatmak	scold
azarlayabilme	Ability to scold
azarlayabilmek	be able to scold
azarlayış	scolding
azarlayıverme	Don't scold
azarlayıvermek	scold
azca	little
azdırabilme	ability to excite
azdırabilmek	to be able to seduce
azdırılma	arousal
azdırılmak	be tempted
azdırma	exacerbation
azdırmak	to tempt
azelya	Azalea
Azerbaycanlı	Azerbaijani
Azeri	Azerbaijani
Azerice	Azerbaijani
azgan	horny
azgelişmiş	underdeveloped
azgelişmişlik	underdevelopment
azgınlaşabilme	ability to get horny
azgınlaşabilmek	to be able to get horny
azgınlaşıverme	Don't get horny
azgınlaşıvermek	get horny
azgınlaşma	Don't get horny
azgınlaşmak	get horny
azgınlaştırabilme	ability to make horny
azgınlaştırabilmek	to make horny
azgınlaştırma	arousal
azgınlaştırmak	make horny
azıdişi	molar
azıklı	Provisioned
azıklık	provision
azıksız	without provisions
azılı	fierce
azımsama	underestimation
azımsamak	underestimate
azımsanabilme	underestimation
azımsanabilmek	to be underestimated
azımsanma	underestimation
azımsanmak	be underestimated
azımsayabilme	underestimation
azımsayabilmek	to underestimate
azımsayış	underestimation
azın	few
azış	ejaculation
azışabilme	ability to spit
azışabilmek	to be able to get horny
azışık	little bit
azışıklık	scarcity
azışma	intercourse
azışmak	to get horny
azıştırılma	arousal
azıştırılmak	be tempted
azıştırma	arousal
azıştırmak	to arouse
azıtabilme	ability to excite
azıtabilmek	to be able to get horny
azıtma	arousal
azıtmak	To become naughty
azıverme	Don't be horny
azıvermek	To be horny
azil	dismissal
azim	resolution
azimet	azimuth
azimkâr	resolute
azimli	determined
aziz	saint
azize	Azize
azizlik	sainthood
azledilme	dismissal
azledilmek	be dismissed
azletme	dismiss
azletmek	to dismiss
azlık	scarcity
azlolunma	dismissal
azlolunmak	be dismissed
azma	naughty
azmak	overflow
azmanlaşabilme	ability to become more powerful
azmanlaşabilmek	to be able to become a monster
azmanlaşma	monstrosity
azmanlaşmak	become more and more monstrous
azmanlık	Monstrosity
azmetme	perseverance
azmetmek	to persevere
azmettirme	instigation
azmettirmek	instigate
aznavur	aznavra
azoik	azoic
azot	nitrogen
