我	wǒ 
打擾	dărăo 
打算	dăsuàn 
打招呼	dăzhāohū 
打針	dăzhēn 
打字	dăzì 
大半	dàbàn 
大便	dàbiàn 
大膽	dàdăn 
大地	dàdì 
大都	dàdōu 
大哥	dàgē 
大哥大	dàgēdà 
大街	dàjiē 
大力	dàlì 
大量	dàliàng 
大腦	dànăo 
大清早	dàqīngzăo 
大嫂	dàsăo 
大腿	dàtuĭ 
大型	dàxíng 
大意	dàyì 
大有	dàyŏu 
大致	dàzhì 
大眾	dàzhòng 
大自然	dàzìrán 
待會/待會兒	dāihuĭ/dāihuĭr
待	dài
代	dài 
代	dài 
代表	dàibiăo 
代溝	dàigōu 
代價	dàijià 
代理	dàilĭ 
帶動	dàidòng 
帶路	dàilù 
帶子	dàizi 
大夫	dàifū 
貸款	dàikuăn 
貸款	dàikuăn 
待遇	dàiyù 
單	dān 
單調	dāndiào 
單位	dānwèi 
單子	dānzi 
擔保	dānbăo 
耽誤	dānwù 
膽量	dănliàng 
膽小	dănxiăo
蛋白質	dànbáizhí 
誕生	dànshēng 
當初	dāngchū 
當時	dāngshí 
當選	dāngxuăn 
當中	dāngzhōng 
擋	dăng 
檔案	dăngàn 
當	dàng 
倒楣	dăoméi 
導演	dăoyăn 
導遊	dăoyóu 
倒	dào 
道	dào 
道路	dàolù 
到達	dàodá 
得分	défēn 
得獎	déjiăng 
得了	déle 
得罪	dézuì 
登	dēng 
登記	dēngjì 
登山	dēngshān 
等不及	děngbùjí 
等到	děngdào 
等級	děngjí 
等於	děngyú 
凳子	dèngzi 
滴	dī 
低潮	dīcháo
的確	díquè 
抵	dĭ
抵抗	dĭkàng 
遞	dì 
地面	dìmiàn 
地毯	dìtăn 
地下	dìxià 
地震	dìzhèn 
典禮	diănlĭ 
典型	diănxíng 
點燃	diănrán 
點頭	diăntóu 
墊	diàn 
電報	diànbào 
電動	diàndòng 
電扇	diànshàn 
電視台	diànshìtái 
電台	diàntái 
電線	diànxiàn 
電子	diànzĭ
雕刻	diāokè  
雕刻	diāokè  
吊	diào 
釣	diào 
跌	dié 
跌倒	diédăo 
丁	dīng 
盯	dīng 
頂	dǐng 
訂婚	dìnghūn 
訂位	dìngwèi 
定期	dìngqí 
定期	dìngqí 
丟臉	diūliăn 
丟人	diūrén 
冬季	dōngjì 
懂得	dǒngde 
洞	dòng 
凍	dòng 
棟	dòng 
動不動	dòngbúdòng 
動詞	dòngcí 
動人	dòngrén 
動身	dòngshēn 
動手	dòngshǒu 
動作	dòngzuò 
鬥爭	dòuzhēng 
毒	dú 
毒	dú 
獨立	dúlì 
獨自	dúzì 
賭	dŭ 
度	dù 
度過	dùguò 
端	duān 
斷	duàn 
鍛鍊	duànliàn 
堆	duī 
隊	duì 
隊員	duìyuán 
對岸	duìàn 
對策	duìcè 
對待	duìdài 
對付	duìfù 
對抗	duìkàng 
對立	duìlì 
對於	duìyú 
蹲	dūn 
頓	dùn 
噸	dùn 
多半/多半兒	duōbàn/duōbànr
多多	duōduō 
多少	duōshăo 
多數	duōshù 
多謝	duōxiè 
奪	duó 
躲	duŏ
鵝	é
惡劣	èliè
而已	éryĭ
發	fā 
發	fā 
發動	fādòng 
發抖	fādŏu 
發起	fāqĭ 
發射	fāshè 
發行	fāxíng 
發言	fāyán 
發揚	fāyáng 
發音	fāyīn 
發展	fāzhăn 
罰	fá 
法子	fázi 
法院	făyuàn 
髮型	făxíng 
番	fān 
翻	fān 
煩	fán 
煩惱	fánnăo 
繁忙	fánmáng 
繁榮	fánróng 
繁殖	fánzhí 
反	făn 
反	făn 
反對	fănduì 
反覆	fănfù 
反抗	fănkàng 
反面	fănmiàn 
反問	fănwèn 
反映	fănyìng 
反應	fănyìng 
反正	fănzhèng 
返回	fănhuí 
犯錯	fàncuò 
犯法	fànfă 
犯人	fànrén 
犯罪	fànzuì 
方	fāng 
方案	fāngàn 
防	fáng 
防守	fángshǒu 
防止	fángzhĭ 
放大	fàngdà 
放棄	fàngqì 
放手	fàngshŏu 
放學	fàngxué 
非法	fēifă 
肥	féi 
肥胖	féipàng 
肥皂	féizào 
肺	fèi 
費	fèi 
廢話	fèihuà 
廢氣	fèiqì 
廢水	fèishuǐ 
廢物	fèiwù 
分別	fēnbié 
分別	fēnbié 
分別	fēnbié 
分布/佈	fēnbù 
分工	fēngōng 
分明	fēnmíng 
分配	fēnpèi 
分散	fēnsàn 
分手	fēnshǒu 
分數	fēnshù 
分析	fēnxī 
分析	fēnxī 
紛紛	fēnfēn 
吩咐	fēnfù 
粉筆	fěnbĭ 
份/份兒	fèn/fènr
奮鬥	fèndòu 
憤怒	fènnù 
封	fēng 
封建	fēngjiàn 
蜂蜜	fēngmì 
風氣	fēngqì 
風趣	fēngqù 
風險	fēngxiăn 
瘋	fēng 
瘋狂	fēngkuáng 
瘋子	fēngzi 
逢	féng 
縫	féng 
諷刺	fèngcì 
否定	fŏudìng 
否認	fŏurèn 
夫妻	fūqī 
夫人	fūrén 
幅	fú
扶	fú 
服	fú 
服	fú 
浮	fú 
符號	fúhào 
付	fù 
赴	fù 
副	fù 
輔導	fŭdăo 
富	fù 
富裕	fùyù 
附加	fùjiā 
婦女	fùnǚ 
複雜	fùzá 
複製	fùzhì 
該	gāi 
改革	găigé 
改造	găizào 
改正	găizhèng 
蓋(子)	gài(zi)
肝	gān 
乾杯	gānbēi 
乾脆	gāncuì 
趕	găn 
趕緊	gănjĭn 
感到	găndào 
感恩	gănēn 
感激	gănjī 
感情	gănqíng 
感染	gănrăn 
感受	gănshòu 
感受	gănshòu 
幹	gàn 
幹部	gànbù 
幹嘛	gànmá
幹嘛	gànmá
幹什麼	gànshénme 
鋼	gāng 
鋼筆	gāngbĭ
剛好	gānghăo 
港幣	găngbì 
港口	găngkŏu 
高潮	gāocháo 
高大	gāodà 
高度	gāodù 
高度	gāodù 
高峰	gāofēng 
高貴	gāoguì 
高級	gāojí 
高明	gāomíng 
高手	gāoshŏu 
高原	gāoyuán 
告	gào 
告辭	gàocí 
割	gē 
擱	gē 
歌劇	gējù 
隔	gé 
革命	gémìng 
各	gè 
各行各業	gèhánggèyè 
個別	gèbié  
個性	gèxìng 
個子/個兒	gèzi/gèr
根本	gēnběn 
根本	gēnběn 
根據	gēnjù 
供	gōng 
工程	gōngchéng 
工夫	gōngfu 
工會	gōnghuì 
工錢	gōngqián 
工資	gōngzī 
公布/佈	gōngbù 
公公	gōnggōng
公開	gōngkāi 
公立	gōnglì 
公平	gōngpíng 
公式	gōngshì 
公用	gōngyòng 
公元	gōngyuán 
供應	gōngyìng 
共	gòng 
共同	gòngtóng 
構成	gòuchéng 
構造	gòuzào 
孤單	gūdān 
估計	gūjì 
姑姑	gūgu
姑丈	gūzhàng
古典	gŭdiăn 
鼓	gŭ 
鼓勵	gŭlì 
鼓勵	gŭlì 
鼓舞	gŭwŭ 
鼓掌	gŭzhăng 
骨頭	gŭtou 
固定	gùdìng 
顧問	gùwèn 
故鄉	gùxiāng 
瓜	guā 
瓜子	guāzi 
掛號信	guàhàoxìn 
怪	guài 
官方	guānfāng 
官員	guānyuán 
關	guān 
關鍵	guānjiàn 
關上	guānshàng 
關於	guānyú 
觀光	guānguāng 
管道	guăndào 
管制	guănzhì 
慣	guàn 
慣例	guànlì 
冠軍	guànjūn 
罐頭	guàntou 
罐子	guànzi 
光	guāng 
光	guāng 
光亮	guāngliàng 
光臨	guānglín 
光明	guāngmíng 
光榮	guāngróng 
光是	guāngshì 
光線	guāngxiàn 
廣	guăng 
廣大	guăngdà 
廣泛	guăngfàn 
廣告	guănggào 
廣闊	guăngkuò 
規定	guīdìng 
規定	guīdìng 
規畫/劃	guīhuà 
規畫/劃	guīhuà 
規律	guīlǜ 
規則	guīzé 
跪	guì 
櫃臺/台	guìtái 
貴族	guìzú 
滾	gŭn 
鍋(子)	guō(zi)
國會	guóhuì 
國籍	guójí 
國際	guójì 
國立	guólì 
國旗	guóqí 
國小	guóxiăo 
國中	guózhōng 
裹	guŏ
果然	guŏrán 
過	guò 
過程	guòchéng 
過度	guòdù 
過渡	guòdù 
過節	guòjié 
過濾	guòlǜ
過期	guòqí 
過世	guòshì 
還不如	háibùrú 
還有	háiyŏu  
海關	hăiguān  
海軍	hăijūn  
海外	hăiwài  
海峽	hăixiá  
海鮮	hăixiān  
害處	hàichù 
含	hán 
含	hán 
含量	hánliàng  
寒冷	hánlěng  
喊	hăn 
汗	hàn 
行業	hángyè 
毫無	háowú 
好	hăo 
好	hăo 
好在	hăozài 
耗	hào 
好客	hàokè 
好奇	hàoqí 
號召	hàozhào 
合	hé 
合	hé 
合不來	hébùlái 
合成	héchéng 
合得來	hédelái 
合法	héfă 
合格	hégé 
合乎	héhū 
合理	hélĭ 
合適	héshì 
合算	hésuàn 
和好	héhăo 
和平	hépíng 
和氣	héqì 
何必	hébì 
何況	hékuàng 
河流	héliú 
嘿	hēi 
黑暗	hēiàn 
黑夜	hēiyè 
痕跡	hénjī 
恨	hèn 
橫	héng 
喉嚨	hóulóng 
猴子	hóuzi 
後代	hòudài 
後方	hòufāng 
後果	hòuguŏ
後悔	hòuhuĭ 
後年	hòunián 
後頭	hòutou 
後退	hòutuì 
後院	hòuyuàn 
呼	hū 
呼吸	hūxī 
忽略	hūlüè 
忽視	hūshì 
蝴蝶	húdié 
鬍子	húzi 
戶	hù 
戶外	hùwài 
互助	hùzhù 
花草	huācăo 
花費	huāfèi 
花費	huāfèi 
花盆	huāpén 
花瓶	huāpíng 
花色	huāsè 
花生	huāshēng 
划	huá 
滑	huá 
滑	huá 
華僑	huáqiáo 
華人	huárén 
化	huà 
化	huà 
化學	huàxué 
化妝	huàzhuāng 
化裝	huàzhuāng 
懷念	huáiniàn 
懷孕	huáiyùn 
壞蛋	huàidàn 
歡呼	huānhū 
歡樂	huānlè 
歡喜	huānxĭ 
緩和	huănhé 
緩慢	huănmàn 
幻想	huànxiăng 
幻想	huànxiăng 
慌	huāng 
皇帝	huángdì 
黃豆	huángdòu 
黃昏	huánghūn 
灰	huī 
灰色	huīsè 
灰心	huīxīn 
揮	huī 
回	huí 
回電	huídiàn 
回教/伊斯蘭教	huíjiào /yīsīlánjiào
回收	huíshōu 
回頭	huítóu 
回信	huíxìn 
回憶	huíyì 
匯款	huìkuăn 
會員	huìyuán 
昏倒	hūndăo 
昏迷	hūnmí 
混	hùn 
混合	hùnhé 
活該	huógāi 
活力	huólì 
活潑	huópō 
活躍	huóyuè 
火柴	huŏchái 
火腿	huŏtuĭ 
火災	huŏzāi 
禍	huò 
或多或少	huòduōhuòshăo 
或者	huòzhě 
貨物	huòwù 
獲得	huòdé 
肌肉	jīròu  
基本上	jīběnshàng  
基金	jījīn  
幾乎	jīhū  
機構	jīgòu  
機關	jīguān  
機票	jīpiào  
機械	jīxiè  
及格	jígé  
及時	jíshí 
即將	jíjiāng  
即使	jíshĭ 
極	jí
極其	jíqí  
級	jí 
集	jí 
集	jí 
集合	jíhé 
集郵	jíyóu  
集中	jízhōng  
集中	jízhōng  
疾病	jíbìng 
急忙	jímáng  
寂寞	jímò  
既然	jìrán  
技術	jìshù  
計算	jìsuàn  
計較	jìjiào  
記性	jìxìng 
記憶	jìyì 
記載	jìzài 
記住	jìzhù 
加班	jiābān 
加工	jiāgōng 
加上	jiāshàng 
加速	jiāsù 
加以	jiāyǐ 
家事	jiāshì 
夾	jiá 
甲	jiă 
嫁	jià 
駕駛	jiàshĭ 
駕駛	jiàshĭ 
價值	jiàzhí 
尖	jiān 
尖銳	jiānruì 
肩	jiān 
兼	jiān 
間	jiān 
堅定	jiāndìng 
堅決	jiānjué 
監視	jiānshì 
監獄	jiānyù 
揀	jiăn 
撿	jiăn 
剪刀	jiăndāo 
檢驗	jiănyàn 
建	jiàn 
建國	jiànguó 
建築	jiànzhú 
建築	jiànzhú 
箭	jiàn 
漸漸	jiànjiàn 
間接	jiànjiē 
鍵盤	jiànpán 
健全	jiànquán 
江	jiāng 
將	jiāng 
將要	jiāngyào 
獎金	jiăngjīn 
獎品	jiăngpĭn 
降	jiàng 
降價	jiàngjià 
澆	jiāo 
交代	jiāodài 
交換	jiāohuàn 
交際	jiāojì 
交往	jiāowăng 
交易	jiāoyì 
交易	jiāoyì 
郊外	jiāowài 
角	jiăo 
角落	jiăoluò 
繳	jiăo 
腳步	jiăobù 
較	jiào 
叫喊	jiàohăn 
教會	jiàohuì 
教授	jiàoshòu 
教學	jiàoxué 
教訓	jiàoxùn 
接	jiē 
接待	jiēdài 
接到	jiēdào 
接見	jiējiàn 
接近	jiējìn 
接近	jiējìn 
街道	jiēdào 
街頭	jiētóu 
階段	jiēduàn 
節	jié 
節省	jiéshěng 
節約	jiéyuē 
結	jié 
結構	jiégòu 
結果	jiéguŏ 
結果	jiéguŏ 
結合	jiéhé 
結論	jiélùn 
結算	jiésuàn 
結帳	jiézhàng 
截止	jiézhĭ 
解	jiě 
解除	jiěchú 
解答	jiědá 
屆	jiè 
界線	jièxiàn 
戒指	jièzhĭ 
今後	jīnhòu  
金額	jīné 
金融	jīnróng 
金屬	jīnshŭ 
儘管	jĭnguăn 
儘量	jĭnliàng  
緊急	jĭnjí 
僅僅	jĭnjĭn
近	jìn
近來	jìnlái  
近視	jìnshì  
盡力	jìnlì 
進入	jìnrù  
進口	jìnkŏu  
禁止	jìnzhĭ  
浸	jìn 
精彩	jīngcăi  
精力	jīnglì 
精細	jīngxì 
經濟	jīngjì  
經歷	jīnglì 
經歷	jīnglì  
經營	jīngyíng 
京劇	jīngjù 
驚人	jīngrén  
警告	jǐnggào  
警告	jǐnggào  
景色	jĭngsè 
靜	jìng 
鏡(子)	jìng(zi)
敬愛	jìngài 
敬酒	jìngjiŭ 
敬禮	jìnglĭ
淨化	jìnghuà 
竟然	jìngrán 
競爭	jìngzhēng 
糾正	jiūzhèng 
酒會	jiŭhuì 
就	jiù 
就是	jiùshì 
就是說	jiùshìshuō 
就業	jiùyè 
救火	jiùhuŏ 
究竟	jiùjìng 
居民	jūmín 
居然	jūrán 
局	jú 
鞠躬	júgōng 
巨大	jùdà 
具	jù 
具	jù 
具備	jùbèi 
具體	jùtĭ
俱樂部	jùlèbù 
聚集	jùjí 
距離	jùlí 
劇場	jùchăng 
劇烈	jùliè 
劇院	jùyuàn 
據說	jùshuō 
捐	juān 
捐款	juānkuăn 
捐款	juānkuăn 
卷	juăn 
捲	juăn 
決/絕	jué
決心	juéxīn 
決心	juéxīn 
絕不	juébù 
絕大部分	juédàbùfèn 
絕對	juéduì 
覺悟	juéwù 
軍	jūn 
軍事	jūnshì 
卡	kă 
卡	kă 
卡通	kătōng 
開	kāi 
開除	kāichú 
開刀	kāidāo 
開發	kāifā 
開戶	kāihù 
開課	kāikè 
開明	kāimíng 
開設	kāishè 
開拓	kāituò 
開演	kāiyăn 
看家	kānjiā 
砍	kăn 
看	kàn 
看得起	kàndeqĭ
看看(ㄎㄢ˙)	kànkan
看來	kànlái 
看樣子	kànyàngzi 
抗議	kàngyì 
考察	kăochá 
考卷	kăojuàn 
考慮	kăolǜ
考取	kăoqŭ 
靠	kào
靠近	kàojìn 
科	kē
科目	kēmù 
顆	kē 
可是	kěshì 
可喜	kěxĭ
可笑	kěxiào 
客房	kèfáng 
客觀	kèguān 
客戶	kèhù 
課外	kèwài 
空	kōng 
空前	kōngqián 
空中	kōngzhōng 
恐怖	kŏngbù
空/空兒	kòng/kòngr
控制	kòngzhì  
口	kŏu
口才	kŏucái
口號	kŏuhào
口紅	kŏuhóng
口氣	kŏuqì  
口試	kŏushì  
口試	kŏushì  
口水	kŏushuĭ 
口音	kŏuyīn  
口語	kŏuyŭ  
扣	kòu 
誇獎	kuājiăng 
跨	kuà
會計	kuàijì 
寬度	kuāndù 
喇叭(ㄅㄚ˙)	lăba 
蠟燭	làzhú  
辣椒	làjiāo 
來	lái 
來回	láihuí  
來臨	láilín  
來往	láiwăng  
來信	láixìn  
來源	láiyuán  
來自	láizì  
籃子	lánzi 
懶	lăn 
懶得	lănde 
爛	làn 
濫用	lànyòng 
狼	láng 
浪	làng 
浪費	làngfèi 
撈	lāo 
牢	láo 
牢騷	láosāo 
勞動	láodòng 
勞工	láogōng 
勞力	láolì 
嘮叨(ㄉㄠ˙)	láodao 
老	lăo 
老百姓	lăobăixìng 
老闆娘/老板娘	lăobănniáng
老大	lăodà 
老家	lăojiā 
老實說	lăoshíshuō 
老太太	lăotàitai 
樂意	lèyì 
類似	lèisì 
冷靜	lěngjìng 
冷飲	lěngyĭn 
梨(子)	lí(zi)
理	lĭ
理	lĭ
理由	lĭyóu
裡/裏頭	lĭtou
禮	lĭ
禮品	lĭpĭn
力氣	lìqì 
立	lì 
立場	lìchăng 
立即	lìjí 
利	lì 
利潤	lìrùn 
利息	lìxí 
例外	lìwài 
粒	lì 
聯合	liánhé 
聯合國	liánhéguó 
連	lián 
連接	liánjiē 
連忙	liánmáng 
連續	liánxù 
臉色	liănsè 
量	liáng 
糧食	liángshí 
倆	liăng 
亮	liàng 
諒解	liàngjiě 
了	liăo 
列	liè 
裂	liè 
淋	lín 
臨	lín 
臨時	línshí 
凌晨	língchén 
靈活	línghuó 
零件	língjiàn 
零售	língshòu 
零下	língxià 
領帶	lĭngdài
領導	lĭngdăo 
領土	lĭngtŭ 
領先	lĭngxiān 
領袖	lĭngxiù 
另	lìng 
另外	lìngwài 
另外	lìngwài 
溜	liū 
流動	liúdòng 
流利	liúlì 
留念	liúniàn 
嘍	lóu 
摟	lǒu 
露	lù 
路燈	lùdēng  
路線	lùxiàn  
陸軍	lùjūn  
陸續	lùxù  
錄用	lùyòng  
輪船	lúnchuán 
輪流	lúnliú 
輪子	lúnzi 
論	lùn 
論文	lùnwén 
落	luò 
落後	luòhòu  
落實	luòshí  
落伍	luòwŭ  
旅行社	lǚxíngshè 
綠豆	lǜdòu 
略	lüè 
麻	má 
麻雀	máquè 
馬虎(ㄏㄨ˙)	măhu
埋	mái 
買單	măidān 
買賣	 măimài  
饅頭	mántou 
滿/蠻	măn/mán
漫畫	mànhuà 
忙碌	mánglù 
盲目	mángmù 
矛盾	máodùn 
毛巾	máojīn 
冒	mào 
煤	méi 
梅花	méihuā 
美觀	měiguān 
美妙	měimiào 
魅力	mèilì 
門	 mén 
門票	ménpiào 
門診	ménzhěn 
猛	 měng  
夢到	mèngdào 
夢想	mèngxiăng 
夢想	 mèngxiăng  
迷	mí 
迷糊	míhú 
迷失	míshī 
迷信	míxìn 
迷信	míxìn 
密	mì 
蜜蜂	mìfēng 
秘/祕書	mìshū 
棉	mián 
棉被	miánbèi 
棉花	miánhuā 
免得	miănde 
勉強	 miǎnqiǎng 
面	miàn
面對	miànduì 
面臨	miànlín 
面貌	miànmào 
面子	miànzi 
麵粉	miànfěn 
妙	miào 
滅亡	mièwáng 
民間	mínjiān 
民謠	 mínyáo  
民眾	 mínzhòng  
民主	mínzhŭ 
民主	mínzhŭ 
名	míng 
名	míng 
名稱	míngchēng 
名單	míngdān 
名牌	míngpái 
名片	míngpiàn 
明白	míngbái 
明亮	míngliàng 
明明	míngmíng 
明確	míngquè 
命	mìng 
命令	mìnglìng 
命令	mìnglìng 
命運	mìngyùn 
磨	mó 
模仿	mófăng 
模糊	móhú 
模型	móxíng 
模樣	móyàng 
抹	mŏ
目標	mùbiāo 
目的地	mùdìdì 
目錄	mùlù 
哪怕	năpà 
奶粉	năifěn 
耐心	nàixīn 
耐用	nàiyòng 
難道	nándào 
難得	nándé 
難受	nánshòu 
難以	nányǐ 
男性	nánxìng
腦袋	năodài 
腦筋	năojīn 
鬧	nào 
鬧區	nàoqū 
內部	nèibù 
內地	nèidì
內行	nèiháng 
內科	nèikē 
能幹	nénggàn 
能源	néngyuán 
泥	ní 
泥土	nítŭ 
粘	nián 
黏	nián 
黏	nián 
尿	niào 
尿	niào 
捏	niē 
寧可	níngkě 
寧願	níngyuàn 
鈕扣	niŭkòu 
農場	nóngchăng 
農產品	nóngchănpĭn  
農村	nóngcūn  
農民/農夫	nóngmín/nóngfū 
農藥	nóngyào  
濃	nóng 
濃厚	nónghòu  
暖	nuăn
暖和	nuănhuo 
暖氣	nuănqì  
女性	nǚxìng 
偶然	ǒurán 
排	pái 
排	pái 
排斥	páichì  
排列	páiliè 
排球	páiqiú  
派	pài 
攀	pān 
盤	pán
判斷	pànduàn 
泡	pào 
炮	pào 
砲	pào 
賠	péi 
賠償	péicháng 
陪同	péitóng  
佩服	pèifú 
噴	pēn 
盆	pén 
膨脹	péngzhàng 
捧	pěng 
碰見	pèngjiàn 
匹	pī 
批	pī 
批	pī 
批判	pīpàn 
皮	pí 
披	pī 
疲倦	píjuàn 
疲勞	píláo 
脾氣	píqì 
屁股(ㄍㄨ˙)	pìgu 
篇	piān 
偏/偏偏	piān/piānpiān
偏食	piānshí 
偏向	piānxiàng 
騙	piàn 
片面	piànmiàn 
片子	piànzi 
飄	piāo 
拼命	pīnmìng 
貧窮	pínqióng 
品德	pĭndé 
聘請	pìnqĭng 
憑	píng 
平常	píngcháng 
平衡	pínghéng 
平靜	píngjìng 
平均	píngjūn 
婆婆	pópó 
頗	pŏ
破爛	pòlàn 
破裂	pòliè 
迫切	pòqiè 
撲	pū 
撲滅	pūmiè 
鋪	pū 
普及	pŭjí 
普通	pŭtōng 
普通話	pŭtōnghuà 
瀑布	pùbù 
欺騙	qīpiàn 
妻子	qīzĭ 
期	qí
期	qí
期限	qíxiàn 
其	qí 
其餘	qíyú 
棋	qí 
齊	qí 
齊全	qíquán 
旗袍	qípáo 
旗子	qízi 
歧視	qíshì 
起	qĭ
起	qĭ
起初	qĭchū 
起火	qĭhuŏ
企圖	qìtú 
企圖	qìtú 
汽油	qìyóu 
器材	qìcái 
器官	qìguān 
氣氛	qìfēn 
氣憤	qìfèn 
氣候	qìhòu 
氣味	qìwèi 
氣息	qìxí 
氣象	qìxiàng 
千萬	qiānwàn 
牽	qiān 
遷	qiān 
簽	qiān 
簽訂	qiāndìng 
簽約	qiānyuē 
簽字	qiānzì 
前方	qiánfāng 
前進	qiánjìn 
前頭	qiántou 
前途	qiántú 
前往	qiánwăng 
前院	qiányuàn 
欠	qiàn 
歉意	qiànyì 
槍	qiāng 
強	qiáng 
強大	qiángdà 
強度	qiángdù 
強烈	qiángliè 
強迫	qiángpò 
強人	qiángrén 
牆壁	qiángbì 
搶救	qiăngjiù 
敲	qiāo 
瞧	qiáo 
巧	qiăo
巧妙	qiăomiào 
悄悄	qiăoqiăo
切	qiē 
且	qiě 
親愛	qīnài 
親口	qīnkŏu 
親戚	qīnqī  
親人	qīnrén 
侵害	qīnhài 
侵入	qīnrù 
勤勞	qínláo 
寢室	qǐnshì 
青	qīng 
清	qīng 
清晨	qīngchén 
清除	qīngchú 
清楚	qīngchŭ 
清淡	qīngdàn 
清晰	qīngxī  
清醒	qīngxĭng  
輕傷	qīngshāng  
輕視	qīngshì 
傾向	qīngxiàng 
情書	qíngshū  
情緒	qíngxù 
秋季	qiūjì 
求婚	qiúhūn 
球隊	qiúduì 
球鞋	qiúxié 
曲折	qūzhé 
區別	qūbié 
區別	qūbié 
區域	qūyù 
取	qŭ 
取得	qŭdé 
取笑	qŭxiào 
取消	qŭxiāo 
娶	qŭ 
去	qù 
圈	quān 
全家	quánjiā 
全面	quánmiàn 
全面	quánmiàn 
全體	quántĭ
拳頭	quántou
權利	quánlì 
勸	quàn 
缺	quē 
缺乏	quēfá 
缺少	quēshăo 
缺席	quēxí 
確實	quèshí 
群	qún 
群眾	qúnzhòng 
然而	ránér 
燃料	ránliào 
燃燒	ránshāo 
染	răn 
讓	ràng 
讓步	ràngbù 
繞	rào 
惹	rě 
惹	rě 
熱愛	rèài 
熱烈	rèliè 
熱門	rèmén 
熱情	rèqíng 
熱情	rèqíng 
熱心	rèxīn 
人才	réncái 
人格	réngé 
人工	réngōng 
人力	rénlì 
人情味/人情味兒	rénqíngwèi/rénqíngwèir
人權	rénquán 
人生	rénshēng 
人事	rénshì 
人體	réntǐ 
人心	rénxīn 
人行道	rénxíngdào 
人員	rényuán 
忍不住	rěnbúzhù 
忍受	rěnshòu 
忍心	rěnxīn 
任	rèn 
任性	rènxìng 
日常	rìcháng 
日後	rìhòu 
日用品	rìyòngpĭn 
容	róng 
融化	rónghuà 
榮幸	róngxìng 
如	rú 
如果說	rúguŏshuō
如何	rúhé 
如何	rúhé 
如今	rújīn 
如同	rútóng 
入	rù 
入境	rùjìng
入口	rùkŏu
入學	rùxué 
軟	ruăn 
塞	sāi
賽跑	sàipăo 
三角形	sānjiăoxíng 
散	sàn
散	sàn
喪失	sàngshī 
艘	sāo 
掃	săo 
色彩	sècăi 
色情	sèqíng 
沙	shā 
沙漠	shāmò  
沙灘	shātān  
沙子	shāzi  
殺價	shājià 
傻	shă 
曬太陽	shàitàiyáng 
山地	shāndì 
閃	shăn 
閃	shăn 
善於	shànyú 
扇子	shànzi 
傷	shāng 
傷	shāng 
傷腦筋	shāngnăojīn 
商標	shāngbiāo 
商場	shāngchăng 
商量	shāngliáng 
上	shàng 
上級	shàngjí 
上升	shàngshēng 
上市	shàngshì 
上述	shàngshù 
上台/臺	shàngtái 
上頭	shàngtou 
上下	shàngxià 
上游	shàngyóu 
稍	shāo 
稍微	shāowéi 
少數	shăoshù 
少年	shàonián 
少女	shàonǚ 
舌頭	shétou 
捨不得	shěbùdé 
捨得	shědé 
射	shè 
社會	shèhuì 
社交	shèjiāo 
社團	shètuán 
設立	shèlì 
設置	shèzhì 
攝影	shèyĭng 
申請	shēnqĭng 
伸	shēn 
伸手	shēnshŏu
身材	shēncái 
身分/份	shēnfèn 
身分/份證	shēnfènzhèng 
深刻	shēnkè 
深淺	shēnqiăn 
深夜	shēnyè 
神	shén 
神話	shénhuà 
神經	shénjīng 
神秘	shénmì 
神奇	shénqí 
神氣	shénqì 
神聖	shénshèng 
神仙	shénxiān 
審查	shěnchá 
慎重	shènzhòng 
升	shēng 
升高	shēnggāo 
升級	shēngjí 
升學	shēngxué 
生	shēng 
生存	shēngcún 
生肖	shēngxiào 
生長	shēngzhăng 
聲	shēng
繩(子)	shéng(zi)
省	shěng 
省得	shěngde 
勝	shèng 
勝利	shènglì 
失敗	shībài 
失掉	shīdiào 
失眠	shīmián 
失望	shīwàng 
失業	shīyè 
溼	shī 
詩	shī 
詩人	shīrén 
師父(ㄈㄨ˙)	shīfu
師傅	shīfù 
師母	shīmŭ 
施工	shīgōng 
時常	shícháng 
時機	shíjī 
時期	shíqí 
時時	shíshí 
食品	shípǐn 
實用	shíyòng 
實在	shízài 
實施	shíshī 
實現	shíxiàn 
實驗	shíyàn 
實驗	shíyàn 
使	shĭ
始終	shĭzhōng 
示威	shìwēi 
式樣	shìyàng 
世	shì 
世紀	shìjì 
市立	shìlì 
市民	shìmín 
市區	shìqū 
視	shì 
視野	shìyě 
適當	shìdàng 
適合	shìhé 
適用	shìyòng 
是非	shìfēi 
是否	shìfŏu 
事件	shìjiàn 
事實上	shìshíshàng 
事物	shìwù 
事先	shìxiān 
勢力	shìlì 
試驗	shìyàn 
收據	shōujù 
收看	shōukàn 
收入	shōurù 
收拾	shōushí 
手電筒	shŏudiàntŏng  
手段	shŏuduàn  
手工	shŏugōng  
手術	shŏushù  
首	shŏu 
首都	shŏudū  
首先	shŏuxiān  
受	shòu 
受	shòu 
受不了	shòubùliăo  
受到	shòudào  
售	shòu 
壽命	shòumìng  
疏忽	shūhū 
書房	shūfáng 
書籍	shūjí 
輸出	shūchū
輸入	shūrù 
熟	shú 
熟練	shúliàn 
熟人	shúrén 
屬	shŭ 
屬於	shŭyú 
暑期	shŭqí 
束	shù 
數	shù 
數量	shùliàng 
數目	shùmù 
樹林	shùlín 
刷	shuā 
刷(子)	shuā(zi)
刷卡	shuākă 
耍	shuă 
摔	shuāi 
