the	ðiː	t-h-ē	ㄘㄧ	該
wilted	ˈwɪltɪd	w-i-l-t-i-d	ㄨㄧㄌㄉㄧㄉ	枯萎
wilt	wɪlt	w-i-l-t	ㄨㄧㄌㄉ	枯萎
preserves	prɪˈzɜːvz	p-r-i-z-û-v-z	ㄅㄖㄧㄗㄦㄈㄗ	果醬
juice	ʤuːs	y-ū-s	ㄓㄨㄙ	果汁
orchards	ˈɔːʧədz	ô-ch-ə-d-z	ㄛㄓㄦㄉㄗ	果園
orchard	ˈɔːʧəd	ô-ch-ə-d	ㄛㄓㄦㄉ	果園
wooded	ˈwʊdɪd	w-oo-d-i-d	ㄨㄡㄉㄧㄉ	林地
pillow	ˈpɪləʊ	p-i-l-ə-oo	ㄅㄧㄌㄦㄡ	枕頭
pine	paɪn	p-ī-n	ㄅㄚㄧㄋ	松樹
southeast	ˌsaʊθˈiːst	s-o-w-th-ē-s-t	ㄙㄚㄡㄊㄧㄙㄉ	東南
northeast	ˌnɔːθˈiːst	n-ô-th-ē-s-t	ㄋㄛㄊㄧㄙㄉ	東北
cup	kʌp	k-u-p	ㄍㄨㄅ	杯子
bondage	ˈbɒndɪʤ	b-o-n-d-i-y	ㄅㄛㄋㄉㄧㄓ	束縛
belted	ˈbɛltɪd	b-é-l-t-i-d	ㄅㄜㄌㄉㄧㄉ	束帶
dura	dura	d-ū-r-a	ㄉㄨㄖㄚ	杜拉
villages	ˈvɪlɪʤɪz	v-i-l-i-y-i-z	ㄈㄧㄌㄧㄓㄧㄗ	村莊
villagers	ˈvɪlɪʤəz	v-i-l-i-y-ə-z	ㄈㄧㄌㄧㄓㄦㄗ	村民
material	məˈtɪərɪəl	m-ə-t-ē-ə-r-ē-ə-l	ㄇㄦㄉㄧㄦㄖㄧㄦㄌ	材料
almonds	ˈɑːməndz	ä-m-ə-n-d-z	ㄚㄇㄣㄉㄗ	杏仁
almond	ˈɑːmənd	ä-m-ə-n-d	ㄚㄇㄣㄉ	杏仁
blossoming	ˈblɒsəmɪŋ	b-l-o-s-ə-m-i-ng	ㄅㄌㄛㄙㄦㄇㄧㄥ	朵朵
itself	ɪtˈsɛlf	i-t-s-é-l-f	ㄧㄉㄙㄜㄌㄈ	本身
essence	ˈɛsns	é-s-n-s	ㄜㄙㄋㄙ	本質
instincts	ˈɪnstɪŋkts	i-n-s-t-i-ng-k-t-s	ㄧㄋㄙㄉㄧㄥㄍㄗ	本能
instinctively	ɪnˈstɪŋktɪvli	i-n-s-t-i-ng-k-t-i-v-l-ē	ㄧㄋㄙㄉㄧㄥㄍㄉㄧㄈㄌㄧ	本能
local	ˈləʊkəl	l-ə-oo-k-ə-l	ㄌㄦㄡㄍㄦㄌ	本地
originally	əˈrɪʤɪnəli	ə-r-i-y-i-n-ə-l-ē	ㄦㄖㄧㄓㄧㄋㄦㄌㄧ	本來
magbish	magbish	m-a-g-b-ē-s-h	ㄇㄚㄍㄅㄧㄙㄏ	末必
lowliest	ˈləʊlɪɪst	l-ə-oo-l-i-i-s-t	ㄌㄦㄡㄌㄧㄧㄙㄉ	末位
unknown	ʌnˈnəʊn	u-n-n-ə-oo-n	ㄨㄋㄋㄦㄡㄋ	未知
undecided	ˌʌndɪˈsaɪdɪd	u-n-d-i-s-ī-d-i-d	ㄨㄋㄉㄧㄙㄚㄧㄉㄧㄉ	未定
unmarried	ʌnˈmærɪd	u-n-m-a-r-i-d	ㄨㄋㄇㄚㄖㄧㄉ	未婚
future	ˈfjuːʧə	f-yü-ch-ə	ㄈㄡㄨㄓㄦ	未來
coming	ˈkʌmɪŋ	k-u-m-i-ng	ㄍㄨㄇㄧㄥ	未來
charcoal	ˈʧɑːkəʊl	ch-ä-k-ə-oo-l	ㄓㄚㄍㄦㄡㄌ	木炭
cask	kɑːsk	k-ä-s-k	ㄍㄚㄙㄍ	木桶
planks	plæŋks	p-l-a-ng-k-s	ㄅㄌㄚㄥㄍㄙ	木板
timbers	ˈtɪmbəz	t-i-m-b-ə-z	ㄉㄧㄇㄅㄦㄗ	木材
timber	ˈtɪmbə	t-i-m-b-ə	ㄉㄧㄇㄅㄦ	木材
lumber	ˈlʌmbə	l-u-m-b-ə	ㄌㄨㄇㄅㄦ	木料
carpentry	ˈkɑːpɪntri	k-ä-p-i-n-t-r-ē	ㄍㄚㄅㄧㄋㄉㄖㄧ	木工
carpenters	ˈkɑːpɪntəz	k-ä-p-i-n-t-ə-z	ㄍㄚㄅㄧㄋㄉㄦㄗ	木匠
carpenter	ˈkɑːpɪntə	k-ä-p-i-n-t-ə	ㄍㄚㄅㄧㄋㄉㄦ	木匠
asherah	asherah	a-s-h-e-r-a-h	ㄚㄙㄏㄝㄖㄚㄏ	木偶
expectations	ˌɛkspɛkˈteɪʃənz	é-k-s-p-é-k-t-ā-sh-ə-n-z	ㄜㄍㄙㄅㄜㄍㄉㄝㄧㄕㄣㄗ	期望
expectation	ˌɛkspɛkˈteɪʃən	é-k-s-p-é-k-t-ā-sh-ə-n	ㄜㄍㄙㄅㄜㄍㄉㄝㄧㄕㄣ	期望
expect	ɪksˈpɛkt	i-k-s-p-é-k-t	ㄧㄍㄙㄅㄜㄍㄉ	期望
desired	dɪˈzaɪəd	d-i-z-ī-ə-d	ㄉㄧㄗㄚㄧㄦㄉ	期望
expecting	ɪksˈpɛktɪŋ	i-k-s-p-é-k-t-i-ng	ㄧㄍㄙㄅㄜㄍㄉㄧㄥ	期待
expectantly	ɪksˈpɛktəntli	i-k-s-p-é-k-t-ə-n-t-l-ē	ㄧㄍㄙㄅㄜㄍㄉㄣㄉㄌㄧ	期待
expectant	ɪksˈpɛktənt	i-k-s-p-é-k-t-ə-n-t	ㄧㄍㄙㄅㄜㄍㄉㄣㄉ	期待
pilgrimage	ˈpɪlgrɪmɪʤ	p-i-l-g-r-i-m-i-y	ㄅㄧㄌㄍㄖㄧㄇㄧㄓ	朝聖
overturned	ˌəʊvəˈtɜːnd	ə-oo-v-ə-t-û-n-d	ㄦㄡㄈㄦㄉㄦㄋㄉ	朝天
shobal	shobal	s-h-o-b-a-l	ㄙㄏㄛㄅㄚㄌ	朔巴
shobab	shobab	s-h-o-b-a-b	ㄙㄏㄛㄅㄚㄅ	朔吧
garments	ˈgɑːmənts	g-ä-m-ə-n-t-s	ㄍㄚㄇㄣㄗ	服裝
garment	ˈgɑːmənt	g-ä-m-ə-n-t	ㄍㄚㄇㄣㄉ	服裝
clothing	ˈkləʊðɪŋ	k-l-ə-oo-t-h-i-ng	ㄍㄌㄦㄡㄘㄧㄥ	服裝
taking	ˈteɪkɪŋ	t-ā-k-i-ng	ㄉㄝㄧㄍㄧㄥ	服用
submission	səbˈmɪʃən	s-ə-b-m-i-sh-ə-n	ㄙㄦㄅㄇㄧㄕㄣ	服從
obeys	əˈbeɪz	ə-b-ā-z	ㄦㄅㄝㄧㄗ	服從
obeying	əˈbeɪɪŋ	ə-b-ā-i-ng	ㄦㄅㄝㄧㄧㄥ	服從
obedience	əˈbiːdjəns	ə-b-ē-d-y-ə-n-s	ㄦㄅㄧㄉㄡㄣㄙ	服從
serving	ˈsɜːvɪŋ	s-û-v-i-ng	ㄙㄦㄈㄧㄥ	服務
services	ˈsɜːvɪsɪz	s-û-v-i-s-i-z	ㄙㄦㄈㄧㄙㄧㄗ	服務
service	ˈsɜːvɪs	s-û-v-i-s	ㄙㄦㄈㄧㄙ	服務
serve	sɜːv	s-û-v	ㄙㄦㄈ	服務
ministering	ˈmɪnɪstərɪŋ	m-i-n-i-s-t-ə-r-i-ng	ㄇㄧㄋㄧㄙㄉㄦㄖㄧㄥ	服事
ministered	ˈmɪnɪstəd	m-i-n-i-s-t-ə-d	ㄇㄧㄋㄧㄙㄉㄦㄉ	服事
friends	frɛndz	f-r-é-n-d-z	ㄈㄖㄜㄋㄉㄗ	朋友
friend	frɛnd	f-r-é-n-d	ㄈㄖㄜㄋㄉ	朋友
roofed	ruːft	r-ū-f-t	ㄖㄨㄈㄉ	有頂
limited	ˈlɪmɪtɪd	l-i-m-i-t-i-d	ㄌㄧㄇㄧㄉㄧㄉ	有限
related	rɪˈleɪtɪd	r-i-l-ā-t-i-d	ㄖㄧㄌㄝㄧㄉㄧㄉ	有關
interesting	ˈɪntrɪstɪŋ	i-n-t-r-i-s-t-i-ng	ㄧㄋㄉㄖㄧㄙㄉㄧㄥ	有趣
colored	ˈkʌləd	k-u-l-ə-d	ㄍㄨㄌㄦㄉ	有色
sinful	ˈsɪnfʊl	s-i-n-f-oo-l	ㄙㄧㄋㄈㄡㄌ	有罪
guilty	ˈgɪlti	g-i-l-t-ē	ㄍㄧㄌㄉㄧ	有罪
guilt	gɪlt	g-i-l-t	ㄍㄧㄌㄉ	有罪
useful	ˈjuːsfʊl	yü-s-f-oo-l	ㄡㄨㄙㄈㄡㄌ	有用
justified	ˈʤʌstɪfaɪd	y-u-s-t-i-f-ī-d	ㄓㄨㄙㄉㄧㄈㄚㄧㄉ	有理
poisonous	ˈpɔɪznəs	p-o-ē-z-n-ə-s	ㄅㄛㄧㄗㄋㄦㄙ	有毒
sometimes	ˈsʌmtaɪmz	s-u-m-t-ī-m-z	ㄙㄨㄇㄉㄚㄧㄇㄗ	有時
valid	ˈvælɪd	v-a-l-i-d	ㄈㄚㄌㄧㄉ	有效
effectively	ɪˈfɛktɪvli	i-f-é-k-t-i-v-l-ē	ㄧㄈㄜㄍㄉㄧㄈㄌㄧ	有效
effective	ɪˈfɛktɪv	i-f-é-k-t-i-v	ㄧㄈㄜㄍㄉㄧㄈ	有效
sexual	ˈsɛksjʊəl	s-é-k-s-y-ü-ə-l	ㄙㄜㄍㄙㄡㄡㄦㄌ	有性
ordered	ˈɔːdəd	ô-d-ə-d	ㄛㄉㄦㄉ	有序
harmful	ˈhɑːmfʊl	h-ä-m-f-oo-l	ㄏㄚㄇㄈㄡㄌ	有害
destructive	dɪsˈtrʌktɪv	d-i-s-t-r-u-k-t-i-v	ㄉㄧㄙㄉㄖㄨㄍㄉㄧㄈ	有害
damaging	ˈdæmɪʤɪŋ	d-a-m-i-y-i-ng	ㄉㄚㄇㄧㄓㄧㄥ	有害
powerfully	ˈpaʊəfʊli	p-o-w-ə-f-oo-l-ē	ㄅㄚㄡㄦㄈㄡㄌㄧ	有力
forceful	ˈfɔːsfʊl	f-ô-s-f-oo-l	ㄈㄛㄙㄈㄡㄌ	有力
favorably	ˈfeɪvərəbli	f-ā-v-ə-r-ə-b-l-ē	ㄈㄝㄧㄈㄦㄖㄦㄅㄌㄧ	有利
favorable	ˈfeɪvərəbl	f-ā-v-ə-r-ə-b-l	ㄈㄝㄧㄈㄦㄖㄦㄅㄌ	有利
beneficial	ˌbɛnɪˈfɪʃəl	b-é-n-i-f-i-sh-ə-l	ㄅㄜㄋㄧㄈㄧㄕㄦㄌ	有利
someone	ˈsʌmwʌn	s-u-m-w-u-n	ㄙㄨㄇㄨㄨㄋ	有人
menstruating	ˈmɛnstrʊeɪtɪŋ	m-é-n-s-t-r-oo-ā-t-i-ng	ㄇㄜㄋㄙㄉㄖㄡㄝㄧㄉㄧㄥ	月經
menstrual	ˈmɛnstrʊəl	m-é-n-s-t-r-ü-ə-l	ㄇㄜㄋㄙㄉㄖㄡㄦㄌ	月經
moon	muːn	m-ū-n	ㄇㄨㄋ	月亮
session	ˈsɛʃən	s-é-sh-ə-n	ㄙㄜㄕㄣ	會議
meetings	ˈmiːtɪŋz	m-ē-t-i-ng-z	ㄇㄧㄉㄧㄥㄗ	會議
meeting	ˈmiːtɪŋ	m-ē-t-i-ng	ㄇㄧㄉㄧㄥ	會議
conference	ˈkɒnfərəns	k-o-n-f-ə-r-ə-n-s	ㄍㄛㄋㄈㄦㄖㄣㄙ	會議
talks	tɔːks	t-ô-k-s	ㄉㄛㄍㄙ	會談
conversation	ˌkɒnvəˈseɪʃən	k-o-n-v-ə-s-ā-sh-ə-n	ㄍㄛㄋㄈㄦㄙㄝㄧㄕㄣ	會話
accounting	əˈkaʊntɪŋ	ə-k-o-w-n-t-i-ng	ㄦㄍㄚㄡㄋㄉㄧㄥ	會計
met	mɛt	m-é-t	ㄇㄜㄉ	會見
clubs	klʌbz	k-l-u-b-z	ㄍㄌㄨㄅㄗ	會所
knowing	ˈnəʊɪŋ	n-ə-oo-i-ng	ㄋㄦㄡㄧㄥ	會心
synagogue	ˈsɪnəgɒg	s-i-n-ə-g-o-g	ㄙㄧㄋㄦㄍㄛㄍ	會堂
members	ˈmɛmbəz	m-é-m-b-ə-z	ㄇㄜㄇㄅㄦㄗ	會員
member	ˈmɛmbə	m-é-m-b-ə	ㄇㄜㄇㄅㄦ	會員
tallest	ˈtɔːlɪst	t-ô-l-i-s-t	ㄉㄛㄌㄧㄙㄉ	最高
supreme	sju(ː)ˈpriːm	s-yü---p-r-ē-m	ㄙㄡㄨㄅㄖㄧㄇ	最高
highest	ˈhaɪɪst	h-ī-i-s-t	ㄏㄚㄧㄧㄙㄉ	最高
farthest	ˈfɑːðɪst	f-ä-t-h-i-s-t	ㄈㄚㄘㄧㄙㄉ	最遠
recently	ˈriːsntli	r-ē-s-n-t-l-ē	ㄖㄧㄙㄋㄉㄌㄧ	最近
fattest	ˈfætɪst	f-a-t-i-s-t	ㄈㄚㄉㄧㄙㄉ	最胖
ultimately	ˈʌltɪmɪtli	u-l-t-i-m-i-t-l-ē	ㄨㄌㄉㄧㄇㄧㄉㄌㄧ	最終
poorest	ˈpʊərɪst	p-ü-ə-r-i-s-t	ㄅㄡㄦㄖㄧㄙㄉ	最窮
shortest	ˈʃɔːtɪst	sh-ô-t-i-s-t	ㄕㄛㄉㄧㄙㄉ	最短
hottest	ˈhɒtɪst	h-o-t-i-s-t	ㄏㄛㄉㄧㄙㄉ	最熱
deepest	ˈdiːpɪst	d-ē-p-i-s-t	ㄉㄧㄅㄧㄙㄉ	最深
earliest	ˈɜːlɪɪst	û-l-i-i-s-t	ㄦㄌㄧㄧㄙㄉ	最早
latest	ˈleɪtɪst	l-ā-t-i-s-t	ㄌㄝㄧㄉㄧㄙㄉ	最新
favorites	ˈfeɪvərɪts	f-ā-v-ə-r-i-t-s	ㄈㄝㄧㄈㄦㄖㄧㄗ	最愛
finally	ˈfaɪnəli	f-ī-n-ə-l-ē	ㄈㄚㄧㄋㄦㄌㄧ	最後
final	ˈfaɪnl	f-ī-n-l	ㄈㄚㄧㄋㄌ	最後
strongest	ˈstrɒŋgɪst	s-t-r-o-ng-g-i-s-t	ㄙㄉㄖㄛㄥㄍㄧㄙㄉ	最強
weakest	ˈwiːkɪst	w-ē-k-i-s-t	ㄨㄧㄍㄧㄙㄉ	最弱
worst	wɜːst	w-û-s-t	ㄨㄦㄙㄉ	最差
smallest	ˈsmɔːlɪst	s-m-ô-l-i-s-t	ㄙㄇㄛㄌㄧㄙㄉ	最少
least	liːst	l-ē-s-t	ㄌㄧㄙㄉ	最小
nicest	ˈnaɪsɪst	n-ī-s-i-s-t	ㄋㄚㄧㄙㄧㄙㄉ	最好
best	bɛst	b-é-s-t	ㄅㄜㄙㄉ	最好
largest	ˈlɑːʤɪst	l-ä-y-i-s-t	ㄌㄚㄓㄧㄙㄉ	最大
greatest	ˈgreɪtɪst	g-r-ā-t-i-s-t	ㄍㄖㄝㄧㄉㄧㄙㄉ	最大
top	tɒp	t-o-p	ㄉㄛㄅ	最佳
lowest	ˈləʊɪst	l-ə-oo-i-s-t	ㄌㄦㄡㄧㄙㄉ	最低
substitute	ˈsʌbstɪtjuːt	s-u-b-s-t-i-t-yü-t	ㄙㄨㄅㄙㄉㄧㄉㄡㄨㄉ	替代
ever	ˈɛvə	é-v-ə	ㄜㄈㄦ	曾經
great-grandson	greɪt-ˈgrænsʌn	g-r-ā-t-g-r-a-n-s-u-n	ㄍㄖㄝㄧㄉ-ㄍㄖㄚㄋㄙㄨㄋ	曾孫
written	ˈrɪtn	r-i-t-n	ㄖㄧㄉㄋ	書面
meshullam	meshullam	m-e-s-h-ū-l-l-a-m	ㄇㄝㄙㄏㄨㄌㄌㄚㄇ	書蘭
shunem	shunem	s-h-ū-n-e-m	ㄙㄏㄨㄋㄝㄇ	書念
shual	shual	s-h-ū-a-l	ㄙㄏㄨㄚㄌ	書亞
shuah	shuah	s-h-ū-a-h	ㄙㄏㄨㄚㄏ	書亞
hoglah	hoglah	h-o-g-l-a-h	ㄏㄛㄍㄌㄚㄏ	曷拉
higher	ˈhaɪə	h-ī-ə	ㄏㄚㄧㄦ	更高
harder	ˈhɑːdə	h-ä-d-ə	ㄏㄚㄉㄦ	更難
farther	ˈfɑːðə	f-ä-t-h-ə	ㄈㄚㄘㄦ	更遠
nearer	ˈnɪərə	n-ē-ə-r-ə	ㄋㄧㄦㄖㄦ	更近
sweeter	ˈswiːtə	s-w-ē-t-ə	ㄙㄨㄧㄉㄦ	更甜
deeper	ˈdiːpə	d-ē-p-ə	ㄉㄧㄅㄦ	更深
correction	kəˈrɛkʃən	k-ə-r-é-k-sh-ə-n	ㄍㄦㄖㄜㄍㄕㄣ	更正
renews	rɪˈnjuːz	r-i-n-yü-z	ㄖㄧㄋㄡㄨㄗ	更新
renewed	rɪˈnjuːd	r-i-n-yü-d	ㄖㄧㄋㄡㄨㄉ	更新
renew	rɪˈnjuː	r-i-n-yü	ㄖㄧㄋㄡㄨ	更新
change	ʧeɪnʤ	ch-ā-n-y	ㄓㄝㄧㄋㄓ	更改
replacing	rɪˈpleɪsɪŋ	r-i-p-l-ā-s-i-ng	ㄖㄧㄅㄌㄝㄧㄙㄧㄥ	更換
replaced	rɪˈpleɪst	r-i-p-l-ā-s-t	ㄖㄧㄅㄌㄝㄧㄙㄉ	更換
replace	rɪˈpleɪs	r-i-p-l-ā-s	ㄖㄧㄅㄌㄝㄧㄙ	更換
swifter	ˈswɪftə	s-w-i-f-t-ə	ㄙㄨㄧㄈㄉㄦ	更快
faster	ˈfɑːstə	f-ä-s-t-ə	ㄈㄚㄙㄉㄦ	更快
worse	wɜːs	w-û-s	ㄨㄦㄙ	更差
better	ˈbɛtə	b-é-t-ə	ㄅㄜㄉㄦ	更好
greater	ˈgreɪtə	g-r-ā-t-ə	ㄍㄖㄝㄧㄉㄦ	更大
more	mɔː	m-ô	ㄇㄛ	更多
tunes	tjuːnz	t-yü-n-z	ㄉㄡㄨㄋㄗ	曲調
curves	kɜːvz	k-û-v-z	ㄍㄦㄈㄗ	曲線
winding	ˈwɪndɪŋ	w-i-n-d-i-ng	ㄨㄧㄋㄉㄧㄥ	曲折
twists	twɪsts	t-w-i-s-t-s	ㄉㄨㄧㄙㄗ	曲折
exposure	ɪksˈpəʊʒə	i-k-s-p-ə-oo-zh-ə	ㄧㄍㄙㄅㄦㄡㄓㄦ	曝光
exposing	ɪksˈpəʊzɪŋ	i-k-s-p-ə-oo-z-i-ng	ㄧㄍㄙㄅㄦㄡㄗㄧㄥ	曝光
gluttony	ˈglʌtni	g-l-u-t-n-ē	ㄍㄌㄨㄉㄋㄧ	暴食
expose	ɪksˈpəʊz	i-k-s-p-ə-oo-z	ㄧㄍㄙㄅㄦㄡㄗ	暴露
rainstorm	ˈreɪnstɔːm	r-ā-n-s-t-ô-m	ㄖㄝㄧㄋㄙㄉㄛㄇ	暴雨
plunged	plʌnʤd	p-l-u-n-y-d	ㄅㄌㄨㄋㄓㄉ	暴跌
outbreak	ˈaʊtbreɪk	o-w-t-b-r-ā-k	ㄚㄡㄉㄅㄖㄝㄧㄍ	暴發
mob	mɒb	m-o-b	ㄇㄛㄅ	暴民
tyranny	ˈtɪrəni	t-i-r-ə-n-ē	ㄉㄧㄖㄣㄧ	暴政
tyrant	ˈtaɪərənt	t-ī-ə-r-ə-n-t	ㄉㄚㄧㄦㄖㄣㄉ	暴君
oppressor	əˈprɛsə	ə-p-r-é-s-ə	ㄦㄅㄖㄜㄙㄦ	暴君
riots	ˈraɪəts	r-ī-ə-t-s	ㄖㄚㄧㄦㄗ	暴動
riot	ˈraɪət	r-ī-ə-t	ㄖㄚㄧㄦㄉ	暴動
rebellion	rɪˈbɛljən	r-i-b-é-l-y-ə-n	ㄖㄧㄅㄜㄌㄡㄣ	暴動
insurrections	ˌɪnsəˈrɛkʃənz	i-n-s-ə-r-é-k-sh-ə-n-z	ㄧㄋㄙㄦㄖㄜㄍㄕㄣㄗ	暴動
violent	ˈvaɪələnt	v-ī-ə-l-ə-n-t	ㄈㄚㄧㄦㄌㄣㄉ	暴力
violence	ˈvaɪələns	v-ī-ə-l-ə-n-s	ㄈㄚㄧㄦㄌㄣㄙ	暴力
paused	pɔːzd	p-ô-z-d	ㄅㄛㄗㄉ	暫停
pause	pɔːz	p-ô-z	ㄅㄛㄗ	暫停
carefree	ˈkeəfriː	k-ã-f-r-ē	ㄍㄝㄦㄈㄖㄧ	暢快
unannounced	ˌʌnəˈnaʊnst	u-n-ə-n-o-w-n-s-t	ㄨㄋㄦㄋㄚㄡㄋㄙㄉ	暗訪
backstabbing	backstabbing	b-ac-k-s-t-a-b-b-ē-n-g	ㄅㄚㄕㄍㄙㄉㄚㄅㄅㄧㄋㄍ	暗算
dim	dɪm	d-i-m	ㄉㄧㄇ	暗淡
amzi	amzi	a-m-z-ē	ㄚㄇㄗㄧ	暗洗
assassination	əˌsæsɪˈneɪʃ(ə)n	ə-s-a-s-i-n-ā-sh-ə--n	ㄦㄙㄚㄙㄧㄋㄝㄧㄕㄦㄋ	暗殺
assassinated	əˈsæsɪneɪtɪd	ə-s-a-s-i-n-ā-t-i-d	ㄦㄙㄚㄙㄧㄋㄝㄧㄉㄧㄉ	暗殺
assassinate	əˈsæsɪneɪt	ə-s-a-s-i-n-ā-t	ㄦㄙㄚㄙㄧㄋㄝㄧㄉ	暗殺
intelligent	ɪnˈtɛlɪʤənt	i-n-t-é-l-i-y-ə-n-t	ㄧㄋㄉㄜㄌㄧㄓㄣㄉ	智能
wisdom	ˈwɪzdəm	w-i-z-d-ə-m	ㄨㄧㄗㄉㄦㄇ	智慧
outsmart	aʊtˈsmɑːt	o-w-t-s-m-ä-t	ㄚㄡㄉㄙㄇㄚㄉ	智取
outwitted	aʊtˈwɪtɪd	o-w-t-w-i-t-i-d	ㄚㄡㄉㄨㄧㄉㄧㄉ	智勝
wafers	ˈweɪfəz	w-ā-f-ə-z	ㄨㄝㄧㄈㄦㄗ	晶圓
wafer	ˈweɪfə	w-ā-f-ə	ㄨㄝㄧㄈㄦ	晶圓
sights	saɪts	s-ī-t-s	ㄙㄚㄧㄗ	景點
landscape	ˈlænskeɪp	l-a-n-s-k-ā-p	ㄌㄚㄋㄙㄍㄝㄧㄅ	景觀
ordinary	ˈɔːdnri	ô-d-n-r-ē	ㄛㄉㄋㄖㄧ	普通
puah	puah	p-ū-a-h	ㄅㄨㄚㄏ	普瓦
purim	purim	p-ū-r-ē-m	ㄅㄨㄖㄧㄇ	普林
punon	punon	p-ū-n-o-n	ㄅㄨㄋㄛㄋ	普嫩
pul	pul	p-ū-l	ㄅㄨㄌ	普勒
obscurities	əbˈskjʊərɪtiz	ə-b-s-k-y-ü-ə-r-i-t-ē-z	ㄦㄅㄙㄍㄡㄡㄦㄖㄧㄉㄧㄗ	晦澀
supper	ˈsʌpə	s-u-p-ə	ㄙㄨㄅㄦ	晚餐
dinner	ˈdɪnə	d-i-n-ə	ㄉㄧㄋㄦ	晚餐
evening	ˈiːvnɪŋ	ē-v-n-i-ng	ㄧㄈㄋㄧㄥ	晚間
late	leɪt	l-ā-t	ㄌㄝㄧㄉ	晚了
evenings	ˈiːvnɪŋz	ē-v-n-i-ng-z	ㄧㄈㄋㄧㄥㄗ	晚上
time	taɪm	t-ī-m	ㄉㄚㄧㄇ	時間
clock	klɒk	k-l-o-k	ㄍㄌㄛㄍ	時鐘
fashion	ˈfæʃən	f-a-sh-ə-n	ㄈㄚㄕㄣ	時尚
moment	ˈməʊmənt	m-ə-oo-m-ə-n-t	ㄇㄦㄡㄇㄣㄉ	時刻
whether	ˈwɛðə	w-é-t-h-ə	ㄨㄜㄘㄦ	是否
yesterday	ˈjɛstədeɪ	y-é-s-t-ə-d-ā	ㄡㄜㄙㄉㄦㄉㄝㄧ	昨天
springtime	ˈsprɪŋtaɪm	s-p-r-i-ng-t-ī-m	ㄙㄅㄖㄧㄥㄉㄚㄧㄇ	春天
mapped	mæpt	m-a-p-t	ㄇㄚㄅㄉ	映射
constellations	ˌkɒnstəˈleɪʃənz	k-o-n-s-t-ə-l-ā-sh-ə-n-z	ㄍㄛㄋㄙㄉㄦㄌㄝㄧㄕㄣㄗ	星座
constellation	ˌkɒnstəˈleɪʃən	k-o-n-s-t-ə-l-ā-sh-ə-n	ㄍㄛㄋㄙㄉㄦㄌㄝㄧㄕㄣ	星座
starlight	ˈstɑːlaɪt	s-t-ä-l-ī-t	ㄙㄉㄚㄌㄚㄧㄉ	星光
perishable	ˈpɛrɪʃəbl	p-é-r-i-sh-ə-b-l	ㄅㄜㄖㄧㄕㄦㄅㄌ	易腐
prone	prəʊn	p-r-ə-oo-n	ㄅㄖㄦㄡㄋ	易於
fainting	ˈfeɪntɪŋ	f-ā-n-t-i-ng	ㄈㄝㄧㄋㄉㄧㄥ	昏暈
fainted	ˈfeɪntɪd	f-ā-n-t-i-d	ㄈㄝㄧㄋㄉㄧㄉ	昏厥
obviously	ˈɒbvɪəsli	o-b-v-ē-ə-s-l-ē	ㄛㄅㄈㄧㄦㄙㄌㄧ	明顯
obvious	ˈɒbvɪəs	o-b-v-ē-ə-s	ㄛㄅㄈㄧㄦㄙ	明顯
evident	ˈɛvɪdənt	é-v-i-d-ə-n-t	ㄜㄈㄧㄉㄣㄉ	明顯
clear	klɪə	k-l-ē-ə	ㄍㄌㄧㄦ	明確
wisely	ˈwaɪzli	w-ī-z-l-ē	ㄨㄚㄧㄗㄌㄧ	明智
sensible	ˈsɛnsəbl	s-é-n-s-ə-b-l	ㄙㄜㄋㄙㄦㄅㄌ	明智
sanity	ˈsænɪti	s-a-n-i-t-ē	ㄙㄚㄋㄧㄉㄧ	明智
clarity	ˈklærɪti	k-l-a-r-i-t-ē	ㄍㄌㄚㄖㄧㄉㄧ	明晰
stars	stɑːz	s-t-ä-z	ㄙㄉㄚㄗ	明星
minni	minni	m-ē-n-n-ē	ㄇㄧㄋㄋㄧ	明尼
tomorrow	təˈmɒrəʊ	t-ə-m-o-r-ə-oo	ㄉㄦㄇㄛㄖㄦㄡ	明天
insects	ˈɪnsɛkts	i-n-s-é-k-t-s	ㄧㄋㄙㄜㄍㄗ	昆蟲
expensive	ɪksˈpɛnsɪv	i-k-s-p-é-n-s-i-v	ㄧㄍㄙㄅㄜㄋㄙㄧㄈ	昂貴
costly	ˈkɒstli	k-o-s-t-l-ē	ㄍㄛㄙㄉㄌㄧ	昂貴
aflame	əˈfleɪm	ə-f-l-ā-m	ㄦㄈㄌㄝㄧㄇ	昂然
breakfast	ˈbrɛkfəst	b-r-é-k-f-ə-s-t	ㄅㄖㄜㄍㄈㄦㄙㄉ	早餐
mornings	ˈmɔːnɪŋz	m-ô-n-i-ng-z	ㄇㄛㄋㄧㄥㄗ	早晨
morning	ˈmɔːnɪŋ	m-ô-n-i-ng	ㄇㄛㄋㄧㄥ	早上
logs	lɒgz	l-o-g-z	ㄌㄛㄍㄗ	日誌
log	lɒg	l-o-g	ㄌㄛㄍ	日誌
sunset	ˈsʌnsɛt	s-u-n-s-é-t	ㄙㄨㄋㄙㄜㄉ	日落
sundown	ˈsʌndaʊn	s-u-n-d-o-w-n	ㄙㄨㄋㄉㄚㄡㄋ	日落
dates	deɪts	d-ā-t-s	ㄉㄝㄧㄗ	日期
date	deɪt	d-ā-t	ㄉㄝㄧㄉ	日期
