och	and
bensår	leg ulcer
bentonit	bentonite
bentos	benthos
bentry	benthry
bentuberkulos	bone tuberculosis
benuppmjukning	bone softening
benved	bone wood
benvit	bone white
benvärmare	leg warmers
benvävnad	bone tissue
benåda	pardon
benämna	term
beordra	order
bepansra	armour
bepansring	armor ring
beprisa	praise
bepudra	powder
berama	estimate
berber	Berber
berberis	barberry
beredare	preparer
beredningsnämnd	preparation committee
beredskapsarbete	emergency work
beredskapslager	standby stock
beredskapslagring	standby storage
beredskapstjänst	standby service
beredvillig	willing
berest	traveled
bergakung	mountain king
bergamott	bergamot
bergart	Rock
bergbana	roller coaster
bergbestigare	mountaineer
bergbestigning	mountain climbing
bergborr	rock drill
bergborrning	rock drilling
bergfast	rock solid
bergfin	rock fine
bergfink	mountain finch
berggylta	mountain gilt
bergis	mountain ice
bergkristall	rock crystal
berg-och-dalbana	roller coaster
bergolja	rock oil
bergrum	mountain room
bergsartilleri	mountain artillery
bergsbestigning	mountain climbing
bergsbruk	mining
bergshantering	mountain management
bergskam	ridge
bergskedja	mountain range
bergskida	mountain skiing
bergsklimat	mountain climate
bergskred	landslide
bergskädda	mountain range
bergslag	mining district
bergsman	mountain man
bergsprängare	boom box
bergsråd	mountain council
bergsyra	rock acid
bergsäker	rock safe
bergtagen	the mountain roofs
bergtall	mountain pine
bergtroll	mountain troll
bergvind	mountain wind
bergvägg	rock wall
beridare	rider
berika	enrich
beriktiga	rich
beriktigande	rectification
berkis	birch
berlinerblått	berlin blue
berlock	charm
bermudarigg	Bermuda rig
bermudashorts	bermuda shorts
beroendeframkallande	addictive
berså	arbor
beråd	advise
beräknelig	calculable
beräkningsgrund	basis of calculation
beräkningssätt	calculation method
berättande	narration
berättare	narrator
berättarglädje	storytelling joy
berättarjag	I tell you
berättarkonst	storytelling art
berättartalang	storytelling talent
berättarteknik	storytelling technique
berättiga	justify
berättigande	justification
berömdhet	celebrity
berömlig	commendable
berömvärd	commendable
beröringsassociation	touch association
beröringsskräck	fear of touch
besanna	be true
beseende	demeanor
besick	besik
besiffrad	numbered
besiffring	enumeration
besikta	inspect
besiktning	inspection
besiktningsinstrument	inspection instrument
besiktningsman	inspector
besinna sig	come to your senses
besinningsfull	thoughtful
besinningslös	reckless
besique	Besique
besittningshavare	possessor
besittningsskydd	security of tenure
besjäla	animate
beskaffad	constituted
beskattningsbar	taxable
beskattningsgrund	basis of taxation
beskattningsmakt	power of taxation
beskattningsrätt	taxation right
beskattningsår	tax year
beskhet	bitterness
beskicka	dispatch
beskickningschef	head of mission
beskjuta	shell
beskjutning	shelling
beskoga	reforest
beskrivande	descriptive
beskrivbar	describable
besksöta	bittersweet
beskugga	shade
beskylla	accuse
beskådan	the view
beskådande	viewing
beskäftig	meddlesome
beskällare	cellarer
beskällarsjuka	basement sickness
beskänkt	gifted
beskärma sig	shield yourself
beskärmelse	shielding
beskärning	pruning
beslaglägga	seize
beslagsband	fitting tape
beslagsrätt	seizure right
beslagssmide	hardware forging
beslagta	seize
beslagtaga	seize
beslutanderätt	right of decision
beslutenlig	decisive
beslutfattande	decision making
beslutfattare	decision makers
beslutför	decision maker
beslutmässig	decision-making
beslutnivå	decision level
beslutsenlig	decisive
beslutsfattare	decision makers
beslutsmässig	decision-making
beslutsnivå	decision level
beslutsprocess	decision process
beslutsprotokoll	decision protocol
beslutsångest	decision anxiety
beslöja	veil
besman	steelyard
besmanskrok	Besman hook
besmörja	smear
besockra	sugarcoat
besparing	saving
besparingsskog	savings forest
bespetsa sig	sharpen yourself
bespisning	dining
bespola	flush
bespruta	spray
besprutning	spraying
besprutningsmedel	spraying agent
besprutningsvätska	spray liquid
bessemerblåsning	bessemer blow
bessemermetod	bessemer method
bessemerprocess	bessemer process
bessemerstål	bessemer steel
bessemerugn	bessemer oven
besserwisser	wiseacre
bestialisk	bestial
bestiarium	bestiary
bestick	cutlery
besticka	bribe
bestickföring	cutlery handling
besticklig	corruptible
bestickning	bribery
bestigning	climbing
bestjäla	rob
bestråla	irradiate
bestrålning	irradiation
bestsellerförfattare	bestselling author
bestycka	equip
bestyckning	armament
bestyrelse	board of directors
beståndsbildande	stock formation
beståndsdel	ingredient
beställare	client
beställning	ordering
beställningsarbete	order work
beställningsavgift	order fee
beställningsverk	order works
beställsam	orderly
beställtryck	order pressure
bestämmanderätt	right of decision
bestämning	determination
bestämningsord	determiner
besvågrad	impaired
besvära sig	bother
besvärjelseformel	incantation formula
besvärlighet	difficulty
besvärsgrund	grievance
besvärshandling	complaint action
besvärshänvisning	complaint reference
besvärsinlaga	appeal
besvärsinstans	appeal body
besvärsmyndighet	appeals authority
besvärsmål	complaints
besvärsrätt	right of appeal
besvärsskrift	letter of complaint
besvärssubjekt	object of complaint
besvärstid	trouble time
besynnerlig	peculiar
besättningsband	crew band
besättningsman	crewman
besöksadress	visiting address
besöksbok	visitor book
besöksdag	visit day
besökstid	visiting time
beta av	graze off
betablockerare	beta blockers
betacka sig	pay attention
betaga	captivate
betagande	captivating
betala sig	pay off
betalbar	payable
betalkanal	payment channel
betalkort	charge card
betalkurs	paid course
betalningsanstånd	payment delay
betalningsavtal	payment agreement
betalningsbalans	balance of payments
betalningsbevis	proof of payment
betalningsfri	free of charge
betalningsfrist	payment deadline
betalningsföreläggande	payment order
betalningsinställelse	suspension of payment
betalningsskyldig	liable for payment
betalningstermin	payment term
betalningstid	payment term
betalningsvillkor	payment terms
betapartikel	beta particle
betastrålning	beta radiation
betaversion	beta version
betecknande	significant
beteendeforskning	behavioral research
beteendemönster	behavioral patterns
beteendepsykologi	behavioral psychology
beteenderubbning	behavior disorder
beteendeterapi	behavioral therapy
beteendevetare	behavioral scientist
beteendevetenskap	behavioral science
betelblad	betel leaf
betelnöt	betel nut
betelpalm	betel palm
betelpeppar	betel pepper
beteltuggare	betel chewers
beteltuggning	betel chewing
betesgång	pasture
bete sig	behave
betinga	condition
betingad	conditioned
betingelse	condition
betingning	condition
betingsarbete	conditional work
betingsläsning	conditional reading
betitla	title
betitta	watch
betjäna sig	serve yourself
betjäning	service
betjäningsavgift	service charge
betjänt	valet
betjänte	valet
betkampanj	bet campaign
betmedel	bait
betonad	emphasized
betong	concrete
betongblandare	concrete mixer
betongbädd	concrete bed
betongera	concrete
betonggetto	concrete ghetto
betonggris	concrete pig
betonghäck	concrete hedge
betongparti	concrete lot
betr.	regarding
betraktande	viewing
betraktare	observer
betraktelse	consideration
betraktelsesätt	approach
betrycka	impress
betrygga	reassure
beträffa	concern
beträngd	distressed
bets	stain
betsa	stain
betsla	bridle
betsmedel	mordant
betsocker	beet sugar
bettel	beg
bettla	beg
bettlare	beggar
bettleri	begging
betungande	burdensome
betuttad	fed up
betvingande	compelling
betvivla	disbelieve
betydelseförskjutning	meaning shift
betydelseförändring	change of meaning
betydelselära	theory of meaning
betydelselös	insignificant
betydelsenyans	shade of meaning
betydelseutveckling	development of meaning
betydenhet	significance
betydlig	considerable
betydligt	considerably
betyg	rating
betygelse	certification
betygsavskrift	grade transcript
betygsfri	grade free
betygshets	grade anxiety
betygskatalog	rating catalog
betygsnämnd	grading committee
betygsskala	rating scale
betygsätta	rate
betäckning	covering
betänklig	questionable
betänklighet	apprehension
beundransvärd	admirable
beundrare	fan
bevakningsinlaga	security deposit
bevakningskedja	chain of custody
bevakningsområde	surveillance area
bevandrad	versed
bevars	is preserved
bevekelsegrund	motive
bevillning	grant
bevillningsavgift	license fee
bevisbörda	burden of proof
bevisföring	taking evidence
bevisförvanskning	tampering with evidence
beviskedja	chain of evidence
beviskraft	evidentiary force
beviskraftig	evidentiary
beviskrav	proof requirements
bevisligen	demonstrably
bevismaterial	evidence material
bevismedel	evidence
bevisprövning	evidentiary examination
bevisskyldig	burden of proof
bevissäkring	securing evidence
bevista	attend
bevisvärde	probative value
bevisvärdering	evidence evaluation
bevuxen	overgrown
bevågenhet	vigilance
beväpning	arming
bevära	maintain
bevärdiga	dignified
beväring	conscript
beväxt	overgrown
bh	bra
bhutanes	Bhutanese
bhutanesisk	Bhutanese
bhutanesiska	Bhutanese
biavel	beekeeping
biavsikt	ulterior purpose
bibana	branch line
bibehållen	maintained
bibel	bible
bibelbälte	bible belt
bibelförklaring	Bible explanation
bibelhandskrift	Bible manuscript
bibelkanon	biblical canon
bibelkommission	Bible Commission
bibelkonkordans	Bible Concordance
bibelkristen	Bible Christian
bibelkritik	biblical criticism
bibelsamtal	Bible conversation
bibelspråk	biblical language
bibelsprängd	bible blasted
bibelsällskap	Bible Society
bibeltrogen	biblically faithful
bibelvers	bible verse
bibetydelse	connotation
bibliofil	bibliophile
bibliofilupplaga	bibliophile edition
bibliograf	bibliographer
bibliografi	bibliography
bibliografisk	bibliographic
biblioman	bibliophile
bibliomani	bibliomania
bibliotekarie	librarian
biblioteksband	library tape
biblioteksbord	library table
bibliotekshögskola	library college
biblomma	bee flower
bibringa	impart
bibröd	side bread
bicykleta	the bike
bidan	the bid
bidé	bidet
bidevind	tailwind
bidevindare	bide winder
bidevindsegel	biwind sail
bidevindseglare	biwind sailors
bidraga	contribute
bidragande	contributory
bidragsdel	contribution part
bidragsförskott	contribution advance
bidragsgivare	contributor
bidragsskyldighet	contribution obligation
bidrottning	queen bee
biedermeier	Biedermeier
biedermeierstil	Biedermeier style
bienn	the bee
biennal	biennial
bifalla	grant
bifallsrop	applause
bifallsstorm	storm of applause
biff	steak
biffdjur	beef animal
biffig	beefy
biffko	beef cow
biffrad	beefed up
biffstek	steak
bifftomat	steak tomato
bifigur	supporting character
bifilär	bifilar
bifoga	attach
bifokalglas	bifocal glasses
bifurkation	bifurcation
bigami	bigamy
bigarrå	biggar raw
bigata	big street
bigbangteorin	the big bang theory
bigift	bee poison
bigott	bigoted
bigotteri	bigotry
bigård	apiary
bihandling	beekeeping
bihang	appendage
bihus	beehive
bihuva	sinus
bihåla	sinus
bihåleinflammation	sinusitis
biinkomst	secondary income
bijouterier	jewelry
bikarbonat	bicarbonate
biklöv	bee leaf
bikonkav	biconcave
bikonvex	biconvex
bikrona	bee crown
bikt	confession
bikta	confess
bikta sig	confess
biktbarn	confessor
biktfader	confessor
biktstol	confessional
bikupa	Beehive
bil	car
bil.	car.
bilaccis	car rental
bilaga	appendix
bilbatteri	car battery
bilbesiktning	motor vehicle inspection
bilboké	car booking
bilburen	car borne
bilbälte	seat belt
bildande	formation
bildband	picture tape
bildbar	educable
bilderbok	picture book
bildgåta	picture puzzle
bildhuggare	sculptor
bildhuggeri	sculpture
bildhållning	image retention
bildkarta	image map
bildkonst	visual arts
bildkryss	picture cross
bildlig	figurative
bildläsare	image reader
bildmaterial	image material
bildmonitor	image monitor
bildmässig	pictorially
bildningsfel	formation error
bildningsförbund	educational association
bildningshögfärd	higher education
bildningsnivå	education level
bildningsorganisation	educational organization
bildningsroman	educational novel
bildningstörst	thirst for education
bildningsverksamhet	educational activities
bildningsvärme	heat of formation
bildprakt	pictorial magnificence
bildradio	picture radio
bildredaktör	image editor
bildreportage	photo reportage
bildrulle	roll of film
bildruta	frame
bildrör	picture tube
bildsignal	image signal
bildskrift	pictorial writing
bildskärm	screen
bildskärpa	image sharpness
bildskön	beautiful picture
bildsnidare	image carver
bildsnideri	image carving
bildstormare	image stormer
bildstrid	image battle
bildsvit	image suite
bildtelefon	picture phone
bildtelegrafi	picture telegraphy
bildtext	caption
bildvävnad	image tissue
bildöverföring	image transfer
bilfri	car free
bilfärja	car ferry
bilförare	car driver
bilism	motoring
bilist	motorist
biljard	billiards
biljardboll	pool ball
biljardbord	pool table
biljardkö	cue
biljardsalong	pool hall
biljett	ticket
biljettautomat	ticket machine
biljettbok	ticket book
biljettexpedition	ticket dispatch
biljettficka	ticket pocket
biljettförsäljare	ticket seller
biljettförsäljning	ticket sales
biljetthäfte	ticket booklet
biljettkontor	ticket office
biljettkontroll	ticket control
biljettlucka	ticket window
biljettmaskin	ticket machine
biljettsläpp	ticket release
biljettvisering	ticket visa
biljettång	ticket steam
biljon	trillion
biljud	car noise
bilkarta	road map
bilkårist	car driver
bilkö	car queue
billast	car load
billighet	cheapness
billighetsupplaga	discount edition
billots	car lots
billån	car loan
bilmärke	car brand
bilnyckel	car key
bilolycka	car accident
bilparkering	car parking
bilprovning	car testing
bilrally	car rally
bilregister	car registry
bilring	car ring
bilsjuk	carsick
bilskatt	car tax
bilskola	driving school
bilstöld	car theft
biltelefon	car phone
biltog	outlawed
biltunnel	car tunnel
bilverkstad	garage
bilväg	driveway
bilägare	car owner
biläger	attachment
bilägga	settle
bimetall	bimetal
bimåne	bee moon
binamn	by-name
bindare	binder
bindbjälke	tie beam
bindehinna	conjunctiva
bindehinneinflammation	conjunctivitis
bindemedel	binder
bindeord	conjunction
binderi	bindery
bindestreck	hyphen
bindesubstans	binding substance
bindesäck	tie sack
bindevokal	tie vowel
bindgalen	binding mad
bindgarn	binding twine
bindning	binding
bindnål	tie pin
bindsle	bandage
bindsten	tie stone
bindsula	binding sole
bindväv	connective tissue
bindämne	binder
binga	binge
binge	bin
bingel	binge
bingolott	bingo lottery
binjure	adrenal gland
binnikemask	tapeworm
binokel	binoculars
binokulär	binocular
binom	binomial
binär	binary
binäring	binary nutrition
bio	cinema
bio-	cinema-
biobesök	cinema visit
biobiljett	cinema ticket
biobränsle	biofuel
biocid	biocide
biodlare	beekeeper
biodling	beekeeping
bioduk	film screen
biodynamik	biodynamics
biodynamisk	biodynamic
biofysik	biophysics
biofysisk	biophysical
bioföreställning	cinema performance
biogenes	biogenesis
biogenetisk	biogenetic
biogeografi	biogeography
biograf	cinema
biografbyrå	cinema agency
biografera	biograph
biografisk	biographical
biograforgel	cinema organ
biografpublik	cinema audience
biografteater	cinema theater
biokemi	biochemistry
biokemisk	biochemical
biokemist	biochemist
bioklimatologi	bioclimatology
biokronologi	biochronology
biolog	biologist
biologism	biolism
biomassa	biomass
biomedicin	biomedicine
biometri	biometrics
biomständighet	biocircumstance
biopremiär	cinema premiere
biopsi	biopsy
biorytm	biorhythm
biosfär	biosphere
bioteknik	biotechnology
bioteknisk	biotechnological
biotisk	biotic
biotop	biotope
biotyp	biotype
biperson	bystander
biplan	biplane
biplanet	the biplane
bipolaritet	bipolarity
bipolär	bipolar
biprodukt	by-product
bir	beer
birfilare	bifiler
birgittin	Birgittine
birgittinorden	the Birgittine order
biroll	supporting role
bisak	side issue
bisam	musk
bisamhälle	bee society
bisamoxe	bisamox
bisamråtta	muskrat
bisamsvin	muskrat
bisarr	bizarre
bisarreri	bizarreness
bisats	subordinate clause
bisatsordföljd	secondary word order
bischoff	Bishop
bisektris	bisector
bisexualitet	bisexuality
bisexuell	bisexual
bisittare	visitor
biskoplig	episcopal
biskopsdöme	bishopric
biskopskors	bishop's cross
biskopskräkla	bishop spit
biskopsmössa	bishop's cap
biskopsmöte	meeting of bishops
biskopsskrud	bishop's coat of arms
biskopsstav	bishop's staff
biskopsvisitation	episcopal visitation
biskvi	macaroon
biskviporslin	bisque china
bisköldkörtel	parathyroid gland
biskötsel	beekeeping
bismak	aftertaste
bisonoxe	Buffalo
bisp	bishop
bispringa	succor
bissera	bissure
bisting	bee sting
bistock	beehive
bistra till	grim to
bisträcka	extend
bisturi	scalpel
bistyng	by stitch
biståndsland	aid country
biståndsminister	aid minister
biståndsorgan	aid agencies
bisyssla	sideline
bisätta	intercede
bisättning	burial
bita av	bite off
bita ifrån sig	bite off
bitanke	afterthought
bitas	bite
bita sig fast	bite down
bitchig	bitchy
bitecken	bite marks
bitestikel	epididymis
biton	bits
bitryck	secondary pressure
biträdande	assistant
bitsk	bitter
bitsocker	granulated sugar
bitteliten	tiny
bitterkall	bitterly cold
bitterljuv	bittersweet
bittermandel	bitter almond
bittermandelolja	bitter almond oil
bittersalt	bitter salt
bittersta	bitterest
bittersöt	bittersweet
bittersöta	bittersweet
bittervatten	bitter water
bituminös	bituminous
bitvarg	curmudgeon
bitvis	here and there
bivack	bivouac
bivackera	bivouac
biverkan	side effect
biverkning	side effect
bivråk	side hustle
biväg	byroad
biätare	bee eater
bjuda emot	welcome
bjuda till	invite to
bjuda upp	invite up
bjuda ut	invite out
bjudcigarr	invitation cigar
bjussa	barge
bjäbb	babe
bjäbba	babe
bjäbbig	badass
bjäfs	gewgaw
bjälkhuvud	beam head
bjälkverk	beams
bjällerklang	bell ringing
bjällko	bell cow
bjära	bear
bjärt	bright
bjässe	shit
björk	birch
björke	birch
björkgräns	birch border
björklag	birch layer
björkna	white bream
björkregion	birch region
björksly	birch shelter
björksopp	birch sap
björktrast	birch thrush
björna	bear
björnbindsle	bear bandage
björnbär	blackberry
björnbärsbuske	blackberry bush
björnfloka	bear tangle
björnfrossa	bear chills
björnhallon	bear raspberry
björnhund	bear dog
björnkram	bear hug
björnloka	bear loka
björnmossa	bear moss
björnram	bear frame
björnskall	bear shell
björnskinnsmössa	bearskin cap
björntjänst	poor service
björntråd	bear wire
blackig	blackish
blada	leaf
bladbagge	leaf beetle
bladdra	browse
bladfot	leaf foot
bladfoting	leaf footing
bladgrönt	leafy green
bladgult	leaf yellow
bladkål	leaf cabbage
bladloppa	aphid
bladlus	aphid
bladmage	leaf stomach
bladmetall	sheet metal
bladminerare	leaf miner
bladmossa	leaf moss
bladmögel	leaf mold
bladning	browsing
bladrullsjuka	leaf roll disease
bladrött	leaf red
bladsilver	silver leaf
bladskärarmyra	leaf cutter ant
bladstekel	petioles
bladställning	leaf stand
bladveck	leaf folds
bladverk	foliage
blaffa	hitchhike
B-lag	B team
blaggarn	the bugger
blaha	blah
blaj	blah
blaja	diaper
blamage	shame
blamant	blameworthy
blamera sig	blame yourself
blanchera	blanch
blancmangé	blancmange
blanda ihop	mix up
blandare	mixer
blanda samman	mix together
blandekonomi	mixed economy
blandfoder	mixed feed
blandfärg	mixed color
blandningsförhållande	mixing ratio
blandningskran	mixing valve
blandras	mixed race
blandskog	mixed forest
blandspråk	mixed language
blankborste	glossy brush
blankett	form
blankettraseri	form rage
blankettskåp	form cabinet
blankis	blank ice cream
blanklax	white salmon
blankläder	patent leather
blankning	short selling
blanko	blank
blankoaccept	blank acceptance
blankocheck	blank check
blankofullmakt	carte blanche
blankokredit	blank credit
blankoväxel	bill of exchange
blankoöverlåtelse	blank transfer
blankpolera	polish
blanksej	blank slate
blankskinn	shiny leather
blanksliten	worn out
blanksvärta	glossy black
blankvatten	sparkling water
blankvers	blank verse
blankål	blank needle
blarra	browse
blaserad	blasé
blasfemi	blasphemy
blasfemisk	blasphemous
blask	dishwater
blaska	rag
blaskig	washy
blasonering	blazon
blast	tops
blasta av	blast off
bleck	tinplate
bleckblåsinstrument	brass instrument
bleckmusik	brass band
bleckplåt	tin plate
bleckslagare	tinsmith
bleckslageri	sheet metal warehouse
blecksmak	tin taste
blekansikte	pale face
bleke	pale
blekfet	pale fat
bleking	bleaching
blekingseka	bleaching oak
blekingsk	bleaching
blekingska	bleaching
blekjord	pale earth
bleklagd	bleached
blekmedel	bleach
bleknos	pale nose
blekselleri	pale celery
bleksiktig	pale-eyed
bleksot	bleach soot
blekvätska	bleach liquid
blessera	bless
blessyr	blessing
bli av	get rid of
blickfält	field of view
blickpunkt	point of view
blickstilla	gaze still
blidgrad	degree of gentleness
blidvinter	gentle winter
blidväder	mild weather
blig	please
bliga	become
blindalfabet	Braille alphabet
blindbock	blind goat
blindbotten	blind bottom
blindbroms	blind brake
blinddörr	blind door
blindera	blind
blindering	blinding
blindflygning	blind flight
blindfönster	blind window
blindgata	dead end
blindgångare	dead end
blindhund	blind dog
blindkarta	blind map
blindlandning	blind landing
blindlykta	blind light
blindnässla	stinging nettle
blindparti	blind party
blindpassagerare	stowaway
blindpatron	blind cartridge
blindpipa	blind pipe
blindpressa	blind press
blindpressning	blind pressing
blindprov	blind test
blindrote	dead end
blindrå	blind raw
blindschack	blind chess
blindskola	school for the blind
blindskrift	Braille
blindspår	dead end
blindstyre	blind steering
blindtarm	appendix
blindtarmsinflammation	appendicitis
blindtryck	blind pressure
blinkfyr	flashing light
blinkhinna	blink membrane
blinkljus	flashing lights
blinning	blindness
bli till	become
blixt-	flash-
blixtanfall	lightning strike
blixtbelysning	flash lighting
blixtbesök	lightning visit
blixtfotografering	flash photography
blixtfyr	flash beacon
blixthalka	lightning strike
blixtkrig	blitzkrieg
blixtlampa	flash light
blixtljus	flashlight
blixtlås	zipper
blixtpatron	flash cartridge
blixtpulver	flash powder
blixtra till	flash to
blixtsamtal	lightning call
blixtsnabb	lightning fast
blixtvisit	flying visit
blocka	block
blockad	blockade
blockadbrott	blockade breach
blockadbrytare	blockade breaker
blockalmanacka	block almanac
blockbildning	block formation
blockchoklad	block chocolate
blockdiagram	block diagram
blockering	blocking
blockflöjt	recorder
blockhus	blockhouse
blockmark	block land
blockpolitik	block politics
blocksignal	block signal
blockskiva	block disk
blocksystem	block system
blocktalja	block hoist
blocktrissa	block pulley
blocktyg	block fabric
blockvagn	block wagon
blockämne	block subject
blodapelsin	blood orange
blodbank	blood bank
blodbefläckad	bloodstained
blodblåsa	blood blister
blodbok	blood book
blodbrist	anemia
blodcell	blood cell
blodcirkulation	blood circulation
bloddoping	blood doping
bloddrypande	blood dripping
blodfattig	anemic
blodfull	bloody
blodfärgämne	blood dye
blodförgiftning	blood poisoning
blodgivare	blood donor
blodgrupp	blood group
blodhosta	whooping cough
blodigel	leech
blodkorv	blood sausage
blodkropp	blood cell
blodkräfta	blood cancer
blodkräkning	vomiting blood
blodkärl	blood vessel
blodlutsalt	blood lye salt
blodlös	bloodless
blodmat	blood meal
blodnäva	blood fist
blodomlopp	bloodstream
blodpalt	blood loss
blodplasma	blood plasma
blodplätt	platelet
blodpropp	blood clot
blodprov	blood sample
blodpudding	black pudding
blodrand	streak of blood
blodregn	rain of blood
blodriska	hemorrhagic
blodrot	bloodroot
blodsdroppe	blood drop
blodserum	blood serum
blodsjukdom	blood disease
blodsocker	blood sugar
blodspenning	blood pressure
blodspottning	blood spitting
blodsprängd	blood splattered
blodstallning	blood coagulation
blodsten	blood stone
blodstensmalm	bloodstone ore
blodstillande	hemostatic
blodstillning	hemostasis
blodstinn	stasis of blood
blodstockning	blood clotting
blodstänkt	blood splattered
blodstörtning	blood loss
blodsugare	bloodsucker
blodsvettning	blood sweating
blodsystem	blood system
blodsänka	blood drop
blodtappning	blood draw
blodtransfusion	blood transfusion
blodtryck	blood pressure
blodtyp	blood type
blodvallning	bleeding
blodvatten	blood water
blodvite	blood white
blodvåg	blood wave
blodvärde	blood count
blodvätska	blood fluid
blodåder	blood vessel
blodörn	Blood eagle
blodöverfyllnad	blood overflow
blodöverföring	blood transfusion
blomaxel	flower axis
blomblad	flower petals
blombord	flower table
blombotten	flower base
blombukett	bouquet
blomdoft	floral scent
blomfat	flower dish
blomfjäll	flower scale
blomflock	bunch of flowers
blomfluga	flower fly
blomfoder	flower feed
blomfäste	flower mount
blomholk	flower box
blomhuvud	flower head
blomhylle	flower shelf
blomhänge	flower pendant
blomhölster	flower holster
blomkalk	flower lime
blomklase	flower cluster
blomknippe	bunch of flowers
blomknopp	flower bud
blomkolv	flower flask
blomkorg	flower basket
blomkrans	flower wreath
blomkrona	flower crown
blomkruka	flower pot
blomkvast	flower tassel
blomkvistare	flower sprigs
blomkål	cauliflower
blomkålshuvud	head of cauliflower
blomkålssvamp	cauliflower mushroom
blomkålsöra	cauliflower ear
blomkäpp	flower stick
blommerad	flowery
blommig	floral
blommografera	flower photograph
blommogram	flower chart
blomningstid	florescence
blomskaft	flower stalk
blomst	flower
blomsteraffär	flower shop
blomsterbord	flower table
blomsterförmedling	flower arranging
blomsterhandel	flower shop
blomsterhandlare	florist
blomsterhonung	flower honey
blomsterkvast	flower tassel
blomsterlök	flower bulbs
blomstermånad	flower month
blomsterspråk	language of flowers
blomsterträdgård	flower garden
blomsteruppsats	flower essay
blomstervas	flower vase
blomsteräng	flower meadow
blomstjälk	flower stalk
blomstoft	flower powder
blomställning	inflorescence
blomvas	flower vase
blomvass	flower reed
blomväxt	flowering plant
blond	blonde
blondera	blonde
blondin	blonde
blota	bare
blottare	flasher
blottställa	expose
bludder	bleeding
bluddra	blubber
bluffa	bluff
bluffmakare	scam maker
bluffstopp	bluff stop
blunddocka	eye doll
blundskylt	blind sign
blus	blouse
blusa sig	blouse yourself
blya	lead
blyackumulator	lead accumulator
blyaska	lead ash
blyblomma	plumbago
blydagg	lead dew
blyerts	pencil
blyertspenna	pencil
blyfolie	lead foil
blyfri	unleaded
blyfärg	lead paint
blyförgiftad	lead poisoned
blyförgiftning	lead poisoning
blygdben	pubic bone
blygdläpp	labia
blyghet	shyness
blyglas	lead glass
blyglete	litharge
blygrå	lead grey
blygult	lead yellow
blyköl	lead keel
blymönja	red lead
blysalva	lead ointment
blysocker	lead sugar
blytetraetyl	lead tetraethyl
blytung	lead heavy
blyvatten	lead water
blyvitt	ceruse
blyättika	lead vinegar
blåaktig	bluish
blåanlupen	the blues
blåblodig	blue blooded
blåbär	blueberry
blåbärsris	blueberry rice
blåbärssoppa	blueberry soup
blåduva	blue pigeon
blådåre	Blueberry
blåeld	blue fire
blåelse	bluing
blåfrusen	blue frozen
blågrönalg	blue green algae
blågul	blue and yellow
blåhaj	blue shark
blåhake	blue-throat
blåhallon	blue raspberry
blåhjon	bluebird
blåholts	bluewood
blåhägg	blue hag
blåis	blue ice
blåjacka	blue jacket
blåklint	cornflower
blåklocka	bluebell
blåkläder	blue clothes
blåkoka	blue boil
blåkopia	blueprint
blåkopiering	blueprinting
blåkråka	blue crow
blåkullafärd	blue-collar journey
blåkål	collard greens
blåköra	blue collar
blålera	blue clay
blåljus	blue light
blålusern	Lucerne
blåmanet	the blue jellyfish
blåmes	blue tit
blåmusseron	blue mouse
blåmussla	blue mussel
blåna	blue
blåneka	blue nega
blåpenna	blue pencil
blåregn	wisteria
blåräv	blue fox
blåsare	blower
blåsa sig	blow yourself up
blåsbälg	bellows
blåsfoting	bladder footing
blåshals	blue neck
blåshalskörtel	cystic gland
blåshål	blow hole
blåsig	windy
blåsippa	hepatica
blåsjuka	cystitis
blåskatarr	cystitis
blåslampa	blowtorch
blåsljud	blowing sound
blåsmask	blow mask
blåsning	blowing
blåsorkester	brass band
blåsprit	rubbing alcohol
blåsrör	blowpipe
blåssten	blowstone
blåstrumpa	blue stocking
blåstång	blue rod
blåställ	overalls
blåsur	wind clock
blåsväder	windy weather
blåsyra	hydrocyanic acid
blåsört	blue wort
blåträ	blue wood
blåtåtel	blue teal
blåval	blue whale
blåved	bluewood
blåvinge	blue wing
blåvärme	blue heat
blåögd	blue eyed
bläcka	ink
bläckfisk	octopus
bläckhorn	inkhorn
bläckkörtel	ink gland
bläckpenna	ink pen
bläckplump	ink blot
bläckpulver	ink powder
bläcksuddare	ink eraser
bläcksvamp	ink fungus
bläcksäck	ink sac
bläda	browse
blädderblock	Flipchart
blädderbok	flip book
blända	dazzle
bländare	aperture
blände	blende
bländfri	glare free
bländning	glare
bländskiva	louvre disc
bländskydd	glare protection
bländvit	dazzling white
bläng	dazzle
blänga	lour
blänk	shine
blänkare	glossier
blänke	shine
blänkfyr	flash beacon
bläs	blaze
bläsand	wigeon
bläsbock	blowpipe
bläsgås	blue goose
bläster	blast
blästerrör	blast pipe
blästra	blast
blöda	bleed
blödare	bleeder
blödarsjuka	hemophilia
blödighet	bleeding
blöja	diaper
blötdjur	mollusc
blötfoder	wet food
blötläggning	soaking
blötläggningsmedel	soaking agent
blötröta	wet rot
blötsnö	wet snow
B-nivå	B level
BNP	GDP
-bo	-stay
boaorm	boa constrictor
board	boards
boardingcard	boarding card
boardingkort	boarding pass
boasera	boaser
bobba	boba
bobin	bobbin
bocka av	tick off
bocka för	tick for
bocka sig	bow down
bockbent	bent leg
bockblad	buck leaf
bockbro	trestle bridge
bockfot	club foot
bockhorn	buck horn
