از	From	z
وتگرگ	Androgynous	wtgrg
میثاق	Covenant	mythq
گرفتارخواهد	Will be caught	grftrkhwhd
بسترکوتاه	Short bed	bstrkhwth
ولحاف	And a quilt	wlHf
رابپوشاند	Cover it up.	rbpwshnd
شمامحکم	You are strong.	shmmHkhm
برزگر،	Farmer,	brzgr,
میشکافد	It cracks.	myshkhfd
پاشد	Splash	pshd
درشیارها	In the grooves	drshyrh
ذرت	Corn	dhrt
درحدودش	Within its limits	drHdwdsh
گذارد؟	Leave it?	gdhrd?
گردون	Girdon	grdwn
وزیره	Minister	wzyrh
آردمی	Ardemy	ardmy
کوبی	Kobe	khwby
بگرداندآن	Turn it around.	bgrdndan
الرای	Al Ray	lry
الحکمت	Wisdom	lHkhmt
بارهها	Times	brhh
آوازتو	Your voice	awztw
زمزم	Zamzam	zmzm
مانندکاه	Like straw	mnndkhh
بتنگ	Batang	btng
مشتهی	A handful	mshthy
باکوه	Baku	bkhwh
وکور	Blind	wkhwr
ازشراب	From wine	zshrb
نوان	Novan	nwn
محجوب	Unobtrusive	mHjwb
تومارمختوم	Tomarmkhtoum	twmrmkhtwm
میگوینداین	They say this	mygwyndyn
آموختهاند،	They have learned,	amwkhthnd,
دیگربا	With others	dygrb
خداوندبسیار	God is great.	khdwndbsyr
زبرکنندگان	Rougheners	zbrkhnndgn
مرانساخته	Made of marble	mrnskhth
مصورش	His/her illustrator	mSwrsh
گویدکه	He says that	gwydkhh
وجدخواهند	They will be delighted.	wjdkhwhnd
واستهزاکنندگان	And the mockers	wsthzkhnndgn
میگسترانند	They are spreading	mygstrnnd
دیگرنخواهد	He won't want it anymore.	dygrnkhwhd
بیندآنگاه	See then	byndangh
وقدوس	Holy	wqdws
متمردان	Rebels	mtmrdn
ورکن	Work	wrkhn
وشجاعان	And the brave	wshj`n
وشریفان	And the sheriffs	wshryfn
حاذق	Clever	Hdhq
هرشخص	Everyone	hrshkhS
یهودامنهدم	Judaea is destroyed.	yhwdmnhdm
ننگآورند	They are disgraceful.	nngawrnd
برجانهای	Barjanhai	brjnhy
شماگمراه	You are misguided.	shmgmrh
کنندگانند	They are doing	khnndgnnd
درخواهد	Will come out	drkhwhd
راخوردهاید	You ate it.	rkhwrdhyd
وغمزات	Whimsical	wGmzt
خلخالها	Anklets	khlkhlh
روبندها	Veils	rwbndh
عطردانها	Perfume bottles	`Trdnh
وتعویذها	And amulets	wt`wydhh
انگشترها	Rings	ngshtrh
کیسهها	Bags	khyshh
آینهها	Mirrors	aynhh
برقعها	Burqas	brq`h
شجاعانت	Your bravery	shj`nt
خواهدنشست	Will sit down	khwhdnshst
مصرعزیمت	EgyptDeparture	mSr`zymt
مصراعتماد	EgyptEtemad	mSr`tmd
واعتماد	And trust	w`tmd
حانیس	Hanis	Hnys
بهیموت	Behemoth	bhymwt
اسد	Assad	sd
وافعی	Wafi	wf`y
ومار	Wemar	wmr
برپشت	On the back	brpsht
رهب	Rehab	rhb
الجلوس	Sitting	ljlws
نامیدم	I called	nmydm
دروغگومی	Lying	drwGgwmy
ماگویید	Magouid	mgwyyd
وفساد	Corruption	wfsd
وشکستگی	Fracture	wshkhstgy
کوزهگرخواهد	The potter will	khwzhgrkhwhd
انابت	Annabeth	nbt
مییافتید	You would find	myyftyd
امانخواستید	You asked for help.	mnkhwstyd
روسوار	Rosvar	rwswr
روخواهند	They will be angry.	rwkhwhnd
فرارخواهند	They will escape.	frrkhwhnd
خواهیدگریخت	You will escape.	khwhydgrykht
بیدق	Bidaq	bydq
آوازفریادت	Your voice is screaming.	awzfrydt
معلمانت	Your teachers	m`lmnt
یاچپ	Yachap	ychp
میگردی	Are you looking?	mygrdy
تخمت	Egg	tkhmt
الاغانت	Alagant	lGnt
اوچوم	Ochoum	wchwm
راببندد	Close	rbbndd
دهدروشنایی	Dehroshaniya	dhdrwshnyy
ونفخه	And puffiness	wnfkhh
ببیزد	Run away.	bbyzd
وشادمانی	And happiness	wshdmny
آوازنی	Vocalist	awzny
وفرود	Landing	wfrwd
وشعله	And the flame	wsh`lh
عصاخواهد	He will need a cane.	`Skhwhd
باجنگهای	In wars	bjnghy
تودهاش	Its mass	twdhsh
بسیارقویاند	They are very strong.	bsyrqwynd
نظرنکنند	Don't comment.	nZrnkhnnd
برنخواهدگردانید	You will not return.	brnkhwhdgrdnyd
جسدند	They died.	jsdnd
لغزان	Slider	lGzn
مینمایدهنگامی	It seems that when	mynmydhngmy
ازصدای	From the sound	zSdy
فرونمی	Depression	frwnmy
طیران	Flying	Tyrn
وحمایت	And support	wHmyt
وصخره	And the rock	wSkhrh
ازعلم	From science	z`lm
درصهیون	In Zion	drShywn
مانندجویهای	Like rivers	mnndjwyhy
شتابندگان	Accelerators	shtbndgn
الکنان	Alkanan	lkhnn
ارتجال	Improvisation	rtjl
لئیم	Lame	ly'ym
دیگرکریم	Other cream	dygrkhrym
لامت	Lamet	lmt
مردکریم	The generous man	mrdkhrym
کریمانه	Kindly	khrymnh
پایدارخواهد	Will be sustainable	pydrkhwhd
وموهای	And hair	wmwhy
بیشهای	More	byshhy
سباع	Savage	sb`
تفرج	Recreation	tfrj
ونتیجه	Result	wntyjh
درمساکن	In residences	drmskhn
منزلهای	Homes	mnzlhy
درکه	Understanding	drkhh
میکاریدو	Mikaridou	mykhrydw
هاگریختند	They fled.	hgrykhtnd
موران	Moran	mwrn
جهید	Jump	jhyd
میجهند	They jump.	myjhnd
دراعلی	In the highest	dr`ly
شاهراههاویران	Highways are ruined.	shhrhhwyrn
گذریان	Passersby	gdhryn
عهدرا	Odhera	`hdr
ریختهاند	They have poured	rykhthnd
افرازم	Afrazm	frzm
مانندخارهای	Like thorns	mnndkhrhy
گرددخواهند	They will return.	grddkhwhnd
کارانی	Karani	khrny
اندمی	Endemic	ndmy
نارهای	Narhai	nrhy
اصغای	Listen	SGy
ریزی	Resi	ryzy
وملجای	And shelter	wmljy
زیباییش	Her beauty	zybyysh
خواهددید	You will see.	khwhddyd
بیپایان	Endless	bypyn
تومتذکر	You remind me.	twmtdhkhr
نویسنده	Author	nwysndh
شمارنده	Counter	shmrndh
والکن	Walken	wlkhn
دیگرنخواهی	You don't want it anymore.	dygrnkhwhy
ومیخهایش	And his nails	wmykhhysh
خداوندذوالجلال	Almighty God	khdwnddhwljll
پاروهاداخل	Paddles inside	prwhdkhl
سفینه	Spaceship	sfynh
عبورنخواهد	It will not pass.	`bwrnkhwhd
دکل	Mast	dkhl
باشندآمرزیده	Be forgiven.	bshndamrzydh
وکشتگان	And the dead	wkhshtgn
کوههاگداخته	The mountains are molten.	khwhhgdkhth
خواهندگشت،	They will go,	khwhndgsht,
بطوریکه	So that	bTwrykhh
روزخاموش	Closed day	rwzkhmwsh
سقا	Saqqara	sq
وخارپشت	Hedgehog	wkhrpsht
وغراب	And the West	wGrb
ازاشراف	From the nobility	zshrf
روسایش	Its leaders	rwsysh
خواهدرویید	Will grow	khwhdrwyyd
شغال	Jackal	shGl
غول	Giant	Gwl
عفریت	Demon	`fryt
ماواگزیده،	We have chosen,	mwgzydh,
آرامگاهی	Tomb	armghy
تیرمار	Tirmar	tyrmr
لرزنده	Vibrating	lrzndh
باانتقام	With vengeance	bntqm
ونهرها	Rivers	wnhrh
سراب	Mirage	srb
میخوابندعلف	They sleep on the grass.	mykhwbnd`lf
آنجاشاهراهی	There is a highway.	anjshhrhy
نجسان	Impure	njsn
باشدگمراه	Be misguided.	bshdgmrh
درندهای	Predators	drndhy
آنجایافت	Found there	anjyft
ناظرخانه	Watchman's House	nZrkhnh
بریهوه	Brihove	bryhwh
آشورشرط	Ashursharat	ashwrshrT
برآمدهام؟	Did I get out?	bramdhm?
الیقایم	Eliqaim	lyqym
گفتگونمایی	Talk show	gftgwnmyy
حصارند	Fence	HSrnd
منمای	Manmai	mnmy
توفرستاده	Available	twfrstdh
مانندزمین	Like the earth	mnndzmyn
آیاهیچکدام	Is there any?	ayhychkhdm
وارفاد	Warfad	wrfd
روزتنگی	Shortage	rwztngy
بفم	I understand.	bfm
شایدیهوه	Maybe.	shydyhwh
گوییدکه	You said that	gwyydkhh
اندمترس	Endometria	ndmtrs
ترهاقه	Terahaqeh	trhqh
تلسارمی	Telsarmi	tlsrmy
وهینع	And so on.	whyn`
بتنهایی	Alone	btnhyy
خداهستی	Godhead	khdhsty
انداختهاند	They threw	ndkhthnd
دعانمودی،	You prayed,	d`nmwdy,
بارهاش	Many times	brhsh
بربلندی	Elevation	brblndy
وبلندترین	And the tallest	wblndtryn
وگیاه	And the plant	wgyh
نموکردنش	Growing it	nmwkhrdnsh
خودروخواهید	You want a car?	khwdrwkhwhyd
بدروید	Badruid	bdrwyd
شهرداخل	Inside the city	shhrdkhl
آنهالاشهای	They are the remains.	anhlshhy
نینوی	Nineveh	nynwy
اراراط	Ararat	rrT
دیواربرگردانیده،	The wall has been turned,	dywrbrgrdnydh,
بجاخواهد	Will do.	bjkhwhd
ازدرجاتی	To some extent	zdrjty
بیمارشد	He got sick.	bymrshd
بیماریش	His illness	bymrysh
فیروزی	Turquoise	fyrwzy
ازبقیه	From the rest	zbqyh
انتظارکشیدم	I waited.	ntZrkhshydm
شکند	Shakand	shkhnd
پرستوک	Prestok	prstwkh
صدامی	Saddam Hussein	Sdmy
ازنگریستن	From looking at	zngrystn
درتنگی	Distress	drtngy
کفیل	Guarantor	khfyl
شفابده	Healing	shfbdh
انداختی	You threw it.	ndkhty
امیدوارنمی	I don't hope.	mydwrnmy
زندگانند،	They are alive,	zndgnnd,
خداوندخواهیم	God willing	khdwndkhwhym
بگیریدو	Take it.	bgyrydw
خداوندبرخواهم	God willing	khdwndbrkhwhm
نزدحزقیا	Near Hezekiah	nzdHzqy
وصحت	Health	wSHt
مسرورشده،	Delighted,	msrwrshdh,
حزقیاگفت	Hezekiah said	Hzqygft
درخزاین	In the treasury	drkhzyn
راتولید	Ratulide	rtwlyd
دردفتر	In the office	drdftr
خداوندچرک	God of filth	khdwndchrkh
محفلهایش	His gatherings	mHflhysh
ملجاء	Refuge	mlj
دلاویزبه	Delavizbeh	dlwyzbh
اوتمام	Ottam	wtmm
صحراراست	Sahara is real	SHrrst
وتلی	Whatley	wtly
کجیها	Crookedness	khjyh
وناهمواریها	Unevenness	wnhmwryh
زیباییاش	Its beauty	zybyysh
وشیر	And milk	wshyr
وافلاک	And the sky	wflkh
درکیل	Drakil	drkhyl
گنجانیده	Incorporated	gnjnydh
قپان	Qapan	qpn
ترازووزن	Scales	trzwwzn
مشیراو	Moshirov	mshyrw
اوبیاموزد؟	Will he learn?	wbymwzd?
دلو	Aquarius	dlw
بنظروی	In my opinion	bnZrwy
کمترمی	Less	khmtrmy
صنعتگربت	Craftsmanship	Sn`tgrbt
وزنجیرهای	Chains	wznjyrhy
پوسد	Rot	pwsd
ونشنیدهاید	And you haven't heard.	wnshnydhyd
شماخبر	You are the news.	shmkhbr
نفهمیدهاید؟	Don't you understand?	nfhmydhyd?
آسمانهارا	The skies	asmnhr
میگستراند	Magistrand	mygstrnd
لاشی	Corpse	lshy
نگردیدهاند	They have not been seen.	ngrdydhnd
میدمد	It blows.	mydmd
وگرد	Go around	wgrd
راآفرید	Create	rafryd
بشماره	Count	bshmrh
بکلی	Beckley	bkhly
خواهندخرامید	They will wander.	khwhndkhrmyd
قبیلهها	Tribes	qbylhh
میگرددبه	It goes to	mygrddbh
بودبسلامتی	Good health	bwdbslmty
واقصای	Disadvantages	wqSy
باچکش	With a hammer	bchkhsh
سندان	Anvil	sndn
لحیم	Solder	lHym
خوددستگیری	Self-arrest	khwddstgyry
نمایندجستجو	Search agent	nmyndjstjw
توجنگ	Tujang	twjng
شرذمه	Shame	shrdhmh
خداوندشادمان	God bless us	khdwndshdmn
فخرخواهی	Pride	fkhrkhwhy
وادیهاچشمهها	Valleys and springs	wdyhchshmhh
آوریدو	Come and see.	awrydw
راعرضه	Offer	r`rDh
شدنزدیک	Nearby	shdnzdykh
مابشنوانید	We hear you.	mbshnwnyd
کندرجس	Congeries	khndrjs
برگل	Bergel	brgl
کوزهگری	Pottery	khwzhgry
تابگوییم	Let's talk.	tbgwyym
تواندداد	Candid	twnddd
خشنوداست،	He is pleased,	khshnwdst,
درکوچهها	In the alleys	drkhwchhh
رانخواهد	He/She will not.	rnkhwhd
صادرگرداند	Export	Sdrgrdnd
منکسرنخواهد	I won't break it.	mnkhsrnkhwhd
وجزیرهها	And the islands	wjzyrhh
باشندو	Be present	bshndw
محبس	Prison	mHbs
آنهاخبر	They are news.	anhkhbr
آنهاسرود	They are the ones who sing.	anhsrwd
ازقله	From the top	zqlh
راتوصیف	Description	rtwSyf
هابخوانند	They will sing.	hbkhwnnd
وساکت	Silent	wskht
برکهها	Ponds	brkhhh
وکوران	And blind	wkhwrn
بربتهای	Harp	brbthy
تاببینید	See you later.	tbbynyd
میفرستم؟	Shall I send it?	myfrstm?
حفرهها	Holes	Hfrhh
زندانهامخفی	Secret prisons	zndnhmkhfy
وتوجه	Attention	wtwjh
نخواستندسلوک	He didn't want to act.	nkhwstndslwkh
تفکرننمودند	They didn't think.	tfkhrnnmwdnd
اسمت	Your name	smt
عبورنمایی	Passage	`bwrnmyy
فرونخواهند	They will not bow down.	frwnkhwhnd
وشعلهاش	And its flame	wsh`lhsh
رامصور	Ramsar	rmSwr
آنهاکیست	Who are they?	anhkhyst
مااعلام	Announcements	m`lm
رابرگزیدهام	Robersbridge	rbrgzydhm
دانسته،	Knowing,	dnsth,
درآبهای	In the waters	drabhy
چیزنویی	Something new	chyznwyy
شترمرغها	Ostriches	shtrmrGh
تمجیدخواهند	They will praise.	tmjydkhwhnd
خودایجاد	Self-creation	khwdyjd
نخواندی	You didn't read.	nkhwndy
مراتکریم	Marat Karim	mrtkhrym
رامحو	Ramhu	rmHw
بیاحترام	Disrespectful	byHtrm
یشرون	Yishron	yshrwn
نهرهابرخشک	Dry streams	nhrhbrkhshkh
سبزهها،	Greens,	sbzhh,
خواهندرویید	They will grow.	khwhndrwyyd
خداوندهستم	I am God.	khdwndhstm
راترتیب	Sorting	rtrtyb
برقرارنمودم	I established	brqrrnmwdm
میسازندجمیع	They make everything.	myszndjmy`
میپسندندفایدهای	They like the benefits	mypsndndfydhy
وصنعتگران	And industrialists	wSn`tgrn
میتراشد	It shaves.	mytrshd
راصاف	Smooth	rSf
سندیان	Sandian	sndyn
وشمشاد	Vashamshad	wshmshd
بکارمی	I will not work.	bkhrmy
میپزد	Cooks	mypzd
پرستد	Worshiped	prstd
رابسته	Closed	rbsth
فطانتی	Fatanti	fTnty
تابگویند	They say	tbgwynd
سوختیم	We burned.	swkhtym
زغالش	Its charcoal	zGlsh
آیادر	Yes, sir.	aydr
بیادآورچونکه	Reminder because	bydawrchwnkhh
سرشتمای	Head	srshtmy
وجنگلها	And the forests	wjnglh
گسترانیدم	I expanded.	gstrnydm
کاذبان	Liars	khdhbn
رابعقب	Behind	rb`qb
میگویدمعمور	He says, "The resident"	mygwydm`mwr
ونهرهایت	Your rivers	wnhrhyt
وجایهای	Places	wjyhy
نشناختی	You didn't know.	nshnkhty
پدیدآورنده	Creator	pdydawrndh
وآفریننده	And the Creator	wafrynndh
ببارانید	Make it rain.	bbrnyd
برویاند	Broviand	brwynd
آفریدهام	I created it.	afrydhm
راساختی؟	Did you make it?	rskhty?
خودگوید	Self-proclaimed	khwdgwyd
زاییدی	Birth	zyydy
تفویض	Delegation	tfwyD
راگسترانید	Expand	rgstrnyd
وتجارت	and trade	wtjrt
وخدایی	Oh my God	wkhdyy
ناجی	Savior	njy
رهاشدگان	The abandoned	rhshdgn
رهانیددعا	Prayer for salvation	rhnydd`
یکدیگرمشورت	Each other, advice	ykhdygrmshwrt
دیگرنیست؟	No more?	dygrnyst?
خشمناکندخجل	Angry, shy	khshmnkhndkhjl
بارحیوانات	Animal cargo	brHywnt
رهانیدبلکه	Rehaanideblake	rhnydblkhh
شیخوخیت	Old age	shykhwkhyt
میسنجند،	They measure,	mysnjnd,
بسازدپس	Make it then	bszdps
نظیرمن	Like me	nZyrmn
برقرارخواهد	Will establish	brqrrkhwhd
بجاخواهم	I will do it.	bjkhwhm
سختدلان	Hard-hearted	skhtdln
بیکرسی	Unrestrained	bykhrsy
خردکن	Shredder	khrdkhn
رابرهنه	Naked	rbrhnh
امانجاتدهنده	Depositor	mnjtdhndh
راملکه	Ramleke	rmlkhh
یادنیاوردی	You didn't remember.	ydnywrdy
دراطمینان	In confidence	drTmynn
بیاولادی	Childlessness	bywldy
وبیوگی	Webtoon	wbywgy
توآنها	You and them	twanh
رانخواهی	Desire	rnkhwhy
فروخواهد	Will fall	frwkhwhd
رصد	Observation	rSd
بندان	Bandan	bndn
کواکب	Constellation	khwkhb
کاهبن	Kahban	khhbn
بنشینندنخواهد	They won't sit down.	bnshynndnkhwhd
دهدنخواهد	He/She will not give.	dhdnkhwhd
صادرشدهاید،	You have been issued,	Sdrshdhyd,
وراستی،	Verasti,	wrsty,
صنم	Sanam	Snm
توقبل	Before	twqbl
بسیارخیانتکار	Very treacherous	bsyrkhyntkhr
بهخاطرجلال	For the sake of glory	bhkhTrjll
رامنقطع	Ramunchat	rmnqT`
تاسود	Tasud	tswd
میدادی،	You would give,	myddy,
ذرات	Particles	dhrt
نماییدو	Do it.	nmyydw
وتشنه	And the thirsty	wtshnh
هارهبری	Harrahberry	hrhbry
خواهدشکافت	Will split	khwhdshkhft
بجوشد	Boil	bjwshd
خودپنهان	Self-conceited	khwdpnhn
درترکش	In Turkish	drtrkhsh
اوبازآورم	He brought me back.	wbzawrm
برپاکنی	Establishment	brpkhny
نورامتها	Nooramatha	nwrmth
درظلمتند	They are in darkness.	drZlmtnd
درراهها	On the roads	drrhh
صحراهای	Deserts	SHrhy
داردایشان	They have them.	drdyshn
وراههای	Byways	wrhhy
ازمغرب	From the West	zmGrb
آسمانهاترنم	The skies are higher than mine.	asmnhtrnm
آوازشادمانی	Song of joy	awzshdmny
خواره	Poor	khwrh
برکف	Barkof	brkhf
زیورملبس	Jewelry and clothing	zywrmlbs
وویرانه	Devastating	wwyrnh
مراجایی	Marajai	mrjyy
راپرورش	Raporosh	rprwrsh
هادراز	Hadraz	hdrz
لالاهای	Tulips	llhy
قاهر	Qahir	qhr
بسرایم	Let's sing.	bsrym
موبهترین	The best	mwbhtryn
بناکرد	Built	bnkhrd
میبودتا	Would have been	mybwdt
وتاکستان	Vetistan	wtkhstn
منتظربودم	I was waiting.	mntZrbwdm
لهذاالان	For these people	lhdhln
خودچه	Self-made	khwdchh
پازش	Monitoring	pzsh
نباراند	It doesn't rain.	nbrnd
انتظارکشید	Waited.	ntZrkhshyd
فریادشد	He shouted.	frydshd
ومزرعه	And the farm	wmzr`h
تادرپی	Todrapey	tdrpy
تاشراب	Tashrab	tshrb
وعوام	and the common people	w`wm
وجمهور	And the public	wjmhwr
چریدو	Cherido	chrydw
رابشتاباند	Hurry up.	rbshtbnd
مینامند،	They call it,	mynmnd,
میگذارند،	They leave,	mygdhrnd,
حکیمند،	They are wise,	Hkhymnd,
برافشانده	Spread out	brfshndh
خوارشمردهاند	They are poor.	khwrshmrdhnd
خودمشتعل	Self-igniting	khwdmsht`l
فضلات	Waste	fDlt
برنگردیدو	Don't come back.	brngrdydw
پینگی	Ping	pyngy
سمهای	Poisons	smhy
وچرخهای	Wheels	wchrkhhy
بسلامتی	Hello	bslmty
اوفروختم؟	Did I sell it?	wfrwkhtm?
رابیابان	Rabiaban	rbybn
بیآبی	Dehydration	byaby
تلامیذ	Disciples	tlmydh
برنگشتم	I didn't come back.	brngshtm
زنندگان	Beaters	znndgn
رخسارخود	Your face	rkhsrkhwd
موکنان	Mokenan	mwkhnn
مراملزم	My dear	mrmlzm
میشنود؟	Can you hear?	myshnwd?
میافروزید	You are kindling.	myfrwzyd
درمشعلهایی	In torches	drmsh`lhyy
افروختهاید	You have ignited.	frwkhthyd
جنت	Paradise	jnt
ونجات	And salvation	wnjt
رامجروح	Ramjaruh	rmjrwH
میترسی	Are you afraid?	mytrsy
ازپسر	From the boy	zpsr
ستمکارکجا	The oppressor	stmkhrkhj
بنیادزمینی	Ground Foundation	bnydzmyny
برانگیزای	Inspiring	brngyzy
خداوندکاسه	God of the Bowl	khdwndkhsh
سرگیجی	Dizziness	srgyjy
آشامیدی	Drinking	ashmydy
رارهبری	Leadership	rrhbry
دوبلا	Double	dwbl
توماتم	Tomato	twmtm
وشمشیر،	And the sword,	wshmshyr,
دردام	I am in trouble.	drdm
ازعتاب	From the rebuke	z`tb
دردعوی	In the lawsuit	drd`wy
گذاشتهای	You left.	gdhshthy
بپوشای	Cover	bpwshy
بیفشان	Bifshan	byfshn
بینقره	Binqara	bynqrh
اینجامرا	Here I am.	ynjmr
دارندصیحه	They have a voice.	drndSyHh
خواهندشناخت	They will recognize	khwhndshnkht
میدهدو	Gives and	mydhdw
ساعد	Forearm	s`d
داریدبیکسو	You are welcome.	drydbykhsw
بیکسو	Bixo	bykhsw
ساقه	Stem	sqh
وعالی	Excellent	w`ly
بیشترتباه	More damage	byshtrtbh
بسیارخواهد	Very much wanted	bsyrkhwhd
مانندریشه	Like a root	mnndryshh
نگریم	Let's not look.	ngrym
غمها	Sorrows	Gmh
ورنج	Varang	wrnj
وخوار	Wahru	wkhwr
مامجروح	Wounded	mmjrwH
ماشفا	Mashfa	mshf
رانگشود	It was ruined.	rngshwd
مانندگوسفندی	Like a sheep	mnndgwsfndy
برندهاش	His/her winner	brndhsh
بیزبان	Speechless	byzbn
ازداوری	Arbitration	zdwry
حیلهای	Tricks	Hylhy
میسر	Possible	mysr
وبنده	Andband	wbndh
برخویشتن	To be involved	brkhwyshtn
بازورآوران	Bazur Avar	bzwrawrn
عاقرهای	Infertile	`qrhy
نزاییدهای	Unborn	nzyydhy
نکشیدهای	You didn't kill me.	nkhshydhy
نماو	Show	nmw
زیادهاند	There are many.	zydhnd
توامتها	Twins	twmth
رسوانخواهی	Scandal	rswnkhwhy
دیگربه	To another	dygrbh
مانندزوجه	Like a wife	mnndzwjh
بجوشش	Boiling	bjwshsh
توغضب	Anger	twGDb
خواهدگردید،	You will be,	khwhdgrdyd,
وعهد	Promise	w`hd
رنجانیده	Hurtful	rnjnydh
نیافتهای	Undiscovered	nyfthy
زردخواهم	I want yellow.	zrdkhwhm
مناره	Minaret	mnrh
توجمع	Collective	twjm`
هرزبانی	Irregular	hrzbny
برخیزدتکذیب	Rise up, deny.	brkhyzdtkhdhyb
وبخورید	Eat and drink.	wbkhwryd
سیرنمی	Satiety	syrnmy
متلذذ	Delicious	mtldhdh
فرا	Beyond	fr
شاهدگردانیدم	I witnessed.	shhdgrdnydm
بهخاطریهوه	For the sake of God	bhkhTryhwh
ومادامی	And Madam	wmdmy
مغفرت	Forgiveness	mGfrt
افکارمن	My thoughts	fkhrmn
میبارد	It is raining.	mybrd
آنجابرنمی	I won't go there.	anjbrnmy
بارورو	Baruru	brwrw
رانان	Runner	rnn
نخواهدبرگشت	He will not return.	nkhwhdbrgsht
خواهیدرفت	You will go.	khwhydrft
وتلها	The hills	wtlh
مقترن	Conjugated	mqtrn
نگویدکه	Don't say that	ngwydkhh
وخصی	Private	wkhSy
خصیهایی	Testicles	khSyhyy
بهتراز	Better than	bhtrz
خودشادمان	Self-satisfied	khwdshdmn
زیراخانه	Because of the house	zyrkhnh
اوکورند،	Okorand,	wkhwrnd,
گنگاند	Gangand	gngnd
حریصند	They are greedy.	HrySnd
توانندسیر	Can	twnndsyr
شبانند	They are shepherds.	shbnnd
توانندبفهمند	They can understand.	twnndbfhmnd
روف	Roof	rwf
ازمعرض	From the exhibition	zm`rD
بربسترهای	On the beds	brbstrhy
اماشماای	But you	mshmy
ساحره	Witch	sHrh
فاسق	Pervert	fsq
کذب	Falsehood	khdhb
بلوطها	Oaks	blwTh
سبزخویشتن	Greening oneself	sbzkhwyshtn
دروادیها	Dravidians	drwdyh
ملسای	Melsa	mlsy
نیزهدیه	Also a gift	nyzhdyh
گذرانیدی	You passed.	gdhrnydy
ورفیع	Varfi	wrfy`
گستردی	Widespread	gstrdy
باهوها	Arms	bhwh
یادگارخود	My own memory	ydgrkhwd
دیگرغیر	Other	dygrGyr
رابجای	Instead	rbjy
نرسانیدی	You didn't deliver.	nrsnydy
جاندادی؟	Did you die?	jnddy?
نماندم	I didn't stay.	nmndm
نترسیدی؟	Aren't you scared?	ntrsydy?
ومهیا	Ready	wmhy
درابدیت	In eternity	drbdyt
نیزبا	Also	nyzb
متواضعان	The humble	mtwD`n
وجانهایی	Souls	wjnhyy
ازدانستن	Knowing	zdnstn
ازتقرب	From the near future	ztqrb
ندیدی	You didn't see.	ndydy
رنجانیدیم	We were offended.	rnjnydym
برعمله	Practical	br`mlh
برنجاند	Baringand	brnjnd
بگستراند؟	Expand?	bgstrnd?
بازکنید	Open it.	bzkhnyd
رابشکنید؟	Break it?	rbshkhnyd?
رابپوشانی	Cover up	rbpwshny
فجرطالع	Fajr Taleh	fjrTl`
دعاخواهی	Prayer request	d`khwhy
وگفتن	And saying	wgftn
راسیر	Rasier	rsyr
خواهددرخشید	It will shine.	khwhddrkhshyd
واستخوانهایت	And your bones	wstkhwnhyt
نشودخواهی	You will not be able to.	nshwdkhwhy
بناخواهند	They will build.	bnkhwhnd
رابرپا	Rubberpaw	rbrp
خواهندخواند	They will read.	khwhndkhwnd
نیاوری	Don't bring	nywry
وسبت	Saturday	wsbt
خودرفتار	Self-behavior	khwdrftr
متلذذخواهی	Hedonism	mtldhdhkhwhy
سوارخواهم	I want a ride.	swrkhwhm
تانرهاند	Tannerhand	tnrhnd
شماحایل	You are welcome.	shmHyl
شماپوشانیده	You are covered.	shmpwshnydh
وزبانهای	Languages	wzbnhy
زایند	Zayand	zynd
میبافند	They weave	mybfnd
پوشانیدزیرا	Cover up because	pwshnydzyr
تلمس	Touch	tlms
بیچشمان	Bicheshman	bychshmn
مانندفاختهها	Like cuckoos	mnndfkhthh
دورمی	Dormi	dwrmy
راتنطق	Rattan	rtnTq
ازبدی	Freedom	zbdy
میسپارد	Delivers	mysprd
وتعجب	And surprise	wt`jb
جزایرپاداش	Reward Islands	jzyrpdsh
ازنام	From the name	znm
سرشاری	Abundance	srshry
خداوندآن	God of that	khdwndan
سرافین	Seraphim	srfyn
بادو	Badu	bdw
ازآواز	From the song	zawz
میلرزید	You were trembling.	mylrzyd
پرشد	Filled	prshd
انبر	Pliers	nbr
عصیانت	Rebellion	`Synt
خودببینند	See for yourself	khwdbbynnd
هابدون	Habdon	hbdwn
عشری	Tithe	`shry
گردیدمثل	Became like	grdydmthl
میشودکنده	It is possible.	myshwdkhndh
میماند،	It remains,	mymnd,
توطلوع	Initiation	twTlw`
ظاهرخواهد	Will appear.	Zhrkhwhd
جمازگان	Gemstones	jmzgn
عیفه	Eifa	`yfh
وزنهای	Weights	wznhy
خود؟	Yourself?	khwd?
مراخواهند	They want me.	mrkhwhnd
وطلای	And gold	wTly
رازدم	My secret	rzdm
چناربا	Chinarba	chnrb
تمجیدخواهم	I want to praise.	tmjydkhwhm
توسجده	Prostration	twsjdh
گذرنمی	It won't pass.	gdhrnmy
دیگرآفتاب	OtherSun	dygraftb
بادرخشندگی	With brilliance	bdrkhshndgy
تونور	Toner	twnwr
توتمام	All in all	twtmm
تاتمجید	To praise	ttmjyd
دروقتش	On time	drwqtsh
تامسکینان	Tamskinan	tmskhynn
ومحبوسان	And the prisoners	wmHbwsn
ندانمایم	I don't know.	ndnmym
شماکاهنان	You priests.	shmkhhnn
فخرخواهید	You want to be proud.	fkhrkhwhyd
خجالت،	Embarrassment,	khjlt,
ازنصیب	From the bottom of my heart	znSyb
رویاند	Dream	rwynd
افسرملوکانه،	Royal officer,	fsrmlwkhnh,
تودیگر	Together	twdygr
