- 和所有	- and all
惡毒地	blackly
想出來	come up with
想大	think big
想想	think on
想賭？	want to bet?
意味深長	meaningly
意圖	with intent
意外地	by accident
意外地意外	accidentally on purpose
意思是說	mean to say
意見分歧	difference of opinion
意願	volitional
愚蠢的運氣	dumb luck
愛上	fall for
愛情	for love
愛的勞動	a labour of love
感受到脈搏	feel the pulse of
感興趣	at interest
感興趣	with interest
感覺好因素	feel-good factor
感覺很小	feel small
感覺捏	feel the pinch
感謝上帝	thank God
慈善活動從家裡開始	charity begins at home
慘淡經營	dismally
慢慢肯定地	slowly but surely
慢燒	a slow burn
慷慨的希望	forlorn hope
憂	lose sleep
憋	hold back
憐憫	at the mercy of
懂行	know the ropes
懇求	cop a plea
應變的	strainable
應驗	come to pass
懷疑	in doubt
懷疑	under suspicion
懷疑的好處	the benefit of the doubt
成串	bunchy
成兩半	in two
成品	the finished article
成型	formable
成幀器	framer
成形	shaped
成形	take shape
成為	be of
成為一個醒來	be a wake-up
成為一群	be a mass of
成為受害者	fall victim to
成為小狗	be up shit creek
成為最多	be the most
成為最好的朋友	be the best of friends
成為獵物	fall prey to
成真	come true
成色	fineness
成長出來	grow out of
我不應該想	I shouldn't wonder
我不會知道	I wouldn't know
我不會說不	I wouldn't say no
我們中的一員	one of us
我們到了	here we are
我們會看到這個	we'll see about that
我們的主	Our Lord
我們的孩子	our kid
我和我的	me and mine
我喜歡！	I like that!
我學到的朋友	my learned friend
我很容易	I'm easy
我必須說	I must say
我想是這樣	I suppose so
我會吃我的帽子	I'll eat my hat
我會喝酒	I'll drink to that
我會說	I'll say
我沒事，傑克	I'm all right, Jack
我的主	My Lord
我的女士	My Lady
我的好女人	my good woman
我的意思是	I mean
我的星星！	my stars!
我的榮幸	my pleasure
我的腳！	my foot!
我的誓言	my oath
我的錯	my bad
我知道	I know
我自己	by myself
我說！	I say!
我贏了，你失去了尾巴	heads I win, tails you lose
我顫抖地想	I shudder to think
戒斷症狀	withdrawal symptoms
或任何地方	or wherever
或任何時候	or whenever
或任何東西	or anything
或多或少	more or less
或更糟	or worse
或沒有	or no
或者	or so
或者其他的東西	or something
截肢	limbless
戰場	battle stations
戰爭狀態	state of war
戰爭的狗	the dogs of war
戰爭的藝術	the art of war
戰爭結束所有的戰爭	war to end all wars
戰鬥了	battle it out
戰鬥或逃跑	fight or flight
戰鬥皇室	battle royal
戴帽子	hatless
戴手套	gloved
房子前方	front of house
房子和家	house and home
房子的人	man of the house
所以在那裡	so there
所有 - 	all that - 
所有 - 	all too - 
所有和雜項	all and sundry
所有在一天的工作	all in a day's work
所有投注都關閉	all bets are off
所有的	all of
所有的	all there
所有的	be all that
所有的	sod all
所有的人	all comers
所有的冰雹	all hail
所有的小時	all hours
所有的情況都被考慮到了	all things considered
所有的手在甲板上	all hands on deck
所有的槍支燃燒	with all guns blazing
所有的顫抖	all of a tremble
所有肉體	all flesh
所有船上！	all aboard!
所有閃光的不都是金子	all that glitters is not gold
扇形	fan-like
手	sleight of hand
手	to hand
手上	on hand
手套手套	hand in glove
手挽手	arm in arm
手牽手	hand in hand
手腕上的一聲	a slap on the wrist
手銬	cuffed
扎進	tie into
扒開	clawed
打一個	tie one on
打一個洞	make a hole in
打一場戰鬥	make a fight of it
打下來	beat down
打乾草	hit the hay
打了	hit on
打了它	hit it off
打了小姐	hit-and-miss
打了就跑	hit-and-run
打了標記	hit the mark
打了路	hit the road
打人了	beat someone up
打人了	hit someone up
打個招呼	make a hit
打個招手	turn a trick
打倒了	whack off
打包	pack it in
打印字	the printed word
打右鍵	hit the right note
打和弦	strike a chord
打噴嚏	sneezer
打噴嚏	sneezy
打在頭上的釘子	hit the nail on the head
打扮	dress up
打擾一下	excuse me
打擾我	bugger me
打擾蘋果車	upset the apple cart
打敗了	beat off
打敗失敗的戰鬥	fight a losing battle
打敗樂隊	to beat the band
打敗褲子	beat the pants off
打架了	put up a fight
打滑板	hit the skids
打球	play ball
打瓶子	hit the bottle
打瞌睡	nod off
打破	break in
打破一些東西	break something down
打破一些東西	break something in
打破一步	break step
打破兩個	break in two
打破冰塊	break the ice
打破地面	break ground
打破某人的心臟	break someone's heart
打破模具	break the mould
打破背後	break the back of
打破銀行	break the bank
打破鴨子	break one's duck
打破麵包	break bread
打結	get knotted
打結	knotter
打結	tie the knot
打者	hitter
打蛋器	whipper
打賭農場	bet the farm
打通	get through
打鐘	beat the clock
打開	open up
打開	turn on
打開東西	turn something on
打開起落架	gear down
打開門	open the door to
打開魅力	turn on the charm
打電話	call on
打電話給別人	call someone up
打電話給某人	call someone in
打電話給某人	call someone out
打電話給武器	a call to arms
打黃金	strike gold
打齒和釘子	fight tooth and nail
扔掉	throw off
扔東西	throw something in
扔東西	throw something out
扔東西	throw something up
扔錢	throw money at
扭轉	round the twist
扳手在作品中	spanner in the works
找上帝	find God
找人出來	find someone out
找到好處	find favour
找時間	make time
找那位女士	find the lady
找麻煩	look for trouble
承受	bear off
承受	bear on
承受壓力	bear down on
承擔	take on
承擔責任	bear the burden of
承諾	on a promise
承諾，承諾	promises, promises
把一個人的玩具從嬰兒車里扔出來	throw one's toys out of the pram
把人帶走	bring someone down
把人推到牆上	drive someone up the wall
把光芒關掉	take the shine off
把兩個和兩個放在一起	put two and two together
把咬了	put the bite on
把它拿出來	take it out of
把它放在下巴上	take it on the chin
把它放在你的管道裡並吸煙	put that in your pipe and smoke it
把它放在那裡	put it there
把它關掉	knock it off
把房子拉下來	bring the house down
把手形	knobbed
把手放下	hands down
把手放在上面	put the arm on
把手轉過來	turn one's hand to
把書扔了	throw the book at
把東西向前	put something forward
把東西拿出來	put something out
把東西提升到一個新的水平	take something to the next level
把東西放回來	put something back
把東西放在一起	put something together
把東西放開	put something away
把某人下來	pin someone down
把某人帶到	put someone to
把某人恥辱	put someone to shame
把某人搞砸了	screw someone up
把某人放下	put someone down
把某人放下	put someone down for
把某人放在	put someone on
把某人當場	put someone on the spot
把某人翻過來	screw someone over
把某人降下來	turn someone down
把棍子	up the stick
把碎片撿起來	pick up the pieces
把腳抬起來	put one's feet up
把腳放下	put one's foot down
把貓從包裡拿出來	let the cat out of the bag
把錢遞過去	pass the buck
把門關了	blow the doors off
把頭埋在沙灘上	bury one's head in the sand
把馬車放在馬前	put the cart before the horse
抒情	lyrically
抓住一隻手	clasp one's hands
抓住稻草	grasp at straws
抓住蕁麻	grasp the nettle
抓手	grasper
抓蟹	catch a crab
抓起來	up for grabs
投了很多	cast lots
投光燈	cast light on
投擲者	chucker
投放	put in
投標	tenderer
投毒	poisoner
投身於	dive into
折扣	at a discount
折角下降	knuckle down
折騰的人	tossing the caber
折騰餅乾	toss one's cookies
抬起屋頂	raise the roof
抬起後方	bring up the rear
抬起頭	head up
抬頭	gain ground
抬頭	look up
抬高	jack up
抱	armful
抱住某人下來	hold someone down
抱著自己的馬	hold one's horses
抵押人	pledger
抹除	wipe out
押	chargee
抽獎運氣	the luck of the draw
抽籤	draw lots
抽血	draw blood
抽象地	abstractly
拆東牆補西牆	rob Peter to pay Paul
拉bon	pull a boner
拉一些東西	pull something off
拉一個人	pull someone over
拉一個快一個	pull a fast one
拉什	rusher
拉入	pull in
拉出所有的停靠點	pull out all the stops
拉回來	draw back
拉弦	pull strings
拉弦	pull the strings
拉某人的腿	pull someone's leg
拉等級	pull rank
拉起	pull up
拉起股權	pull up stakes
拉過來	pull over
拋出	throwable
拋出一個人	throw someone out
拋錨	drop anchor
拍打背後的人	slap someone on the back
拍拍眼睛	clap eyes on
拔出	pull out
拔插頭	pull the plug
拖了	haul off
拖屁股	haul ass
拖延	drag on
拖延是時間的小偷	procrastination is the thief of time
拖拉	tugger
拖放	drag and drop
拖曳腳	drag one's feet
拖著	in tow
拘謹的	squarish
拯救	deliverer
拯救某人的生命	save someone's life
拼湊的	discordantly
拿一些東西	take something in
拿一些東西	take something over
拿五個	take five
拿公牛拿角	take the bull by the horns
拿出一些東西	take something out
拿回來	take something back
拿土墩	take the mound
拿數	take the count
拿某人	take someone on
拿水	hold water
拿空氣	take the air
拿第五	take the fifth
拿粉	take a powder
拿股票	take stock
拿自由	take liberties
拿著它！	take that!
拿著所有的卡	hold all the cards
拿蓋子	take cover
拿蛋糕	take the cake
拿走	take after
拿走東西	take something away
拿起來	get it up
拿起來	pick up after
拿起手臂	take up arms
拿起東西	take something up
拿起標籤	pick up the tab
持平	flattish
持有	hold with
持續時間	for the duration
指出一點	point something out
指甲床	bed of nails
指著手指	point the finger
指關節下	knuckle under
按下按鈕	press the button
按名字	by name
按命令	by order
按摩器	massager
按數字	by numbers
按比例	in proportion
按毛額	by the gross
按照	as per
按照定義	by definition
按照慣例	as per usual
按理說	it stands to reason
按耐不住	fly off the handle
按規則	by rule
按規則玩	play by the rules
按計劃去	go according to plan
按門鈴	ring a bell
按順序	on the order of
挑一個鎖	pick a lock
挑尼斯	pick nits
挑撥	play off
挑選	pick and choose
挖深	dig deep
挨打	take a beating
挫	lower the tone
挺舉	clean and jerk
捆綁	bundler
捕捉器	capturer
捲入	roll in
捲成一體	rolled into one
捲揚機	hoister
捲起	roll up
捻接器	splicer
授予者	granter
掉出來	fall out
掉進	drop into
掊擊	lash out
掌	palmar
掌控之中	in control
掌握之中	under control
掏	draw out
排他性	exclusionary
排序	sortable
排扣	breasted
排除在外	to the exclusion of
排除某人	sort someone out
掙脫	break free
掛十	hang ten
掛回	hang back
掛在	hang in
掛在一起	hang together
掛在空中	hang in the air
掛斷	hang up
掛斷電話	ring off
掛線	hang by a thread
掛起來	hang loose
掛起火	hang fire
掛鉤	hook up
採取一切	take sides
採取措施	take measures
採取翼	take wing
採取行動	go into action
採取行動	make a move
採取行動	put into action
採取行動	take action
採取說唱	take the rap
採取長視野	take the long view
採集	gatherer
採集卡	grabber
探查	profiler
接上	pick on
接下來是什麼	what next
接著	now then
接著就，隨即	with that
接近	closer
接近	come close
接連	in succession to
控制	get a grip
推入	push in
推時推	when push comes to shove
推理	reasoner
推進	advancer
推進	push ahead
推進	push on
推遲	push off
揀選	pickable
揉搓	rub along
提供證據	give evidence
提出一個問題	make an issue of
提出一點	make a point of
提出這個問題	beg the question
提出這個問題	put the question
提前	in advance
提前時間	ahead of time
提前的	in advance of
提取程序	fetcher
提議者	proposer
提高地獄	raise hell
插上一些東西	jack something up
插入	plug into
插入東西	plug something in
插隊	cut in line
換一個	for a change
換一種說法	in other words
換一邊	change sides
換上	change up
換了	change over
換手	change hands
換砂	shifting sands
握住東西	hold something in
握住某人的手	hold someone's hand
握住線	hold the line
握住首頁	hold the front page
握手	hold hands
握手	take a hand
援助和慫恿	aid and abet
損壞了	the damage is done
搖一個人	shake someone up
搖一搖	shake on
搖一搖	shake one's booty
搖一搖	shake something out
搖一腿	shake a leg
搖下來	shake down
搖了搖頭	rock up
搖滾	rock out
搖滾船	rock the boat
搖頭	shake one's head
搜索	searcher
搞亂	mess up
搞什麼鬼	what the hell
搞定	buttoned
搦	take hold
搧風機	fanner
搬入	move in
搬弄是非	tell tales
搭乘飛機	take flight
搶白	dress down
摔倒	fall down
摔平	fall flat
撐起來	bear up
撕成	rip into
撕成	tear into
撕掉一些東西	rip something off
撕掉一個人	rip someone off
撕裂樣	tear-like
撞上地面跑步	hit the ground running
撞下艙口	batten down the hatches
撞牆	hit the wall
播出	play out
撲滅	put out
撿起	pick up
撿起某物	pick something up
擁有一切	have everything
擊中了	hit the spot
擊中或沒打中	hit-or-miss
擊劍運動員	fencer
擊敗系統	beat the system
擊敗說唱	beat the rap
擊鎚	hammerless
擋住	keep off
據，直到...為止	as far as
據我所見	as far as I can see
擠壓	squeezable
擠壓了	put the squeeze on
擦拭石板乾淨	wipe the slate clean
擦掉	rub off
擦肩膀	rub shoulders with
擦鼻子	rub noses
擰上一些東西	screw something up
擰上螺絲	put the screws on
擰緊	screw up
擺脫	break away
擺脫	get rid of
擺脫傷害的方式	out of harm's way
擺龍門陣	spin a yarn
攜帶一天	carry the day
攜帶重量	carry weight
支持	stand by
支撐自己的東西	strut one's stuff
收工	knock off
收拾	clear up
收拾屋子	clean house
收支平衡	break even
收費	chargeable
收起來	stow away
改變一個人的想法	change one's mind
改變主題	change the subject
改變地方	change places
改變心臟	a change of heart
改變步伐	change of pace
改變變化	ring the changes
改變顏色	change colour
改過自新	turn over a new leaf
攻擊性	offensiveness
放一下	put one over on
放一些東西	lay something on
放一些東西	lay something out
放一些東西	put something off
放一些東西	put something on
放一些東西	put something to
放一些東西	put something up
放一個價錢	put a price on
放一個比賽	put a match to
放一個阻尼器	put a damper on
放一個雞蛋	lay an egg
放上	put up
放下	drop off
放下	lay up
放下	let up
放下	peed off
放下一些東西	lay something down
放下一些東西	lay something off
放下一個人	lay someone out
放下東西	put something down
放下根	put down roots
放下頭髮	let one's hair down
放了	put about
放人吧	put someone up
放個名字	put a name to
放出	give out
放出	let out
放在一邊	step aside
放在劍上	put to the sword
放在線上	lay it on the line
放在麗思	put on the ritz
放屁	break wind
放心	in relief
放手	hands off
放手	let on
放棄	give it up
放棄	give up
放棄	give up on
放棄鬼魂	give up the ghost
放火者	firer
放腳	put foot
放開一些東西	let something off
放開蒸汽	let off steam
放風箏	fly a kite
放鬆	loosen up
故事發生	the story goes
故事結局	end of story
故意	on purpose
故鄉	oldness
敏銳地	keenly
救濟	on relief
教一個人一課	teach someone a lesson
教學校	teach school
散裝	in bulk
敲一下東西	knock something off
敲一個人	knock someone off
敲一個人	knock someone over
敲一個人	knock someone up
敲一個人出來	knock someone out
敲下底	knock the bottom out of
敲出一些東西	knock something out
敲木頭	knock on wood
敲襪子	knock the socks off
敲門	knock on
敲門	knock up
整個enchilada	the whole enchilada
整個九碼	the whole nine yards
整個展會	all over the show
整個蠟球	the whole ball of wax
整形	shaper
整體性	wholeness
數字	figure on
文件管理器	filer
文字戰爭	war of words
文學家	man of letters
文筆比刀劍更有力	the pen is mightier than the sword
料斗中	hoper
斯托勒	storer
斯林格	slinger
斯泰勒	styler
斯皮勒	spiller
新奇	newness
新年	New Year's
新望	newish
新的小孩在街上	the new kid on the block
新的正常	the new normal
新的黑色	the new black
新約	New Covenant
新聞收費	press charges
新鮮	freshness
新鮮出來	be fresh out of
新鮮血液	fresh blood
斷斷續續地	off and on
方向感	sense of direction
方式去！	way to go!
方式方法	ways and means
方面的矛盾	contradiction in terms
旁觀	look on
旁觀者	stander
旁邊的	next to
旁邊自己	beside oneself
旅行燈	travel light
旅行燈光太棒了	trip the light fantastic
旋弄	twiddler
旋鈕式	knob-like
日夜	day and night
日常生活	daily life
日復一日	day after day
日復一日	day by day
日日夜夜	night and day
日漸疏遠	grow apart
早上，中午，晚上	morning, noon, and night
早些時候	back in the day
早期的門	early doors
早熟	earliness
早起	the early hours
早起的鳥兒	early bird
昂貴地	preciously
明亮地	brightly
明亮早	bright and early
明亮的燈光	bright lights
明亮的眼睛和濃密的尾巴	bright-eyed and bushy-tailed
明天又是新的一天	tomorrow is another day
明智	wisely
明白地	plainly
昏暗的	dullish
易碎	crispness
星象	starlike
映射器	mapper
春天洩漏	spring a leak
是什麼賦予了？	what gives?
是任何人的	be anyone's
是因為它可能	be that as it may
是地獄	be hell on
是有機會	stand a chance
是極限	be the limit
是歷史	be history
是死亡	be the death of
是門票	be tickets
時	from time to time
時代的標誌	sign of the times
時間不在意	time out of mind
時間到了	time was
時間就是金錢	time is money
時間遠古	time immemorial
晶	grained
晶瑩剔透	crystal clear
暈眩	giddily
暖身	warm up
暗淡	dimness
暗示	by implication
暫且	for the time being
暫停	hold off
暫停懷疑	suspend disbelief
暫停服務	out of service
暫時	for the moment
暴動	run riot
暴風雨前的平靜	the calm before the storm
更	what is more
更何況	not to mention
更像	more like
更別提	let alone
更可惜	more's the pity
更喜歡它	more like it
更好的	better off
更好的捕鼠器	a better mousetrap
更好的部分	the better part of
更精細的點	the finer points of
更糟糕的是磨損	the worse for wear
書中最古老的伎倆	the oldest trick in the book
書中的每一招	every trick in the book
曾經在一個藍色的月亮	once in a blue moon
最下面	bottommost
最低的低點	the lowest of the low
最佳品種	best of breed
最先進的	state of the art
最古老的職業	the oldest profession
最喜歡的兒子	favourite son
最多	at most
最大的份額	the lion's share
最好	at best
最好不好	up to no good
最好做點什麼	had better do something
最好的	second to none
最好的	with the best of them
最好的朋友	one's best friend
最好的祝愿	best wishes
最好的部分	the best part of
最弱的環節	the weakest link
最後	at last
最後	at length
最後一件事	last thing
最後一個字	the last word
最後一分鐘	the last minute
最後一根稻草	the last straw
最後但並非最不重要的	last but not least
最後的稻草	the final straw
最後笑了	have the last laugh
最新的	at the latest
最終證明了手段	the end justifies the means
最近	of late
最遠的	at the furthest
會做	will do
會有地獄要付錢	there will be hell to pay
會期	sessional
會發生	give rise to
月亮中的男人	the man in the moon
月黑風高	moonless
有一件事情	have a thing about
有一個去	have a go at
有一個太多了	have one too many
有一個字	have a word
有一個想法	spare a thought for
有一個時間的鯨魚	have a whale of a time
有一個爆炸聲	with a bang
有一個線索	have a clue
有一個顛簸	with a bump
有一刻	have a moment
有一定風險	at risk
有一種方式	have one's way with
有一隻眼睛	with one eye on
有一隻鳥	have a bird
有一頭牛	have a cow
有一顆心	have a heart
有一顆金子的心	have a heart of gold
有下降	have the drop on
有了	have at
有事情了	something is up
有些	somewhat of
有人上	have someone on
有人離開	piss someone off
有什麼可能性？	what's the odds?
有什麼需要	have what it takes
有偏見	with prejudice
有優勢	have the advantage of
有兩個左腳	have two left feet
有兩種方式	have it both ways
有共同之處	have something in common
有利可圖	at a profit
有利於	to advantage
有區別	with a difference
有可能和主要	with might and main
有問題	come into question
有問題	have a problem with
有問題	in question
有好處的朋友	friend with benefits
有存貨	in store
有它	have it
有小貓	have kittens
有幾個	have a few
有意志	with a will
有意義	make sense of
有效	in effect
有效	usefully
有效	with effect from
有時	at times
有時間	have the time
有更好的	have the better of
有東西要提供	have something to offer
有機會有它	as chance would have it
有熱的	have the hots for
有特殊風格的	characterful
有球	have a ball
有眼睛	have an eye for
有神力的鋼鐵	have nerves of steel
有螺絲鬆動	have a screw loose
有血有肉	flesh and blood
有規律的	like clockwork
有設計	have designs on
有證據	in evidence
有趣	interestingly
有趣和遊戲	fun and games
有辦法	have a way with
有這麼多話	in so many words
有過錯	at fault
有錢能使鬼推磨	money talks
有鎖	have a lock on
有鐘聲	with bells on
有需要	had need
有風險	at risk to
有點	kind of
有點	sort of
有點厚	a bit thick
有點多	a bit much
有點小	some little
有點粗糙	bit of rough
朋友在高處	friends in high places
服務	be of service
服務兩位大師	serve two masters
朗伯	lamber
朗讀	speakable
朝前	frontwards
朝天	heavenward
期待	look forward to
未敢苟同	beg to differ
未知的	unknown to
本地	natively
本身就是目的	an end in itself
朵朵	stemmed
杜絕	put an end to
束帶	belted
束縛在	bound up in
板球	cricketing
果然	expectedly
果然	sure enough
果然不出所料	on cue
枯萎在藤蔓上	wither on the vine
架狀	shelf-like
某事或其他	something or other
某種東西	something of the kind
染上羊毛	dyed in the wool
柔軟度	softness
查看	check out
查看	viewable
柱撐	pillared
根深蒂固	rootedness
根狀	root-like
桃子和奶油	peaches and cream
條件是	on condition that
條款	on terms
條狀	sticklike
棄權	renounceable
棄船	abandon ship
棒狀	rod-like
棒的短端	the short end of the stick
楔的末端	thin end of the wedge
楔的薄端	the thin end of the wedge
榮幸	with pleasure
榮耀	to glory
榮耀的榮耀	crowning glory
榮譽之人	man of honour
槍殺	gunned
槍的兒子	son of a gun
槳手	paddler
標準地	standardly
標記你	mark you
標記時間	mark time
模具是鑄造的	the die is cast
模糊	faintness
樹根	rooty
樹狀	tree-like
樹的頂部	the top of the tree
橋接	bridgeable
機不可失，時不再來	now or never
機會之窗	window of opportunity
機會敲門	opportunity knocks
機靈	smartness
橡木	oaken
橡木	oaky
橫過腿	cross one's legs
檢查	check into
檢查	check on
檢查	check through
檢查	check up on
檢舉人	flagger
櫃子	forcer
權力分立	separation of powers
權力是	the powers that be
權力背後的王位	power behind the throne
欺騙	lie to
歡樂	gladness
歡迎者	welcomer
正在促銷	on offer
正在進行中	in the process
正當性	rightness
正直	plainness
此外	in addition
此時此地	here and now
步行恥辱	walk of shame
步行的	walkable
步行的生活	walk of life
武者回歸	returner
武裝到牙齒	armed to the teeth
歸結為	come down to
死一般	deathlike
死了	dead on
死了世界	dead to the world
死亡	to death
死亡之吻	kiss of death
死亡和埋葬	dead and buried
死人的夜晚	the dead of night
死在床上	die in bed
死在水里	dead in the water
死在藤上	die on the vine
死硬死硬的頑固的	die hard
死神者	the Grim Reaper
死緩	stay of execution
死肉	dead meat
殘酷	cruelly
殘酷和不尋常的懲罰	cruel and unusual punishment
殺人	make a killing
殺死或治愈	kill or cure
殺死肥胖的小腿	kill the fatted calf
毆打別人	beat someone down
每一個	each and every
每一寸	every inch
每一秒	every second
每一種方式	every which way
每一隻手	on every hand
每一點	every bit as
每個白領	every whit
每個角落和骷髏	every nook and cranny
每天五點	five a day
每幾個	every few
每時每刻	all the time
每次	every time
每隔一段時間	every so often
比...好	better than
比例感	sense of proportion
比對不起安全	better safe than sorry
比活著還要死	more dead than alive
比生命更大	larger than life
比白色更白	whiter than white
比賽時間	a race against time
比賽的人	man of the match
比較筆記	compare notes
毛皮和羽毛	fur and feather
毛糙	raggedness
毛羽	hairiness
毛髮狀	hair-like
毫不費力	without fail
毫無作用	like water off a duck's back
毫無例外	without exception
毫無疑問	beyond doubt
毫無疑問	no doubt
氣短	short of breath
氣絕	kick the bucket
水從鴨子的背上掉下來	water off a duck's back
水瓶座的時代	Age of Aquarius
永不言敗	never say die
永恆的三角形	eternal triangle
永恆的生命	eternal life
永遠	for ever
永遠不要害怕	never fear
永遠和anon	ever and anon
汗水子彈	sweat bullets
汗水小東西	sweat the small stuff
汗血	sweat blood
沉重	heaviness
沉默是金	silence is golden
沉默的大多數	the silent majority
沉默的待遇	the silent treatment
沒什麼	come to nothing
沒什麼	no nothing
沒什麼	nothing much
沒問題	no problem
沒地方	no place
沒好氣	snappily
沒心情	out of sorts
沒時間	no time
沒有	do without
沒有一個免費的午餐	there's no such thing as a free lunch
沒有一點	no little
沒有不確定的條件	in no uncertain terms
沒有什麼	nothing of the sort
沒有什麼可失去的	have nothing to lose
沒有什麼樣的	nothing of the kind
沒有什麼比	nothing less than
沒有任何東西	leave no stone unturned
沒有任何附加條件	no strings attached
沒有停止	stop at nothing
沒有傷害	come to no harm
沒有傷害	no harm done
沒有傻子像一個老傻瓜	there's no fool like an old fool
沒有儀式	without ceremony
沒有兩種方法	no two ways about it
沒有其他	no other
沒有別的	none other than
沒有原因的反叛者	a rebel without a cause
沒有告訴	there is no telling
沒有問題	no question of
沒有囚犯	take no prisoners
沒有固定住所	of no fixed abode
沒有圍牆	fenceless
沒有多少剁	not much chop
沒有多少警察	not much cop
沒有對象	no object
沒有屋頂	roofless
沒有必要	noblesse oblige
沒有惡意	no offence
沒有想到	think nothing of
沒有意外	without accident
沒有意見	no comment
沒有成功的成功	nothing succeeds like success
沒有打完整甲板	not playing with a full deck
沒有數量	no amount of
沒有時間	have no time for
沒有更糟	none the worse for
沒有機會	no chance
沒有比賽	no contest
沒有消息就是好消息	no news is good news
沒有狗屎	no shit
沒有生意	have no business
沒有用	have no use for
沒有界限	know no bounds
沒有目的	to no purpose
沒有知道	there is no knowing
沒有禁止	no holds barred
沒有結束	no end
沒有結束	no end of
沒有結束	without end
沒有絲毫的	not in the slightest
沒有肥皂	no soap
沒有角的	hornless
沒有說話	there is no saying
沒有證明	not proven
沒有這樣的運氣	no such luck
沒有進一步	not go any further
沒有錯誤	and no mistake
沒有骨頭	make no bones about
沒有骰子	no dice
沒汗	no sweat
沒錢	moneyless
沒門	no way
沒關係	never mind
沖帳	strike a balance
沖床	puncher
河上	up the river
河牌	rivered
油和水	oil and water
油輪	oil the wheels
沾到	get on to
沾污	dish the dirt
沿著排水溝走下去	go down the drain
法律和秩序	law and order
法律規則	rule of law
泛出	pan out
泡沫在嘴裡	foam at the mouth
波折	twists and turns
波浪狀的	wave-like
注意	of note
注意力	attentional
泵鐵	pump iron
洗出來出來	come out in the wash
洗完	wash over
洗澡	take a bath
洗牌	shuffle the cards
洗牌	shuffler
洗禮	baptismal
洗臉刷牙	wash up
洩密者	leaker
活到最後	live up to
活在當下	live for the moment
活著再打一天	live to fight another day
活著和踢	alive and kicking
活著講故事	live to tell the tale
派上用場	come in handy
流失	run off
流淚	in tears
流淚	teary
流淚了	end in tears
浪費的	wasteless
浪費空間	waste of space
海上	by sea
海岸很清楚	the coast is clear
海拉爾	hailer
消耗戰爭	war of attrition
消防車	pumper
涼意	coolness
涼絲絲的	coolish
淮北市葉菜	leafed
深</s>。	rapture of the deep
深入	in depth
深端	the deep end
深處	deepness
混亂	mess with
混亂的水域	troubled waters
混和	mixable
清晰	clearness
清桌子	clear the table
清楚	in clear
清潔	cleanness
清潔某人的時鐘	clean someone's clock
清理	clean up
清理自己的行為	clean up one's act
清空氣	clear the air
清脆	crisply
清醒	soberly
清醒	wide awake
清除一些東西	clear something up
清除方式	clear the way
減少損失	cut one's losses
減速器	reducer
測試水	test the water
測量	measurer
測量容量	measure of capacity
游泳者	swimmer
游離度	freeness
渺小	smallness
準備地面	prepare the ground
準備好了	at the ready
準時	on time
準點	on the dot
溜冰者	skater
溢出	spill over
溢出自己的膽量	spill one's guts
溫暖	warmness
溫柔	tenderly
溫馨	homelike
滑入某物	slip something in
滑出	slip out
滑坡	slippery slope
滑落	slip up
滑走	slip away
滴一針	drop a stitch
滾動	roll on
滾石不生苔	a rolling stone gathers no moss
滿屋	houseful
滿杯	cupful
滿盤	plateful
滿袋	pocketful
漏	spillage
漏洞	hole out
演替	successional
漫長的時間	a month of Sundays
漸減	decreasingly
潛伏	lie low
潛入	dive in
潛水	take a dive
潮起潮落	ebb and flow
澄清電話	clarion call
激烈	fiercely
激烈反對	up in arms
激烈的事	something fierce
濁音	voiced
濕	wetness
濕在耳朵後面	wet behind the ears
濕淋淋	wetly
瀟灑	nuttiness
火冒三丈	hit the roof
火和硫磺	fire and brimstone
火在哪裡	where's the fire?
火焰噴射器	flamer
火的洗禮	baptism of fire
火線	line of fire
火花熄滅	spark out
火花飛翔	sparks fly
灰塵和灰燼	dust and ashes
灰色的	ashy
炫耀	show off
為...而死	to die for
為auld lang syne	for auld lang syne
為了	for aye
為了	in order
為了	make for
為了	up for
為了...的利益	for the benefit of
為了上帝的愛	for the love of God
為了保持	for keeps
為了做某事	in order to do something
為了善良的緣故	for goodness' sake
為了地獄	for the hell of it
為了它	be for it
為了安全起見	to be on the safe side
為了我的生活	for the life of me
為了效果	for effect
為了服用	for the taking
為了爭論	for the sake of argument
為了現在	for the present
為了確定	to be sure
為了紀念	in honour of
為了舊時的緣故	for old times' sake
為了表演	for show
為了詢問	for the asking
為了騎	for the ride
為什麼	for why
為什麼值得	for what it is worth
為你的想法一分錢	a penny for your thoughts
為公平	for fair
為我的錢	for my money
為所有季節	for all seasons
為月亮哭泣	cry for the moon
為自己想	think for oneself
為自己說話	speak for yourself
為鍋	for the pot
為非洲	for Africa
烤麵包	be toast
烹調的含	cookable
無主	masterless
無人	no man
無人知曉	placeless
無人駕駛	driverless
無光	lightless
無內胎	tubeless
無凹	pocketless
無味的	flavourless
無唇	lipless
無子女	childless
無尾	tailless
無序	out of order
無影	shadowless
無情節	plotless
無房	houseless
無所事事	apropos of nothing
無所事事	nothing doing
無指	fingerless
無星	starless
無框	frameless
無樹木	treeless
無水	waterless
無波	waveless
無焰	flameless
無環	ringless
無皂	soapless
無目的	objectless
無票	ticketless
無窗	windowless
無糖	sugarless
無罪	not guilty
無翅	wingless
無耳	earless
無聊之徒	trifler
無脂肪	fatless
無脈	pulseless
無臂	armless
無臭	scentless
無蓋	lidless
無袖	sleeveless
無論哪種方式	either way
