og	and
kåldolmer	cabbage dolmen
kålhoved	cabbage
kålhøgen	the cabbage hawk
kålorm	caterpillar
kålrabi	kohlrabi
kålroe	turnip
kålroulet	cabbage roulade
kålsommerfugl	cabbage butterfly
kålstok	cabbage stick
kårde	sword
kåre	choose
la	let
labil	unstable
laborant	laboratory technician
laborator	laboratory
laboratorium	laboratory
labradorretriever	labrador retriever
labyrint	labyrinth
ladcykel	cargo bike
ladegreb	charging handle
ladegård	barn
-laden	-barn
ladeplads	charging station
ladsiggørlig	careless
ladvogn	flatbed truck
laf	laugh
lagdele	layer parts
lage	cook
lageagurk	pickle
lagenlærred	sheet cloth
lager	warehouse
lagerarbejder	warehouse worker
lagereddike	stock vinegar
lagerekspedient	warehouse clerk
lagerforvalter	warehouse manager
lagerføre	stock
lagersalg	stock sale
lagervare	stock item
lagerøl	lager beer
lagkage	layer cake
lagkagediagram	pie chart
lagkagekomik	cake comic
lagmand	lawyer
lagting	lagging
lagune	lagoon
laissez faire	let's do it
lak	varnish
lakaj	lackey
lakere	varnishes
lakerer	varnishes
lakfarve	paint color
lakfjerner	nail polish remover
lakke	varnish
lakket	varnished
lakmus	litmus
lakmuspapir	litmus paper
lakonisk	laconic
lakrids	licorice
lakridskonfekt	licorice candy
lakridsrod	licorice root
laks	salmon
laksativ	laxative
laksefarvet	salmon-colored
laksegl	seal
laksere	laxative
laksfarvet	salmon-colored
laksko	patent leather shoes
laktose	lactose
lakune	lacuna
lal	lol
lala	lol
lalle	dumb
lallet	dumbfounded
lama	llama
lamaisme	Lamaism
lambdasonde	lambda sensor
lamé	lame
lamel	slat
lamelbund	slatted floor
lamentere	lament
lamentoso	lamentous
lametta	tinsel
laminat	laminate
laminere	laminate
lammefrom	lamb from
lammekød	lamb
lammekølle	leg of lamb
lammelse	paralysis
lammesky	lambsky
lammesteg	roast lamb
lampefeber	lamp fever
lampested	lamppost
lampet	lamp
lampeudtag	lamp socket
lampret	lamprey
lamseben	leg of lamb
lamselår	lame leg
lancere	launch
lancier	lancer
landauer	landau
landbetjent	land officer
landbo	farmer
landbohøjskole	agricultural college
landbruger	farmer
landbrugsminister	Minister of Agriculture
landbrugsministerium	ministry of agriculture
landbrugsskole	agricultural school
landbrugstekniker	agricultural technician
landbrød	country bread
landdag	parliament
landegrænse	border
landemode	country fashion
landeplage	plague
landevej	country road
landevejsløb	road race
landevejsridder	highwayman
landfast	land-based
landgang	gangway
landgangsbro	gangway
landhandel	general store
landingsbane	runway
landinspektør	land surveyor
landkending	land surveyor
landkrabbe	land crab
landlig	rural
landligger	landlocked
landlov	land law
landmærke	landmark
landmåler	surveyor
landmåling	surveying
landmålingstekniker	surveyor
landpostbud	country postman
landsarkiv	national archives
landsdel	region
landsdommer	magistrate
landsens	national
landsforræder	traitor
landsforræderi	treason
landsforvise	exile
landshold	national team
landskabsarkitekt	landscape architect
landskabsplanlægning	landscape planning
landskamp	international match
landskinke	country ham
landslæge	country doctor
landsmål	national goal
landsokkel	continental shelf
landsplan	nationwide
landsret	high court
landsretssagfører	district attorney
landsråd	national council
Landsskatteretten	National Tax Court
landsstyre	national government
landsstyremand	governor
landssviger	traitor
landsted	country house
landsting	county council
landstingsmedlem	county council member
landstryger	tramp
landstræner	national coach
landsætte	land
landtange	isthmus
landvin	country wine
landvinding	land reclamation
landvæsen	agriculture
landzone	rural area
langbold	long ball
Langbortistan	Longbortistan
langbølge	long wave
langdistanceløber	long-distance runner
langdysse	long dune
langelandsk	Langeland
langelænder	long railing
langemand	longman
langfart	long distance
langfinger	middle finger
langfingret	middle finger
langfredag	Good Friday
langfristet	long-term
langhalm	long straw
langhøvl	long plane
langhåret	long-haired
langlivet	long-lived
langobard	Lombard
langrend	cross-country skiing
langside	long side
langsigtet	long-term
langskibs	longship
langsommelig	slow-moving
langspyt	spit
langstilket	long-stemmed
langstrakt	elongated
langsynet	farsighted
Langtbortistan	Farawayistan
langtids-	long-term
langtidshukommelse	long-term memory
langtidsplanlægning	long-term planning
langturschauffør	long-distance driver
languster	crawfish
langærmet	long-sleeved
lanterne	lantern
laot	Lao
laotisk	Laotian
lapidarisk	lapidary
lapis	lapis lazuli
laplandsk	Lapland
laplænder	Lappish
lappedykker	great crested grebe
lappegrej	patching tools
lappeløsning	patch solution
lappisk	Lappish
laps	lap
lapset	the child
lapsus	slip of the tongue
largo	long
larve	caterpillar
larvefødder	caterpillar feet
laryngologi	laryngology
las	lock
lasagne	lasagna
lasciv	lascivious
lasere	lasers
laserprinter	laser printer
laserstråle	laser beam
lask	slack
laske	to jump
laskebolt	latch bolt
laskefed	lassfoot
lasket	lax
lassoe	lasso
lastbil	lorry
lasteevne	load capacity
lastefuld	vicious
lastrum	cargo hold
lastvogn	truck
lastværk	loading dock
lasur	glaze
lasurfarve	glaze color
lasurit	lapis lazuli
lasursten	lapis lazuli
lat.	Latin
latakia	Latakia
latens	latency
latenstid	latency
Latinamerika	Latin America
latinamerikaner	Latin American
latinamerikansk	Latin American
latinerkvarter	Latin Quarter
latinersejl	lateen sail
latinsk	Latin
latinskole	Latin school
latrin	latrine
latrinær	latrine
latterbrøl	roar of laughter
lattergas	laughing gas
latterlig	ridiculous
latterliggøre	ridicule
lattermild	laughable
lattermuskler	laughing muscles
lattervækkende	hilarious
laug	guild
laurbær	bay
laurbærblad	bay leaf
laurbærkranse	laurel wreaths
lavalder	minor
lavement	enema
lavendel	lavender
lavenergihus	low-energy house
lavenergipære	low energy light bulb
laverestående	lower-ranking
lavkomik	low comedy
lavkonjunktur	recession
lavloftet	low ceiling
lavmælt	low-key
lavmål	low goal
lavning	depression
lavpandet	low-brow
lavpraktisk	impractical
lavpris	low price
lavprisvarehus	discount store
lavpunkt	low point
lavtliggende	low-lying
lavtlønnet	low-paid
lavtryk	low pressure
lavtstående	low-ranking
lavvande	low tide
lavvandet	shallow
layoute	layout
layouter	layouts
lazaret	infirmary
l.c.	lc
leben	live
lebendig	alive
ledbus	articulated bus
ledbånd	ligament
leddegigt	arthritis
leddeløs	jointless
leddyr	arthropod
ledeløs	leaderless
ledemotiv	leitmotif
ledeord	key word
-ledes	-led
ledestjerne	guiding star
ledetone	lead tone
ledetråd	clue
lediggænger	idler
ledighed	unemployment
leding	wire
ledning	wire
ledningsnet	wiring harness
ledorm	worm
ledsagefænomen	accompanying phenomenon
ledstilling	joint position
ledvogter	guard
lefle	flap
legalisere	legalize
legalitet	legality
legat	scholarship
legatar	legatee
legationsråd	legation council
legemliggøre	embody
legemsbygning	physique
legemshøjde	body height
legemspulsåre	carotid artery
legemsstørrelse	body size
legendarisk	legendary
legeonkel	play uncle
legeplads	playground
legere	doctors
legering	alloy
legestue	playroom
legesyg	playful
legetante	play aunt
legetøj	toy
legeværk	plaything
legio	legion
legionær	legionnaire
legionærsyge	Legionnaires' disease
legitim	legitimate
legitimation	identification
legitimere	legitimize
leguan	iguana
lejder	ladder
lejebolig	rental property
lejekontrakt	lease
lejelejlighed	rental apartment
lejemorder	assassin
lejemål	lease
lejesoldat	mercenary
lejeværdi	rental value
lejl.	apartment
lejlighedsdigt	occasional poem
lejlighedskøb	bargain
lejlighedsvis	occasionally
lejrbål	campfire
lejrchef	camp commander
lejrskole	camp school
leksika	lexicon
leksikalsk	lexical
leksikografi	lexicography
leksikon	encyclopedia
lektie	lesson
lektiecafé	homework cafe
lektionskatalog	lesson catalog
lektor	associate professor
lektorat	lecturer
lekture	readings
lektør	reader
lemfældig	lenient
lemmatisere	lemmatize
lemmedasker	limb slap
lempe	relax
lempelig	easygoing
lemviger	limviger
len	county
leninisme	Leninism
leninist	Leninist
lensbaron	lord baron
lensgreve	count
lensherre	lord
lensmand	sheriff
lensvæsen	county government
lento	slow
lepra	leprosy
leptosom	leptosome
lerdue	clay pigeon
lerdueskydning	clay pigeon shooting
lertøj	earthenware
lesbisk	lesbian
lesother	read more
lesothisk	Lesotho
-let	-easy
letal	lethal
letargi	lethargy
letbenet	light-legged
letbevægelig	mobile
letfattelig	easy to understand
letfluevægt	light flyweight
letfordærvelig	perishable
letfængelig	easily caught
letkøbt	easy-going
Letland	Latvia
letlandsk	Latvian
letlevende	easy-going
letlænder	Latvian
letløbende	smooth-running
letmatros	light sailor
letmellemvægt	light middleweight
letmetal	light metal
letmælk	skimmed milk
letpåklædt	lightly dressed
letsind	frivolity
letsindig	frivolous
letsindighed	frivolity
letsværvægt	light heavyweight
lettelse	relief
lettilgængelig	easily accessible
lettisk	Latvian
lettroende	gullible
letvægt	lightweight
letvægter	lightweight
letvægtscykel	lightweight bike
letweltervægt	light welterweight
leukæmi	leukemia
lev.	live.
Levanten	Levant
levealder	lifespan
levebrød	livelihood
levebrødspolitiker	livelihood politician
levedage	days of life
levedygtig	viable
levefod	livelihood
levemand	living man
levendegøre	bring to life
leverance	delivery
leverandør	supplier
leverbetændelse	hepatitis
levercirrose	liver cirrhosis
leveregel	rule of thumb
leveringsdygtig	deliverable
leverplet	liver spot
leverpostej	liver pate
levertran	cod liver oil
levestandard	standard of living
levesæt	living set
levevej	livelihood
levevilkår	living conditions
levkøj	living room
levn	remains
levned	life
levnedsløb	life cycle
levnedsmiddel	food
levnedsmiddelingeniør	food engineer
levnedsmiddelkandidat	food candidate
levnedsmiddelkontrol	food control
levnedsmiddeltekniker	food technician
levnedsmiddelvidenskab	food science
levning	remnant
levret	clotted
lgd.	location
l'hombre	the man
li	yes
libaneser	Lebanese
libanesisk	Lebanese
libelle	dragonfly
liberalisere	liberalize
liberalisme	liberalism
liberalistisk	liberalist
liberalitet	liberality
liberi	liberia
liberianer	Liberians
liberiansk	Liberian
libertiner	libertines
libidinøs	libidinous
libyer	Libyans
libysk	Libyan
licens	license
licensaftale	license agreement
licentiat	licentiate
licitation	tender
licitere	bid
lideform	form of suffering
lidelsesfælle	fellow sufferer
lidenskabelig	passionate
lidenskabsløs	dispassionate
liderlig	horny
lidkøb	membership purchase
lidse	sly
liebhaver	lover
liebhaveri	hobby
liechtensteiner	Liechtenstein
liechtensteinsk	Liechtenstein
lied	song
liere	scythe
lifte	lifts
-lig	-like
liga	league
ligatur	ligature
ligbegængelse	funeral procession
ligbrænding	cremation
ligebenet	isosceles
ligeberettigelse	equality
ligeberettiget	equal rights
ligedan	likewise
ligefor	straight ahead
ligefuldt	equally
ligegodt	just as well
ligegyldig	indifferent
ligeløn	equal pay
lige meget	no matter what
ligesidet	equilateral
ligesindet	like-minded
ligestillet	equal
ligestilling	equality
ligestillingskonsulent	equality consultant
lige så	just like that
ligevægt	equilibrium
ligevægtig	balanced
ligeværd	equal
ligeværdig	equal
ligfald	death
ligfærd	funeral
liggegal	bedridden
liggehøne	laying hen
liggestol	deck chair
liggesyg	bedridden
liggesår	bedsore
liggevogn	reclining stroller
lighedspunkt	point of equality
lighedstegn	equal sign
ligkapel	mortuary
ligkiste	coffin
ligkistemagasin	coffin magazine
lign.	similar
ligning	equation
ligsyn	inquest
ligtorn	light tower
liguster	privet
ligustersværmer	privet swarms
likvid	liquid
likvidation	liquidation
likvidator	liquidator
likvider	cash
likvidere	liquidate
likviditet	liquidity
likør	liquor
liljekonval	lily of the valley
lilla	purple
lillebitte	tiny
Lillebælt	Little Belt
lillefinger	little finger
lillehjerne	cerebellum
lillejuleaften	Christmas Eve
lilleput	littleput
lilleskole	elementary school
lilleslem	little bad
lilletromme	snare drum
lilletå	little toe
lilleverden	small world
lim	glue
limfarve	glue color
Limfjorden	Limfjord
limitere	limit
limning	gluing
limonade	lemonade
limpind	glue stick
limpotte	glue pot
limsten	lime stone
limstift	glue stick
limtræ	glulam
limurt	glue herb
lin	flax
lin.	linen.
lind	linden
linde	linden
lindorm	linden worm
lineal	ruler
linedanser	tightrope walker
lineær	linear
lingeri	lingerie
lingvistik	linguistics
lingvistisk	linguistic
linieret	lined
linje	line
linjedommer	linesman
linjedåb	baptism of the line
linjefag	subject
linjefart	liner service
linjeføring	alignment
linjeofficer	line officer
linjeret	lined
linjeskift	line break
linjestykke	line segment
-linjet	-lined
linjevogter	linesman
linke	link
linning	waistband
linoleumspålægning	linoleum laying
linoleumssnit	linoleum cut
linoleumstryk	linoleum print
linolie	linseed oil
linse	lens
lir	lyre
lire	lira
lirekasse	lira box
lirekassemand	cashier
lirke	pry
Lisboa	Lisbon
lispund	pound sterling
Lissabon	Lisbon
listeafstemning	list voting
listeforbund	list association
listeform	list form
listefødder	skirting boards
listepris	list price
listesko	shoe rack
listetyv	list thief
listevalg	list selection
listig	crafty
litani	litany
Litauen	Lithuania
litauer	Lithuanians
litauisk	Lithuanian
litchi	lychee
lit de parade	lit the parade
litermål	liter measure
lithosfære	lithosphere
litium	lithium
litograf	lithographer
litografere	lithographers
litografi	lithography
litografisk	lithographic
litosfære	lithosphere
litosfæreplade	lithospheric plate
litote	litotes
litt.	a little.
litterat	literate
litteratur	literature
litteraturhistorie	literary history
litterær	literary
liturgi	liturgy
livagtig	lively
livegen	serf
livegenskab	serfdom
liveindspilning	live recording
liveoptagelse	live recording
liveshow	live show
livfuld	lively
livlig	lively
livline	lifeline
livlæge	physician
livmor	uterus
livmorhals	cervix
livré	livery
livredder	lifeguard
livregiment	life regiment
livrem	waist belt
livrente	annuity
livret	favorite food
livrist	lifeguard
livsaften	evening of life
livsalig	blissful
livsanskuelse	outlook on life
livsarving	heir
livsbekræftende	life-affirming
livscyklus	life cycle
livsens	life's
livsfjern	far from life
livsforsikring	life insurance
livsgerning	life's work
livsglad	cheerful
livshungrende	hungry for life
livskabt	life-created
livsklog	wise in life
livskraftig	vigorous
livskunstner	artist of life
livskvalitet	quality of life
livslang	lifelong
livslede	life path
livslyst	lust for life
livsløgn	life lie
livsløn	living wage
livsmønster	lifestyle
livsnerve	lifeblood
livsnyder	life-lover
livsnær	close to life
livsrum	living space
livssag	life story
livsstilling	lifestyle
livsstraf	life sentence
livssyn	outlook on life
livstestamente	living will
livstruende	life-threatening
livstykke	bodice
livsvarig	lifelong
livsvej	life path
livsvigtig	vital
livtag	life jacket
livvidde	waist size
lm	thread
lmh	lmfao
loade	load
lob	lobe
lobbe	lobby
lobbyisme	lobbying
lobelie	lobelia
lobotomi	lobotomy
lockoute	lockout
loco	crazy
loddekolbe	soldering iron
loden	the loin
lodenfrakke	fur coat
lodlinje	vertical line
lodpost	lottery ticket
lods	pilot
lodsbåd	pilot boat
lodse	pilot
lodseddel	lottery ticket
lodsejer	landowner
lodseri	pilotage
loftsbjælke	ceiling beam
loftskammer	attic
loftsværelse	attic room
-log	-onion
logaritme	logarithm
logaritmetabel	logarithm table
logbog	logbook
loge	lodge
logere	lodge
logerende	lodging
logge	log
-logi	-lodge
logik	logic
log-in	log in
logistik	logistics
log-off	log off
logopæd	speech therapist
logopædi	speech therapy
log-out	log out
logre	wiggle
lok	loco
lok.	loc.
lokal	local
lokalbedøvelse	local anesthesia
lokalfarve	local color
lokalhistorie	local history
lokalisere	locate
lokalitet	location
lokalkolorit	local color
lokalliste	local list
lokalløn	local wage
lokalnævn	local council
lokalplan	local plan
lokalradio	local radio
lokalsamfund	local community
lokativ	locative
lokkedue	decoy pigeon
lokkemiddel	lure
lokofører	train driver
lokomotiv	locomotive
lokomotivfører	train driver
lollandsk	Lolland
lollik	lol
lollænder	lolland
lom	pocket
Lombardiet	Lombardy
lombardlån	Lombard loan
lomme	pocket
lommebog	wallet
lommecomputer	pocket computer
lommekniv	pocket knife
lommelygte	flashlight
lommelærke	pocket lark
lommepenge	pocket money
lommeregner	calculator
lommesmerter	pocket pain
lommetyv	pickpocket
lommetørklæde	handkerchief
lommeuld	pocket wool
lommeur	pocket watch
lomvi	guillemot
londoner	Londoner
londonsk	London
longe	lung
longere	lunge
longobard	Lombard
loppemarked	flea market
loppespil	flea market
loppetorv	flea market
loren	Loren
lorgnet	lorgnette
lort	shit
lorte	shit
lossepram	unloading barge
lotte	Lotte
lottekorps	lottery corps
lotteri	lottery
lotterikollektion	lottery collection
lotterikollektør	lottery collector
lotto	lottery
lovbefalet	legally required
lovbekendtgørelse	legislative decree
lovformelig	lawful
lovfæste	legalize
lovgive	legislate
lovgiver	legislator
lovgivning	legislation
lovgivningsmagt	legislative power
lovhjemmel	legal basis
lovkraft	legal force
lovlydig	law-abiding
lovmedholdelig	lawful
lovmæssig	legal
lovovertræder	offender
lovpakke	legislative package
lovpligtig	statutory
lovskraft	legal force
lovstridig	unlawful
lovtale	eulogy
lp	LP
lsd	LSD
ltr.	liters
lubbe	plump
lucerne	alfalfa
luciabrud	luciabride
luciaoptog	Lucia procession
lud	lye
ludbehandle	lye
ludder	slut
luddoven	lazy
lude	hooker
ludfattig	poor
ludkedelig	disgusting
ludo	game
ludoman	gambling addict
ludomani	gambling addiction
luerød	red
luffe	mitten
luftalarm	air alarm
luftangreb	airstrike
luftart	gas
luftballon	hot air balloon
luftbro	airlift
luftbøsse	air rifle
luftfart	aviation
luftfartscertifikat	aviation certificate
luftfartsselskab	airline
luftfartøj	aircraft
luftformig	gaseous
luftforurening	air pollution
luftguitar	air guitar
lufthammer	air hammer
lufthavn	airport
lufthul	air hole
luftig	airy
luftindtag	air intake
luftkaptajn	air captain
luftkastel	air castle
luftkonditioneret	air-conditioned
luftkonditionering	air conditioning
luftlag	air layer
luftlinje	straight line
luftmadras	air mattress
luftmaske	air mask
luftning	aeration
luftpost	airmail
luftpude	air cushion
luftpudebåd	hovercraft
luftrum	airspace
luftrør	trachea
luftrørskatar	tracheitis
luftskib	airship
luftslot	air castle
luftspejling	mirage
luftsteg	air fryer
luftsyg	airsick
luftsyge	airsickness
lufttrafik	air traffic
lufttryk	air pressure
lufttæt	airtight
luftvej	airway
luftvåben	air force
lugar	cabin
lugejern	hatch iron
lugt	smell
lugtesans	sense of smell
lugtfri	odorless
lugtløs	odorless
lukkedag	closing day
lukkelov	closing law
lukkelyd	closing sound
lukkemekanisme	closing mechanism
lukketid	closing time
lukketøj	closure
lukrativ	lucrative
lukrere	to profit
luks	luxury
luksuriøs	luxurious
luksusproblem	luxury problem
luksuøs	luxurious
lukullisk	lucullian
lulle	lull
lumbago	low back pain
lumberjacket	lumberjack
lumberjakke	lumberjack
luminøs	luminous
lumpen	the rag
lumre	sultry
lun	warm
lunde	puffins
lune	mood
lunefuld	capricious
lunge	lung
lungebetændelse	pneumonia
lungekræft	lung cancer
lungetuberkulose	pulmonary tuberculosis
lunke	lukewarm
luns	chunk
lunte	fuse
luntetrav	warm-up
lup	magnifying glass
lupin	lupine
lurendrejer	trickster
lurepasse	sneak peek
lurifaks	lurifax
lurvet	shabby
luset	lice
lusk	sneak
luske	sneak
luskepeter	slypeter
luskeri	sneaking
lusket	sneaky
lutheraner	Lutherans
lutheransk	Lutheran
luthersk	Lutheran
luv	fluff
luvart	windward
luvslidt	shabby
lux	luxury
luxembourger	Luxembourger
luxembourgsk	Luxembourgish
luxus	luxury
Lübeck	Lubeck
lydbillede	sound image
lydbog	audiobook
lydbølge	sound wave
lydbånd	audio tape
lyddæmper	muffler
lydere	readers
lydhør	responsive
lydighedsnægtelse	insubordination
lydkort	sound card
lydkulisse	soundstage
lydland	sound country
lydlig	audible
lydløs	silent
lydmur	sound barrier
lydord	phonetic word
lydpotte	muffler
lydret	audio right
lydskrift	phonetic script
lydspor	soundtrack
lydstat	sound state
lydstyrke	volume
lydsvag	silent
lydtæt	soundproof
lygtepæl	lamppost
lykkehjul	wheel of fortune
lykkejæger	fortune hunter
lykkepille	happy pill
lykkeridder	knight in shining armor
lykketal	lucky number
lykketræf	chance
lykønskning	congratulations
lymfe	lymph
lymfekar	lymphatic vessel
lymfekirtel	lymph gland
lynafleder	lightning rod
lynche	lynching
lynchning	lynching
lyng	heather
lynild	lightning
lynlås	zipper
lynnedslag	lightning strike
lynskud	lightning bolt
lynsnar	lightning bolt
lyntog	bullet train
lyrik	poetry
lyriker	poet
lyrisk	lyrical
lysavis	newsprint
lysbillede	slide
lysblond	light blonde
lysbombe	light bomb
lysbord	light table
lysdiode	light-emitting diode
-lyse	-bright
lyseblå	light blue
lysedug	candlestick
lyseholder	candle holder
lysekrone	chandelier
lyseslukker	candle extinguisher
lysfølsom	photosensitive
lyshåret	blonde
lyskanon	light cannon
lyskasse	light box
lyskaster	headlights
lyske	groin
lyskebrok	inguinal hernia
lyskilde	light source
lyskryds	traffic light
lyskurv	light basket
lysleder	light guide
lyslederkabel	fiber optic cable
lyslilla	light purple
lysmanchet	light cuff
lysnet	power grid
lysning	clearing
lyspunkt	bright spot
lysreguleret	light-controlled
lysrør	fluorescent tube
lysseer	light-seeker
lyssej	light sail
lysstofrør	fluorescent tube
lysstyrke	brightness
lyssyn	light vision
lystavle	light board
lystbetonet	pleasant
lystbåd	yacht
lystbådehavn	marina
lystfartøj	pleasure craft
lystfisker	angler
lystgård	pleasure farm
lysthus	gazebo
lystmord	murder of pleasure
lystmorder	pleasure killer
lystre	bright tree
lystsejler	yachtsman
lystspil	pleasure game
lystyacht	pleasure yacht
lysvågen	wide awake
lysægte	lightfast
lysægthed	lightfastness
lysår	light year
-lyt	-listen
-lytisk	-lytic
lyttepost	listening post
læbe	lip
læbebekendelse	lip service
læbeblomst	labiata
læbeblomstret	labiate
læbelyd	lip sound
læbepomade	lip balm
læberødt	lipstick
læbespalte	cleft lip
læbestift	lipstick
-læbet	-lip
lædere	leather
læderhals	leather neck
læderhud	leather skin
læderjakke	leather jacket
lægben	shinbone
lægbroder	lay brother
lægd	laid
lægdommer	lay judge
lægdsrulle	roll of dough
lægeattest	medical certificate
lægeerklæring	medical certificate
lægekorps	medical corps
lægekunst	medicine
lægeløfte	medical promise
lægemiddel	drug
lægeplante	medicinal plant
lægesekretær	medical secretary
lægestand	medical condition
lægevagt	medical emergency
lægevidenskab	medical science
lægfolk	laypeople
læggebrod	leg brace
læggehøne	laying hen
læggekartoffel	seed potato
lægget	the calf
lægmuskel	calf muscle
lægprædikant	lay preacher
lægtehammer	lath hammer
lægter	battens
læhegn	windbreak
læk	leak
lækage	leak
lækat	leak
lække	leak
lækkerbisken	the delicacy
lækkeri	delicious
lækkermund	delicious mouth
lækkersulten	hungry for delicious food
læmme	lamb
læmole	lemole
-lænder	-lower back
lændeskørt	loincloth
lænestol	armchair
længdecirkel	longitude circle
længdegrad	longitude
længdekreds	longitude circle
længdeminut	longitude minute
længdesekund	longitude second
længdesnit	longitudinal section
længdespring	long jump
-længet	-long
læns	drain
lænse	drain
lærd	scholar
læreanstalt	educational institution
lærebog	textbook
lærebrev	textbook
lærelysten	eager to learn
lærenem	easy to learn
lærepenge	lessons
læreplads	apprenticeship
lærerhøjskole	teacher training college
lærerkollegium	teachers' college
lærerkorps	teaching staff
lærerråd	teacher's council
lærerstuderende	student teacher
læresætning	doctrine
lærevillig	willing to learn
læreår	year of study
læring	learning
lærk	larch
lærke	lark
lærketræ	larch tree
lærred	canvas
lærvillig	docile
læsbar	readable
læsebog	reading book
læsebriller	reading glasses
læsehest	bookworm
læsehoved	reading head
læseklasse	reading class
læsekreds	reading circle
læselampe	reading lamp
læselig	legible
læseplan	curriculum
læseprøve	reading test
læserbrev	letter to the editor
læseretarderet	reading retarded
læsesal	reading room
læsestof	reading
læsesvag	illiterate
læside	leeward
læske	quench
læskedrik	soft drink
læskærm	shelter
læspe	lick
læssevis	loads of
læsterlig	lecherous
Læsø	Laesoe
løbebane	running track
løbebille	ground beetle
løbedag	race day
løbegang	running
løbegrav	ditch
løbehjul	scooter
løbeknob	running knot
løbeknude	running knot
løbemave	stomachache
løbenummer	serial number
løbepas	running pass
løberskifte	runner change
løbeseddel	flyer
løbesod	black soot
-løbet	-the race
løbetid	maturity
løbetræne	running training
løbetur	jog
løbsk	runaway
-lødet	-sold
lødig	worthy
løftebrud	broken promise
løfteparagraf	promise clause
løfterig	promising
løftestang	lever
løftevogn	lifting trolley
løgknold	onion bulb
løgkuppel	onion dome
løgnedetektor	lie detector
løgnehistorie	false story
løgnhals	liar
løgsovs	onion sauce
løgstørianer	onion sturgeon
løjbænk	bench
løje	joke
løjer	pranks
løjerlig	ridiculous
løjpe	trail
løjser	scumbag
løjtnant	lieutenant
løjtnantshjerte	lieutenant's heart
lømmel	louse
lømmelalder	loincloth
løndom	secret sentence
løndør	pay door
løngang	salary
lønglidning	wage slippage
lønkammer	secret chamber
lønklasse	salary grade
lønkonto	salary account
lønmodtager	employee
lønmodtagerfradrag	employee deductions
lønning	salary
lønningspose	paycheck
lønramme	salary range
lønregulering	wage adjustment
lønsats	wage rate
lønseddel	payslip
lønskala	salary scale
lønslave	wage slave
lønsom	profitable
lønstigning	salary increase
lønstop	salary freeze
løntrin	salary grade
løntrykker	printer
løsblad	loose leaf
løsdrift	loose operation
løsdriftsstald	loose-fill barn
løselig	soluble
løsen	the solution
løsgænger	freelancer
løsgængeri	freelance
løsgøre	detach
løsgående	loose
løsholt	loose wood
løskøb	redemption
løsne	loosen
løsrive	detach
løss	loose
løssalg	retail sale
løssluppen	loose
løsøre	movable property
løvdække	leaf cover
løvefod	lion's foot
løvemanke	lion's mane
løvetand	dandelion
løvetæmmer	lion tamer
løvfald	leaf fall
løvfrø	tree frog
løvfældende	deciduous
løvhang	leafy slope
løvsanger	songbird
løvsav	leaf saw
løvskov	deciduous forest
løvspring	leaf spring
løvstikke	lovage
løvtag	leaf roof
løvtræ	deciduous tree
løvværk	foliage
lådden	the barn
låge	gate
låneloft	loan ceiling
lånerkort	library card
långiver	lender
låntager	borrower
låntagning	borrowing
lårben	femur
lårhals	femoral neck
låring	thigh
lårkort	thigh highs
lårtunge	thigh tongue
låsesmed	locksmith
låsetøj	locksmith
-ma	-must
mach	machine
Madagaskar	Madagascar
madagasker	Malagasy
madagaskisk	Malagasy
madame	madam
madamme	madam
maddike	maggot
madding	bait
made	manner
madeira	Madeira
madglad	foodie
mading	feeding
madkasse	lunch box
madkulør	food coloring
madmor	mother in law
madonna	Madonna
madordning	food scheme
madpakke	lunchbox
madpapir	food paper
madras	mattress
madrilener	madrid
madsminke	food makeup
madsted	restaurant
madvare	food
madæble	apple
maestoso	majestic
mafioso	mafia
mafiøs	mafia
mag.art.	Master of Arts
magasin	magazine
mageløs	peerless
-mager	-skinny
-mageri	-magery
mageskifte	change of spouse
magisk	magical
magister	master
magisterkonferens	master's conference
magistrat	magistrate
magistratsregering	magistrate's government
magnat	magnate
magnetbånd	magnetic tape
magnetfelt	magnetic field
magnetisere	magnetize
magnetisk	magnetic
magnetisme	magnetism
magnetjernsten	lodestone
magnetkompas	magnetic compass
magnetstribe	magnetic stripe
magnifik	magnificent
magnium	magnesium
magnolie	magnolia
magnumflaske	magnum bottle
mag.scient.	Master of Science
magsvejr	good weather
magtapparat	power apparatus
magtbalance	balance of power
magtbrynde	power struggle
magtdemonstration	demonstration of force
magtfaktor	power factor
magtfuldkommen	powerful
magthaver	ruler
maharaja	Maharaja
mahogni	mahogany
mahonie	mahogany
mail	email
mailboks	mailbox
maile	mail
mailingliste	mailing list
mailserver	mail server
maitresse	mistress
maizenamel	cornstarch
majdrik	may drink
majestæt	majesty
majorisere	majorize
majoritet	majority
majs	corn
majskolbe	corn on the cob
majstang	maypole
majuskel	capital letter
makaber	macabre
makadam	macadam
makadamisere	macadamia nut
makaroni	macaroni
makedoner	Macedonian
makedonsk	Macedonian
makke	mate
makker	partner
makkerskab	partnership
mako	macaw
makrel	mackerel
makro	macro
makrokosmos	macrocosm
makron	macaroon
maks.	max.
maksi-	maximum
maksima	maxima
maksimal	maximum
maksime	maxim
maksimere	maximize
maksimum	maximum
makulatur	waste paper
makulere	shred
makværk	work
mal-	goal-
malabarisk	Malabar
malaj	Malay
malajisk	Malay
malakit	malachite
malariamyg	malaria mosquito
malawier	Malawians
malawisk	Malawian
malaysier	Malaysians
malaysisk	Malaysian
maldiver	Maldives
Maldiverne	Maldives
