㑫	nộm
𠆍	sởn
𠆳	trùm
𠇍	với
𠇕	va
𠇖	bợm
𠇼	hùa
𠇽	tốp
𠈋	nhòng
𠉜	vãi
𠉝	nghĩ
𠉞	nay
𠉟	xiên
𠉠	trày
𠉱	phường
𠊙	nghè
𠊚	ngài
𠊛	người
𠊜	nhố
𠊝	thay
𠊟	thằng
𠊡	vững
𠊫	toạng
𠋥	mày
𠋦	mụ
𠋺	tao
𠌦	nập
𠌧	nạ
𠌨	phía
𠍣	bầy
𠍤	bụt
𠍥	bợm
𠍦	hèn
𠍭	gấp
𠍵	dáng
𠎊	xúm
𠎨	cắp
𠎩	bay
𠎪	lũ
𠎫	chầu
𠎬	đấng
𠎴	vải
𠏟	bặm
𠏠	gã
𠏥	ngài
𠏦	đừng
𠏭	tụi
𠏲	thợ
𠏳	giống
𠐅	nghè
𠐞	trỗi
𠐬	đòi
𠐸	dôi
𠑈	trộm
𠑉	thói
𠑋	lọng
𠑕	ngửa
𠑖	ngôi
𠑢	nghè
𠑬	nhau
𠒥	ràng
𠒦	rỡ
𠒬	vặc
𠒯	nhóc
𠒷	tin
𠓀	trước
𠓁	rạng
𠓅	vằng
𠓇	sáng
𠓐	quanh
𠓑	rõ
𠓔	mống
𠓨	vào
𠓩	nhúi
𠓬	lặn
𠓹	lọn
𠓺	vô
𠓻	trọn
𠔦	lính
𠔭	tám
𠔮	gồm
𠖈	xuống
𠖘	nắp
𠖝	liệng
𠖤	bay
𠖨	mồng
𠖭	lẻo
𠖯	ngắt
𠖰	dãy
𠖾	mát
𠖿	ròng
𠗣	lún
𠗤	váng
𠗰	trơn
𠗸	cóng
𠗹	rét
𠘃	đọng
𠙅	sập
𠙣	bẫy
𠚐	mọc
𠚢	ra
𠚯	gọt
𠛌	châm
𠛣	đứt
𠛤	chém
𠜏	đẽo
𠜬	đẵn
𠜭	đâm
𠜮	húi
𠜯	cạo
𠝇	bào
𠝓	xẻ
𠝔	thái
𠝕	cùn
𠝖	tách
𠝗	đứt
𠝫	mẻ
𠝺	mổ
𠝻	chạm
𠝼	mổ
𠞛	thiến
𠞟	cạo
𠞠	chặt
𠞡	gọt
𠞢	băm
𠞸	đẽo
𠞹	dứt
𠞺	lần
𠟀	đẽo
𠟤	thiến
𠟥	hoắt
𠟲	vạc
𠟸	gặt
𠟹	rựa
𠠉	bửa
𠠊	cứng
𠠍	lê
𠠑	tét
𠠙	rìu
𠠚	xẻ
𠠩	trước
𠠭	chớm
𠡎	rán
𠡏	siêng
𠡚	gắng
𠡛	nhằn
𠡧	rặn
𠡺	khướt
𠢑	nhọc
𠢝	vâm
𠢞	giúp
𠢟	giúp
𠢬	lử
𠣂	rướn
𠣛	móc
𠣶	bịt
𠤆	chớ
𠤌	chớ
𠤧	thìa
𠤩	bẩy
𠥈	khám
𠥤	giấu
𠦩	mươi
𠦯	gắn
𠦳	nghìn
𠦹	chục
𠦺	rưỡi
𠦻	lưng
𠦿	xừng
𠧆	trọn
𠧌	nhẩy
𠧍	nhú
𠨡	trứng
𠨪	nghèo
𠩕	mé
𠪸	rạp
𠫅	dày
𠫆	dầy
𠫏	rột
𠫾	đi
𠬃	bỏ
𠬉	tránh
𠬒	cút
𠬕	bỏ
𠬖	bỏ
𠬠	một
𠭤	trở
𠮩	léo
𠮾	ngọt
𠮿	xôn
𠯅	dức
𠯇	rỉ
𠯋	hề
𠯦	thét
𠯪	ngát
𠯹	nhẵng
𠯻	ào
𠯼	dành
𠯽	chửi
𠯾	tườu
𠯿	lóc
𠰀	diếu
𠰁	gáy
𠰂	ngoen
𠰃	nhảm
𠰉	nhậu
𠰌	mách
𠰍	chõ
𠰏	mớm
𠰙	khen
𠰭	méo
𠰳	phĩnh
𠰷	lơ
𠰺	dạy
𠱀	phờ
𠱄	miệng
𠱅	quai
𠱆	dặng
𠱇	hoẹt
𠱈	thẻ
𠱉	rịn
𠱊	sẽ
𠱋	rồ
𠱌	nhại
𠱍	phớm
𠱜	chùn
𠱤	tròi
𠱶	vổ
𠲏	nhắm
𠲓	hàng
𠲔	nhiếc
𠲖	e
𠲜	giành
𠲟	gạn
𠲠	thầu
𠲡	hão
𠲢	đáu
𠲣	huýt
𠲤	nhở
𠲥	lẽ
𠲦	nhung
𠲧	thức
𠲨	trề
𠲮	khinh
𠲵	mép
𠲹	cãi
𠲺	ngập
𠲿	thốc
𠳐	vâng
𠳑	ực
𠳒	lời
𠳗	xác
𠳘	nhú
𠳙	thay
𠳚	cãi
𠳝	bựa
𠳨	hỏi
𠳹	sằng
𠳺	lẩn
𠳿	vãi
𠴉	ngoẻn
𠴊	rở
𠴋	phào
𠴌	nhanh
𠴍	nhắn
𠴎	óc
𠴏	màng
𠴐	núc
𠴑	nở
𠴒	rểnh
𠴓	đay
𠴔	chiềng
𠴕	diễu
𠴖	vọi
𠴗	dỗ
𠴘	thổn
𠴙	bở
𠴚	toác
𠴛	gùng
𠴜	kẽ
𠴝	uông
𠴞	bạn
𠴠	biếng
𠴤	vũm
𠴥	ngoàm
𠴫	thút
𠴼	đáu
𠵋	nẹt
𠵏	xạp
𠵐	mép
𠵘	mồm
𠵚	ngán
𠵨	ngáy
𠵩	quở
𠵱	e
𠵽	phập
𠶀	thăm
𠶁	nhử
𠶂	sủa
𠶃	ngoạm
𠶄	gạ
𠶅	trêu
𠶆	mời
𠶇	viếng
𠶈	sỗ
𠶉	bặng
𠶊	phà
𠶋	rỉa
𠶌	cặn
𠶍	chũm
𠶎	bẻ
𠶏	phỉnh
𠶐	nghễnh
𠶑	u
𠶒	đắt
𠶓	bẻo
𠶔	quại
𠶕	nhàu
𠶖	uống
𠶗	sực
𠶘	sắt
𠶙	bộp
𠶚	ạ
𠶛	kiêng
𠶜	chế
𠶝	sựa
𠶞	nhính
𠶟	ép
𠶠	trẹ
𠶡	trối
𠶢	dù
𠶣	mai
𠶤	sượng
𠶥	khúng
𠶦	mẹo
𠶯	chụt
𠷇	thè
𠷤	phào
𠷥	đành
𠷦	miếng
𠸂	giọt
𠸄	inh
𠸍	mé
𠸒	bảu
𠸓	quát
𠸔	nịu
𠸕	dặn
𠸗	xưa
𠸘	tục
𠸙	sống
𠸚	cảu
𠸛	tên
𠸜	tên
𠸞	đúm
𠸟	bai
𠸠	bí
𠸡	hực
𠸢	phức
𠸣	hòng
𠸤	giãi
𠸥	kể
𠸦	khan
𠸧	khạc
𠸨	láy
𠸩	rên
𠸪	vặc
𠸫	tâu
𠸬	xầm
𠸺	ngách
𠸼	mời
𠸽	chìa
𠸾	mấp
𠹗	chát
𠹛	há
𠹯	bẹ
𠹰	bèm
𠹱	khừ
𠹲	chứ
𠹳	cợt
𠹴	quằn
𠹼	rỉa
𠹽	cay
𠹾	chịu
𠺕	trêu
𠺙	thối
𠺚	băn
𠺟	khò
𠺠	lúng
𠺥	chịu
𠺦	chói
𠺧	diều
𠺨	rỉ
𠺩	trơu
𠺭	bỗng
𠺮	thè
𠺯	vòng
𠺰	xằng
𠺱	húng
𠺲	chán
𠺳	ghê
𠺴	hát
𠺵	chắc
𠺶	nớp
𠺷	choạc
𠺸	tỉm
𠺹	ri
𠺺	qué
𠺻	cốp
𠺼	xui
𠺽	sượt
𠺾	chau
𠺿	ngoan
𠻀	dò
𠻁	gương
𠻂	ngốn
𠻃	han
𠻄	oang
𠻅	bẹp
𠻆	giận
𠻇	dại
𠻈	ớn
𠻉	quát
𠻊	tuệch
𠻋	bựa
𠻒	ngoạm
𠻓	thòi
𠻤	dớn
𠻥	sạo
𠻪	ngoạn
𠻵	mảng
𠻷	hẹn
𠻼	nhậu
𠻽	mồi
𠼕	vời
𠼖	lảm
𠼦	mướn
𠼪	dày
𠼯	hớ
𠼲	nhôi
𠼳	cằn
𠼴	khoạch
𠼵	dành
𠼶	nín
𠼷	thay
𠼸	ện
𠼹	gằn
𠼺	dặn
𠼼	bĩu
𠼽	mách
𠼾	sòng
𠼿	rẳn
𠽀	ngáu
𠽁	xớ
𠽂	đần
𠽃	chiếp
𠽄	thăm
𠽅	thùng
𠽆	nuốt
𠽇	nạt
𠽈	thỉn
𠽉	thầm
𠽊	mởn
𠽋	nấc
𠽌	toét
𠽍	rầm
𠽎	nhai
𠽏	hám
𠽐	ngớ
𠽑	xịa
𠽒	nhỉnh
𠽓	ngốn
𠽔	thưa
𠽕	thẹp
𠽖	giục
𠽗	nhẳn
𠽘	hẳng
𠽙	nhả
𠽚	chồng
𠽛	oàm
𠽞	hổn
𠽮	dè
𠾀	húp
𠾒	nhả
𠾓	trếu
𠾔	thuế
𠾕	đòi
𠾛	ngoàng
𠾣	rùm
𠾦	bai
𠾷	váo
𠾸	sêu
𠾹	nuốt
𠾺	thẹn
𠾻	giạm
𠾼	toẹt
𠾽	nhún
𠾾	nhấp
𠾿	hẫng
𠿀	sáo
𠿁	khì
𠿂	xép
𠿃	môi
𠿄	ngậu
𠿈	rầu
𠿒	hét
𠿚	nhịp
𠿮	ẫm
𠿯	ngùi
𠿰	sứt
𠿱	nhạo
𠿲	đắt
𠿳	lèm
𠿴	ngáy
𠿵	khắn
𠿶	choán
𠿷	nháo
𠿸	ngạt
𠿹	nhẩm
𠿿	ngợi
𡀂	lôi
𡀇	đổng
𡀔	rố
𡀠	bịa
𡀡	ních
𡀢	tuông
𡀣	cằn
𡀤	đù
𡀥	phào
𡀦	ồn
𡀧	oái
𡀨	bõ
𡀩	lác
𡀪	vời
𡀫	bấm
𡀬	tủi
𡀭	cạu
𡀮	nếu
𡀯	chuyện
𡀰	thôi
𡀱	hào
𡀲	cay
𡀳	quằn
𡀴	ủa
𡀵	khoác
𡀶	ngòn
𡀷	rộn
𡀿	rủ
𡁎	dở
𡁙	kháy
𡁚	hớn
𡁛	nôn
𡁜	hoẹ
𡁝	hắng
𡁞	xào
𡁤	cạc
𡁹	dỗ
𡁺	ngốn
𡁼	phều
𡁽	chạ
𡁾	thót
𡁿	sô
𡂀	khào
𡂁	xổng
𡂂	ngỡ
𡂃	hún
𡂄	phở
𡂅	mõm
𡂆	rệu
𡂇	mớm
𡂈	vọc
𡂉	thè
𡂌	xỉn
𡂍	eng
𡂎	lóc
𡂑	bàn
𡂒	chợt
𡂓	thách
𡂙	trề
𡂮	ngau
𡂯	rẳng
𡂰	răn
𡂱	đắng
𡂲	rày
𡂳	trối
𡂵	nhảnh
𡂷	khoăn
𡂹	thỏm
𡃊	khẽ
𡃋	tròn
𡃌	nhặng
𡃍	chém
𡃎	phàn
𡃏	doạ
𡃐	dặn
𡃑	thánh
𡃒	bốc
𡃓	bựa
𡃔	trêu
𡃕	gùng
𡃖	lựa
𡃗	mua
𡃘	nhồm
𡃙	mút
𡃚	rền
𡃛	ngợi
𡃜	xạc
𡃹	chén
𡃺	ghẹo
𡃻	đắng
𡃼	thèo
𡃽	nhô
𡃾	phắc
𡃿	thớt
𡄀	lạ
𡄁	lúm
𡄍	rúc
𡄎	gặm
𡄏	hấm
𡄐	úng
𡄡	chay
𡄥	liếm
𡄦	lom
𡄧	dẳng
𡄨	nôn
𡄩	khấn
𡄪	toe
𡄫	khem
𡄬	hùn
𡄭	thủng
𡄮	rèn
𡄯	ực
𡄰	tốt
𡄾	cẳn
𡅉	dắng
𡅊	bún
𡅋	hụm
𡅌	giỡn
𡅍	nhẻo
𡅎	tróm
𡅏	lẫy
𡅐	lành
𡅑	ngọng
𡅒	nhẩu
𡅠	xằng
𡅢	gặm
𡅧	năn
𡅨	thèm
𡅩	dẻm
𡅪	nguyền
𡅫	ghẹo
𡅬	hoai
𡅯	ỏn
𡅳	khuyên
𡅷	ngậy
𡆁	nhàu
𡆂	xỏn
𡆄	nhép
𡆈	sặc
𡆌	kêu
𡆍	sặc
𡆑	nhàm
𡆖	trớm
𡆗	lạ
𡆘	hển
𡆙	gièm
𡆚	gù
𡆞	giấu
𡇸	quây
𡇻	nhốt
𡈈	chuồng
𡈡	chuồng
𡈩	chuồng
𡈺	tròn
𡉎	cong
𡉕	hòn
𡉖	cong
𡉦	ngõ
𡉽	lóc
𡉾	tum
𡉿	mốc
𡊠	nháp
𡊰	đền
𡊱	chậu
𡊲	chõ
𡊳	sành
𡊸	giồng
𡋀	rẫy
𡋁	niêu
𡋂	nền
𡋃	lòi
𡋥	cát
𡋦	vách
𡋿	lở
𡌀	bết
𡌠	đáy
𡌡	đĩa
𡌢	hầm
𡌣	bãi
𡌽	đám
𡌿	gềnh
𡍘	ché
𡍙	vung
𡍚	lấm
𡍛	dũm
𡍜	mùn
𡍝	nùi
𡍞	thềm
𡍟	xủi
𡍢	gò
𡍣	bến
𡎛	bùn
𡎜	nấm
𡎝	cõi
𡎞	triêng
𡎟	hang
𡎠	giềng
𡎡	mỏ
𡎢	ngồi
𡎣	chậu
𡎤	mẻ
𡎥	ngồi
𡎦	ngồi
𡎭	thống
𡏘	hè
𡏛	hè
𡏟	dũm
𡏠	hông
𡏡	luống
𡏢	mả
𡏣	xó
𡏤	ngạch
𡏥	trét
𡏦	xây
𡏧	bụi
𡏯	vại
𡏽	đập
𡐗	hốc
𡐘	nứt
𡐙	đất
𡐚	ngừa
𡐮	ve
𡐯	hè
𡑒	cối
𡑓	chum
𡑖	đồi
𡑗	thoai
𡑝	lăn
𡑩	nẻo
𡑪	cát
𡑭	cối
𡑰	vườn
𡑱	cồn
𡑲	gốm
𡑳	cồn
𡑴	đền
𡑵	vồng
𡒘	đào
𡒪	ệch
𡒫	cấu
𡒬	ghè
𡒭	niêu
𡒮	sướng
𡒯	móng
𡒻	chật
𡓁	bãi
𡓂	đựng
𡓃	lối
𡓄	vùng
𡓅	ấm
𡓆	xệp
𡓇	chõ
𡓈	ghề
𡓋	đuôi
𡓎	vại
𡓏	sân
𡓔	lấm
𡓞	đốc
𡓟	chĩnh
𡓠	thó
𡓡	rãnh
𡓢	chễm
𡓥	chén
𡓮	ngồi
𡓯	chum
𡓾	rẫy
𡔃	nặn
𡔍	chậu
𡔑	lõm
𡔒	nền
𡔔	làn
𡔖	bến
𡔿	trấu
𡕵	hè
𡖡	nhóm
𡖱	bộn
𡖵	đêm
𡖼	sánh
𡗂	sai
𡗄	gồm
𡗅	về
𡗉	nhiều
𡗊	nhiều
𡗋	lắm
𡗎	tụm
𡗐	muống
𡗶	giời
𡘮	mất
𡘯	lớn
𡙦	sồ
𡙧	mường
𡙴	cành
𡙵	nhớn
𡚃	xộn
𡚄	kếch
𡚎	lạ
𡚚	lớn
𡚝	cồ
𡚡	to
𡚢	to
𡚦	đĩ
𡛔	gái
𡛤	nửa
𡜤	đĩ
𡝃	bụa
𡝔	kép
𡝕	và
𡝖	nỡ
𡝦	vú
𡞕	vợ
𡞖	đĩ
𡞗	bóng
𡠣	cưới
𡡂	nhàng
𡡅	lẹo
𡡆	mìn
𡡇	cái
𡡦	đòi
𡡧	dí
𡢐	sau
𡢻	nợ
𡢼	vợ
𡢽	sui
𡣄	nịu
𡣧	mái
𡣨	cưới
𡣻	sen
𡤊	chửa
𡤓	mới
𡤔	mới
𡤟	giỏi
𡤠	rể
𡥌	nhắt
𡥙	cháu
𡥚	gã
𡥤	nòi
𡥥	đứa
𡥴	nít
𡥵	con
𡦂	chữ
𡦅	so
𡦧	rốt
𡦫	chắt
𡦮	nhắng
𡦶	côi
𡧲	giữa
𡨌	giữa
𡨧	tốt
𡨸	chữ
𡨹	giữ
𡨺	trữ
𡪇	chữa
𡪜	xum
𡪦	chở
𡪻	cỗ
𡫐	rèm
𡫡	sao
𡫨	kín
𡫫	lần
𡫶	lùng
𡬈	xuống
𡬷	tấc
𡬼	gang
𡭉	bắn
𡭕	cụt
𡭜	mọn
𡭦	bủn
𡭧	chút
𡭬	bé
𡭰	xíu
𡭱	chút
𡭲	trút
𡭺	nhí
𡭻	nhọn
𡮄	hoẻn
𡮅	nhẻ
𡮆	mọn
𡮇	chút
𡮈	nhỏ
𡮉	mọn
𡮊	dẹp
𡮋	may
𡮌	bé
𡮍	chút
𡮒	ót
𡮓	choai
𡮔	mảy
𡮗	hoằn
𡮘	mỏ
𡮛	nít
𡮜	xíu
𡮞	hẹm
𡮠	mày
𡮣	bé
𡮤	bé
𡮥	bé
𡮨	mảy
𡮩	bé
𡮪	khí
𡮫	nhen
𡮬	mọn
𡮭	nhọn
𡮮	mọn
𡮯	tẹo
𡮲	Thơ
𡮳	mảy
𡮵	chuộng
𡮶	chuộng
𡮷	hèn
𡮸	nhọn
𡮹	mỏng
𡮺	hèn
𡮽	nhọn
𡮾	nhẻo
𡯀	oắt
𡰏	ghềnh
𡱩	thước
𡱶	gợ
𡱸	gang
𡲈	vẻ
𡲤	vả
𡲫	vải
𡳀	ngoe
𡳁	xái
𡳃	cuối
𡳎	vã
𡳒	vẽ
𡳛	cứt
𡳜	cuối
𡳝	rốt
𡳢	đo
𡳣	đo
𡳤	đo
𡳥	toi
𡳩	vở
𡳪	đuôi
𡳰	cũ
𡳳	cuối
𡳵	cũ
𡳶	cũ
𡳹	vỡi
𡳺	vía
𡳽	nóc
𡴉	vòm
𡴢	nhòn
𡴯	ngật
𡵉	ngút
𡵺	cù
𡶀	núi
𡶁	đùn
𡶨	ngàn
𡸇	đèo
𡸏	vọi
𡹞	ghềnh
𡹟	chởm
𡹠	nghi
𡹡	ghềnh
𡺥	ngổng
𡺦	din
𡻓	vọi
𡻔	rặng
𡻖	von
𡻗	chớn
𡼇	mỏm
𡼈	chóp
𡼸	vót
𡼹	rừng
𡽫	non
𡽾	lởm
𡾫	đồi
𡾬	dốc
𡾭	lởm
𡾵	ngôi
𡿅	ngông
𢀥	vâng
𢀦	sửa
𢀧	trọn
𢀨	sang
𢀫	bẫng
𢀬	lớn
𢀭	giầu
𢀮	sấm
𢀱	to
𢀲	lớn
𢁊	xức
𢁋	trăng
𢁍	va
𢁑	trái
𢁸	phướn
𢂌	đãy
𢂎	dù
𢂜	vua
𢂰	tranh
𢃈	lọng
𢃉	bịt
𢃊	vua
𢃱	mũ
𢄂	chợ
𢄃	phới
𢄝	bâu
𢄩	dải
𢄯	mấn
𢄹	kiệu
𢅄	vải
𢅅	quạt
𢅆	mành
𢅧	mền
𢅬	chăn
𢆁	rèm
𢆕	phẳng
𢆘	nẽn
𢆠	lài
𢆥	năm
𢆧	may
𢆨	may
𢆪	may
𢆫	tuổi
𢆭	nến
𢇉	dối
𢇡	khuya
𢇢	sến
𢇱	hè
𢈖	chái
𢈱	lời
𢉽	kho
𢉾	u
𢊑	vựa
𢊫	vòm
𢋠	đáy
𢋬	chòi
𢋴	đáy
𢌊	rộng
𢌌	rộng
𢌎	nghịt
𢏑	bắn
𢏠	giằng
𢏡	tên
𢏢	cong
𢏣	cong
𢏿	vốn
𢐎	khom
𢒎	bay
𢒞	rằn
𢕸	săn
𢖀	suốt
𢖕	sau
𢖖	sau
𢖮	ắt
𢖱	nải
𢖺	nhác
𢗆	rượn
𢗉	nuối
𢗖	nhầm
𢗚	tệch
𢗠	thít
𢗷	thoải
𢗸	sẩu
𢗼	lo
𢗽	tẻ
𢗾	ngượng
𢘝	nể
𢘬	sã
𢘭	rùng
𢘮	rắp
𢙔	lẫy
𢙕	ghiếc
𢙩	rủi
𢙪	đổi
𢙫	nhớn
𢙬	e
𢙭	tim
𢙲	lỡ
𢙵	đẽ
𢙽	mủi
𢚲	cảy
𢚳	xôn
𢚴	dặn
𢚵	dãi
𢚶	thoả
𢚷	giận
𢚸	lòng
𢚹	khuây
𢚼	ngớp
𢚽	mến
𢜏	mừng
𢜗	vụng
𢜜	hổ
𢜝	sực
𢜞	lười
𢜠	mừng
𢜡	thiếp
𢜢	bẽ
𢝘	nết
𢝙	vui
𢝚	rẩy
𢝛	khít
𢝜	đành
𢝳	hòng
𢝸	ủa
𢞂	buồn
𢞃	hòng
𢞄	cáu
𢞅	éo
𢞆	ngán
𢟎	đùa
𢟏	sệt
𢟐	chua
𢟑	hên
𢟒	năn
𢟓	tẻ
𢟔	thói
𢟕	nép
𢟖	tởm
𢟗	nết
𢟘	chắc
𢟙	chăm
𢟚	quên
𢟛	riếu
𢟞	nhóng
𢟟	dát
𢟹	nhuốc
𢠄	sùng
𢠅	thung
𢠆	thuồng
𢠇	hở
𢠈	bẳn
𢠉	ngẩu
𢠐	ngơ
𢠣	giận
𢠤	đần
𢠥	gàn
𢠦	hớn
𢠧	mẩm
𢠨	mẩn
𢠩	mơ
𢠪	ngoảy
𢠯	lắng
𢡿	nhờn
𢢁	sờn
𢢂	ghét
𢢄	ngùng
𢢅	chiều
𢢆	thẹn
𢢇	tủi
𢢈	hằn
𢢉	nức
𢢊	đòi
𢢋	nhằng
𢢬	gờm
𢢯	nguôi
𢢲	đẹp
𢢽	khắn
𢣀	ngấy
𢣂	nghĩ
𢣃	tủi
𢣄	quớ
𢣅	nhác
𢣆	tuông
𢣇	hằm
𢣈	não
𢣧	khuây
𢣸	ngỡ
𢣹	hửng
𢤛	bỡ
𢤜	chạnh
𢤝	chăm
𢤞	hờn
𢤟	chán
𢤠	lẽn
𢤡	dỗi
𢤢	nhịt
𢤣	tẽn
𢥅	cẫm
𢥆	lung
𢥇	chán
𢥈	lo
𢥉	nhãng
𢥖	trai
𢥢	ngẩn
𢥣	giỡn
𢥪	nản
𢥶	ngủng
𢥷	ngơi
𢦂	lờn
𢦄	thò
𢧚	nên
𢧲	ta
𢨃	mác
𢨵	ngõ
𢩉	cổng
𢩊	quanh
𢩛	cổng
𢩜	họ
𢩣	buồng
𢩤	mướn
𢩧	hắt
𢩪	tríu
𢩭	thuốn
𢩮	dắt
𢩽	dẩy
𢩾	chộp
𢩿	sẻ
𢪀	nghĩ
𢪗	vục
𢪥	vật
𢪭	giạm
𢪮	móc
𢪯	tháy
𢪰	ngắt
𢪱	vắt
𢪲	nâng
𢪳	vập
𢪷	múc
𢫃	kéo
𢫄	giạt
𢫅	thắt
𢫆	vụn
𢫈	gõ
𢫌	tha
𢫑	ngoáy
𢫕	vểnh
𢫖	trọt
𢫗	phạch
𢫘	so
𢫙	đậy
𢫚	xáo
𢫛	ngoặc
𢫜	trụm
𢫝	rung
𢫞	quấy
𢫟	sảy
𢫠	oằn
𢫡	dựng
𢫣	bắc
𢬄	bưng
𢬅	têm
𢬇	giữ
𢬐	múc
𢬗	chùi
𢬢	díu
𢬣	tay
𢬤	khuống
𢬥	giàng
𢬦	lẩy
𢬧	nêm
𢬨	nhứ
𢬩	phiết
𢬭	đổi
𢬮	vớt
𢬱	khép
𢬹	cạy
𢬿	xới
𢭑	thước
𢭗	lẳng
𢭜	xắc
𢭝	nhẫn
𢭫	ngón
𢭬	gạn
𢭭	quáo
𢭮	cạy
𢭯	quét
𢭰	trỏ
𢭱	đẵn
𢭲	vói
𢭳	giấu
𢭴	khuấy
𢭵	nhổ
𢭶	vẫy
𢭷	vọm
𢭸	tựa
𢭹	lấn
𢭺	dụi
𢭻	xoi
𢭼	dìu
𢭽	chằm
𢭾	buông
𢭿	phảy
𢮀	sờ
𢮑	róc
𢮩	co
𢮪	rộn
𢮫	nhổ
𢮬	chút
𢮭	cọ
𢮿	quay
𢯏	bẻ
𢯐	co
𢯑	quải
𢯒	bóp
𢯓	và
𢯔	quắt
𢯕	ngơi
𢯖	khép
𢯗	quấy
𢯘	huơ
𢯙	chẻ
𢯚	nhổ
𢯛	sắp
𢯜	buộc
𢯝	vén
𢯞	vỗ
𢯟	đứt
𢯠	va
𢯡	rọc
𢯢	sửa
𢯤	ngáng
𢯥	ngón
𢯦	lay
𢯧	xỏ
𢯨	níu
𢯮	vựa
𢯷	vầy
𢰥	đày
𢰳	éo
𢰺	phũ
𢰽	gắp
𢱎	bới
𢱏	đánh
𢱐	gieo
𢱒	mẻ
𢱓	rẩy
𢱔	bòn
𢱖	mò
𢱗	gõ
𢱘	ngán
𢱙	cài
𢱚	phung
𢱛	xới
𢱜	đẩy
𢱝	nhốt
𢱞	đốt
𢱨	vặn
𢲔	bưng
𢲛	dò
𢲝	rùn
𢲟	tỉa
𢲠	đơm
𢲢	rờ
𢲣	rung
𢲤	cấu
𢲥	chằm
𢲦	xức
𢲧	gây
𢲨	hái
𢲩	cắp
𢲪	mài
𢲫	mớ
𢲬	thò
𢲭	phủi
𢲮	sải
𢲯	thiếp
𢲱	cấu
𢲲	sang
𢲵	cào
𢳁	mượn
𢳆	ngào
𢳞	đơm
𢳠	muỗng
𢳥	dạo
𢳳	luồn
𢴇	chắp
𢴉	đùa
𢴊	chộp
𢴋	chong
𢴌	vặn
𢴍	dằn
𢴎	thoát
𢴏	giầm
𢴐	day
𢴑	dứt
𢴒	phành
𢴓	móp
𢴔	phện
𢴕	nính
𢴖	khảy
𢴗	dạm
𢴘	xay
𢴙	lảy
𢴚	nức
𢴛	gãy
𢴜	xâu
𢴝	ngón
𢴞	nhúng
𢵉	bám
𢵋	đua
𢵌	dụi
𢵔	sườn
𢵧	dàn
𢵨	váo
𢵩	dội
𢵪	phẩy
𢵫	nện
𢵬	dọn
𢵭	rời
𢵮	quẹt
𢵯	máy
𢵰	góp
𢵱	khơi
𢵲	ngáng
𢵳	sum
𢵴	quay
𢵵	quờ
𢵶	dọn
𢵷	cắt
𢵸	xấp
𢵹	mỏi
𢵺	chạm
𢵻	chữa
𢵼	vớt
𢵽	rớ
𢶂	vặn
𢶐	níu
𢶑	níu
𢶒	gói
𢶟	cùi
𢶢	chóng
𢶥	choảng
𢶶	ẩy
𢶷	cởi
𢶸	bụm
𢶹	mám
𢶺	dom
𢶻	bung
𢶼	ngoi
𢶽	ãm
𢶾	chĩa
𢶿	dọn
𢷀	giũ
𢷁	ném
𢷂	xắn
𢷃	níu
𢷄	giết
𢷅	trộ
𢷆	chen
𢷣	dở
𢷮	dúi
𢷯	xồ
𢷰	khênh
𢷱	rủ
𢷲	hấng
𢷳	khuỳnh
𢷴	quẫy
𢷵	vố
𢷹	chèn
𢸚	bồng
𢸛	đèo
𢸜	lăn
𢸝	dìm
𢸞	dựng
𢸟	kẽm
𢸠	khoác
𢸡	xỉa
𢸢	chẹn
𢸵	bịch
𢹅	chọc
𢹆	gài
𢹇	mắc
𢹈	rung
𢹉	nhồi
𢹊	xé
𢹌	chìa
𢹣	kéo
𢹤	xâu
𢹥	ép
𢹦	lượm
𢹧	xỏ
𢹨	túm
𢹩	sương
𢹪	tóm
𢹫	khít
𢹽	giâm
𢹾	que
𢹿	lảy
𢺀	mò
𢺁	phóc
𢺍	rạp
𢺎	rạp
𢺒	búng
𢺓	dìm
𢺔	bấu
𢺛	sởn
𢺜	trạc
𢺝	uốn
𢺤	lườn
𢺳	mân
𢺹	chia
𢺺	chia
𢽙	vẻ
𢽼	và
𢿼	tuồm
𣀟	và
𣁔	lớn
𣁲	đong
𣂃	giạ
𣂋	gáo
𣃣	vừa
𣃤	vừa
𣃱	khuông
𣃲	vuông
𣃺	góc
𣄇	vuông
𣄒	ở
𣄖	vuông
𣄥	chếch
𣄬	lệch
𣅅	nãy
𣅗	kỉa
𣅘	khuya
𣅙	khuya
𣅵	tăm
𣅶	lúc
𣆏	phơi
𣆐	trưa
𣆮	chang
𣆯	hẵng
𣆰	giây
𣆱	dòn
𣇊	bữa
𣇜	buổi
𣇝	rảnh
𣇞	giờ
𣇟	sao
𣇠	kĩa
𣇡	kịa
𣇫	thuở
𣈒	kìa
𣈓	phơi
𣈔	đêm
𣈕	mai
𣈖	bóng
𣈗	ngày
𣈘	đêm
𣈙	rầy
𣈚	chạng
𣈛	quắt
𣈜	ngày
𣈝	cữ
𣈞	hong
𣈢	tia
𣈰	nau
𣉍	ui
𣉎	trưa
𣉏	lình
𣉐	thoạt
𣉲	chếch
𣉳	buổi
𣉴	chói
𣉵	rua
𣉶	háo
𣉷	dễ
𣉸	kía
𣉹	giờ
𣊋	se
𣊌	nôi
𣊍	mơ
𣊎	chớp
