Chinese	Taiwanese	Sort	English
上去	khi2-khi3	khi khi 01	to go up
傾斜	khi-khi	khi khi 02	tilt, incline, slope, slant
刁難	khi-khiau (khiau-khi)	khi khiau	to (deliberately) make things diffcult for others
牙科	khi2-kho	khi kho	dental surgery
牙科醫	khi2-kho-i	khi kho i	dentist
牙科醫院	khi2-kho i-i7*	khi kho i i*	dentist's office
發神經 ,瘋了	khi2-khong	khi khong	going crazy, mad, insane
器具	khi3-khu7	khi khu	implements, tools, utensils, instruments
開始走運	khi2-khu3i	khi khui	getting lucky
起居	khi2-ki	khi ki 01	rising and resting ─ one's daily life
創造 ,開基	khi2-ki	khi ki 02	establish a beginning, to start something
起程	khi2-ki5a*	khi kia*	set out, leave, start on journey
起見	khi2-kia3n	khi kian 01	motive, reason or purpose
為了…的起見	::u7i-tio8h...e5 khi2-kia3n	khi kian 01a	for the purpose (sake) of, with the intention of (doing), so as to (do)
牙根	khi2-kin (khi2-kun)	khi kin 01	roots of the teeth
咬牙根	::ka7 khi2-kin, ka7 chhu3i-khi2-kin	khi kin 01a	clench the teeth (as in pain or impotent displeasure)
輕 , 氣球	khi3-ki5u (kheng-khi3-ki5u)	khi kiu	gas balloon
氣管	khi3-kn2g	khi kng	windpipe
氣管切開術	khi3-kn2g chhiat-khai-su8t	khi kng chhiat khai sut	tracheotomy
氣管炎	khi3-kn2g-ia7m	khi kng iam	bronchitis
牙膏	khi2-ko	khi ko 01	toothpaste
起稿	khi2-ko2	khi ko 02	prepare a rough sketch, to draft, start writing
戲開始 ,開始工作	khi2-ko2+	khi ko+	start up
器官	khi3-koan	khi koan 01	organs of sense
棄權	khi3-ko5an	khi koan 02	forego rights or privileges, abstain from voting, forfeit (a game)
柿餅 ,柿干	khi7-ko2e (khi7-ke2)	khi koe 01	dried persimmons
去過	khi3-ko3e	khi koe 02	have been to
氣功	khi3-kong	khi kong	yoga-like art of breathing strength into one's body (in Chinese boxing)
器具	khi3-ku7 (khi3-khu7)	khi ku	tools, instruments, apparatus
欺君	khi-kun	khi kun 01	withhold truth from the emperor
母豬發情	khi2-ku5n	khi kun 02	female pig sexual awareness
起來	khi2-la5i	khi lai	get out of bed, Get up! Used as a suffix means "up", "peh khi-lai"爬起來get up, get up! "Theh khi-lai"拿起來take up, "kng khi-lai"抬起來 lift a weight with another's help
發動人馬 ,召集自己的人	khi2-la5ng (tia3u-la5ng)	khi lang	call other to do
神附身而發作	khi2-lia2n	khi lian	spirit showing its presence by shaking the chair
全完了	khi3-lia2u-lia2u	khi liau liau	be done for, destroyed
起立	khi2-li8p	khi lip	Stand up! To stand up
氣流	khi3-li5u	khi liu 02	air current, atmospheric current
去路	khi3-lo7+	khi lo+	way of escape, a way out
起落	khi2-lo8h	khi loh	rises and falls, ups and downs
氣囊	khi3-lo5ng	khi long	air bladder (of fish), air sac (of birds or plants), gas bag or envelope (of a dirigible)
齒輪	khi2-lu5n	khi lun	toothed wheel, a gear
起碼	khi2-ma2	khi ma	opening price, minimum, at least
氣門	khi3-mn5g	khi mng	air valve, air escape, (in zoology) stigma
心情 ,氣氛 (外來語 )	khi2-mo+	khi mo+ 01	frame, state of mind, mood (transliteration of the Japanese word, "kimo")
說那些沒意思的話 ,聽了心情很不好。	::Ko2ng hiah e5 bo5-i3-bo5-su3 e5 oe7, thia* lia2u khi2-mo+ chi5a* ba2i.	khi mo+ 01a	My mood became very bad when I heard all that senseless talk.
氣氛 (外來語 )	khi2-mo+-chih	khi mo+ chih	mood, atmosphere (transliteration of the Japanese word, "kimochi")
欺瞞	khi-mo5a	khi moa	deceive (by concealing faults)
氣話	khi3-oe7	khi oe	words said in anger
反臉	khi2-ok (pha2i*)	khi ok	go bad
去惡從善	khi3-ok chio5ng-sia7n	khi ok chiong sian	reform (personal conduct), shun the evil and follow the good
血氣旺盛	khi3 o7ng	khi ong	a vigorous personal constitution or structure
齦瘡	khi2-pau	khi pau 01	gum-boil
長齦瘡	::Se* khi2-pau	khi pau 01a	have a gum-boil
起兵	khi2-peng	khi peng 01	raise troops, go to war
騎兵	khi5-peng	khi peng 02	cavalry
長水泡	khi2-pha7	khi pha	blister
氣派	khi3-pha3i	khi phai	dignified air, impressive style or manner
反臉	khi2-pha2i*	khi phai*	go bad
生氣	khi2-pha3n	khi phan	get angry
齒縫	khi2-pha7ng	khi phang	interstices between the teeth
氣魄	khi3-phek	khi phek	spirit, vigor, moral strength, broadness of mind
欺騙	khi-phia3n	khi phian	deceive, to swindle
起泡	khi2-pho	khi pho	raise blisters, to bubble
非常生氣	khi3-phut-phut	khi phut phut	very angry
欺貧重富	khi-pi5n tio7ng-hu3	khi pin tiong hu	cheat the poor and respect the rich
起步	khi2-po7+	khi po+	start in race
起飛	khi2-poe	khi poe	take off (airplanes)
起誓 ,立誓	khi2-se3 (li8p-se3)	khi se 01	take an oath
去世	khi3-se3	khi se 02	die, leave the world
去勢	khi3-se3	khi se 03	castrate, castration
氣勢	khi3-se3	khi se 04	animation, spirit
起色	khi2-sek	khi sek 01	rise in value, improve in value, sign of improvement
氣色	khi3-sek	khi sek 02	color of the face, complexion
氣色好 (壞 )	::khi3-sek ho2 (ba2i)	khi sek 02a	look well (pale)
起先	khi2-seng	khi seng	at first, previously
生病的開始	khi2-si3	khi si 01	illness beginning
氣死	khi3-si2	khi si 02	almost die of grief or rage
起死回生	khi2-si2 ho5e-seng	khi si hoe seng	restore the dead to life again
氣死人	khi3 si2 la5ng	khi si lang	enough to vex a man to death
去邪歸正	khi3-si5a kui-che3ng	khi sia kui cheng	depart from evil and return to the good
起先	khi2-sian	khi sian	at first, in the beginning
欺善怕惡	khi-sia7n pha3*-ok	khi sian pha* ok	oppress the good and timid and fear the wicked
發瘋	khi2-sia2u	khi siau	go crazy, become mentally deranged
起身	khi2-sin	khi sin	set off on a journey, get up
發神經	khi2 si5n-keng	khi sin keng	go crazy, lose samity
形容父母罵小孩常使父母傷神	khi3-sin-lo2+-mi7a	khi sin lo+ mia	angry to point of sickness
牙垢	khi2-sio5ng	khi siong 01	tartar on the teeth, plaque
氣象	khi3-sio7ng	khi siong 02	weather, atmospheric phenomena
氣象萬千	khi3-sio7ng ba7n-chhian	khi siong ban chhian	Nature abounds in change. Things change in countless ways.
氣象學	khi3-sio7ng-ha8k	khi siong hak	meteorology
氣象學者 (家 )	khi3-sio7ng ha8k-chi2a (ka)	khi siong hak chia	meteorologist
氣象預報	khi3-sio7ng i7-po3	khi siong i po	meteorological forecasts
氣象局	Khi3-sio7ng-kio8k	khi siong kiok	Weather Bureau
氣象衛星	khi3-sio7ng oe7-seng	khi siong oe seng	weather satellite
氣象報告	khi3-sio7ng po3-ko3	khi siong po ko	weather reports
氣象台	khi3-sio7ng-ta5i	khi siong tai	weather station, meteorological observatory
起訴	khi2-so3+	khi so+ 01	prosecution, to prosecute (a person for a crime), file a formal indictment (of a prosecutor)
不起訴	::put khi2-so3+	khi so+ 01a	case stopped during preliminary investigation, not going to judgment
起訴狀	::khi2-so3+-chn7g	khi so+ 01b	indictment
命運 ,氣數	khi3-so3+	khi so+ 02	fate
所秤之物重量還不夠	khi2-so5e	khi soe	the things to be sold are not sufficiently heavy, the counter balancing weight has to be lightened
騎士	khi5-su7	khi su	horseman
氣筒	khi3-ta5ng	khi tang	cylinder
起重機	khi2-ta7ng-ki	khi tang ki	hoist, crane, derrick
最基本 ,最起碼	khi2-te2	khi te	at the least
汽笛	khi3-te8k	khi tek	steam whistle, siren
氣窗	khi3-thang	khi thang	transom, ventilation window, louvers)
起頭	khi2-tha5u	khi thau 02	beginning, at first, in the beginning
氣體	khi3-the2	khi the	gas, vapor, gaseous body
氣體動力學 ,氣體力學	khi3-the2 to7ng-le8k-ha8k (khi3-the2 le8k-ha8k)	khi the tong lek hak	aerodynamics
氣體動力論	khi3-the2 to7ng-le8k-lu7n	khi the tong lek lun	kinetic theory of gases
起程	khi2-the5ng	khi theng	start on a journey
牙籤	khi2-thok (-a2)	khi thok	toothpicks
起因	khi2-ti3	khi ti 02	cause, reason
起碇	khi2-ti3a*	khi tia*	raise the anchor, to weigh anchor
起點	khi2-tia2m	khi tiam 01	starting point
氣墊	khi3-tia7m	khi tiam 02	air cushion, air mattress
起電盤	khi2-tia7n-po5a*	khi tian poa*	electrophorus, generator
器重	khi3-tio7ng	khi tiong	regard with reverence, think highly of
起重機	khi2-tio7ng (ta7ng)-ki	khi tiong ki	crane, a derrick, jack
反而	khi3-to3...	khi to	on the contrary
企圖	khi3-to5+	khi to+	intend, to plan, to scheme, to attempt, intention, plan, scheme
起端	khi2-toan	khi toan	origin, beginning, genesis
起運	khi2-u7n	khi un 01	start shipping
氣溫	khi3-un	khi un 02	atmospheric temperature
氣運	khi3-u7n	khi un 03	luck (good of bad)
坑	khi* (khe*)	khi* 01	ravine, dell, narrow valley. cf. "khe*"
緊纏不放	khi5*	khi* 02	pester
不辭辛勞	khi5*	khi* 03	accept hardship
山谷	khi*-a2 (khe*-a2)	khi* a	mountain valley
溪谷	khi*-kau (khe*-kau)	khi* kau	gully, vale
辛苦治家	khi5*-ke	khi* ke	hardship in raising family
山崖	khi*-kha3m	khi* kham	cliff
可抓之物 ,依靠	khi5*-khi8p	khi* khip	no handhold
出殯時孝男孝女捉緊棺木	khi5*-koan	khi* koan	mourning family with coffin
奇數 ,單數	khia	khia 01	odd number, one of a pair
一隻筷子	::chi8t khia (kha) ti7	khia 01a	odd chopstick
一隻鞋子	::chi8t khia (kha) e5	khia 01b	odd shoe
騎	khi5a (khi5)	khia 02	straddle (a horse, motor-cycle, bicycle)
豎 ,站 ,立 ,住	khi7a	khia 03	stand, stand upright, set upright, to erect (a pole or tablet), perpendicular, perpendicular stroke, dwell
你住在那兒?	::Li2 khi7a ti7 toh-u7i?	khia 03a	Where do you live?
一豎	::chi8t khi7a	khia 03b	perpendicular stroke without any hook (calligraphy)
一豎一橫	::chi8t khi7a chi8t oe8h	khia 03c	one perpendicular stroke and one horizontal stroke (as 十 = ten)
騎馬	khi5a-be2	khia be	ride a horse
跨騎	khi5a-be2-long	khia be long	sit astride of, sit on a person
站穩	khi7a-cha7i (khi7a ho7+ cha7i)	khia chai	stand firmly
在樹上熟的果子 ,妥當	khi7a-cha5ng (cha7i-cha5ng) a5ng e5	khia chang 01	ripe on the tree, secure
香蕉是在樹上熟的 (形容某事很妥當 ,不是假的 )。	::Keng-chio si7 khi7a-cha5ng a5ng e5.	khia chang 01a	something that is certain or secure (Lit. The bananas are ripe and ready for eating.)
排整齊	khi7a-che5	khia che	standing in rows
強辯者	khi7a-che3*-o5ng	khia che* ong	person who likes sophism
站得住	khi7a e7 tia5u	khia e tiau	stand steadily, able to hold one's own
企鵝	khi7a-go5	khia go	penguin
人部 (部首 )	khi7a-ji5n-pe5ng	khia jin peng	the ninth radical
電影	khia-ji8t	khia jit	odd days of the month
住宅	khi7a-ke	khia ke 01	residence, dwelling
他的公司在市內 ,住宅在鄉下	::I e5 kong-si ti7 chhi7-la7i, khi7a-ke ti7 chha5n-chng.	khia ke 01a	His company is downtown, and his residence is in a country place.
那間當住宅不合適。	::Hit keng cho3 khi7a-ke-chhu3 bo5 ha8h.	khia ke 01b	That building is not suitable for a residence.
找麻煩	khia-khang	khia khang	look for trouble
諸多刁難	khia-khang-khia-pha7ng	khia khang khia phang	create difficulties
住 ,處事為人	khi7a-khi2	khia khi 01	dwell, reside, to deal with affairs, take part in society
站起來	khi7a khi2-la5i	khia khi lai	Stand up!
認股 ,立股份	khi7a-ko2+	khia ko+	have a share in a business
站在高處看馬相踢 ,袖手旁觀	khi7a ko5an-soa* kho3a* be2 sio-that	khia koan soa*	look on unconcerned
豎槓 ,豎閂	khi7a-ko5ng	khia kong	strong upright bar, fastened inside of a door
拗橫人	khia-la5ng	khia lang	look for trouble
人死立靈位而拜	khi7a-le5ng	khia leng	deceased tablet
具名	khi7a-mi5a	khia mia	affix signature
立牌	khi7a-pa5i	khia pai	set up a head-stone (at a grave), put up a notice board
立碑	khi7a-pi	khia pi	set up a stone monument with an inscription
屏風	khi7a-pi5n	khia pin	standing screen (as at doorway)
倒立	khi7a-si3-the5ng	khia si theng 01	stand upside down
那個孩子倒立能站很久。	::Hit e5 gi2n-a2 khi7a-si3-the5ng e7-ta3ng khi7a chin ku2.	khia si theng 01a	That kid can stand on his head for a long time.
立游 ,定游	khi7a-si5u	khia siu 01	tread water
未逝前先備好的棺木	khi7a-si7u	khia siu 02	prepare a coffin for oneself during life
奇數	khia-so3+	khia so+	odd number
諸多刁難	khia-tang khia-sai	khia tang khia sai	create difficulties
站著睡	khi7a-teh(le2)-khu3n	khia teh khun	sleep standing up
站挺 ,站直	khi7a-the5ng (khi7a-ti8t)	khia theng	stand erect
騎腳踏車	khi5a thih-be2	khia thih be	ride a bicycle
立正	khi7a-ti8t	khia tit	stand up straight
缺	khiah	khiah 01	chip (on the edge of a piece of pottery), a breach (in a wall or fence)
缺口	::khang-khiah	khiah 01a	holes and crevices, blemish
缺口 ,裂口	::pho3a-khiah	khiah 01b	breach (in a wall or fence)
手指彎曲而打	khia8k	khiak 01	hit with knuckles
用手指打頭	::khia8k tha5u-khak	khiak 01a	hit the head with the knuckles
謙	khiam	khiam 01	humble, modest, retiring, lowly
自謙	::chu7-khiam	khiam 01a	humble oneself
歉	khia2m	khiam 02	bashful, ashamed, insufficient
抱歉	::pha7u-khia2m	khiam 02a	regret, deplore, be ashamed, feel sorry about
道歉	::to7-khia2m	khiam 02b	apologize
欠 ,缺少	khia3m	khiam 03	owe (money), deficient, be missing
我欠他十塊錢。	::Go2a khia3m i cha8p kho+.	khiam 03a	I owe him ten dollars.
書少一本。	::Chheh khia3m chi8t pu2n.	khiam 03b	One of the books is missing.
儉 ,節省	khia7m	khiam 04	thrifty, frugal, to save, economize
節省點！	::Khah khia7m le3.	khiam 04a	Be more frugal!
這些錢我要存下來。	::Chiah e5 chi5* go2a boeh khia7m khi2-la5i.	khiam 04b	I'll save this money.
欠安	khia3m-an	khiam an 01	indisposed, be in poor health (a polite expression)
身體欠安	::sin-the2 khia3m-an	khiam an 01a	be unwell
缺少微生素 (維他命 )	khia3m Bi-ta2-mi2n	khiam bi ta min	vitamin deficiency
欠債	khia3m-che3	khiam che 01	owe a debt
欠債怨債主 ,不孝怨父母。	::Khia3m-che3 oa3n che3-chu2, put-ha3u oa3n pe7-bu2.	khiam che 01a	Debtor hates the creditor, un-filial son hates his parents.
欠人的債	::khia3m la5ng e5 che3	khiam che 01b	be in debt to a person
欠人情	khia3m-che5ng	khiam cheng 01	owe favors, favors not returned or repaid
我欠他的人情。	::Go2a khia3m i e5 che5ng.	khiam cheng 01a	I owe him a favor.
省吃	khia7m-chhu3i	khiam chhui	moderate in eating
缺錢	khia3m-chi5*	khiam chi*	lacking of money
節衣縮食 ,節省	khia7m-chia8h lia2m-chhe7ng	khiam chiah liam chheng	economize on clothing and food, live a frugal life
缺一人	khia3m chi8t kha	khiam chit kha	short one hand (for some game or gambling)
方法都用過了 ,只差一跪	khia3m chi8t-e7 ku7i (khia3m chi8t ku7i)	khiam chit kui 01	do everything but kneel (said of very urgent entreaty)
我只差用跪的懇求他。	::Go2a khia3m chi8t ku7i ka7 i khu2n-ki5u.	khiam chit kui 01a	Short of kneeling, I besought him with all my powers.
缺水份	khia3m chu2i-hun	khiam chui hun	dehydrated
缺用 ,需要	khia3m-e7ng (khia3m-io7ng)	khiam eng	require or be in need of
缺一樣 (東西 )	khia3m-ha7ng	khiam hang	still one thing to do, not finished
謙虛	khiam-hi	khiam hi	modest, unassuming
貧血	khia3m-hiat (hoeh, pi5n-hiat, pi5n-hoeh)	khiam hiat	anemia
謙和	khiam-ho5	khiam ho	modest and good-natured, mild, meek
欠雨 ,缺雨	khia3m ho7+	khiam ho+	crops lacking rain
儉用	khia7m-io7ng	khiam iong	be careful with one's spending, frugal, thrifty
謙讓	khiam-jio7ng	khiam jiong	yield from modesty
欠佳	khia3m-ka	khiam ka	not good, not satisfactory
缺人手	khia3m-kha-sia3u	khiam kha siau	be short of help
欠款	khia3m-kho2an	khiam khoan	owe money, amount of money owed
欠缺	khia3m-khoeh (kheh-khia3m)	khiam khoeh	be in want, deficient
欠檢點	khia3m kia2m-tia2m	khiam kiam tiam	careless, wanting in method or decorum
欠繳	khia3m-kia2u	khiam kiau	have not paid (dues, tax)
謙恭 ,謙敬	khiam-kiong (khiam-ke3ng)	khiam kiong	respectful, unassuming
需要人手	khia3m-la5ng	khiam lang 02	short of help
欠工作人員	khia3m-oa5n	khiam oan	short of help
謙卑 ,謙遜	khiam-pi (khiam-su3n)	khiam pi	modesty, humility, modest, self-depreciative
謙虛	khiam-se3	khiam se	modesty, humility, modest, self-depreciative
欠賬	khia3m-sia3u	khiam siau	owe an account, buy on credit
欠薪	khia3m-sin	khiam sin	overdue wages, back pay
欠稅	khia3m-so3e	khiam soe	tax arrears
謙詞	khiam-su5	khiam su	modest speech, humble remark
謙遜	khiam-su3n	khiam sun 01	modesty, humility, modest, humble
謙順	khiam-su7n	khiam sun 02	humbly compliant
缺點	khia3m-tia2m	khiam tiam	short-coming, a lack
省吃儉用	khia7m-tn5g neh-to7+	khiam tng neh to+	frugal and thrifty, practice austerity in every respect
牽	khian (khan)	khian 01	drag, to pull, to tug, to haul, involve, affect, to control, restrain
環扣	khian	khian 02	ring used as a handle for door, drawer, or knocker, a staple or ring for a hook or latch, put a hook in its staple
門沒扣上。	::Mn5g bo5 khian le.	khian 02a	The door is not on the latch.
門環	::mn5g-khian	khian 02b	ring on a door used as handle and knocker
犬	khia2n	khian 03	dog, radical 94
小犬	::sia2u-khia2n	khian 03a	whelp, puppy, conventional phrase for "my son"
遣	khia2n	khian 04	dispatch, send (a person), kill (time), forget (one's sorrow), banish, drive away
消遣	::siau-khia2n	khian 04a	kill time, amuse oneself
譴	khia3n	khian 05	reprimand, reprove
燒製糊黏物	khia3n	khian 06	mix glutinous things by stirring (as paste or dough)
虔	khia5n	khian 07	venerate, devout, sincere, firm
乾	khia5n (kan)	khian 08	heaven, male, father, sovereign ("kan" means clean, dry)
環扣子	khian-a2	khian a	catch, hook, or ring (as curtain rings, door catch etc.)
牽制	khian-che3	khian che 01	restrain, to curb, to check, divert (enemy attention)
牽制行動	::khian-che3 he5ng-to7ng	khian che 01a	diversionary action or move (in military)
牽制球	::khian-che3-ki5u	khian che 01b	feint (in baseball)
譴責	khia3n-chek	khian chek	reprimand, to blame, to reproach
遣將	khia2n-chio3ng	khian chiong	send generals (to battle)
算命時稱呼男的「乾造」	khia5n-cho7	khian cho	term used for the male when telling fortune
遣返	khia2n-ho2an	khian hoan	send back, send home
遣回 (遣還 )	khia2n-ho5e (khia2n-ho5an)	khian hoe	send back (a person)
虔敬 ,虔心	khia5n-ke3ng (khia5n-sim)	khian keng	devout, reverently
乾坤	khia5n-khun	khian khun	male and female, heaven and earth
牽強	khian-kio5ng	khian kiong	forced (of an interpretation), unnatural, far-fetched
牽強附會	khian-kio5ng hu7-ho7e	khian kiong hu hoe	give a forced interpretation, distort the meaning, make farfetched interpretations
犬馬之勞	khia2n-ma2 chi lo5	khian ma chi lo	labor of a dog or a horse (literally) ─ one's own work, I have merely rendered you the services of a dog or of a horse (depreciatory phrase)
扣上門	khian-mn5g	khian mng	fasten the door by putting the hook in its staple
爆香	khia3n-phang	khian phang	flavor with onion or mushroom before frying (something)
遣使	khia2n-sa3i	khian sai	dispatch an envoy
遣使會	Khia2n-sa3i-ho7e	khian sai hoe	CM: Cong. Miss. (Lazarists)
遣散	khia2n-sa3n	khian san 01	dispatch an envoy
遣散費	::khia2n-sa3n-hu3i	khian san 01a	severance pay, retiring allowance
遣送	khia2n-sa3ng	khian sang	send away, to escort
虔誠	khia5n-se5ng	khian seng	sincere and devout
虔心	khia5n-sim	khian sim	sincere reverence, piety
迷信	khia3n-sn2g	khian sng 01	superstitious rites or notions
行迷信	::cho3 khia3n-sn2g	khian sng 01a	perform superstitions rites
很迷信	::ka7u khia3n-sn2g	khian sng 01b	very superstitious
用食指與中指 (或石頭 )打頭部	khian tha5u-khak	khian thau khak	hit head with knuckles or rocks
仰頭 (形容無精打采 )	khia3n-thian	khian thian 01	gawk while walking around
走路不看路	::Ki5a*-lo7+ khia3n-thian khia3n-thian.	khian thian 01a	walk around looking at the sites paying no heed to where one is walking
騙 ,偷	khiang	khiang 01	deceive, fool, hoodwink, stolen
要寄回去的東西不知在哪兒被人偷了。	::Boeh ki3a tn2g-khi3 e5 mi8h-ki7a* m7-chai ti7 toh-u7i ho7+ la5ng khiang khi3.	khiang 01a	I don't know where someone stole the things I was sending home.
給騙子騙走了。	::Khi3 ho7+ khiang-a2 khiang khi3.	khiang 01a	to be hoodwinked by a thief
能幹 ,棒 ,善於	khia3ng	khiang 02	be good (clever) at
他善於講故事。	::I ko2ng ko3+-su7 chin khia3ng.	khiang 02a	He is good at telling a story.
善於寫字	::si2a-ji7 chin khia3ng	khiang 02b	write a good hand
賊 ,騙子	khiang-a2	khiang a	thief
精明 ,能幹 (女人 )	khia3ng-kha	khiang kha	unyielding (said of a woman), spirited, mannish
僵屍 ,瘦皮猴	khiang-si (kiang-si)	khiang si	stiff corpse, a type of vampire (fictional), skinny, a sack of bones
小氣 ,吝嗇	khiap-sa2i	khiap sai	miserly, stingy (archaic)
醜	khiap-si3	khiap si	ugly (said of a person)
曲	khiau (khiok)	khiau 01	crooked, bent
折彎 ,折曲	::au2-khiau	khiau 01a	bend and make it crooked
手肘	::chhi2u-khiau	khiau 01b	elbow
巧 ,聰明	khia2u (kha2u)	khiau 02	clever, intelligent
這個孩子很聰明。	::Chit e5 gi2n-a2 chin khia2u.	khiau 02a	This child is very clever (smart).
翹 ,撅	khia3u	khiau 03	cock up, to rise (e.g., one end of a seesaw)
刁難 ,乖張	khia5u	khiau 04	be fretful or peevish, as a child or mother-in-law, cause constant trouble
這孩子在生病 ,所以很乖張。	::Chit e5 gi2n-a2 teh pho3a-pe7*, so2+-i2 chin ga5u khia5u.	khiau 04a	This youngster is not well, so he is very peevish.
嫌這嫌那 ,故意刁難	::khia5u-tang khia5u-sai	khiau 04b	fret about this and that
巧妙	khia2u-bia7u (kha2u-bia7u)	khiau biau	ingenious, skillful, clever
翹八字鬍	khia3u-chhiu	khiau chhiu	handle-bar mustache
翹嘴 ,撅嘴	khia3u-chhu3i	khiau chhui	curled lips
蹺腿 ,蹺二郎腿	khiau-kha	khiau kha 01	put one leg over the other, cross one's legs
屋裡沒貓 ,老鼠就蹺腿。	Chhu3-la7i bo5 ba5, nia2u-chhi2 chi7u khiau-kha.	khiau kha 01a	When the cat's away, the mice will play.
蹺腿捻鬍子 ,生活閒逸	khiau-kha lia2n chhu3i-chhiu	khiau kha lian chhui chhiu	put one leg over the other and twist the mustache ─ live in leisure
刁難 ,苛求的	khiau-khi	khiau khi 01	fastidious, touchy
翹了 ,死了	khiau-khi3	khiau khi 02	bent, be dead (slang)
聰明	khia2u-khi3	khiau khi 03	clever
翹起來	khia3u khi2-la5i	khiau khi lai	rise (as the tail of a peacock or one end of a seesaw), stand erect
翹翹的	khia3u-khia3u	khiau khiau	hold up, bend
扭曲 ,彎曲	khiau-khiau	khiau khiau 01	rather crooked
為難 ,刁難	khia5u-kho2+	khiau kho+	find fault (pick a quarrel) with a person, take advantage of a man's necessities and make an unreasonable demand
駝背	khiau-ku	khiau ku	hump-backed
彎來彎去	khiau-la5i khiau-khi3	khiau lai khiau khi	bent in different directions at different parts, all bent out of shape
彎彎曲曲	khiau-lin-long	khiau lin long	crooked
竅門	khia3u-mn5g	khiau mng	guide to secret or special techniques
聰慧相	khia2u-si5n	khiau sin	very real and life-like
兩端上翹之扁擔	khiau-ta*	khiau ta*	yoke
死掉	khia3u-ta2i*	khiau tai*	died
容易生氣	khia3u-tha5u	khiau thau 01	easily angered
他那麼容易生氣 ,我不敢跟他開玩笑。	::I hiah-ni8h khia3u-tha5u, go2a m7-ka2* kah i ko2ng-chhi3o.	khiau thau 01a	He gets angry that easily, I don't dare joke with him.
缺 ,缺口	khih (khoat)	khih 01	chip nick or flaw (as in the edge of a pottery or knife, a notch
茶杯破了一個缺口。	::Te5-au khih chi8t khih (u7 chi8t khih)	khih 01a	The edge of the tea-cup is chipped.
陶匠用破碗 (自己用劣貨 )。	::Sio-hu5i e5 chia8h khih.	khih 01b	A potter uses for his own table those bowls that have flaws.
兔唇	khih-chhu3i	khih chhui	hare-lipped
缺角	khih-kak	khih kak 01	knocked-off corner
打了個缺角	::phah khih-kak	khih kak 01a	break a bit out of the edge (as of a pottery or a knife)
欽	khim	khim 01	respect, reverent, imperial
琴	khi5m	khim 02	Chinese lute or guitar, harp, piano, organ, harmonica etc.
風琴	::hong-khi5m	khim 02a	organ
口琴	::kha2u-khi5m	khim 02b	harmonica
鋼琴	::kn3g-khi5m	khim 02c	piano
小提琴	::si2o-the5-khi5m	khim 02d	violin
擒	khi5m	khim 03	arrest, to capture
禽	khi5m	khim 04	birds, the feathered kingdom
家禽	::ka-khi5m	khim 04a	domestic fowl
欽命	khim-be7ng	khim beng	imperial order, imperial emissary
欽慕	khim-bo7+	khim bo+	admire, look up to
擒賊先擒王	khi5m-chha8t sian khi5m-on5g	khim chhat sian khim ong	If you want to capture a group of bandits, capture the ringleader first. ─ Stress what should be done first. First things first.
欽差	khim-chhe	khim chhe	imperial envoy, commissioner, ambassador
擒捉	khi5m-chhiok	khim chhiok	arrest, to capture
欽崇	khim-cho5ng	khim chong	adore (the supreme God)
欽仰	khim-gio2ng	khim giong	look up to, admire and respect
擒獲	khi5m-he8k	khim hek	arrest, to capture
禽之胸部	khim-heng	khim heng	chest muscle or breast (of birds, chicken, duck)
欽服	khim-ho8k	khim hok	respect, reverence
欽敬	khim-ke3ng	khim keng	admire and respect
擒拿	khi5m-na2	khim na 01	arrest, to capture
擒拿術 (法 )	::khi5m-na2-su8t (hoat)	khim na 01a	method (technique) of arrest
琴譜	khi5m-pho2+	khim pho+	score for lute, guitar, piano, other stringed instruments
擒捕	khi5m-po77+	khim po+	arrest, to capture
欽佩	khim-po7e	khim poe	respect, to agree with heartily, think highly of
琴瑟	khi5m-sek	khim sek	lute together with a horizontal musical instrument, married couple
琴瑟之樂	khi5m-sek chi lo8k	khim sek chi lok	pleasures of married life
琴瑟和鳴	khi5m-sek ho5-be5ng	khim sek ho beng	marital harmony, conjugal bliss
琴瑟不調	khi5m-sek put-tiau	khim sek put tiau	lutes are out of tune ─ discord between husband and wife
琴瑟調和	khi5m-sek tiau-ho5	khim sek tiau ho	lutes are in harmony ─ felicity of husband and wife
禽獸	khi5m-si3u	khim siu	birds and beasts
禽獸不如	khi5m-si3u put-ju5	khim siu put ju	worse than beasts (said of those devoid of moral principles and sense of shame) worse than beasts, bestial
琴線	khi5m-so3a*	khim soa*	strings of any musical instrument
欽賜	khim-su3	khim su	gift from the throne
欽定	khim-te7ng	khim teng	complied and published by imperial order (books), (books) complied or edited by the emperor
輕	khin (kheng)	khin 01	light, easy to carry, easy, simple, mild, gentle, soft, tender, mean, lowly, unimportant, frivolous, rash, reckless, to slight, to neglect, ignore, underestimate
輕一點	::khah khin-la8t	khin 01a	using less strength
看輕	::kho3a*-khin	khin 01b	despise
勤	khi5n (khu5n)	khin 02	industrious, diligent
上班	::chhut-khi5n	khin 02a	go to the office, go on duty
很輕	khin-ba2ng-ba2ng	khin bang bang	very light
勤勉	khi5n-bia2n	khin bian	diligent, industrious
勤務 ,工作	khi5n-bu7	khin bu 01	service, a work, work for (as an office or company)
在郵局工作	::ti7 Iu5-che3ng-kio8k teh khi5n-bu7 (ho8k-bu7)	khin bu 01a	working for the post-office
