orang	person
tŭrhukum	punished
tŭrhimpon	assembled
tŭrhibor	entertained
tŭrhantarlah	delivered
tŭrhangus	burnt out
tŭrhangat	the warmest
tŭrgŭpitlah	be trapped
tŭrguling	overturned
tŭrgolek	lying on the ground
tŭrgalak	fierce
tŭrdiam	silent
tŭrchŭngangnya	his tŭrchŭngang
tŭrchŭleklah	tŭrchŭleklah
tŭrchŭbor	tŭrchŭbor
tŭrchampor	tŭrchampor
tŭrchampak	tŭrchampak
tŭrchabutlah	let it go
tŭrchabut	to be cut off
tŭrbŭlah	tŭrbŭlah
tŭrburielah	buried
tŭrbuanglah	wasted
tŭrbongkoklah	bend over
tŭrblungguku	my bondage
tŭrbli	tŭrbli
tŭrbingunglah	be confused
tŭrbanyak	the most
tŭrbantut	help
tŭrbangunlah	wake up
tŭrbalek	backwards
tŭrbahgi	blessed
tŭrbabit	baby
tŭrantoklah	hit
tŭrantak	crashed
tŭramatlah	thank you
tŭpŭrling	tŭpŭrling
tŭpoknya	the tŭpok
tŭpanchar	tŭpanchar
tŭnungan	support
tŭnung	the trough
tŭntut	demand
tŭntukanlah	decide
tŭngkingkan	to bend
tŭngking	tŭngking
tŭmplakkanlah	put it down
tŭmpek	tŭmpek
tŭmpayau	toadstool
tŭmitnya	his tŭmit
tŭlor	tŭlor
tŭlok	the door
tŭloh	tŭloh
tŭlantamu	your land
tŭlanjangmu	your naked
tŭlanjang	naked
tŭlan	tŭlan
tŭlak	full stop
tŭlaga	lake
tŭla	tŭla
tŭkukor	tŭkukor
tŭkala	when
tŭhantar	delivered
tŭgor	tŭgor
tŭgohlah	go ahead
tŭgohkanlah	try it
tŭgahkan	to assume
tŭdoh	fool
tŭbusanmu	your ransom
tŭbus	redemption
tŭbing	cliff
tuwielah	thank you
tutornya	the tutor
tutormu	your tutor
tutor	tutor
tutopkanlah	stop it
tutop	top
turutan	consecution
turoulah	go ahead
turotkan	to follow
turlebih	over
tuntotkanlah	demand it
tunggang	ride
tundokkan	bow down
tumpas	wipe out
tumpang	overlap
tumbok	pile
tulosnya	its pure
tulah	plague
tujukanlah	aim it
tudongkanlah	point it out
tudohi	to be honest
tudohannya	the accusation
tudoh	stupid
tuany	sir
tuangkanlah	pour it out
ttu	that's it
trompamu	your trompa
trompah	Trombone
trompa	tromp
trimah	Thank you
triak	triak
trek	track
trangmu	your home
tompok	pile
tokaknya	his head
tiup	blow
tinggilah	be tall
tinggiannya	its height
tinggalah	stay
timpahlah	pour it over
timpah	spill
timbol	symbol
timbangannya	the scales
tidormu	your sleep
tidorkah	sleep well
tida	no
tiadalan	nothing
tiadaklah	there is no way
tia	tia
tetek	breasts
tengkat	level
tempangmu	your place
telor	egg
tauretlah	tauretlah
taulannya	his/her relationship
tauladanlah	be an example
tauh	you know
taubut	the source
tara	tara
tapiskan	filter
tanglong	long tail
tangisku	my tears
tanggonglah	hold on
tanggongannya	his grip
tanggonganku	my grip
tanganmulah	your hands
tandoknya	his horn
tanaylah	ask me
tanamkan	plant
tanahlah	land it
tambatan	mooring
talokkanlah	call it
talok	talok
taksir	estimate
takotkan	scared
takotilah	be afraid
tahunmu	your year
tahlil	recitation
tadahkanlah	hold it up
tabot	tabot
taalok	taalok
sŭtŭgoh	sŭtŭgoh
sŭtujulah	agree
sŭtrumukah	are you shocked
sŭtialah	be faithful
sŭtahu	as you know
sŭsŭt	sŭsŭt
sŭsungguhnyalah	indeed
sŭsuata	something
sŭsangsara	misery
sŭrumpon	trumpet
sŭrangan	attack
sŭrahkankah	hand it over
sŭpŭngumban	slingshot
sŭpupu	cousin
sŭpuchok	sŭpuchok
sŭprampat	a piece of wood
sŭpanjara	prison
sŭnyempang	sŭnyempang
sŭnyaplah	be quiet
sŭntosalah	sŭntosalah
sŭntosa	sŭntosa
sŭntoh	sŭntoh
sŭntiasalah	always
sŭntak	jerk
sŭnjatanya	his weapon
sŭnjakala	the sŭnjakala
sŭngsaralah	miserable
sŭngsarakan	miserable
sŭngkang	step aside
sŭngatmu	your sting
sŭngat	sting
sŭngaja	on purpose
sŭndiripun	even by myself
sŭnangnya	so happy
sŭnangku	my pleasure
sŭmŭrbaklah	let it bloom
sŭmpornanya	perfect
sŭmpitlah	narrow
sŭmpat	time
sŭmbunyikanlah	hide it
sŭmbohnya	Hopefully
sŭmblihkan	heal
sŭmayam	sŭmayam
sŭmacham	sŭmacham
sŭlŭsielah	that's it
sŭlŭsiekan	finish
sŭlŭsie	sŭlŭsie
sŭluroh	all over
sŭlimutmu	your blanket
sŭlideklak	sŭlideklak
sŭlideklah	take a look
sŭlidekkan	zoom in
sŭlebih	more
sŭlbinya	the whole thing
sŭlangkap	one step at a time
sŭlang	hose
sŭlamlah	forever
sŭlama	for as long as
sŭkŭping	sŭkŭping
sŭkŭjap	in a flash
sŭkutuan	alliance
sŭkati	sŭkati
sŭjuk	cool
sŭgŭuap	a sip
sŭgranyalah	it's okay
sŭgrahnya	all the way
sŭgarkanlah	refresh it
sŭdŭkahnya	his alms
sŭdirinya	himself
sŭdiri	myself
sŭdikitlah	just a little bit
sŭdikitkah	a little bit
sŭdeh	finished
sŭchukopnya	the schukop
sŭbŭntaran	a moment
sŭbŭlomlah	before
sŭbŭgitulah	that's it
sŭbŭgini	like this
sŭbutan	designation
sŭbot	bot
sŭblom	first
sŭblahkanlah	let it be
sŭblahkan	give it up
sŭbaya	same age
sŭbat	bat
sŭbagitulah	that's it
sŭbagitu	that's all
sŭata	all
swatu	self
swarany	speak
swaraku	my voice
sutra	silk
susut	shrink
susunya	the milk
susuan	milk
surta	surta
surohanmu	your request
suratkanlah	write it down
suratannya	his letter
supapa	supa
sunyilah	be quiet
suntok	injection
sungguhnyalah	indeed
sungguhlah	really
sundiri	alone
sumbong	arrogant
sumanlah	sum up
sulongannya	his suggestion
sulohnya	the suloh
sulohmu	your god
sukat	size
sukanya	likes
sukah	like it
sudahan	Done
suda	already
suchimu	suchimu
subornya	subornya
su	s
stŭngah	half way
stŭgoh	stŭgoh
stujulah	Agree
stara	star
stadia	stadium
srasa	feeling
spatah	spat
sparti	sparti
spanjang	long
sombongmu	your arrogance
sokonglah	support me
sluruh	all over
slidek	slide
slasih	basil
slamanya	forever
slaku	slaku
skian	skian
skata	skate
skarangkah	now
skaligus	at once
skaliaanya	the scale
skalain	scale
sisek	sisek
sipulah	here it is
sipuannya	her squint
singahsananya	his throne
siakah	why
siTiekikus	theTieKikus
siKarpus	siKarpus
shukormu	thank you
shorganya	shorganya
shorgakah	God bless you
shaknya	the shack
shaklah	shaklah
shahidmu	your martyr
seksanya	sex
seksamu	your sex
sbahuan	shoulder to shoulder
sbagienya	for your information
sayangkanlah	love it
sayangan	darling
sasunguhnya	really
sasungguh	really
sasunggoh	thank you
sari	sari
sar	sar
sapŭrkara	sapŭrkara
saputangan	handkerchief
sangkotan	the crown
sangkot	the sluice
sangkaran	cage
sangkakanlah	think so
sangkakankah	do you think
sanggat	very
samŭsta	Samoa
samun	Samun
samula	Samula
samuanya	all of them
samua	all
sampiekanlah	please convey it
sampia	until
sambongan	bragging rights
saman	saman
samakah	is it the same
salihmu	your righteousness
salibkankah	crucify
saleh	pious
salaksa	snakehead
salahlah	that's wrong
saksikanlah	watch it
sakitnya	the pain
sakitlah	it hurts
sakitkan	hurt
sakian	sorry
saket	pocket
sakal	the backbone
sajianku	my dish
sahutku	I replied
sahlie	sahlie
sahidangan	friendship
sahasta	sahasta
saharusnya	should be
saharian	saharian
sahabis	finished
sadiakalanya	sometimes
sachawan	the sachawan
sabŭsar	sabur
sabŭntar	sabŭntar
sablas	sablas
sabaslah	take it easy
sabarku	my patience
sabarkanlah	be patient
s	s
rŭzkimu	your fortune
rŭzkiku	my fortune
rŭmok	rŭmok
rŭmaklah	make it right
rŭjamkan	jam
rŭgang	gap
rŭdopnya	the rŭdop
rŭdamlah	calm down
rŭbah	change
rusokku	my broken
rumputan	grass
rumpon	fish aggregating device
rumahmulah	your home
ruh	spirit
rubohkan	tear it down
ruboh	ruboh
rtalit	rtalit
rosaklah	it's broken
rohkulah	my spirit
rizkinya	his fortune
riohlah	come on
ringeknya	his whimper
rengkas	summary
relai	relay
rebaannya	the thump
rayatku	my people
rawan	vulnerable
rasolku	my apostle
rasolkah	apostle
rasaku	my feeling
rasai	taste
rapatnya	the meeting
rapatkanlah	close it up
rantieku	my chain
rampasannya	his spoils
rajinkanlah	be diligent
rajinkan	be diligent
rajakah	king
rahmatmu	your grace
rahmatlah	be blessed
rahmatku	my grace
rahimnya	her womb
rahimku	my womb
rachun	raccoon
pŭuyakit	disease
pŭtangkah	the spear
pŭsparagam	diversity
pŭsannya	the message
pŭsankanlah	order it
pŭsananku	my order
pŭrumpuanku	my grass
pŭrumpamaannya	the analogy
pŭrulihannya	his recovery
pŭrtŭngahanmu	your middle
pŭrtŭngahan	middle
pŭrtŭmuan	meeting
pŭrtŭmnanmu	your word
pŭrtutoran	tutoring
pŭrtukaran	exchange
pŭrtuan	order
pŭrtikaman	stabbing
pŭrtandah	omen
pŭrtaan	participation
pŭrsŭmblihankah	is it a sacrifice
pŭrsŭmbahkanlah	dedicate it
pŭrsŭmbahannya	his offering
pŭrsŭmbahankah	offerings
pŭrsŭlŭsihan	purification
pŭrsŭlisehan	disclaimer
pŭrsŭgi	slingshot
pŭrsundalannya	her prostitution
pŭrslisihan	dispute
pŭrsinggaanmu	your stopover
pŭrsimpanannya	its storage
pŭrniagaannya	his business
pŭrnahkah	have you ever
pŭrna	pŭrna
pŭrmumulaan	the beginning
pŭrmintaannya	his request
pŭrmasannya	the maintenance
pŭrlumbaan	race
pŭrlentehan	squeak
pŭrlentean	pŭrlentean
pŭrlainannya	the difference
pŭrlahan	slowly
pŭrkŭrjaan	work
pŭrkataanya	his words
pŭrkaranya	the matter
pŭrkampongan	village
pŭrkalahian	fight
pŭrkakas	tools
pŭrka	squirt
pŭrjanjianku	my agreement
pŭrjamuanku	my supper
pŭrjalannya	his journey
pŭrhinggaan	limitation
pŭrhimponannya	the gathering
pŭrhatikan	pay attention
pŭrhambai	slave
pŭrgikah	go away
pŭrentahmu	your command
pŭreksalah	check it out
pŭrdawaanku	my virginity
pŭrdamiekan	peace
pŭrda	local government
pŭrchobaanku	my experiment
pŭrchekkan	to cut
pŭrchayanya	believe it
pŭrchayamu	your trust
pŭrchayai	believe
pŭrchah	squirt
pŭrbŭndahran	transfer
pŭrbŭndaharanmu	your treasury
pŭrbŭkalan	deprivation
pŭrbuatkanlah	do it
pŭrbuatanku	my deeds
pŭrbethaannya	the change
pŭrbandahrannya	comparison
pŭrbandahranmu	your comparison
pŭrbandaharaan	treasury
pŭrbaikilah	fix it
pŭrangkap	trap
pŭranakkan	childbearing
pŭrampuau	woman
pŭrampuanku	my woman
pŭrampas	usurper
pŭraduan	compound
pŭnŭgoran	censure
pŭnŭbus	redeemer
pŭnŭbos	boss
pŭnyombong	arrogant
pŭnyamunkah	bandits
pŭnuntotan	prosecution
pŭnunggunya	the guardian
pŭnulongan	help
pŭnjaranya	his prison
pŭninggalanku	my legacy
pŭninggalan	legacy
pŭnidor	slingshot
pŭngŭnalan	introduction
pŭngŭlihatan	vision
pŭngŭjaranmu	your pursuit
pŭngwasaau	watchdog
pŭngumpat	swearer
pŭnguasa	ruler
pŭnglihatanmu	your vision
pŭngikotku	my ally
pŭnghiboran	entertainment
pŭnghasihan	income
pŭngharapau	hope
pŭnghadapannya	his presence
pŭnghabisan	the end
pŭngganggu	the nuisance
pŭngatahuannya	his knowledge
pŭngatahuanmu	your knowledge
pŭngasoh	the soother
pŭngasihau	the benefactor
pŭngasihannya	his mercy
pŭngasihanmu	your compassion
pŭngartianku	my understanding
pŭngarang	author
pŭngapakan	what to do
pŭngantok	sleepy
pŭnganjur	advocate
pŭngaku	confessor
pŭngajaranya	his teaching
pŭngail	fisherman
pŭngaduannya	his complaint
pŭnchŭriean	pŭnchŭriean
pŭnchoba	experiment
pŭnchium	penchium
pŭnatlah	be tired
pŭnangkis	deterrent
pŭnambahan	addition
pŭnakot	the scapegoat
pŭn	even
pŭmungkirkan	deny
pŭmrentahannya	his reign
pŭmimpi	dreamer
pŭmbŭnchi	slug
pŭmbrianmu	your gift
pŭmbelot	defector
pŭmbayarnya	the payer
pŭmbaptisan	baptism
pŭmandangannya	the view
pŭmandanganmu	your view
pŭmanah	archer
pŭmaki	cursing
pŭlŭpanya	forgetfulness
pŭlŭpa	forgetful
pŭlpanya	the pŭlpa
pŭlohnya	his father
pŭlita	the light
pŭleter	pŭleter
pŭlangi	rainbow
pŭkan	squirt
pŭgghulu	the chief
pŭgangkan	hold on
pŭdulikan	care
pŭdangkah	sword
pŭchahan	slumber
pŭblakanlah	be frank
putoslah	break up
putihnya	whiteness
putehnya	the white
pupunya	the pupa
pupumu	your fertilizer
pupu	fertilizer
puntang	the back of the head
punohlah	it's okay
punoh	punoh
pulangku	my home
pulah	island
pukolan	blow
pujiannya	his praise
puchok	the bottom
puchat	pooh
puasalah	fasting
pua	happy
protku	my proxy
prisie	price
pranakkan	prankkan
pohonkanlah	plant a tree
plitanya	the lights
pliharaan	Pet
plangi	rainbow
plajarannya	the lesson
pipimu	your cheeks
pintamu	your request
pintakanlah	ask for it
pingganmu	your plate
pilahan	selection
picheklah	take a look
pengsanlah	faint
pengsanku	my pain
paut	link
patong	cut
patiklah	please
patahkannya	break it
parkara	parka
parasnya	her face
paranya	paranya
parangkan	parakan
panting	panting
panjangannya	length
pandanganlah	take a look
pancharan	the harbinger
pakican	Pakistan
padamuulih	you are recovering
padamulah	You are mine
padamkan	turn off
padalah	even though
otak	brain
oraug	people
orangyang	people who
olokkannya	make fun of it
nŭrwastu	pure
nŭchaya	no
nyanyi	sing
nyahkanlah	get rid of it
nyah	nah
nilayannya	its value
nikmatnya	the pleasure
nikab	niqab
niatkan	intend
ngŭnangkan	to remember
nggil	call
nazarkan	vow
nawangnya	the wang
natkannya	put it right
natkan	to be sure
nasu	nasu
nasihatkanlah	give advice
nasihatkan	advise
naracha	naracha
nantikankah	look forward to it
namakŭ	my name
nahi	oh
nafsukah	lust
nafrinya	his stomach
nabilah	prophet
mŭuŭtapkan	set
mŭuyimpan	save
mŭrŭnunglah	think about it
mŭrŭnung	ponder
mŭrŭbahkan	to spread
mŭrombak	overhaul
mŭrnunglah	think about it
mŭrnung	ponder
mŭrjam	jam
mŭrgŭstua	parents
mŭrgastua	old man
mŭrelakan	let go
mŭrelai	relay
mŭreka	they
mŭrdeka	free
mŭrdehkalah	lose
mŭraunglah	roar
mŭraung	roar
mŭrasa	feel
mŭrapatkan	close up
mŭrampaskan	to rob
mŭrahi	be merciful
mŭrabalah	feel it
mŭraba	groping
mŭnŭugar	to make a mistake
mŭnŭrpa	hit
mŭnŭrkam	pounce
mŭnŭrimalah	accept it
mŭnŭntot	fucking
mŭnŭngglamkan	drown
mŭnŭngadahlah	look up
mŭnŭmpohlah	take a dump
mŭnŭmplakkan	to put
mŭnŭmbunkan	accumulate
mŭnŭgtahui	to know
mŭnŭgohkan	to make
mŭnŭbos	boss
mŭnyŭrang	attack
mŭnyŭrahka	surrender
mŭnyŭntok	mŭnyŭntok
mŭnyŭngkali	deny
mŭnyŭmpornakan	perfect
mŭnyŭmie	noodles
mŭnyŭmborkan	to pour out
mŭnyŭmbohkankah	is it possible
mŭnyŭmboh	mŭnyŭmboh
mŭnyŭmblihkan	restore
mŭnyŭmblih	slaughter
mŭnyŭmbahkan	to worship
mŭnyŭlidiki	to investigate
mŭnyŭlidek	to look into
mŭnyŭjokkan	cornered
mŭnyŭdapkan	to tap
mŭnyŭbot	bot
mŭnyŭblahnya	break it
mŭnyusop	to be a jerk
mŭnyurokan	to pour
mŭnyunatkan	circumcise
mŭnyumpahi	to curse
mŭnyukor	to bury
mŭnyugi	to feed
mŭnyuchuk	squeak
mŭnyuchikanlah	wash it
mŭnyongkilkan	to dislodge
mŭnyiramkan	to sprinkle
mŭnyinder	mŭnyinder
mŭnyeret	to drag
mŭnyempang	straddling
mŭnyatakandirimu	declare yourself
mŭnyaringkan	to filter
mŭnyanyikan	to sing
mŭnyangsarakan	to suffer
mŭnyangkotkan	to hang
mŭnyangarakan	to suspect
mŭnyambunyikan	to hide
mŭnyamarkan	disguise
mŭnyamakan	equalize
mŭnyamai	to match
mŭnyalah	blame
mŭnyahut	answer
mŭnutorkan	to tell
mŭnutopi	cover up
mŭnurohkan	to lower
mŭnuret	to fall asleep
mŭnuntukan	to demand
mŭnunjokan	show
mŭnumpanglah	hitch a ride
mŭnumpangkan	to lay hold of
mŭnumbok	mŭnumbok
mŭnulonglah	help me
mŭnulongkan	help
mŭnudongkan	pointing
mŭnudongi	stealth
mŭnubus	mŭnubus
mŭntuanya	his mother in law
mŭnrangkan	to lighten
mŭnompanglah	hitch a ride
mŭnompang	hitchhiking
mŭnoleh	look away
mŭnolakkankah	refuse it
mŭnjŭretlah	shoot
mŭnjŭret	sniping
mŭnjŭlmah	rise
mŭnjŭlaskan	to explain
mŭnjumpot	pick up
mŭnjuallah	sell it
mŭnjinakkan	tame
mŭnjilat	to lick
mŭnjawablah	answer it
mŭnjalar	creeping
mŭnjagakan	guard
mŭnjadikannya	make it
mŭnjabatkan	to take office
mŭniup	blow
mŭnipulah	cheat
mŭniop	miniop
mŭnimpa	overwrite
mŭnimbunkan	to pile up
mŭnimbolkan	symbolize
mŭnimba	draw
mŭnikamkan	to bury
mŭniarap	languishing
mŭngŭsakkan	to suffocate
mŭngŭrtikan	to understand
mŭngŭratkan	tighten
mŭngŭranglah	reduce it
mŭngŭnang	remembering
mŭngŭnallah	know Allah
mŭngŭmbari	to give a speech
mŭngŭlubongi	to break through
mŭngŭjikan	disgusting
mŭngŭchilkan	to exclude
mŭngŭbirikan	castrate
mŭngwarithi	to be saved
mŭnguzorkan	to silence
mŭngutok	to collect
mŭngusutkan	to be concerned
mŭngusahkan	bother
mŭngurniai	to cherish
mŭngurangi	reduce
mŭngupah	pay
mŭngunjokkanlah	show me
mŭngundorkan	to withdraw
mŭngunchikan	to undo
mŭngulang	repeat
mŭngujikan	to test
mŭnguji	testing
mŭngugot	mŭngugot
mŭngtabui	to guess
mŭngsia	mŭngsia
mŭngraskan	depressing
mŭngoyakkan	tear apart
mŭngoyakan	tear apart
mŭngoyak	tear apart
mŭngonchang	change
mŭngochakkan	toss
mŭngluarkanlah	take it out
mŭngkŭrtak	to bend over
mŭngkorbankan	to sacrifice
mŭngkhodmatkan	to serve
mŭngkhamirkan	to infect
mŭngkhabarkan	to announce
mŭngisi	fill in
mŭngirim	send
mŭngintie	to be in love
mŭnginggatkan	remind
mŭngingatkanlah	remind me
mŭngindrie	intoxicated
mŭngikutlah	follow along
mŭngikotkan	to stifle
mŭngikatkan	to bind
mŭngigit	to bite
mŭngichukan	to beg
mŭngibaratkan	to illustrate
mŭnghŭrdikkan	to hurl
mŭnghunaslah	draw
mŭnghulu	head of state
mŭnghulorkan	to overthrow
mŭnghujatlah	blaspheme
mŭnghormatkan	respect
mŭnghisapkan	to suck
mŭnghintie	stop
mŭnghinggap	perch
mŭnghimpit	to squeeze
mŭnghela	sigh
mŭnghasutlah	incite
mŭnghasut	to incite
mŭnghantarlah	send it
mŭnghamirkan	to inspire
mŭnghambat	to hinder
mŭnggŭnapkan	to use
mŭnggunchang	to look up
mŭnggunakan	to use
mŭnggulingkan	overthrow
mŭnggrutu	grumbling
mŭnggosok	rub
mŭnggolekkan	to roll over
mŭnggigit	to bite
mŭnggasihi	to love
mŭngganggukan	disturbing
mŭngganggang	roasting
mŭngganapi	to cope
mŭnggalak	to be a part of
mŭngdatangkan	bring in
mŭngaum	roar
mŭngatorkan	to authorize
mŭngatakanlah	say it
mŭngasing	alienate
mŭngasih	give
mŭngarangkan	compose
mŭngarak	marching
mŭngapatah	why
mŭngantoklah	go to sleep
mŭngannyayakanlah	celebrate it
mŭngannyakan	ask
mŭngandrai	to run
mŭngandonglah	carry on
mŭngamponi	to forgive
mŭngamok	go berserk
mŭngamat	observe
mŭngakukan	admit
mŭngakui	admit
mŭngajarlah	teach
mŭngajari	to teach
mŭngail	fishing
mŭngagahi	abuse
mŭngadaplah	take it easy
mŭngadapkan	to anticipate
mŭngadang	waiting in the dark
mŭndŭru	go back
mŭndukakan	to grieve
mŭndudukki	sit down
mŭndolak	refuse
mŭndetangkan	to come
mŭndatangkanlah	bring it
mŭndatagkan	to register
mŭndapatlah	get it
mŭndahga	move on
mŭndahaga	to be silent
mŭndadat	suddenly
mŭnda	mŭnda
mŭnchŭtrakanlah	to make it happen
mŭnchŭmarkan	to mark
mŭnchŭlopkan	topple over
mŭnchŭlainya	to continue
mŭnchŭlai	to be a slave
mŭnchŭbiskan	to pass away
mŭnchukopkan	to crush
mŭnchukopi	coffee
mŭnchedok	to be buried
mŭncharoti	mŭncharoti
mŭncharekkan	to beg
mŭnchapiekan	cook
mŭnchabut	pull out
mŭnchabulkan	grant
mŭnawang	dreaming
mŭnatang	challenge
mŭnarohlah	let it go
mŭnarilah	dance
mŭnarek	to follow
mŭnantunya	son-in-law
mŭnantikanlah	look forward to it
mŭnanglah	win
mŭnangkan	win
mŭnangiskanlah	cry it out
mŭnanggongkan	barking
mŭnanggalkan	take off
mŭnamparlah	slap it
mŭnambahkan	add
mŭnabori	mŭnabori
mŭmŭteklah	to be cut
mŭmŭrdehkakan	to humble oneself
mŭmŭrchekkan	to slam
mŭmŭnuhi	fulfill
mŭmŭnohkan	to destroy
mŭmŭnohilah	beg for mercy
mŭmŭnggal	died
mŭmŭnatkan	to excite
mŭmŭloklah	go to the lock
mŭmŭkis	mŭmŭkis
mŭmŭgangkan	to strain
mŭmŭgahkanlah	be proud
mŭmŭgah	proud
mŭmŭchah	mŭmŭchah
mŭmutriekan	to be careful
mŭmutoskan	decide
mŭmusingkan	confusing
mŭmunggahkan	upload
mŭmulangkan	return home
mŭmujikan	to praise
mŭmudahkan	make it easy
mŭmpŭrsihkan	to clean up
mŭmpŭrhambkan	to destroy
mŭmpŭnjarakan	imprison
mŭmpŭdulikan	care about
mŭmpulie	collect
mŭmpranakan	to act
mŭmpliharakan	to maintain
mŭmotongkan	cut to pieces
mŭmintas	request
mŭminjam	borrow
mŭmilih	to choose
mŭmfitnahkan	slander
mŭmbŭtolkan	to break up
mŭmbŭnchikanlah	wash it off
mŭmbŭla	mŭmbŭla
mŭmbunyikan	to sound
mŭmbunohkah	kill it
mŭmbukakau	open your mouth
mŭmbukakanlah	open it up
mŭmbubohlah	blow it up
mŭmbratkan	to crush
mŭmbranikan	to dare
mŭmboruskan	to waste
mŭmbongkar	to dismantle
mŭmblikan	return
mŭmbisukan	mute
mŭmbinchanakan	to be a part of
mŭmbimbangkan	worrying
mŭmbicharakan	talk about
mŭmbichara	mŭmbichara
mŭmbiasakan	get used to
mŭmbawakan	bring
mŭmbarut	to wash
mŭmbaptiskan	baptize
mŭmbanyakkan	multiply
mŭmbanyaki	multiply
mŭmbantunkan	to help
mŭmbantie	to carry
mŭmbantahi	to refute
mŭmbalekkan	turn over
mŭmbahrui	renew
mŭmbachakan	to give away
mŭmashorkannya	to make it famous
mŭmanggillah	call me
mŭmanggal	beheading
mŭmandie	bathing
mŭmakielah	curse
mŭmakei	make up
mŭmakankan	to eat
mŭm	mŭm
mŭlŭtop	mŭlŭtop
mŭlŭmahkan	weaken
mŭlŭkatlah	stick together
mŭlŭkat	to stick
mŭluloskan	pass
mŭludahkan	spit out
mŭludahi	spit
mŭliwat	passing by
mŭliputilah	cover it all
mŭlipatkan	fold
mŭliekatku	stick to me
mŭliat	look
mŭlempar	throw
mŭlebihkan	overdo it
mŭlayanikah	serve
mŭlayang	float
mŭlayakkan	qualify
mŭlawanlah	fight back
mŭlaratlah	be poor
mŭlantek	to slam
mŭlanjutkan	to continue
mŭlampaui	beyond
mŭlambie	mŭlambie
mŭlambatkan	slow down
mŭlaanatkan	to disobey
mŭla	mŭla
mŭjŭlisnya	writing it down
mŭgikot	mŭgikot
muzijat	magic
mutiaramu	your pearl
mustahilkah	is it impossible
murahnya	cheap
murahlah	it's cheap
munyŭsah	munyŭsah
munyurohkan	send
munyatakan	declare
munurot	munurot
munjatohkan	to spill
munimba	munimba
mungŭnal	possible
mungkirlah	get out of here
mungkirkan	get rid of
munghalaukan	to ward off
munafiknya	his hypocrisy
mumbuka	open
mulotlah	go ahead
mulainkan	get started
mujizatnya	his miracle
muat	load
mu	your
mpan	s
morkamu	your morka
minyakmu	your oil
mintaan	request
minomlah	drink it
minomanku	my drink
milekmu	your milek
milekku	my milek
mejanya	his table
mazhab	sect
mataharinya	the sun
masuki	enter
masokkan	put it in
maski	mask
maskah	mask
masinnya	the salt
mashornya	mashornya
martes	martes
mariku	let me go
marikaitu	let's go
marahmu	your anger
manusiapun	even humans
mantrinya	the assistant
mantri	the orderly
manjadi	become
mangulah	eat
mandornya	the foreman
manatah	manatah
malŭpaskan	let go
maluku	my shame
malom	evening
malim	wise
malamkah	is it night?
makmu	your mother
makinlab	more and more labs
makikah	curse
makankan	eat it
makankah	eat
majŭlis	assembly
mahulah	what do you want
mahkotamu	your crown
mahkotaku	my crown
mahkotai	crown
mahaligienya	expensive
maana	where
lŭteh	tea
lŭngan	lang
lŭmbutkah	soft
lŭmbuku	my forest
lŭmbot	lumbot
lŭlapnya	his sleep
lŭlap	lap
lŭlahku	my god
lŭlahkan	tired
lŭkaslah	hurry up
lŭbah	bee
lutotku	my knees
lurohlah	go away
lupalah	forget it
lumpor	mud
lumbalah	run
lumbaanku	my race
luluskan	pass
lulohkannyalah	melt it
luloh	melt
ludahnya	his saliva
lomkan	jump
lom	lom
lokkanlah	lock it
lobok	Lobok
lipatannya	the folds
limpat	overflow
limbing	limbing
limah	five
lengkongkan	curve
lempahnya	the lempah
lekamu	your leka
lehir	neck
lebihlah	more
lebarlah	be wide
lebarannya	Eid
layaknya	as if
lawanmu	your opponent
lauk	side dish
lashpar	lashpar
larimu	your run
lantekkanlah	lay it down
lantas	then
langkapnya	complete
langitkah	the sky
langguannya	the subscription
lanchong	lanchong
lanat	land
lamon	lamon
lambatlah	take it slow
laln	then
lakuku	my actions
lainkanlah	make it different
lainan	other
labanya	the profit
kŭtŭpi	kŭtŭpi
kŭtŭntuan	terms and conditions
kŭtŭlanjangan	nakedness
kŭturonnan	descendants
kŭturonanmu	your descendants
kŭtula	cat
kŭtuhanan	divinity
kŭtuanannya	his lordship
kŭtopongnya	his helmet
kŭtopong	helmet
kŭtlingamu	your ring
kŭtinggiannya	its height
kŭtiga	third
kŭtidakannya	his absence
kŭtidaanya	his absence
kŭtangga	stairs
kŭtangannya	his hand
kŭtahuimu	you know
kŭsŭnangan	pleasure
kŭsukaannya	his favorite
kŭsudahanku	my ending
kŭsudahan	the end
kŭsuchianmu	your suchness
kŭshorga	heaven
kŭsannya	the impression
kŭsanakah	where are you
kŭsan	impression
kŭsaksian	testimony
kŭsah	problem
kŭrŭndahannya	his humility
kŭrumahnya	to his house
kŭrubohannya	the mess
kŭrot	rot
kŭrongkongan	esophagus
kŭrnanyalah	because of that
kŭrnanya	because of that
kŭrjalah	work
kŭrjakan	do it
kŭrjaan	work
kŭrasnya	hard
kŭraslah	be tough
kŭraskah	hard
kŭrasilah	be diligent
kŭrasan	hard
kŭpŭnjara	prison
kŭputosan	decision
kŭpujian	praise
kŭpasar	market
kŭpapaannya	his plight
kŭpandieanmu	your skill
kŭpanasan	hot
kŭpalang	cross
kŭpalaku	my head
kŭpak	pack
kŭpahitan	bitterness
kŭpadang	to the field
kŭnyangnya	full
kŭnangkanlah	remember it
kŭnangan	memories
kŭnang	remember
kŭnalah	know
kŭmŭnangannya	his victory
kŭmŭgahanku	my glory
kŭmulotnya	the clump
kŭmulot	slug
