a	and
predstavljala	represented
predstavljamo	we present
predstavljao	represented
predstavljeni	presented
predstavnici	representatives
predstojećih	upcoming
predstojnici	leaders
predstojnik	head
predu	I will spin.
pređu	yarn
preduboka	too deep
predug	too long
predugu	too long
preduhitreno	prematurely
predvečer	eve
predvečerje	eve
predviđa	predicts
predviđajte	predict
predviđaju	predict
predviđati	foresee
predviđen	foreseen
predvidio	predicted
predvidjevši	anticipating
predvode	lead
predvodeći	leading
predvodi	leads
predvodio	led
predvoditi	lead
predvodnici	leaders
predvodnicu	leader
predvodnik	leader
predvorja	lobby
predvorje	vestibule
predvorjem	lobby
predvorjima	lobbies
predvorju	lobby
predznak	sign
predznanju	prior knowledge
pregače	aprons
pregaču	apron
pregazi	run over
Pregazio	Run over
pregaziše	they ran over
pregaziti	run over
Pregibi	Bends
pregleda	reviews
pregledah	I reviewed
pregledaj	review
Pregledajte	Browse
pregledala	reviewed
pregledao	reviewed
pregledavši	having reviewed
pregovarati	negotiate
pregrade	partitions
pregradni	dividing
pregrijana	overheated
pregršt	handful
prehraniš	you feed
preimenovaše	renamed
prejaki	too strong
prejeo	overeaten
Prekaljeno	Tempered
prekasno	too late
prekida	interrupt
prekidali	interrupted
prekine	interrupt
prekini	stop
prekinula	interrupted
prekinuo	interrupted
prekinut	off
prekinuti	abort
prekjučer	day before yesterday
preklinjali	begged
preklinjanje	supplication
preklinjao	begged
preklinjati	beg
preklinje	begs
Preklinjem	I beg you.
preklinjemo	we beg
preklinjući	begging
preko	through
prekomjerno	excessively
prekorače	exceed
prekoračiti	exceed
Prekoravajući	Reprimanding
prekoravam	I scold
prekori	reproaches
prekorio	reprimanded
prekosutra	day after tomorrow
Prekovan	Overcooked
prekovao	overcooked
prekovaše	they overcooked
prekovati	recast
prekratak	too short
prekratku	too short
prekrečili	painted over
prekri	cover
prekrih	break
prekrij	cover
prekrije	cover
prekriju	cover
prekrila	covered
prekrile	covered
prekrili	covered
prekrilo	blanket
prekrio	covered
prekriše	overlap
prekrit	covered
prekriti	cover
prekriva	covers
prekrivač	cover
prekrivačem	with a blanket
prekrivačima	blankets
prekrivaj	cover
prekrivaju	they cover
prekrivala	covers
prekrivali	covered
prekrivao	covered
prekrivaš	you cover
prekrivati	to cover
prekriven	covered
prekrivena	covered
prekrivene	covered
prekriveni	covered
prekrivenim	covered
prekriveno	covered
prekršaj	foul
prekršaju	violation
prekršen	violated
prekršeni	violated
prekrši	violate
prekršila	violated
prekršilac	offender
prekršile	violated
prekršili	violated
prekršio	violated
prekršioce	violators
prekršiše	they violated
prekršite	violate
prekršiti	break
prekrsti	cross
prekujte	rewrite
prekuju	overcook
prelagan	too easy
prelaska	crossing
prelasku	crossing
prelazak	crossing
prelaze	they cross
prelazeći	crossing
prelazi	crosses
prelazila	crossed
prelazile	crossed
prelazili	crossed
prelazio	crossed
prelazite	you are crossing
prelaziti	to cross
prele	beautiful
preli	pour
prelij	overflow
prelije	overflows
prelijeva	overflows
prelijevaju	overflowing
prelijevali	overflowed
prelijevati	overflow
preliju	overflow
prelilo	overflowing
preliti	overflow
preljub	adultery
preljuba	adultery
preljube	adultery
preljubi	adultery
preljubnica	adulteress
preljubnicama	adulteresses
preljubnice	adulteresses
preljubnici	adulterers
preljubnicima	adulterers
preljubničkim	adulterous
preljubnicom	adulteress
preljubnik	adulterer
preljubnika	adulterer
preljubništva	adultery
preljubu	adultery
prema	according to
premala	too small
premalena	too small
premali	too small
premalo	too little
premaza	coating
premazali	coated
premazao	coated
premaže	covers
premažite	coat
premažu	they cover
premda	although
preminu	death
preminula	deceased
preminuli	deceased
preminulog	deceased
preminuloga	deceased
preminuo	deceased
preminuti	die
premjeri	survey
premješta	moves
premještam	I move
premjeste	move
premjesti	move
premjestila	moved
premlate	beaten
premlatiti	pummel
premnoge	too many
premnogih	too many
premoćni	overwhelming
premre	death
prene	transfer
prenese	transfer
prenesem	transfer
prenesemo	we transfer
preneseš	you transfer
prenesi	transfer
prenesite	transfer
prenesoh	I transferred
prenesoše	they transferred
prenesu	transfer
prenijele	transferred
prenijeli	transferred
preniješe	they transferred
prenijeti	transfer
prenio	transferred
prenoće	overnight stay
prenoći	stay overnight
prenoćimo	let's spend the night
prenoćio	spent the night
prenoćiše	spent the night
prenoćit	to spend the night
prenoćite	stay the night
prenoćiti	to spend the night
prenose	they transmit
prenosi	transfers
prenosili	transmitted
prenosilo	transmitter
prenosit	to transmit
preobilna	excessive
preobrate	conversions
preobrati	convert
preobratili	converted
preobratio	converted
preobratiš	you convert
preobratite	convert
preobratiti	convert
Preobražaj	Transformation
preobražava	transforms
preobražavajte	transform
preobražavamo	we transform
Preobrazba	Transformation
preobražena	transformed
preobraženo	transformed
preobrazi	transform
preobrazila	transformed
preobrazio	transformed
preobrazit	transform
preobraziti	transform
preobučena	overdressed
preokreću	they turn around
preokrenem	I turn around
preokreni	turn over
preokrenu	reversal
preokrenuo	turned over
preokrenut	inverted
preokrenuti	reverse
preokreta	reversal
preorao	plowed
preorati	plow
preostade	remains
preostaje	remains
preostala	remaining
preostale	the remaining
preostali	remaining
preostalih	the remaining
preostalim	the remaining
preostalo	remaining
preostalog	remaining
preostaloj	the remaining
preostalom	the remaining
preostalu	the remaining
preostane	remaining
preostanu	the remaining
preostao	left over
preostaše	remained
preostatak	remainder
prepade	raids
prepadne	terrified
prepadnu	attacked
prepadoh	I fell
prepadoše	they fell
prepadoste	you fell
prepao	scared
prepelica	quail
prepelice	quails
prepirala	argued
prepirali	argued
prepiranja	arguments
prepiranjima	arguments
prepirao	argued
prepiraše	they argued
prepirati	argue
prepirete	you argue
prepirka	argument
prepirke	arguments
prepiru	quarrel
prepješačiti	to walk
preplanulih	tanned
preplaše	scare
preplašena	scared
preplašeni	scared
preplašeno	scared
preplaši	scare
preplašila	scared
preplašiše	scared
preplašit	scare
preplave	floods
preplavi	overflow
preplavili	flooded
preplavio	flooded
preplaviše	flooded
preplavit	flooded
preplaviti	flood
prepletene	intertwined
prepletenu	intertwined
Preplove	Crossings
preplovi	sail
prepolovi	cut in half
prepolovili	halved
prepolovljena	halved
preporučio	recommended
preporučiti	recommend
preporučivati	recommend
preporučuje	recommends
Preporučujem	I recommend
preporučujemo	we recommend
preporučuju	they recommend
preporuke	recommendations
preporukom	by recommendation
prepozna	recognize
prepoznade	recognized
prepoznah	I recognized
prepoznaj	recognize
prepoznaješ	you recognize
Prepoznajte	Recognize
prepoznaju	recognize
prepoznala	recognized
prepoznali	recognized
prepoznam	I recognize
prepoznao	recognized
prepoznaše	they recognized
prepoznat	recognized
prepoznati	recognize
prepredena	cunning
prepredeni	cunning
prepredenija	more cunning
prepredeno	cunningly
prepredenog	cunning
prepredenoga	cunning
prepredenosti	cunningness
prepreke	obstacles
preprekom	obstacle
prepreku	obstacle
prepričavali	retelling
prepričavao	recounted
prepriječio	prevented
prepriječiš	you obstruct
Prepriječit	Obstruct
prepun	crowded
prepune	crowded
prepuni	crowded
prepuno	crowded
prepušta	leaves
prepuštaj	leave it alone
prepuštam	I leave it
prepuštaš	you let go
prepušteno	abandoned
prepusti	leave
prepustila	left
prepustili	left
prepustimo	let's leave it
prepustio	left behind
prepustiti	leave
prerađuje	processing
prerasli	outgrown
prerastaju	outgrow
prerasti	outgrow
prerastu	overgrow
prerušen	disguise
prerušena	disguised
preruši	disguise
prerušio	disguised
presa	press
presadi	transplants
presađuješ	you are transplanting
presahle	overdried
presahlo	dried up
presahnu	dry up
presahnulo	dried up
presahnuti	dry up
prešao	crossed
prešara	press
presavijen	folded
preselio	moved
preseliše	they moved
presijava	shines
presijeku	intersection
Presilan	Too salty
presilnih	overpowering
presit	overfed
presita	overfed
presjeći	cut off
presjedati	to transfer
presjekli	cut
Preskače	Skips
preskačem	I skip.
preskaču	they skip
prešla	crossed
preslabi	too weak
prešli	crossed
preslice	horsetail
prespava	sleeps over
prespavati	sleep
presretne	overjoyed
prestade	stopped
prestadoše	they stopped
prestajati	to cease
prestaje	stops
prestajemo	we stop
prestajte	stop
prestaju	they stop
prestala	stopped
prestale	stopped
prestali	stopped
prestane	stop
prestanem	I stop.
prestaneš	you stop
Prestani	Stop it.
prestanite	stop
prestanka	termination
prestanu	stop
prestao	stopped
Prestara	Too old
prestaše	they stopped
prestat	stop
prestati	cease
prestići	overtake
prestigavši	overtaking
prestigne	overtake
prestižite	overtake
prestraše	scare
prestrašen	scared
prestrašeni	scared
prestraši	scare
prestrašimo	let's scare
prestrašio	scared
prestrašiš	you scare
prestrašiše	scared
prestrašiti	to scare
prestravi	terrified
prestravili	terrified
prestraviše	terrified
prestravit	terrified
prestraviti	terrify
prestravljena	terrified
prestravljeni	terrified
prestravljeno	terrified
prestup	offense
prestupa	offense
prestupe	offenses
prestupili	transgressed
prestupima	offenses
prešućivati	to keep quiet
presuda	judgment
presudama	judgments
presude	verdicts
presuđeno	adjudicated
presudi	verdict
presudili	ruled
presudim	I judge
presudio	ruled
presudiše	they ruled
presudit	to judge
presudite	judge
presuditi	to judge
presuđivao	adjudicated
presudu	verdict
presuđuje	adjudicates
presuđujem	I judge.
presuđujete	you are judging
presuše	dry up
presušen	overdried
presuši	dry up
presušila	dried up
presušili	dried up
presušilo	dried up
presušiše	dried up
presušit	dry up
presušuje	dries up
presušuju	they dry up
prešutjeti	to keep quiet
presvet	most holy
presvete	most holy
presveto	most holy
presvetoj	most holy
presvetom	most holy
presvuče	change clothes
presvučene	upholstered
presvučeni	upholstered
presvučenih	upholstered
presvuci	change
presvući	change
presvukao	changed clothes
pretapa	melt
preteča	forerunner
preteći	overtake
pretek	surplus
preteka	overtakes
preteklo	past
pretekne	overdue
preteška	too heavy
preteškim	too heavy
preteško	too heavy
pretežak	overweight
prethodi	precedes
prethodiše	preceded
prethodnica	vanguard
prethodnika	predecessor
prethodnu	previous
pretijesna	too tight
pretijesno	too tight
pretile	obese
pretili	obese
pretilih	obese
pretiloga	overweight
pretilom	obese
pretjeram	I exaggerate.
Pretjerano	Excessively
pretke	ancestors
pretopiti	recast
pretopla	too warm
pretore	praetors
pretori	praetors
pretorij	praetorium
pretorijumu	praetorium
pretorima	praetors
pretpostavljao	assumed
pretraže	searches
pretraži	search
pretražila	searched
pretražio	searched
pretražiti	search
pretraživati	search
pretrča	runs over
pretrpio	suffered
pretrpite	suffer
pretrpjela	suffered
pretrpjeli	suffered
pretrpjeti	suffer
pretući	beat up
pretukli	beaten
pretuku	beating
pretvara	transforms
pretvaraj	pretend
pretvaraju	they convert
pretvarale	pretended
pretvaram	I pretend
pretvaranje	converting
pretvaranju	converting
pretvarao	pretended
pretvaraš	you pretend
pretvarat	to pretend
pretvarate	you pretend
pretvarati	pretend
pretvore	transform
pretvorena	transformed
pretvorenu	transformed
pretvori	convert
pretvorili	converted
pretvorilo	converted
pretvorim	convert
pretvorio	converted
pretvoriš	you convert
pretvorit	convert
pretvoriti	convert
preuda	premarital
preuređenje	remodeling
preusmjerio	redirected
preuze	take over
preuzela	took over
preuzeo	taken over
preuzeše	they took over
preuzimati	to take over
preuzme	take over
Preuzvišena	Most Exalted
preuzvišene	sublime
preuzvišeni	sublime
prevara	fraud
prevarama	fraud
prevaranti	scammers
prevare	fraud
prevaren	cheated
prevarena	deceived
prevari	fraud
prevarila	cheated
prevarili	deceived
prevario	deceived
prevariše	they cheated
prevariti	cheat
prevarivši	having deceived
prevarom	by fraud
prevaru	fraud
prevazilazi	surpasses
prevazišla	surpassed
prevede	translate
preveli	translated
prevelik	too big
prevelika	too big
prevelike	too big
Preveliko	Too big
prevelikog	too big
preveo	translated
prevesti	translate
prevezu	transport
previ	see
previdio	overlooked
previja	previa
previjajući	wrapping
previje	overdress
previo	prev
previše	too much
previsok	too high
previsoka	too high
previsoko	too high
previti	to bandage
prevlada	prevail
prevladati	to overcome
prevlast	predominance
prevlasti	dominance
prevodi	translations
prevodioca	translator
prevratničke	subversive
prevrće	overturns
prevrne	overturn
prevršila	exceeded
prevrta	overturn
prevrtane	overturned
prevrtanu	overturned
prevrtao	overturned
prevrtljiv	shifty
prevrtljiva	fickle
prevrtljivca	a cheater
prevrtljivci	cheaters
prevrtljive	fickle
prevrtljivi	fickle
prevrtu	revolution
prevući	to drag
prezajte	hurry up
prezimila	overwintered
prezimimo	let's hibernate
prezir	scorn
prezira	contempt
prezirahu	despised
prezirala	despised
prezirale	despised
prezirali	despised
preziralo	despised
preziranje	contempt
prezirao	despised
preziraše	despised
prezirat	despise
prezirati	despise
prezire	despises
prezirem	I despise
prezireš	you despise
prezirete	you despise
preziri	despise
prezirno	contemptuously
prezirom	with contempt
preziru	contempt
preživa	ruminant
preživaju	they chew
prežive	survive
preživi	survive
preživimo	we survive
preživjele	survivors
preživjeli	survivor
preživjelih	survivors
preživjelim	survivors
preživjelima	survivors
preživjet	survive
preživjeti	survive
prezre	despise
prezrela	overripe
prezrele	overripe
prezreli	overripe
prezren	contemptible
prezrena	despised
prezrene	despised
prezreni	despised
prezrenja	contempt
prezreno	contemptuously
prezrenom	contemptible
prezrenu	despised
prezreo	overripe
prezreš	you despise
prezreše	despise
prezrete	despised
prezreti	scorn
prezrevši	scornfully
prezrijeti	to despise
prezritelja	scorner
prezrivo	contemptuously
prezrjeti	to despise
prezru	contempt
pri	at
prianja	clings
prianjala	adhered
prianjao	adhered
pribavi	obtain
pribavio	obtained
pribaviti	obtain
pribavlja	provides
pribavljajte	obtain
pribavljao	obtained
pribit	nail
pribiti	to nail
pribivši	having arrived
približava	approaching
približavaju	approaching
približavali	approaching
približavamo	we are approaching
približavao	approaching
približavati	to approach
približe	closer
približi	zoom in
približih	closer
približila	brought closer
približili	brought closer
približilo	brought closer
približio	brought closer
približiše	they approached
približite	bring closer
približiti	bring closer
pribojavati	to fear
pribor	accessories
pribora	accessories
priborom	with accessories
priboru	accessories
pribranost	composure
pribrojen	added
priča	story
pričah	I was talking.
pričahu	they talked
pričaj	talk
pričajte	talk
pričaju	they talk
pričajući	talking
pričali	talked
pričalica	storyteller
pričalo	talked
pričam	I am talking.
pričama	stories
pričanje	narration
pričao	talked
pričaš	you talk
pričaše	they talked
pričati	to talk
priče	stories
pričekajte	wait
Pričekat	Wait
pričekati	wait
prići	approach
priči	approach
pricijepljen	grafted
priču	story
pričuvajte	take care
pričvršćava	fastens
pričvršćene	attached
pričvršćeni	attached
pričvršćeno	attached
pričvrsti	fasten
pričvrstila	attached
pričvrstio	attached
pričvrstiše	fastened
pričvrstiti	attach
pridaje	attaches
priđe	come closer
priđem	I approach
priđemo	let's approach
priđeš	you come closer
priđi	come closer
pridigne	lift
pridigneš	you lift
Pridigni	Lift up
pridignu	lift
pridignuti	to lift
priđite	come closer
pridiže	raises
pridobije	gains
pridobijem	I gain
pridobijeni	acquired
pridobiju	gain
pridobila	gained
pridobili	gained
pridobio	gained
pridobiše	they gained
pridobiti	win
pridobiva	I gain
pridobivaju	they gain
pridoda	add
pridodate	added
pridodati	add
pridodavao	added
priđoh	I approached.
pridonijelo	contributed
priđoše	they approached
pridošlice	newcomers
pridošlicu	newcomer
pridruže	join
pridružen	associated
pridruži	join
pridružili	joined
pridružilo	joined
pridružio	joined
pridružit	join
pridružiti	join
pridružuju	join
pridržala	held back
pridržao	held back
pridržava	adheres to
pridržavahu	they kept
pridržavaj	adhere
pridržavaju	they adhere to
pridržavali	adhered to
pridržavao	adhered to
pridržavaš	you adhere
pridržavati	to adhere to
pridrži	hold
priđu	come closer
prigni	bend down
prignuo	bowed down
prignuti	bend down
prigodom	on the occasion
prigovarali	complained
prigovaranja	complaints
prigovaranje	complaining
prigovarate	you object
prigovarati	to complain
prigovore	objections
Prigovori	Objections
prigovoriše	objected
prigrabiše	they grabbed
prigradnju	annex
prigrli	hug
prigrlih	embraced
prigrlili	embraced
prigrliš	you embrace
prigrliše	embraced
prigušiti	to muffle
prihod	income
prihoda	income
prihodi	revenues
prihvaća	accepts
prihvaćajte	accept
prihvaćali	accepted
prihvaćanje	acceptance
prihvaćate	you accept
prihvaćen	adopted
prihvaćena	accepted
prihvaćeni	accepted
prihvaćeno	accepted
prihvata	accepts
prihvatam	I accept
prihvatanja	acceptance
prihvatati	accept
prihvate	accept
prihvati	accept
prihvatila	accepted
prihvatili	accepted
prihvatio	accepted
prihvatiše	accepted
prihvatit	accept
prihvatite	accept
prihvatiti	accept
prihvativši	accepting
prija	nice
prijašnja	previous
prijašnje	previous
prijašnjeg	previous
prijašnji	previous
prijašnjih	previous ones
prijašnjim	previous
prijatan	pleasant
prijatelj	friend
prijatelja	friend
prijatelje	friends
prijateljem	friend
prijatelji	friends
prijateljica	friend
prijateljicama	friends
prijateljice	friends
prijateljima	to friends
prijateljski	friendly
prijateljstva	friendship
prijateljstvo	friendship
prijatelju	friend
prijavio	reported
prijaviti	to report
prijavljujte	report
prije	ago
prijeći	to cross
prijeđe	crosses
prijeđem	I cross.
prijeđemo	let's cross
prijeđeni	crossed
prijeđeš	you cross
prijeđete	you cross
prijeđi	cross
Prijeđimo	Let's move on.
prijeđite	cross over
prijedlog	proposal
prijeđoše	they crossed
prijeđosmo	we crossed
prijeđoste	you crossed
prijeđu	cross
prijekim	by the way
prijeko	across
prijekor	rebuke
prijekora	reprimand
prijekore	reproaches
prijelaza	transition
prijepis	transcript
prijepisa	transcript
prijestol	throne
prijestolja	thrones
prijestolje	throne
prijestoljem	throne
prijestoljima	thrones
prijestolju	throne
prijestolnica	capital
prijestolnicama	capitals
prijestolnici	capitals
prijestolnicu	capital
prijestolu	throne
prijestup	transgression
prijestupa	transgression
prijestupe	offenses
prijestupi	transgressions
prijestupima	offenses
prijestupnica	offender
prijestupnice	offenders
prijestupnici	offenders
prijestupnicom	offender
prijestupnicu	offender
prijestupnik	wrongdoer
prijestupnika	offender
prijestupom	by offense
prijete	threaten
prijeti	threaten
prijetila	threatened
prijetili	threatened
prijetio	threatened
prijetnja	threat
prijetnjama	threats
prijetnje	threats
prijetnjom	threat
prijetnju	threat
prijevara	fraud
prijevarama	fraud
prijevare	fraud
prijevarom	by fraud
prijevaru	fraud
prijevodu	translation
prijevornica	lock
prijevornicama	locks
prijevornice	locks
prijevornicom	lock
prijevornicu	lock
prijezira	contempt
prikaza	display
prikazan	shown
prikazano	shown
prikazao	showed
prikazaše	they showed
prikazati	show
prikaze	displays
prikaže	show
prikaži	show
prikazivao	showed
prikazivati	show
prikažu	show
prikazuje	shows
prikazujem	I show
prikazuju	they show
prikladan	suitable
prikladne	suitable
prikladno	appropriate
prikladnom	suitable
priklanja	incline
priklanjaj	incline
priklanjali	inclined
priključe	connections
priključi	connect
priključila	connected
priključile	connected
priključili	connected
priključio	connected
priključiše	they connected
priključite	connect
priključiti	connect
prikloni	incline
priklonila	inclined
priklonili	inclined
priklonio	inclined
prikloniše	they bowed
Priklonit	To incline
priklonite	lean
prikloniti	to incline
priklonjeni	inclined
prikovao	nailed
prikovat	nailed
prikovavši	nailing
prikrajka	side
prikrije	conceal
prikriješ	you hide
prikrili	concealed
prikriti	conceal
prikriva	conceals
prikrivanje	concealment
prikučio	nailed
prikupi	collect
prikupio	collected
prikupljaju	collect
prilagođavajući	adapting
prilagođavati	to adapt
prilaz	access
prilaze	they approach
prilaženje	siding
prilazi	approaches
prilazila	approached
prilazili	approached
prilazilo	approached
prilazim	I am approaching.
prilazima	approaches
prilazio	approached
prilaziš	you are approaching
prilazit	to approach
prilaziti	approach
prilegneš	lie down
priležnica	concubine
priležnice	concubines
prilici	opportunity
priliči	appropriate
priličilo	appropriate
prilijepi	paste
prilika	opportunity
prilikama	opportunities
prilike	occasions
prilikom	on the occasion
priliku	opportunity
prilježnica	concubine
prilježnice	concubines
prilježnicom	concubine
prilježnicu	concubine
priljubi	snuggle
priljubila	snuggled
priljubiše	they snuggled up
priljubiti	to cling
priljubljena	popular
prilog	side dish
priloga	attachment
priloge	attachments
priloži	attach
prima	receives
primače	recipients
primaći	receiving
primaj	receive
primajte	receive
primaju	receive
primajući	receiving
primaklo	close
primakne	move closer
Primakni	Move closer
primaknu	move closer
primakoše	primacos
primala	received
primali	received
primalo	receiver
primam	I receive
primamljivo	tempting
primamo	we receive
primanja	income
primanje	receiving
primao	received
primaš	primate
primate	you receive
primati	receive
prime	receive
primi	receive
primiče	will approach
primičite	come closer
primiču	they approach
primih	I received
primijenio	applied
primijete	notice
primijeti	notice
primijetih	I noticed
primijetili	noticed
primijetim	I notice
primijetio	noticed
primijetiš	you notice
primijetiti	notice
primijetivši	noticing
primila	received
primile	received
primili	received
primim	I receive
primimo	let's receive
primio	received
primiri	truce
primirili	pacified
primirim	calm down
primirio	calmed down
primiriše	they calmed down
Primirite	Calm down.
primiriti	to calm down
primiš	you receive
primiše	received
primisli	think about it
primit	receive
primite	receive
primiti	receive
primitku	receipt
primivši	having received
primjećivali	noticed
primjećuje	notices
primjećuju	they notice
primjenjuju	apply
primjer	example
primjera	examples
primjerak	copy
primjereno	appropriately
primjeru	example
primjese	admixtures
primljen	received
primljena	received
primljeni	received
primljeno	received
primljenom	received
primljenu	received
primora	coast
primoraju	force
primoran	forced
primoravahu	forced
primoravao	forced
primorja	coast
primorje	coast
prinčeva	princes
prinese	bring
prinesem	I bring
prinesemo	we bring
prinesen	brought
prinesena	brought
prinesene	brought
prineseni	brought
prinesenim	brought
prineseno	brought
prineseš	you bring
prinesete	you bring
prinesi	bring
prinesite	bring
prinesoše	they brought
prinesoste	you brought
prinesu	bring
prinijela	brought
prinijeli	offered
priniješe	they brought
prinijet	offered
prinijeti	to offer
prinio	contributed
prinos	yield
prinosa	yield
prinose	offerings
prinoseći	offering
prinošenja	offerings
prinošenje	offering
prinošenjem	by offering
prinosi	offerings
prinosila	offered
prinosili	offered
prinosim	I offer
prinosima	yields
prinosimo	we offer
prinosio	offered
prinosiše	they offered
prinosit	to bring
prinosite	you bring
prinositi	to offer
prinosnica	offering
prinosnicama	offerings
prinosnice	offerings
prinosnici	offerings
prinosnicom	offering
prinosnicu	offering
prinosom	by yield
prinosu	yield
priobalne	coastal
Priobalnu	Coastal
prione	prions
prioni	prions
Prionimo	Let's get started.
prionu	prion
prionuh	close-up
prionula	adhered
prionuo	clung
prionuše	they adhered
prionut	clinging
prionuti	cling
pripada	belongs to
pripadaju	belong to
pripadala	belonged to
pripadale	belonged
pripadali	belonged
pripadalo	belonged
pripadam	I belong
pripadamo	we belong
pripadao	belonged
pripadaš	you belong
pripadat	to belong
pripadate	you belong
pripadati	belong
pripade	belongs to
pripadne	belongs to
pripadnu	belong to
pripadoše	they belonged
pripala	fell
pripalo	belonged to
pripao	belonged
pripasan	girded
pripaši	gird
pripast	belong
pripasti	belong to
pripazi	be careful
pripazite	be careful
pripisa	attribution
pripisati	to attribute
pripišite	attribute
pripisivali	attributed
pripisuje	attributes
pripisuješ	you attribute
pripoji	attach
pripomažu	they help
pripovijeda	tells a story
pripovijedajte	tell a story
pripovijedaju	they tell stories
pripovijedali	told stories
pripovijedao	narrated
pripovijedaše	narrated
pripovijedate	you are telling a story
pripovijedati	tell
pripovijest	narrative
pripravljenog	prepared
pripravnost	standby
priprema	preparation
pripremaju	they are preparing
pripremali	prepared
pripremanjem	by preparing
pripremati	prepare
pripreme	preparations
pripremi	prepare
pripremila	prepared
pripremile	prepared
pripremili	prepared
pripremim	prepare
pripremimo	let's prepare
pripremio	prepared
pripremiš	you prepare
pripremiše	they prepared
pripremit	prepare
pripremite	prepare
pripremiti	prepare
pripremljen	prepared
pripremljena	prepared
pripremljeno	prepared
pripremljenu	prepared
priprijetio	threatened
prirasla	accreted
prirast	growth
Prirede	Events
priređena	prepared
priredi	prepare
priredila	prepared
priredili	prepared
priredio	prepared
priređivala	arranged
priređuješ	you are preparing
priređuju	they are preparing
priroda	nature
prirode	nature
prirodi	nature
prirodne	natural
prirodnih	natural
prirodnim	natural
prirodno	naturally
prirodnog	natural
prirodu	nature
prisan	intimate
prišao	approached
Priscila	Priscilla
Priscilom	Priscilla
prisilan	forced
prisili	force
prisilili	forced
prisiljavaj	force
prisiljavati	to force
prisiljen	forced
prisiljeni	forced
prisilna	forced
prisilne	forced
prisilni	forced
prisilnim	forced
prisilnom	forced
prisilom	by force
prisjeća	recalls
prisjećaj	memory
prisjećajte	remember
prisjećaju	they remember
prisjećali	remembered
prisjećam	I remember
prisjećamo	we remember
prisjećao	remembered
prisjećaš	you remember
Prisjećat	To remember
prisjećate	you remember
prisjećati	to remember
prisjete	memories
prisjeti	remember
prisjetih	I remembered
prisjetila	remembered
prisjetim	I remember
prisjetio	remembered
prisjetiš	you remember
prisjetiše	they remembered
prisjetismo	we remembered
prisjetit	to remember
prisjetite	remember
prisjetiti	remember
Priska	Prisca
priskoče	they come running
priskoči	jump up
Priskočio	Jumped up
priskrbio	provided
priskrbiti	to provide
Prisku	Prisca
prišla	arrived
prišle	approached
prišli	approached
prisloni	lean against
prisluškivala	eavesdropped
prisluškivao	eavesdropped
prisno	intimately
prispodobu	parable
prista	agree
pristaj	landing
pristajala	agreed
pristajale	agreed
pristaje	fits
pristaješ	you agree
pristaju	they agree
Pristali	Agreed
pristalica	supporter
pristalice	supporters
pristanak	consent
pristane	agrees
pristaništa	docks
pristanište	pier
Pristanite	Agree
pristanka	consent
pristanu	agree
pristao	agreed
pristati	agree
Pristavi	Attach
pristigla	arrived
pristigne	arrives
pristignu	arrive
pristizale	arriving
pristizali	arriving
pristojan	decent
pristoji	befitting
pristojnim	polite
pristojno	polite
pristojnog	decent
pristojnošću	politeness
pristran	biased
pristrani	biased
pristranosti	bias
pristrasan	biased
pristrasna	biased
pristrasni	biased
pristrasnošću	bias
pristrasnosti	biases
pristup	access
pristupa	access
pristupajmo	let's approach
pristupaju	they approach
pristupe	approaches
pristupi	approaches
pristupili	joined
pristupiše	they approached
pristupiste	access point
Pristupite	Access
pristupiti	to approach
prisustva	presence
prisustvo	presence
prisustvom	by presence
prisustvu	presence
prisustvuje	attends
prisustvujem	I attend
prisustvuju	attend
prisutan	present
prisutna	present
prisutne	present
prisutni	present
prisutnih	present
prisutnima	to those present
prisutnosti	presence
prisutstvu	presence
prisvaja	appropriates
prisvajaju	they appropriate
prisvajali	appropriated
prisvoji	appropriate
prisvojili	appropriated
prisvojio	appropriated
prisvojiše	they appropriated
prisvojit	appropriate
prisvojite	appropriate
prisvojiti	appropriate
priteče	flows
Priteci	Flow
priteći	approaching
pritekli	arrived
pritekne	flows
pritekoše	they came running
pritišće	presses
pritišću	I press
pritiskala	pressed
pritiskali	pressed
pritiskalo	pressure
pritiskao	pressed
pritiskati	to press
pritiskom	by pressure
pritisla	pressed
pritisne	presses
pritisnu	press
pritisnuli	pressed
pritisnuo	pressed
pritisnut	pressed
pritisnuti	press
pritom	while
pritrča	runs up
pritrčao	ran up
pritrče	they run up
pritrči	run over
pritužbi	complaints
pritužbu	complaint
priupita	inquiry
Priupitajte	Ask.
priupitaju	question
priuštiti	afford
privede	bring in
privedemo	bring in
privedu	detention
priveo	detained
privezano	tied up
privezati	tie down
priveže	mooring
priveži	tie up
privežite	tie up
privezuju	they tie up
privid	illusion
priviđenje	illusion
prividom	by illusion
privije	snuggle
priviješ	you tighten
privila	shelter
priviti	to tighten
privjesaka	pendants
privjescima	pendants
privjeske	pendants
privlačite	you attract
privodio	brought in
privremeno	temporarily
privuče	attract
privući	attract
privukoh	I attracted
priželjkivali	wished
priželjkivalo	wishful thinking
priželjkivao	wished
priželjkivati	wish for
priželjkuj	wish
priželjkuje	wishes
priželjkujem	I wish
priželjkuješ	you wish
priželjkujete	you wish
priželjkuju	they wish
prizemlju	ground floor
prizidana	built-in
priziv	appeal
priziva	invokes
prizivaj	summon
Prizivajte	Summon
prizivaju	they invoke
prizivajući	invoking
prizivam	I call upon
prizivao	summoned
prizivati	to summon
prizna	admit
priznaj	admit
priznaje	admits
