მოკითხვა	Greetings	mokit`xva
მოთქმის	To say	mot`k`mis
ბრძანებამ	The order	brz'anebam
ადათ	Custom	adat`
მონურ	Slave	monur
პირობებში	Under the conditions	pirobebshi
ინაყოფეირეს	Infertile	inaqop`eires
გავრცელდნენ	They spread	gavrc`eldnen
შეუერთდება	Will join	sheuert`deba
უფროსნი	Elders	up`rosni
დაეჩაგრათ	To oppress	daech`agrat`
ფარაონისთვის	For Pharaoh	p`araonist`vis
ფითომი	Phytome	p`it`omi
რაყმესესი	Rachameses	raqmesesi
ტანჯავდნენ	They were suffering.	tanjavdnen
გაუმწარეს	They made him bitter.	gaumcares
აგურზე	On a brick	agurze
სამუშაოთი	With work	samushaot`i
აიძულებდნენ	They were forcing	aiz'ulebdnen
ბებიაქალები	Midwives	bebiak`alebi
ებრაელ	Jewish	ebrael
ბებიაქალებს	Midwives	bebiak`alebs
შიფრა	Cipher	ship`ra
ფუყა	Fire	p`uqa
ამშობიერებთ	You are giving birth.	amshobierebt`
სამშობიარო	Maternity ward	samshobiaro
ვაჟია	He is a son.	vazhia
ტოვებთ	You are leaving.	tovebt`
ბებიაქალებმა	Midwives	bebiak`alebma
ქალებივით	Like women	k`alebivit`
მივიდოდეს	They will arrive.	mividodes
ბებიაქალი	Midwife	bebiak`ali
ნამშობიარები	Newborns	namshobiarebi
უშენებდა	He was building	ushenebda
ახალშობილი	Newborn	axalshobili
მდინარეში	In the river	mdinareshi
დატოვეთ	Leave it.	datovet`
დავამძიმე	I made it heavier.	davamz'ime
გამოვავლინო	To reveal	gamovavlino
შვილსა	To the child	shvilsa
შვილიშვილს	Granddaughter	shvilishvils
სასწაულებზე	About miracles	sascaulebze
მოვუვლინე	I sent it.	movuvline
გეცოდინებათ	You will know.	gec`odinebat`
მეურჩები	Followers	meurch`ebi
მემსახუროს	To serve me	memsaxuros
გაშვებაზე	On launch	gashvebaze
მივუსევ	I will add it.	mivusev
მიწისპირს	On the ground	micispirs
გადარჩენილ	Survivor	gadarch`enil
სეტყვას	Hail	setqvas
გადაგირჩათ	You survived.	gadagirch`at`
გეზრდებათ	You are growing up.	gezrdebat`
აავსებენ	They fill	aavseben
ეგვიპტელის	Egyptian	egviptelis
მყოფობისა	of presence	mqop`obisa
ფარაონისგან	From Pharaoh	p`araonisgan
დაბრკოლებად	As an obstacle	dabrkolebad
მიმხვდარხარ	Do you understand?	mimxvdarxar
გამსვლელნი	Passers-by	gamsvlelni
ჭაბუკებითურთ	With the young men	chabukebit`urt`
მოხუცებითურთ	Elderly people	moxuc`ebit`urt`
ძეებითურთ	With children	z'eebit`urt`
ასულებითურთ	With daughters	asulebit`urt`
საქონლიანად	In full	sak`onlianad
გაგიშვათ	Let you go.	gagishvat`
ბავშვებიანად	For children	bavshvebianad
გამორეკეს	They called out.	gamorekes
ფარაონისაგან	From Pharaoh	p`araonisagan
კალიისათვის	For the locust	kaliisat`vis
შეესიოს	To see	sheesios
გადაჭამოს	To overeat	gadachamos
დენიდა	Denida	denida
მოიყოლია	I have heard.	moiqolia
შერჩენილა	It has survived.	sherch`enila
სიმწვანე	Greenery	simcvane
მომიტევეთ	Forgive me.	momitevet`
ამარიდოს	To avoid	amaridos
შემოაქცია	Introduced	shemoak`c`ia
კალიაც	Grasshopper too	kaliac`
გაამძვინვარა	Infuriated	gaamz'vinvara
ჩამოწვება	It will fall.	ch`amocveba
შესაგრძნობი	Sensible	shesagrz'nobi
ნისლოვანი	Foggy	nislovani
ამდგარა	He stood up.	amdgara
სადგომში	In the parking lot	sadgomshi
გამოგყვნენ	They followed you.	gamogqvnen
მოგვცე	Give us	mogvc`e
ჯოგიც	Jogi too	jogic`
ჩლიქიც	Hoof too	ch`lik`ic`
გამოვარჩევთ	We will choose	gamovarch`evt`
მომწყდი	Cut me off.	momcqdi
დამენახო	See me.	damenaxo
დამენახვები	I will see you.	damenaxvebi
დაგენახვები	I will see you.	dagenaxvebi
ემუქრება	Threatens	emuk`reba
სასჯელით	With punishment	sasjelit`
ეგვიპტელებს	Egyptians	egviptelebs
გაგიშვებთ	I will let you go.	gagishvebt`
გაგყრით	I will throw you out.	gagqrit`
დაარიგე	Arrange	daarige
ითხოვოს	to ask	it`xovos
მეზობელი	Neighbor	mezobeli
ქალისაგან	From a woman	k`alisagan
პირმშოდან	From the firstborn	pirmshodan
პირმშომდე	Before the firstborn	pirmshomde
ხელსაფქვავს	Hand-grinding	xelsap`k`vavs
უზის	Sits	uzis
აღარასდროს	Never again	ag'arasdros
შეუყეფს	It will not work.	sheuqep`s
პირუტყვამდე	Before cattle	pirutqvamde
ფერხთითაა	It is a foot long.	p`erxt`it`aa
გავამრავლო	To multiply	gavamravlo
აარონმა	Aaron	aaronma
მოახდინეს	They did	moaxdines
ფარაონისა	Pharaoh's	p`araonisa
თვეების	Months	t`veebis
თვეებში	In months	t`veebshi
თემს	To the community	t`ems
აიყვანოს	To hire	aiqvanos
საგვარეულოზე	On the family tree	sagvareuloze
შესაჭმელად	To eat	shesachmelad
მეზობელმა	The neighbor	mezobelma
სულადობისამებრ	As per the spirit	suladobisamebr
ივარაუდეთ	Assume	ivaraudet`
ერთწლიანი	One-year-old	ert`cliani
ცხვართაგან	From sheep	c`xvart`agan
თხათაგან	From goats	t`xat`agan
აიყვანთ	You will pick me up.	aiqvant`
დაკლას	Kill	daklas
თემის	Topic	t`emis
წააცხონ	To bake	caac`xon
წირთხლსა	In the spring	cirt`xlsa
ხმიადებით	With a smile	xmiadebit`
მწვანილით	With herbs	mcvanilit`
მოხარშული	Boiled	moxarshuli
თავფეხიანად	Headlong	t`avp`exianad
შიგნეულიანად	Internally	shigneulianad
მოირჩენთ	You will survive.	moirch`ent`
ფეხთ	Feet	p`ext`
გეცვათ	You are wearing	gec`vat`
პასექია	Passover	pasek`ia
ჩავივლი	I will pass by.	ch`avivli
მოვაკვდინებ	I will kill you.	movakvdineb
სახლებზე	On houses	saxlebze
აგივლით	We will guide you.	agivlit`
სამახსოვროდ	In memory of	samaxsovrod
დღიდანვე	From the very day	dg'idanve
მოიცილეთ	Get rid of it.	moic`ilet`
სახლებიდან	From homes	saxlebidan
კრებაა	There is a meeting.	krebaa
გაკეთდეს	to be done	gaket`des
უფუარობა	Unhealthy	up`uaroba
საღამოდან	From the evening	sag'amodan
საფუარიანს	Yeast	sap`uarians
თემიდან	From the topic	t`emidan
საცხოვრებელში	In the house	sac`xovrebelshi
უხუცესებსღვთის	The elders of God	uxuc`esebsg'vt`is
საგვარეულოებისათვის	For families	sagvareuloebisat`vis
უსუპის	Usupi	usupis
კონა	Kona	kona
ამოაწეთ	Remove it.	amoacet`
ჯამშია	It's all over.	jamshia
წააცხეთ	Remove it.	caac`xet`
წირთხლს	The letter	cirt`xls
გამოხვიდეთ	Come out.	gamoxvidet`
წირთხლზე	On the street	cirt`xlze
აუვლის	Passes by	auvlis
შემოუშვებს	Will let in	shemoushvebs
დამღუპველს	To the destroyer	damg'upvels
შვილთათვის	For children	shvilt`at`vis
აუარა	Aura	auara
გადაარჩინა	Saved	gadaarch`ina
შუაღამით	At midnight	shuag'amit`
ტყვისა	Lead	tqvisa
წაასხით	Pour it out.	caasxit`
მაკურთხეთ	Bless me.	makurt`xet`
ვარცლები	Vartslebi	varc`lebi
ეკიდათ	They hung	ekidat`
ითხოვეს	They asked for it.	it`xoves
ეგვიპტელთაგან	From the Egyptians	egviptelt`agan
ათხოვებდნენ	They were begging.	at`xovebdnen
რაყმესესიდან	From Rachmeses	raqmesesidan
სუქოთისკენ	To Succoth	suk`ot`isken
უცხოტომელთა	Foreigners	uc`xotomelt`a
ჯოგი	Jogi	jogi
გამოაცხვეს	They baked it.	gamoac`xves
ხმიადის	Khmiad	xmiadis
კვერებად	Into eggs	kverebad
გამოდევნეს	They were kicked out.	gamodevnes
გაიმზადეს	They prepared.	gaimzades
ოთხასოცდაათი	Four hundred and thirty	ot`xasoc`daat`i
მღვიძარების	Alarm clocks	mg'viz'arebis
გამოსაყვანად	To withdraw	gamosaqvanad
ღამეა	It is night.	g'amea
მღვიძარებისა	Wake-up calls	mg'viz'arebisa
უცხოტომელმა	Foreigner	uc`xotomelma
ნაყიდმა	Bought	naqidma
წინადაუცვეთ	Circumcise	cinadauc`vet`
მოჯამაგირემ	Mojamagire	mojamagirem
შეიჭამოს	To eat	sheichamos
გაიტანოთ	To take out	gaitanot`
დაამტვრიოთ	To break	daamtvriot`
თემმა	Community	t`emma
შემოგეხიზნოს	To make you feel special	shemogexiznos
გამზადება	Preparation	gamzadeba
მოინდომოს	to want	moindomos
წინადაიცვითოს	To circumcise	cinadaic`vit`os
მამროვანმა	Mamrovani	mamrovanma
შეუდგეს	They started	sheudges
მკვიდრივით	Like a native	mkvidrivit`
წინადაუცვეთელმა	Uncircumcised	cinadauc`vet`elma
მკვიდრსა	Native	mkvidrsa
ლაშქრებად	Into armies	lashk`rebad
შემომწირე	Donate to me.	shemomcire
გამღები	Opener	gamg'ebi
იქედან	From there	ik`edan
იებუსეველთა	Jebusites	iebusevelt`a
ბაგეზე	On the lips	bageze
შემოგფიცათ	I swear to you	shemogp`ic`at`
პირველმონაგებიდან	From the first harvest	pirvelmonagebidan
კრავით	With lamb	kravit`
გამოისყიდი	I will redeem.	gamoisqidi
გადაუმტვრიე	Break it.	gadaumtvrie
გამოსვლისგან	From the speech	gamosvlisgan
პირველმოგებულ	First choice	pirvelmogebul
მამალს	To the rooster	mamals
გამოვისყიდი	I will redeem it.	gamovisqidi
მონახაზად	As a sketch	monaxazad
შემოატარა	Introduced	shemoatara
ზღვისაკენ	Towards the sea	zg'visaken
მოხედვით	With a glance	moxedvit`
მოგხედავთ	I will see you.	mogxedavt`
სუქოთიდან	From Succoth	suk`ot`idan
ყეთამში	In Etam	qet`amshi
სვეტში	In the column	svetshi
მდევარი	Pursuer	mdevari
დაიბანაკონ	They bathed.	daibanakon
ფი	Phi	p`i
ჰახიროთის	Hahiroth	haxirot`is
მიგდოლსა	Migdol	migdolsa
ცეფონის	Cephon	c`ep`onis
დაიბანაკეთ	Camp out.	daibanaket`
აებნათ	To confuse	aebnat`
მოიმწყვდია	I am in prison.	moimcqvdia
უდაბნომ	Desert	udabnom
გავამძვინვარებ	I will make you angry.	gavamz'vinvareb
ფარაონზე	About Pharaoh	p`araonze
ჯარზე	On the army	jarze
ვქენით	We did it.	vk`enit`
გავუშვით	We let go.	gavushvit`
მონობიდან	From slavery	monobidan
შეაბა	Connect	sheaba
წამოეწივნენ	They caught up.	camoecivnen
დაბანაკებულთ	Campers	dabanakebult`
ჰახიროთთან	Near Hahiroth	haxirot`t`an
მოსდევენ	They follow.	mosdeven
შეღაღადეს	They shouted.	sheg'ag'ades
წამოგვიყვანე	Take us.	camogviqvane
გამოყვანით	By withdrawal	gamoqvanit`
დაგვეხსენი	Save us.	dagvexseni
გაპობა	Gaping	gapoba
შემღაღადებ	You are calling me.	shemg'ag'adeb
აიყარონ	To throw	aiqaron
გააპე	Open your mouth.	gaape
გავლენ	They will appear.	gavlen
მშრალით	Dry	mshralit`
გაჰყვებიან	They will follow you.	gahqvebian
ეტლებზე	On carts	etlebze
მხედრებზე	On the riders	mxedrebze
გამოვუჩენ	I will show them.	gamovuch`en
ბანაკისა	Camp	banakisa
ბანაკთა	Camps	banakt`a
მიახლოვებიან	They are approaching.	miaxlovebian
ხვეტავდა	He was crying.	xvetavda
ხმელეთად	By land	xmelet`ad
განიპნენ	They were saved.	ganipnen
წყალნი	Waters	cqalni
ხმელზე	On land	xmelze
კედლად	As a wall	kedlad
სვეტიდან	From the column	svetidan
მოაცილა	Removed	moac`ila
მართავდნენ	They ruled	mart`avdnen
გაჭირვებით	With difficulty	gachirvebit`
ეგვიპტელებმა	The Egyptians	egviptelebma
გავერიდოთ	Let's avoid	gaveridot`
ეგვიპტელების	Egyptians	egviptelebis
ეგვიპტელებზე	About the Egyptians	egviptelebze
გამთენიისას	At dawn	gamt`eniisas
დახოცილი	Killed	daxoc`ili
ერწმუნნენ	They believed.	ercmunnen
მირიამის	Miriam's	miriamis
უგალობეს	They sang.	ugalobes
გალობაა	It is a chant.	galobaa
ავამაღლებ	I will raise it.	avamag'leb
მეომარია	Warrior	meomaria
მხედართმთავარნი	Commanders	mxedart`mt`avarni
ჩაიძირნენ	They sank.	ch`aiz'irnen
სიღრმემ	Depth	sig'rmem
ჩაიძირენ	They will sink.	ch`aiz'iren
სიღრმეში	In depth	sig'rmeshi
ლოდივით	Like a rock	lodivit`
განთქმულია	It is famous.	gant`k`mulia
მუსრავს	I am tired.	musravs
ამხობ	You are destroying.	amxob
ამხედრებულებს	To the horsemen	amxedrebulebs
გზავნი	Message	gzavni
მძვინვარებას	Fury	mz'vinvarebas
ნამჯასავით	Like a scythe	namjasavit`
გადაბუგავს	It ignites.	gadabugavs
ნესტოების	Nostrils	nestoebis
სუნთქვაზე	On breathing	sunt`k`vaze
დაგროვდნენ	They gathered.	dagrovdnen
აღიმართნენ	They stood up.	ag'imart`nen
ღვარები	Mudflows	g'varebi
მორევები	Whirlpools	morevebi
გამყარდა	It has become stronger.	gamqarda
დავეწევი	I will smoke.	davecevi
გავიყოფ	I will divide.	gaviqop`
ვიშიშვლებ	I'm getting naked.	vishishvleb
შეუბერე	Blow it up.	sheubere
ტყვიასავით	Like a bullet	tqviasavit`
ადიდებულ	Swollen	adidebul
სიწმინდით	With purity	sicmindit`
საკვირველო	Wonder	sakvirvelo
ხოტბებით	With praise	xotbebit`
მოქმედო	Active	mok`medo
წარმართავ	You will lead.	carmart`av
გაუძეხი	Wait a minute.	gauz'exi
სამყოფელისკენ	To the place of residence	samqop`elisken
ძრწოლამ	Tremor	z'rcolam
აიტანა	Aitana	aitana
კანკალმა	I shivered.	kankalma
ქანაანისა	Canaanite	k`anaanisa
ძრწოლა	Tremor	z'rcola
სიდიადემ	Greatness	sidiadem
დაადუმა	Silenced	daaduma
გაივლიდეს	To pass	gaivlides
დანერგე	Implement	danerge
სამკვიდრებელ	Inheritance	samkvidrebel
შექმენ	Create	shek`men
მეუფეო	Reverend	meup`eo
განამზადეს	They prepared	ganamzades
ეტლებითა	With carts	etlebit`a
მხედრებითურთ	With cavalry	mxedrebit`urt`
მშრალზე	On dry land	mshralze
მირიამ	Miriam	miriam
დაფდაფი	Dafdaf	dap`dap`i
დაფდაფებითა	With a bang	dap`dap`ebit`a
ფერხულით	With a smile	p`erxulit`
მირიამმა	Miriam	miriamma
უდაბნოსაკენ	To the desert	udabnosaken
გაამტკნარებს	It will refresh you.	gaamtknarebs
მარას	Mara's	maras
დალიეს	They drank.	dalies
მარაში	In Mara	marashi
მარა	Mara	mara
გაამტკნარა	He/She became tired.	gaamtknara
გაგონებით	By hearing	gagonebit`
ელიმში	In Elim	elimshi
ელიმიდან	From Elim	elimidan
თემი	Community	t`emi
სინის	Sin	sinis
ელიმსა	Elimsa	elimsa
ებუზღუნებოდა	He was worried.	ebuzg'uneboda
გავმწყდარიყავით	We should have broken up.	gavmcqdariqavit`
ვუსხედით	We sat down.	vusxedit`
ქვაბებს	Boilers	k`vabebs
გამოგვიყვანეთ	Take us out.	gamogviqvanet`
გაწყვიტოთ	Cut it off.	gacqvitot`
აკრიფოს	To type	akrip`os
მოამზადებენ	They will prepare	moamzadeben
მოტანილს	To the one who brought it	motanils
გამოუვათ	They succeeded.	gamouvat`
ამზადებენ	They are preparing	amzadeben
საკვებად	For food	sakvebad
წარდექით	Come forward.	cardek`it`
შებრუნდნენ	They returned.	shebrundnen
მოფრინდა	It flew.	mop`rinda
მწყერი	Quail	mcqeri
ეფინა	Efina	ep`ina
აორთქლდა	It evaporated.	aort`k`lda
ზედაპირზე	On the surface	zedapirze
წვრილი	Small	cvrili
ხაოიანი	Khaoyan	xaoiani
ჭირხლის	Chirkhal	chirxlis
მანანაა	Manana	mananaa
აკრიფეთ	Dial	akrip`et`
ღომერი	Gomer	g'omeri
აწყეს	They started	acqes
ღომერით	With a hammer	g'omerit`
ამკრეფს	Picks up	amkrep`s
აღმოჩენია	It has been discovered.	ag'moch`enia
დაჰკლებია	It has decreased.	dahklebia
მოირჩენს	Will survive	moirch`ens
მოირჩინეს	They obeyed.	moirch`ines
დაეხვია	He/She hugged.	daexvia
აყროლდა	He became deaf.	aqrolda
დილდილობით	With a smile	dildilobit`
დააცხუნებდა	It would be hot.	daac`xunebda
დნებოდა	It was melting.	dneboda
ორმაგ	Double	ormag
ომერს	Omer	omers
თითოეულზე	On each	t`it`oeulze
უქმეა	It's the weekend.	uk`mea
გამოაცხობთ	You will bake.	gamoac`xobt`
გამოაცხვეთ	Bake it.	gamoac`xvet`
მოხარშეთ	Cook it.	moxarshet`
გადადეთ	Postpone	gadadet`
შესანახად	For storage	shesanaxad
მატლიც	Worm too	matlic`
კრიფეთ	Crift	krip`et`
ასაკრეფად	To write	asakrep`ad
უარობდეთ	Deny	uarobdet`
რჯულდებების	Laws	rjuldebebis
იჯდეს	Sit down	ijdes
უქმობდა	It was canceled.	uk`mobda
ქინძის	Coriander	k`inz'is
თესლივით	Like a seed	t`eslivit`
გკვებავდით	We fed you.	gkvebavdit`
ჩადგი	Put it in.	ch`adgi
დასახლებულ	Inhabited	dasaxlebul
ეფის	Effie	ep`is
წყურვილი	Thirst	cqurvili
რეფიდიმში	In Rephidim	rep`idimshi
წაეჩხუბა	To quarrel	caech`xuba
მეჩხუბებით	We quarrel.	mech`xubebit`
ცდით	Try it.	c`dit`
სწყუროდა	I was thirsty.	scquroda
ჯოგის	Jogi	jogis
ჩამქოლავენ	They will stone me.	ch`amk`olaven
ჩაიარე	Go through.	ch`aiare
ვიდგები	I will stand up.	vidgebi
ხორების	Of Khores	xorebis
მერიბა	Meribah	meriba
ჩხუბის	Quarrel	ch`xubis
ისრაელზედა	About Israel	israelzeda
გამოგვირჩიე	Choose us.	gamogvirch`ie
შეებრძოლე	Fight.	sheebrz'ole
გადმოვდგები	I will get off.	gadmovdgebi
მეჭირება	I need it.	mechireba
აღაპყრობდა	would be angry	ag'apqrobda
სძლევდა	Overcoming	sz'levda
დაუშვებდა	would allow	daushvebda
დაუმძიმდა	It got heavy.	daumz'imda
შეაშველეს	They helped.	sheashveles
უდრეკი	Unbreakable	udreki
ჩაწერე	Write it down.	ch`acere
ჩაასმინე	Listen to me.	ch`aasmine
ბაირაღია	Bairaghia	bairag'ia
ტახტზეა	On the throne	taxtzea
ყამალეკთან	With Amalek	qamalekt`an
ითრო	Ithro	it`ro
მოინახულებს	Will visit	moinaxulebs
დაღმერთს	God bless you	dag'mert`s
ითრომ	Yitrom	it`rom
სიმამრმა	Father-in-law	simamrma
ციფორა	Zipporah	c`ip`ora
გაბრუნებული	Returned	gabrunebuli
ციფორას	Zipporah	c`ip`oras
მამაჩემისა	My father's	mamach`emisa
შემეწია	Help me.	shemecia
დაბანაკდა	Camped	dabanakda
სიმამრის	Father-in-law	simamris
შესახვედ	To meet	shesaxved
მოიკითხეს	They asked	moikit`xes
ურთიერთი	Mutual	urt`iert`i
სიმამრს	Father-in-law	simamrs
გასაჭირზე	On the verge of trouble	gasachirze
კადნიერად	Gently	kadnierad
ქედმაღლობდნენ	They were arrogant.	k`edmag'lobdnen
სიმამრთან	With father-in-law	simamrt`an
უნიშნავს	Indicates	unishnavs
უკეთებ	Do you do it?	uket`eb
ახლობელს	To a relative	axlobels
დაუძლურდებით	You will become weak.	dauz'lurdebit`
წარუდგინე	Submit	carudgine
განუმარტე	Explain.	ganumarte
მიუთითე	Indicate	miut`it`e
აკეთონ	to do	aket`on
ამოარჩიე	Choose.	amoarch`ie
ღვთისმოშიშნი	God-fearing	g'vt`ismoshishni
დაუნიშნე	Assign it.	daunishne
მოიტანენ	They will bring	moitanen
შეგიმსუბუქდება	It will make you feel better.	shegimsubuk`deba
იტვირთონ	To load	itvirt`on
გაუძლებ	Can you stand it?	gauz'leb
განსჯიდნენ	They were judging.	gansjidnen
ქვეყნით	By country	k`veqnit`
რეფიდიმიდან	From Rephidim	rep`idimidan
აუწყე	Tell him/her.	aucqe
აგწიეთ	Lift up.	agciet`
არწივების	Eagles	arcivebis
მოგიყვანეთ	I brought you here.	mogiqvanet`
მოუსმენთ	Listen to me.	mousment`
ამოგარჩევთ	I will choose you.	amogarch`evt`
საკუთრებად	As property	sakut`rebad
აღვასრულებთ	We will fulfill	ag'vasrulebt`
ზრქელ	Zrkel	zrk`el
გერწმუნონ	Believe me.	gercmunon
გაირეცხონ	To wash	gairec`xon
შემოუწერე	Subscribe	shemoucere
კალთის	Skirt	kalt`is
მიკარებას	To touch	mikarebas
ჩაქოლვით	By stoning	ch`ak`olvit`
ისრით	With an arrow	isrit`
განიგმიროს	To reconcile	ganigmiros
გაბმულ	Tied up	gabmul
შეეძლებათ	Will they be able to	sheez'lebat`
გრგვინვა	Screaming	grgvinva
ქუფრი	Kufr	k`up`ri
ბოლავდა	It was smoking.	bolavda
კვამლივით	Like smoke	kvamlivit`
წვერისკენ	To the beard	cverisken
ამოიჭრას	To cut out	amoichras
მღვდლებიც	Priests too	mg'vdlebic`
მიახლებისას	When approaching	miaxlebisas
განიწმიდონ	To be purified	ganicmidon
შემუსროს	To destroy	shemusros
გაგვაფრთხილე	You warned us.	gagvap`rt`xile
შემოწერე	Sign up	shemocere
აარონთან	With Aaron	aaront`an
ამოიჭრებიან	They will cut out.	amoichrebian
ამოსასვლელად	To get out	amosasvlelad
დაბადება	Birth	dabadeba
დამალვა	Hide	damalva
ლერწმის	Cane	lercmis
შეგოზა	Shegoza	shegoza
კუპრით	With tar	kuprit`
ფისით	With resin	p`isit`
ლერწმიანში	In Lertsmiani	lercmianshi
მოუვიდოდა	It would come to pass.	mouvidoda
საბანაოდ	For swimming	sabanaod
მოახლენი	Newcomer	moaxleni
ბავშვთაგანია	It's from children.	bavshvt`agania
ძიძა	Nanny	z'iz'a
ებრაელთაგან	From the Jews	ebraelt`agan
გამოგიკვებოს	To feed you	gamogikvebos
გამოკვებე	Feed me.	gamokvebe
დაგარბის	Run away	dagarbis
ებრაელს	To the Jew	ebraels
ჩხუბობს	He is fighting.	ch`xubobs
გამხდარა	He became thin.	gamxdara
ციფორაზე	On Tzipora	c`ip`oraze
დაქორწინება	To get married	dak`orcineba
მიდიანელ	Midianite	midianel
ამოხაპეს	They printed it out.	amoxapes
გეჯები	Geezers	gejebi
საქონელის	Goods	sak`onelis
დასარწყულებლად	For watering	dasarcquleblad
გარეკეს	Garek	garekes
დაარწყულა	Watered	daarcqula
რეღუელთან	With Reguel	reg'uelt`an
ეგვიპტელმა	Egyptian	egviptelma
მწყემსთაგან	From the shepherds	mcqemst`agan
ამოგვიხაპა	He pulled us out.	amogvixapa
შრომისგან	From work	shromisgan
გოდებდნენ	They were complaining.	godebdnen
მოძულეთა	Haters	moz'ulet`a
მყოფელი	Being	mqop`eli
დამცველთა	Defenders	damc`velt`a
ათასეულ	Thousands	at`aseul
თაობებისათვის	For generations	t`aobebisat`vis
რამეთუ	Because	ramet`u
წმიდაჰყო	Holy	cmidahqo
შეისვენა	Took a break	sheisvena
მამაშენსა	Your father's	mamashensa
ამშვიდებს	Calms down	amshvidebs
ქუხილს	Thunderstorm	k`uxils
აკვამლებულ	Smoked	akvamlebul
გველაპარაკე	Talk to us.	gvelaparake
გველაპარაკება	He/She will talk to us.	gvelaparakeba
ნისლთან	By the fog	nislt`an
გამიკეთებ	You will make me	gamiket`eb
მოუღერებ	You will succeed.	moug'ereb
წაბილწავ	You will contaminate.	cabilcav
საფეხურებით	In stages	sap`exurebit`
დადგენილებანი	Resolutions	dadgenilebani
წარუდგენ	I present to you	carudgen
იყიდი	Buy it.	iqidi
ცოლიანია	Married	c`oliania
შერთავს	Turns on	shert`avs
ბატონისაა	It belongs to the master.	batonisaa
მიაყენოს	to inflict	miaqenos
გაუხვრიტოს	To be cut off	gauxvritos
სადგისით	With a stick	sadgisit`
მხევლად	Slowly	mxevlad
ირთავს	It is raining.	irt`avs
მიჰყიდოს	Sell ​​it to me	mihqidos
უღალატა	Betrayed	ug'alata
დანიშნავს	appoints	danishnavs
მოექცეს	To be treated	moek`c`es
თანაცხოვრება	Cohabitation	t`anac`xovreba
მოაკლოს	To reduce	moaklos
გამოუსყიდველად	Inexorably	gamousqidvelad
დაზიანების	Damage	dazianebis
დაჰკრავს	Will beat	dahkravs
დაგინიშნავ	I will appoint you.	daginishnav
გადაიხვეწოს	To improve	gadaixvecos
სამსხვერპლოდანაც	From the altar too	samsxverplodanac`
აიყვანეთ	Pick up	aiqvanet`
მოსაკვდინებლად	To kill	mosakvdineblad
გაარტყამს	Will hit	gaartqams
აღმოაჩნდება	It will be found.	ag'moach`ndeba
მუშტს	Fist	mushts
ლოგინად	To bed	loginad
ყავარჯნით	With crutches	qavarjnit`
მცემელი	Beater	mc`emeli
უდანაშაულოა	Innocent	udanashauloa
მოცდენისათვის	For the sake of convenience	moc`denisat`vis
გადაუხადოს	to pay	gadauxados
სავსებით	Completely	savsebit`
განკურნოს	To cure	gankurnos
გალახოს	Galaxie	galaxos
იძიე	Search	iz'ie
იძიოთ	To search	iz'iot`
ვერცხლია	It is silver.	verc`xlia
დაჰკრავენ	They will beat you.	dahkraven
ნაადრევად	prematurely	naadrevad
იმშობიარებს	Will give birth	imshobiarebs
დაჯარიმდეს	To be fined	dajarimdes
დააკისრებს	Will impose	daakisrebs
გადაიხადოს	To pay	gadaixados
დაწვის	Burning	dacvis
ჭრილობის	Wound	chrilobis
ჩაარტყას	To hit	ch`aartqas
დაუზიანოს	to harm	dauzianos
ჩაუმტვრევს	It will break.	ch`aumtvrevs
ურქინოს	Urkino	urk`inos
იჭამოს	To eat	ichamos
ხარისა	Bull's	xarisa
მორქენალი	Morkenal	mork`enali
გაფრთხილებული	Warned	gap`rt`xilebuli
პატრონიც	The owner too	patronic`
დაეკისრება	will be charged	daekisreba
გაიღოს	To open	gaig'os
საურავი	Saurabh	sauravi
კანონით	By law	kanonit`
გადახადოს	to pay	gadaxados
ამოთხაროს	To dig out	amot`xaros
ორმო	Pit	ormo
დახუროს	To close	daxuros
აუნაზღაუროს	To compensate	aunazg'auros
გაყიდონ	To sell	gaqidon
გაიყონ	To divide	gaiqon
მოკლულიც	Even killed	moklulic`
გადახდით	Pay	gadaxdit`
ქურდობისა	Theft	k`urdobisa
გამოთხრაზე	On excavation	gamot`xraze
მოეკითხება	Will ask	moekit`xeba
მზემ	The sun	mzem
მოუსწრო	I missed it.	mouscro
ქურდმა	The thief	k`urdma
გადასახდელი	Payable	gadasaxdeli
ქურდობისთვის	For theft	k`urdobist`vis
მოპარული	Stolen	moparuli
ერთიორად	One by one	ert`iorad
წაახდინოს	to carry out	caaxdinos
მდელო	Meadow	mdelo
მოაძოვოს	To graze	moaz'ovos
მდელოთაგან	From the meadows	mdelot`agan
უზღოს	To be free	uzg'os
გამოვარდეს	To fall out	gamovardes
ეკალს	Thorn	ekals
მოედოს	To come	moedos
გადაწვას	To burn	gadacvas
ზვინი	Zvin	zvini
გამჩაღებელმა	The trigger	gamch`ag'ebelma
მიაბაროს	To hand over	miabaros
მოპარულ	Stolen	moparul
ეახლოს	To approach	eaxlos
დაიფიცოს	To swear	daip`ic`os
წასცდენია	Missed	casc`denia
ბრალდების	Accusation	braldebis
დანაკარგის	Loss	danakargis
მსაჯულებამდე	Before the judge	msajulebamde
გაამტყუნებენ	They will deceive you.	gaamtquneben
გადაუხდის	Will pay	gadauxdis
მიაბარებს	Will deliver	miabarebs
დაშავდა	Injured	dashavda
მოიტაცეს	Kidnapped	moitac`es
მნახველი	Visitor	mnaxveli
საკუთრებაზე	On property	sakut`rebaze
მოპარავენ	They will steal it.	moparaven
დაგლეჯით	Tear you apart	daglejit`
დაგლეჯს	It will tear you apart.	daglejs
