鼓舞人心的	encouraging
甦醒	awake
產量	yields
產量	yield
產生	yielded
產生	produces
產生	arising
產品	goods
生長	growing
生計	livelihood
生育	childbearing
生的	raw
生病	sick
生病	ill
生病	I'll
生疏	rusty
生產	production
生產	producing
生產	produce
生物	creatures
生物	creature
生活	lives
生活	lived
生活	live
生活	life
生氣	offended
生氣	enraged
生日	birthdays
生日	birthday
生成	produced
生存	survives
生存	survive
甜蜜	sweetly
甜美	luscious
甚至	even
甘露	manna
甘蔗	cane
甘松	nard
甘心	willingly
瓷磚	tiles
瓶子	bottle
瓦礫	rubble
瓦器	Potsherd
環繞	surround
環境	surroundings
環境	circumstance
璧迦	Bilgah
璧該	Bilgai
瑪麗	Mary
瑪鹿	Malluch
瑪頓	Madon
瑪雲	Maon
瑪迦	Maacathite
瑪迦	Maacah
瑪莎	Martha
瑪瑙	carnelian
瑪瑙	agate
瑪斯	Maaz
瑪撒	Massah
瑪拉	Marah
瑪拉	Mahlah
瑪基	Makkedah
瑪坦	Mattan
瑪哈	Mahanaim
瑪吉	Makir
瑪代	Medes
瑪他	Mattaniah
瑟瓦	Sceva
琵琶	lute
理解	understands
理解	understanding
理解	understand
理解	comprehension
理解	comprehend
理由	reasoned
理由	grounds
理想	ideally
理念	idea
球隊	teams
球隊	team
球迷	fans
球探	scouted
現實	reality
現實	realities
現場	site
現場	scene
現在	now
珠寶	jewels
珠子	bead
珍貴	prized
珍貴	precious
珍視	cherish
珍珠	pearls
珍珠	pearl
珍品	treasures
珊迦	Shamgar
珊瑚	coral
珀隆	Pelon
玻璃	glass
玷污	undefiled
玷污	defiling
玷污	defiled
玫瑰	rose
玩笑	joke
王權	royalty
王權	kingship
王朝	dynasty
王座	throne
王子	princes
王子	prince
王國	kingdoms
王國	kingdom
王冠	crown
王侯	princely
玉米	corn
獸類	beasts
獵犬	hound
獵物	prey
獵殺	hunted
獵人	hunters
獵人	hunter
獲救	rescued
獲悉	learns
獲得	obtained
獲得	obtain
獲得	gained
獲得	gain
獲得	acquire
獲勝	victorious
獲刑	jailed
獨身	singleness
獨身	celibate
獨立	independent
獨立	independence
獠牙	fangs
獎章	medallion
獎勵	rewards
獎勵	rewarded
獎勵	reward
獅子	lions
獅子	lion
獄卒	jailer
猶豫	hesitation
猶豫	hesitated
猶太	Judea
猶太	Jewish
猶大	Judeans
猶大	Judas
猶大	Judah
猶八	Jubal
猩紅	scarlet
猥褻	obscenities
猥褻	obscene
猥褻	lewd
猜疑	suspicions
猜測	guess
猛烈	violently
猛攻	onslaught
猛撲	swoops
猛撲	pounce
猛拉	yanked
猖獗	rampant
狹窄	narrow
狩獵	hunts
狩獵	hunting
狡辯	quibble
狡詐	deceitful
狡猾	sly
狡猾	cunning
狡猾	crafty
狠心	heartless
狐狼	jackal
狐狸	foxes
狐狸	fox
狂歡	revelry
狂歡	rave
狂歡	orgies
狂歡	carousing
狂怒	furious
狂奔	bolted
狂人	madman
狀態	status
狀態	states
犯規	fouled
犯規	foul
犯罪	sinning
犯罪	crimes
犯罪	crime
犧牲	sacrificing
犧牲	sacrificial
犧牲	sacrifices
犧牲	sacrificed
犧牲	sacrifice
犁頭	plowshares
牽制	sidetracked
特馬	Tema
特赦	pardons
特羅	Trophimus
特此	hereby
特權	privileged
特權	privilege
特曼	Teman
特徵	features
特庇	Derbe
特定	particular
特定	given
特定	designated
特別	specifically
特別	specially
特別	special
特別	especially
物理	physically
物理	physical
物料	materials
牧民	herdsmen
牧師	priests
牧師	priest
牧師	preacher
牧師	pastors
牧場	pastures
牧場	pastureland
牧場	pasture
牧人	herdsman
牢騷	discontent
牢牢	firmly
牛角	horns
牛肉	beef
牛群	herds
牛油	butter
牛扒	steak
牛奶	milk
牙疼	toothache
片劑	tablet
牆壁	walls
爽快	refreshment
爸爸	Papa
父親	fathers
父親	father
父母	parents
爭辯	contended
爭議	disputes
爭議	disputed
爭議	dispute
爭議	controversy
爭議	controversies
爭議	contentious
爭論	arguing
爭論	argued
爭論	argue
爭搶	jostle
爭奪	scramble
爭奪	grabs
爭吵	strife
爭吵	quarrelsome
爭吵	quarrels
爭吵	quarreling
爬行	creeping
爬行	creep
爬行	crawling
爬行	crawl
爬上	climbed
爪子	paws
爪子	paw
爪哇	Javan
爆裂	burst
爆破	bursting
爆破	blast
爆發	outbursts
爆發	erupted
爆炸	explodes
爆炸	blasts
燧石	flint
燦爛	splendid
營養	nourishment
營養	nourished
營救	rescuing
營地	campsite
營地	camps
燕子	swallows
燒瓶	flask
燒焦	scorch
燒毛	singed
燒壞	burned-out
燒傷	burns
燒傷	burn
燈花	firepans
燈芯	wicks
燈籠	lanterns
燈火	lights
燈檯	lampstands
燈檯	lampstand
燈具	lamps
燈光	lighting
燃燒	burning
熾盛	flaming
熾盛	ablaze
熾熱	red-hot
熾烈	blazing
熱軋	rolled
熱烈	warmly
熱情	zeal
熱情	warmth
熱情	enthusiastic
熱情	enthusiasm
熱忱	zealously
熱心	zealous
熱心	eagerness
熟練	trained
熟練	skillful
熟悉	acquainted
熔體	melts
熔融	molten
熔煉	smelted
熔化	melt
熏黑	blackened
煽動	inciting
煽動	incited
煽動	incite
煮沸	boiled
煩惱	fret
煩亂	upset
照顧	cared
煤煙	soot
煤炭	coal
煙囪	chimney
煉鐵	iron-smelting
然而	yet
然而	however
然後	then
焦點	focus
焦慮	anxiety
無限	unlimited
無關	unrelated
無酵	unleavened
無辜	innocent
無辜	innocence
無路	trackless
無視	ignoring
無處	nowhere
無菌	sterile
無聲	silent
無聲	breathed
無聊	bored
無罪	sinless
無縫	seamless
無窮	endless
無禮	rude
無禮	disrespectfully
無神	godless
無知	ignorance
無眠	sleepless
無疑	definitely
無用	worthless
無用	useless
無用	futility
無用	futile
無法	unable
無法	incapable
無水	waterless
無比	unequaled
無數	uncounted
無數	numberless
無數	myriads
無數	innumerable
無數	countless
無效	nullified
無效	invalid
無意	unintentional
無情	unrelenting
無情	unforgiving
無情	ruthlessly
無情	ruthless
無情	relentlessly
無情	mercilessly
無情	merciless
無形	invisible
無形	formless
無害	harmless
無奈	helplessly
無味	tasteless
無名	nameless
無助	helpless
無力	powerless
無力	inability
無價	priceless
無人	uninhabited
焙燒	roasting
烽火	beacon
烹飪	cooking
烤箱	ovens
烤箱	oven
烘乾	drying
烏鴉	ravens
烏鴉	crows
烏鴉	crow
烏陵	Urim
烏里	Uri
烏西	Uzzi
烏薩	Uzal
烏薛	Uzziel
烏瑪	Ummah
烏爾	Ur
烏泰	Uthai
烏木	ebony
烏斯	Uz
烏撒	Uzzah
烏撒	Uzza
烏拉	Ulla
烏尼	Unni
為聖	Sanctify
災難	catastrophe
災難	calamities
災害	disasters
災害	disaster
災害	calamity
災區	stricken
灼熱	searing
灰色	gray
灰燼	ashes
灰心	discouraged
灰塵	dust
火花	sparks
火花	sparkle
火花	spark
火腿	Ham
火盆	firepot
火燒	flamed
火熱	fiery
火焰	flames
火焰	flame
火焰	blaze
火炬	torches
火炬	torch
火災	fires
火山	volcano
火光	firelight
灑水	watering
灌溉	irrigation
灌溉	irrigate
灌木	shrubs
灌叢	thickets
瀟灑	dashing
瀝青	pitch
瀝青	asphalt
瀑布	waterfall
瀆神	blasphemer
濫用	misuse
濫用	abused
濫用	abuse
濫交	promiscuity
濕透	drenched
濕氣	moisture
濕巾	wipes
激烈	intensely
激烈	intense
激烈	heatedly
激烈	fiercely
激烈	fierce
激流	torrent
激情	passions
激怒	infuriated
激怒	exasperated
激怒	angered
激動	excitement
激動	agitated
澆注	pouring
澆水	watered
潺潺	babble
潰爛	fester
潮汐	tides
潮汐	Tidal
潛行	prowl
潛步	slink
潛伏	lurking
潔茹	Jerusha
潔淨	cleanses
潔淨	cleanse
漫遊	rove
漫遊	roaming
漫遊	roam
漫漫	boundless
漫步	wanders
漫步	wander
漫步	strolling
漫步	stroll
漩渦	swirls
漩渦	swirl
漢娜	Hannah
漠視	disregard
演講	speeches
演講	lecturing
演講	lecture
演習	maneuver
演示	demonstrate
演替	succession
演戲	acting
演出	perform
漂移	drift
漂礫	boulder
漂白	bleached
漂浮	adrift
漂洗	rinsing
漂洗	rinsed
漂亮	pretty
漁獲	catches
漁民	fishermen
滿面	sounded
滿足	satisfy
滿足	satisfies
滿足	fulfills
滿足	contented
滿袋	pocketful
滿腹	bellyful
滿溢	overflowing
滿桶	bucketful
滿意	satisfied
滿意	satisfaction
滿意	pleased
滿意	contentment
滾蛋	Begone
滾滾	billowing
滾滾	billowed
滾動	scroll
滴水	drips
滴水	dripping
滴劑	drops
滲透	permeated
滲透	penetrates
滲血	oozing
滯後	lagging
滔滔	surging
滑輪	sheaves
滑輪	pulley
滑軌	glides
滑車	tackle
滑行	slither
滑行	glide
滑翔	gliding
滑動	sliding
滑倒	slipping
滋養	nourish
滋味	relish
滅絕	exterminated
滅亡	perishing
滂沱	torrential
溺死	drowning
溺愛	spoiling
溶解	dissolve
溫柔	tenderly
溫柔	gentleness
溫暖	warmed
溫度	temperature
溫床	hotbed
溫和	gentle
溢出	spilling
溢出	overflows
溢出	overflowed
溢出	overflow
溝渠	ditches
溝壑	ravines
準確	accurately
準確	accurate
準備	ready
準備	preparing
準備	prepares
準備	prepared
準備	prepare
準備	preparations
準備	poised
源頭	headwaters
湧出	gushed
湧上	swarmed
湖岸	lakeshore
湊近	leaned
渺小	insignificance
游牧	nomadic
游牧	nomad
游泳	swims
游泳	swim
渴望	yearns
渴望	longingly
渴望	longing
渴望	longed
渴望	craves
渴望	craved
渴望	crave
渴慕	thirsts
港口	ports
港口	port
港口	harbors
港口	harbor
測量	measuring
測量	measurements
測量	measurement
測量	measured
測量	measure
測試	tests
測試	testing
測試	tested
測試	test
渠道	channels
渠道	channel
減輕	lightened
減輕	lighten
減緩	slows
減弱	weakened
減少	reduced
減少	reduce
減少	diminished
減少	diminish
減少	decrease
減去	subtract
清零	clears
清除	scavenge
清除	purged
清除	purge
清除	cleared
清醒	sober
清酒	sake
清退	repaying
清算	reckoning
清空	empties
清空	emptied
清爽	refreshing
清潔	purifying
清潔	clean
清洗	cleansed
清單	listing
添加	added
淺灘	shoal
淺灘	shallows
淹沒	submerge
淹沒	overwhelms
混跡	unworthily
混沌	chaos
混合	mix
混合	Blend
混到	mingled
混亂	confusion
深處	depths
深色	dark-colored
深情	affectionately
深度	depth
深刻	profound
淬火	quenched
淬火	quench
淫蕩	lewdness
淫婦	adulteresses
淫亂	promiscuous
淫亂	adulterous
淨化	purify
淨化	purifies
淨化	cleansing
淙淙	murmuring
淑女	lady
淋浴	showering
淋浴	shower
淋水	tricking
涼鞋	sandals
液體	liquids
液體	liquid
液滴	droplets
涓涓	trickling
涉及	relate
涉及	involving
涉及	involves
消除	eliminating
消退	subsided
消費	consuming
消費	consumed
消耗	consumes
消耗	consume
消散	dissipates
消息	messages
消失	vanishing
消失	vanishes
消失	vanished
消失	vanish
消失	disappears
消失	disappearing
消失	disappeared
消失	disappear
浸泡	soaks
浸泡	soaked
海龍	Helon
海鷗	seagull
海關	customs
海軍	navy
海草	seaweed
海綿	sponge
海灘	beach
海濱	seashore
海港	seaport
海洋	oceans
海洋	ocean
海洋	marine
海拔	elevation
海底	seabed
海島	coastlands
海岸	shores
海岸	seashores
海岸	seacoast
海岸	coasts
海域	seas
浮雕	relief
浮躁	impulsive
浮渣	scum
浮渣	dross
浮動	floated
浮動	float
浪費	wasting
浪費	wasted
浪費	waste
浪潮	tide
浪湧	surge
浩蘭	Hauran
流行	popular
流血	bloodshed
流蘇	tassels
流產	miscarried
流產	miscarriages
流產	miscarriage
流浪	strays
流浪	stray
流汗	perspire
流放	banishment
流年	fleeting
流動	flows
流動	flowing
流入	flowed
流便	Reubenites
流亡	exile
派對	partying
派對	party
派對	parties
派出	fielded
活的	living
活動	activity
活動	activities
活力	vitality
活力	vigor
洪水	floodwaters
洪水	floods
洪水	flooding
洪水	flood
洩漏	leaking
洩漏	leak
津貼	allowance
洞穴	caves
洞穴	caverns
洞穴	cave
洗禮	baptisms
洗禮	baptism
洗澡	bathing
洗澡	bathe
洗滌	washing
洗手	hand-washing
洗劑	lotion
洋蔥	onions
泰伯	Tabor
注重	emphasize
注意	notice
注意	note
注意	attention
注定	ordain
注定	doomed
注定	destined
注定	destine
泥坑	wallow
波谷	troughs
波浪	waves
波斯	Persia
波提	Potiphera
波動	swings
泡沫	froth
泡沫	foams
泡沫	foam
泡沫	bubble
泛著	glowing
法院	courts
法路	Pallu
法規	statutes
法規	regulations
法術	spells
法老	pharaoh
法眼	discernment
法案	bill
法案	act
法律	legal
法律	laws
法庭	courtroom
法庭	court
法家	legalists
法官	judges
法官	judge
法勒	Peleg
法利	Pharisees
法令	decrees
法令	decree
泉水	springwater
沿海	coastal
沼澤	swamps
沼澤	swamp
沼澤	marshes
沼澤	marsh
治療	treatments
治療	treatment
治療	treating
治療	treated
治理	governing
治理	governed
治理	govern
治愈	cured
治愈	cure
油煙	fumes
油炸	frying
沸騰	boiling
河馬	hippopotamus
河邊	riverside
河流	rivers
河床	streambeds
河床	riverbed
河岸	riverbank
河伯	Rehoboth
沮喪	downcast
沮喪	dismayed
沮喪	dismay
沙龍	Sharon
沙龍	Shallum
沙麥	Shemer
沙麥	Shammai
沙魯	Salu
沙雅	Hoshaiah
沙賴	Sharai
沙賓	Shaalbim
沙發	couches
沙番	Shaphan
沙瑪	Shammah
沙灘	sands
沙漠	deserts
沙漠	desert
沙洲	sandbars
沙法	Shaphat
沙沙	swish
沙沙	rustle
沙拉	Shelah
沙微	Shaveh
沙基	Shagee
沙列	Sheleph
沖淡	watered-down
沖孔	piercing
沖天	soaring
沖壓	stamped
沒藥	myrrh
沒有	nothing
沒有	none
沒有	no
沒有	haven't
沒有	didn't
沒有	did
沒收	forfeited
沒收	confiscates
沒收	confiscated
沐浴	bathed
沉默	silences
沉默	silenced
沉香	aloes
沉降	settlement
沉迷	indulged
沉船	shipwreck
沉積	deposited
沉睡	slumbering
沉浸	immersed
沉沒	sunk
沉沒	sank
沉思	meditating
沉吟	pondered
汽油	fuel
決心	determined
決定	dictated
決定	decisions
決定	decision
決定	decides
決定	decided
決定	decide
決不	never
污點	tainted
污穢	filthy
污穢	defilement
污水	sewage
污染	polluting
污染	pollutes
污染	polluted
污染	pollute
污染	contamination
污染	contaminated
污染	contaminate
污垢	filth
污垢	dirt
求情	plead
求情	interceded
求婚	courted
汁液	saps
氾濫	overrun
永遠	forevermore
永遠	forever
永恆	eternity
永恆	eternal
永久	permanently
水道	aqueduct
水蛭	leech
水蘇	Stachys
水缸	waterpots
水煙	Shisha
水深	soundings
水泡	blistered
水槽	sink
水槽	cistern
水桶	buckets
水果	fruits
水果	fruit
水晶	crystal
水手	sailors
水手	sailor
水庫	reservoirs
水平	levels
水平	level
水壺	kettles
水壺	kettle
水域	waters
水仙	Narcissus
氣質	qualities
氣旋	cyclone
氣味	smells
氣味	odor
氏族	clans
氏族	clan
毯子	blankets
毛巾	towel
毗珥	Peor
毗力	Pelet
比錄	Beeroth
比述	Abishur
比較	comparing
比較	compare
比賽	races
比賽	match
比裡	Beeri
比色	Bezek
比田	Beten
比拜	Bebai
比拉	Beera
比悉	Bezer
比喻	parables
比勒	Peleth
比加	Pekah
比例	proportion
毒蛇	vipers
毒蛇	viper
毒液	venom
每週	weekly
每當	whenever
每年	yearly
每天	everyday
母鹿	doe
母雞	hen
母豬	sows
母豬	sow
母親	mothers
母親	mother
母羊	ewes
母羊	ewe
母獅	lioness
毆打	beatings
毆打	beaten
毆打	battering
毆打	assaulted
毅力	perseverance
毀容	disfigured
毀壞	devastation
毀壞	destruction
毀傷	mutilate
毀了	ruined
殺死	kills
殺手	slayer
殺害	killed
殲滅	annihilate
殘餘	remnants
殘酷	cruelty
殘酷	cruelly
殘缺	incomplete
殘株	stubble
殘忍	cruel
殊死	desperate
殉國	martyred
死者	departed
死板	rigid
死亡	died
死亡	deaths
死亡	death
歸還	restitution
歸咎	blaming
歷時	lasted
歷史	history
歪曲	distort
歧視	discriminated
武裝	armed
武器	weapons
武器	weapon
武器	arms
步道	trails
步進	stepping
步行	walking
步行	walk
步兵	footmen
步伐	pace
步伐	footsteps
此後	Thereafter
此外	Moreover
此外	furthermore
正義	righteous
正義	justice
正經	decent
正確	properly
正確	proper
正確	correct
正式	officially
正式	formal
正常	normal
正午	midday
歡騰	exult
歡迎	welcoming
歡迎	welcomes
歡迎	welcomed
歡迎	welcome
歡迎	greeting
歡迎	greeted
歡躍	frisk
歡樂	jubilee
歡樂	joys
歡樂	joyous
歡樂	gladness
歡悅	joyously
歡快	merrily
歡喜	rejoices
歡呼	ovation
歡呼	cheered
歡呼	cheer
歐南	Onan
歌楠	Conaniah
歌曲	songs
歌曲	song
歌手	singers
歌手	singer
欽佩	admiration
欺騙	deceiving
欺騙	deceives
欺騙	deceive
欺詐	frauds
欣賞	appreciate
欣賞	admire
欣然	joyfully
欣嫩	Hinnom
欣喜	rejoicing
次要	minor
權重	weights
權威	authority
權力	powers
權利	rights
欄杆	railings
檢索	retrieved
檢測	detect
檢查	inspection
檢查	inspecting
檢查	inspected
檢查	inspect
檢查	examining
檢查	examined
檢查	examine
檢查	examination
檢查	checks
檢查	checking
檢查	checked
檔案	archives
檀香	sandal
橫過	across
橫行	prowled
橫梁	crossbar
橫梁	beamed
橫桿	crossbars
橫幅	banners
橫向	crosswise
橡木	oak
機箱	enclosures
機會	opportunity
機會	opportunities
機會	chances
機會	chance
橄欖	olives
橄欖	olive
樹葉	leaves
樹脂	resinous
樹脂	resin
樹籬	hedge
樹液	sap
樹枝	twigs
樹枝	boughs
樹林	grove
樹木	woods
樹木	trees
樹幹	trunk
樹墩	stump
樵夫	woodcutters
樣本	samples
樣張	proofs
樣式	style
樣品	sample
模糊	obscured
模糊	blurred
模擬	imitate
模式	pattern
模子	mold
模型	model
模具	molds
模仿	imitated
標題	titles
標題	title
標題	heading
標誌	sign
標記	markers
標記	marker
標記	mark
標籤	label
標準	standards
標準	standard
標槍	javelins
標槍	javelin
標榜	flaunted
標本	specimen
樓梯	stairway
樓梯	stairs
樓下	downstairs
樓上	upstairs
樂趣	pleasures
樂趣	pleasure
樂意	gladly
樂意	cheerfully
樂事	lays
樁號	stationing
槳手	oarsmen
構造	construct
構成	posed
構想	conceive
榮譽	honors
榮譽	honor
榮耀	glory
榮耀	glorifying
榮耀	glorify
榮耀	glorified
榮幸	honored
概要	summary
概念	notion
概念	conception
極端	extreme
楓樹	sycamore
楓子	galbanum
楊樹	poplars
楊柳	willows
椽子	rafters
植物	plants
椅子	chair
棺材	coffin
棲息	roosted
棲息	inhabits
森林	forests
森林	forest
棕色	brown
棕櫚	palm
棉被	quilts
棉蘭	Medan
棄兒	outcasts
棄兒	outcast
梭琳	Seorim
梭哥	Socoh
條紋	streaks
條約	treaty
條約	treaties
條目	entry
條款	terms
條件	conditions
條件	condition
梅干	prunes
梅內	Mene
桑拉	Samlah
案件	case
桅杆	masts
桅杆	mast
格格	chattered
格拉	Gera
格子	latticework
根據	depending
根據	according
核心	kernel
核心	core
校驗	verify
校正	corrects
柴堆	woodpile
柱廊	Colonnade
查詢	inquiry
查詢	inquire
染色	staining
染色	stained
染色	dyeing
染料	dyes
染料	dye
柑橘	citrus
某處	somewhere
某物	something
某些	certain
柏油	tar
柏拉	Blastus
架設	erected
枯萎	wither
枯萎	wilts
枯萎	wilted
枯萎	wilt
果醬	preserves
果汁	juice
果園	orchards
果園	orchard
林地	wooded
枕頭	pillow
松樹	pine
東南	southeast
東北	northeast
杯子	cup
束縛	bondage
束帶	belted
杜拉	Dura
村莊	villages
村民	villagers
材料	material
杏仁	almonds
杏仁	almond
朵朵	blossoming
本身	itself
本質	essence
本能	instincts
本能	instinctively
本地	local
本來	originally
末必	Magbish
末位	lowliest
未知	unknown
未定	undecided
未婚	unmarried
未來	future
未來	coming
木炭	charcoal
木桶	cask
木板	planks
木材	timbers
木材	timber
木料	lumber
木工	carpentry
木匠	carpenters
木匠	carpenter
木偶	Asherah
期望	expectations
期望	expectation
期望	expect
期望	desired
期待	expecting
期待	expectantly
期待	expectant
朝聖	pilgrimage
朝天	overturned
朔巴	Shobal
朔吧	Shobab
服裝	garments
服裝	garment
服裝	clothing
服用	taking
服從	submission
服從	obeys
服從	obeying
服從	obedience
服務	serving
服務	services
服務	service
服務	serve
服事	ministering
服事	ministered
朋友	friends
朋友	friend
有頂	roofed
有限	limited
有關	related
有趣	interesting
有色	colored
有罪	sinful
有罪	guilty
有罪	guilt
有用	useful
有理	justified
有毒	poisonous
有時	sometimes
有效	valid
有效	effectively
有效	effective
有性	sexual
有序	ordered
有害	harmful
有害	destructive
有害	damaging
有力	powerfully
有力	forceful
有利	favorably
有利	favorable
有利	beneficial
有人	someone
月經	menstruating
月經	menstrual
月亮	moon
會議	session
會議	meetings
會議	meeting
會議	conference
會談	talks
會話	conversation
會計	accounting
會見	met
會所	clubs
會心	knowing
會堂	synagogue
會員	members
會員	member
最高	tallest
最高	supreme
最高	highest
最遠	farthest
最近	recently
最胖	fattest
最終	ultimately
最窮	poorest
最短	shortest
最熱	hottest
最深	deepest
最早	earliest
最新	latest
最愛	favorites
最後	finally
最後	final
最強	strongest
最弱	weakest
最差	worst
最少	smallest
最小	least
最好	nicest
最好	best
最大	largest
最大	greatest
最佳	top
最低	lowest
替代	substitute
曾經	ever
曾孫	great-grandson
書面	written
書蘭	Meshullam
書念	Shunem
書亞	Shual
書亞	Shuah
曷拉	Hoglah
更高	higher
更難	harder
更遠	farther
更近	nearer
更甜	sweeter
更深	deeper
更正	correction
更新	renews
更新	renewed
更新	renew
更改	change
更換	replacing
更換	replaced
更換	replace
更快	swifter
更快	faster
更差	worse
更好	better
更大	greater
更多	more
曲調	tunes
曲線	curves
曲折	winding
曲折	twists
曝光	exposure
曝光	exposing
暴食	gluttony
暴露	expose
暴雨	rainstorm
暴跌	plunged
暴發	outbreak
暴民	mob
暴政	tyranny
暴君	tyrant
暴君	oppressor
暴動	riots
暴動	riot
暴動	rebellion
暴動	insurrections
暴力	violent
暴力	violence
暫停	paused
暫停	pause
暢快	carefree
暗訪	unannounced
暗算	backstabbing
暗淡	dim
暗洗	Amzi
暗殺	assassination
暗殺	assassinated
暗殺	assassinate
智能	intelligent
智慧	wisdom
智取	outsmart
智勝	outwitted
晶圓	wafers
晶圓	wafer
景點	sights
景觀	landscape
普通	ordinary
普瓦	Puah
普林	purim
普嫩	Punon
普勒	Pul
晦澀	obscurities
晚餐	supper
晚餐	dinner
晚間	evening
晚了	late
晚上	evenings
時間	time
時鐘	clock
時尚	Fashion
時刻	moment
是否	whether
昨天	yesterday
春天	springtime
映射	mapped
星座	constellations
星座	constellation
星光	starlight
易腐	perishable
易於	prone
昏暈	fainting
昏厥	fainted
明顯	obviously
明顯	obvious
明顯	evident
明確	clear
明智	wisely
明智	sensible
明智	sanity
明晰	clarity
明星	stars
明尼	Minni
明天	tomorrow
昆蟲	insects
昂貴	expensive
昂貴	costly
昂然	aflame
早餐	breakfast
早晨	mornings
早上	morning
日誌	logs
日誌	log
日落	sunset
日落	sundown
日期	dates
日期	date
日曬	sunbaked
日曆	calendar
日後	someday
日常	daily
日出	sunrise
既定	established
旗桿	flagpole
旗幟	banner
旋風	whirlwinds
旋風	whirlwind
旋轉	whirling
旋律	melody
旋律	melodies
旅行	trips
旅行	travels
旅行	traveling
旅行	traveled
旅行	travel
旅程	journeys
旅程	journey
旅店	inn
旅客	travelers
施韋	Ishvi
施行	performs
施洗	baptizing
施洗	baptizes
施法	Ashvath
施工	construction
方言	dialect
方舟	ark
方法	ways
方法	methods
方法	approaches
方案	schemes
方案	scheme
方式	manner
方向	directions
方向	direction
方便	convenient
斷裂	fracture
斷絕	sever
斷然	flatly
斷奶	weaned
新鮮	freshly
新鮮	fresh
新郎	grooms
新郎	bridegrooms
新郎	bridegroom
新聞	news
新羅	Silla
新生	rebirth
新生	newborn
新月	new-moon
新月	crescents
新月	crescent
新娘	brides
新娘	bride
新娘	bridal
新奇	newness
斯利	Esli
斬首	beheaded
斬波	chopping
斧頭	ax
斥責	rebukes
斥責	rebuked
斜靠	leans
斜背	slung
斜倚	reclining
斗篷	cloaks
斑點	spots
斑點	speckled
斑點	speck
斑點	blot
斑鳩	turtledoves
斑鳩	turtledove
斑岩	porphyry
文章	writings
文章	article
文明	civilization
文學	literature
文士	scribes
文化	cultures
文化	culture
文件	papers
文件	file
文件	document
數量	quantity
數量	quantities
數數	counting
數字	numbers
數字	figure
數千	thousands
敷料	dressing
敵意	hostility
敵對	hostile
敵人	foes
敵人	foe
敵人	enemy
敵人	enemies
整理	arranging
整理	arranges
整個	whole
整個	entire
敲門	knocks
敲門	knocking
敲詐	extortion
敲定	hammered
敬虔	godly
敬禮	saluted
敦促	urged
敦促	urge
散落	littered
散漫	undisciplined
散步	walks
散射	scatters
散射	scattering
教訓	lessons
教育	educate
教義	doctrine
教派	sect
教會	church
教師	teachers
教導	teachings
教學	teaching
教堂	churches
敘加	Sychar
敘事	recount
救援	rescues
救恩	salvation
救出	deliverance
救主	savior
敏感	sensitive
效益	benefit
效用	effectiveness
效果	effects
故障	faults
故障	fault
故障	failures
故意	willfully
故意	deliberately
故事	tales
故事	story
故事	stories
政治	political
政府	governments
政府	government
放鬆	relax
放電	discharges
放逐	exiling
放逐	exiled
放逐	banishing
放逐	banished
放逐	banish
放蕩	immorality
放置	placed
放縱	indulges
放縱	indulge
放牧	herd
放牧	grazing
放棄	renounces
放棄	renounced
放棄	quit
放棄	abandoning
放棄	abandon
放心	reassured
放大	magnified
放大	enlarged
放大	enlarge
攻略	raiders
攻擊	attacks
攻擊	attack
改革	reforms
改造	transformed
改變	changing
改變	altered
改裝	remodel
改名	renamed
收集	gleaned
收集	gather
收費	charges
收費	charge
收縮	shrinks
收縮	shrink
收緊	tightens
收緊	tightened
收窄	narrowed
收穫	harvesting
收穫	harvested
收益	proceeds
收益	gains
收益	earnings
收成	harvests
收成	harvest
收復	recaptured
收回	withdraw
收割	reap
收到	receives
收到	received
收入	revenue
收入	income
支配	dominate
支柱	pillars
支柱	pillar
支撐	strut
支撐	shore
支撐	braced
支撐	Brace
支持	sustain
支持	supports
支持	supporting
支持	support
支持	buttress
支付	pays
支付	payments
支付	paid
攪拌	stirring
攪拌	stir
攪動	stirred
攪乳	churns
攤子	stall
攤位	stalls
攜帶	carrying
攜帶	carry
攜帶	carries
攀附	clings
攀登	climbing
擺著	arrayed
擺脫	rid
擺盪	swinging
擴張	outspread
擴展	extends
擴展	extending
擴展	extended
擴大	expanding
擴大	expand
擱淺	stranded
擱淺	aground
擰幹	wrung
擦除	erased
擦拭	wipe
擦傷	grazes
擠壓	squeezed
據點	strongholds
據點	stronghold
擔心	worry
擔心	worried
擔心	fearing
擔保	guarantees
擊敗	defeating
擊敗	defeat
擊敗	beat
擊中	hit
擅自	unauthorized
擁有	possesses
擁有	possessed
擁有	owns
擁有	own
擁有	boasting
擁擠	crowding
擁抱	embracing
擁抱	embraces
擁抱	embraced
擁抱	embrace
擁抱	cuddled
撻買	Talmai
撲滅	extinguish
撲來	lunged
播種	sowing
播放	plays
播放	playing
撫育	tending
撫摸	fondled
撥款	allotments
撥弦	plucked
撤銷	revoked
撤退	retreating
撤退	retreated
撤退	retreat
撤消	undoing
撤回	withdrew
撕開	ripped
撕裂	torn
撕裂	tearing
撕毀	tore
撒督	Zadok
撒滿	strewn
撒摩	Zalmonah
撒拔	Zabad
撒拉	Shealtiel
撒慕	Zalmunna
撒南	Zaanan
撒刻	Zaccur
撒分	Zaphon
撒但	Satan
撐著	propped
撇清	whitewash
撇去	skim
撇下	forsaking
摺頁	folding
摸索	grope
摩西	Moses
摩洛	Molech
摩押	Moabites
摩押	Moabite
摩押	Moab
