一	one
本質	essence
本身	itself
本迦別	Ben-geber
朱利葉斯	Julius
朱莉婭	Julia
朱迪亞	Judean
朱迪思	Judith
朵朵	blossoming
李可染	Keran
杏仁	almond
杏仁	almonds
材料	material
村	village
村民	villagers
村莊	villages
杜拉	Dura
束	bunch
束	bunches
束	bundle
束帶	belted
束縛	bondage
杯	cups
杯子	cup
杯承載	cup-bearer
杯承載	cup-bearers
杯狀的	cupped
東	east
東	eastern
東北	northeast
東北風	northeaster
東南	southeast
東方的	eastward
杵	pestle
松樹	pine
板	board
板	plates
板著臉	scowls
枕頭	pillow
林地	wooded
果	avail
果園	orchard
果園	orchards
果汁	juice
果醬	preserves
枝	sticks
枯萎	wilt
枯萎	wilted
枯萎	wilts
枯萎	wither
枯萎病	blight
架設	erected
柏	cypress
柏拉	Blastus
柏油	tar
某些	certain
某物	something
某處	somewhere
柑橘	citrus
染料	dye
染料	dyes
染色	dyeing
染色	stained
染色	staining
柔軟的	soft
查	check
查詢	inquire
查詢	inquiry
柱	column
柱廊	Colonnade
柳	willow
柴	firewood
柴堆	woodpile
栓	tethered
校正	corrects
校驗	verify
核心	core
核心	kernel
根	root
根	rooted
根	roots
根據	according
根據	depending
格子	latticework
格拉	Gera
格拉森	Gerasenes
格拉森人	Gadarenes
格格	chattered
桃金娘	myrtle
桃金娘	myrtles
桅杆	mast
桅杆	masts
框	box
案件	case
桑	mulberry
桑拉	Samlah
桑樹圖	sycamore-fig
桶	bucket
梁	beams
梁美芬	Priscilla
梅內	Mene
梅干	prunes
梅拉姆	Merathaim
梅拉布	Merab
梅里德	Mered
梅默肯	Memucan
條件	condition
條件	conditions
條款	terms
條目	entry
條約	treaties
條約	treaty
條紋	streaks
梧桐樹	sycamores
梭哥	Socoh
梭琳	Seorim
梯	terraced
梳	comb
棄	abandoned
棄兒	outcast
棄兒	outcasts
棉	cotton
棉蘭	Medan
棉被	quilts
棒	rods
棒	stick
棕櫚	palm
棕色	brown
棘	thornbush
棚	shed
棚	sheds
森林	forest
森林	forests
森納赫里布	Sennacherib
棲息	inhabits
棲息	roosted
棺材	coffin
椅子	chair
植物	plants
椽子	rafters
楊千嬅	Miriam
楊柳	willows
楊樹	poplars
楓子	galbanum
楓樹	sycamore
極	pole
極	poles
極	utmost
極好的裝備	tooled
極端	extreme
概念	conception
概念	notion
概要	summary
榮幸	honored
榮耀	glorified
榮耀	glorify
榮耀	glorifying
榮耀	glory
榮譽	honor
榮譽	honors
構想	conceive
構成	posed
構造	construct
槳	oars
槳手	oarsmen
槽	trough
樁	pile
樁	piling
樁號	stationing
樂事	lays
樂意	cheerfully
樂意	gladly
樂趣	pleasure
樂趣	pleasures
樓上	upstairs
樓下	downstairs
樓梯	stairs
樓梯	stairway
標	marked
標本	specimen
標榜	flaunted
標槍	javelin
標槍	javelins
標準	standard
標準	standards
標籤	label
標記	mark
標記	marker
標記	markers
標誌	sign
標題	heading
標題	title
標題	titles
樞	hinged
模仿	imitated
模仿者	mocker
模具	molds
模型	model
模子	mold
模式	pattern
模擬	imitate
模糊	blurred
模糊	obscured
樣品	sample
樣式	style
樣張	proofs
樣本	samples
樵夫	woodcutters
樹	tree
樹墩	stump
樹幹	trunk
樹木	trees
樹木	woods
樹林	grove
樹枝	boughs
樹枝	twigs
樹液	sap
樹籬	hedge
樹脂	resin
樹脂	resinous
樹葉	leaves
橄欖	olive
橄欖	olives
橋	bridge
橘紅色	jacinth
機	machines
機會	chance
機會	chances
機會	opportunities
機會	opportunity
機箱	enclosures
橡木	oak
橫向	crosswise
橫幅	banners
橫座板	thwarts
橫桿	crossbars
橫梁	beamed
橫梁	crossbar
橫行	prowled
橫過	across
檀香	sandal
檉	tamarisk
檔案	archives
檢	examines
檢	seized
檢查	checked
檢查	checking
檢查	checks
檢查	examination
檢查	examine
檢查	examined
檢查	examining
檢查	inspect
檢查	inspected
檢查	inspecting
檢查	inspection
檢測	detect
檢索	retrieved
欄杆	railings
權利	rights
權力	powers
權威	authority
權重	weights
欠	owe
欠	owed
次要	minor
欣喜	rejoicing
欣喜的	delighted
欣嫩	Hinnom
欣慰的	comforting
欣然	joyfully
欣賞	admire
欣賞	appreciate
欺詐	frauds
欺騙	deceive
欺騙	deceives
欺騙	deceiving
欽佩	admiration
歌手	singer
歌手	singers
歌曲	song
歌曲	songs
歌楠	Conaniah
歌羅西	Colosse
歐南	Onan
歐尼西慕	Onesimus
歐布洛斯	Eubulus
歐米茄	Omega
歡呼	cheer
歡呼	cheered
歡呼	ovation
歡喜	rejoices
歡快	merrily
歡悅	joyously
歡樂	gladness
歡樂	joyous
歡樂	joys
歡樂	jubilee
歡樂的	festive
歡欣鼓舞	rejoiced
歡躍	frisk
歡迎	greeted
歡迎	greeting
歡迎	welcome
歡迎	welcomed
歡迎	welcomes
歡迎	welcoming
歡騰	exult
正	positive
正午	midday
正常	normal
正式	formal
正式	officially
正式地	formally
正當地	rightly
正確	correct
正確	proper
正確	properly
正確地	correctly
正經	decent
正義	justice
正義	righteous
此外	furthermore
此外	Moreover
此後	Thereafter
步	step
步伐	footsteps
步伐	pace
步兵	footmen
步行	walk
步行	walking
步進	stepping
步道	trails
武器	arms
武器	weapon
武器	weapons
武裝	armed
歧視	discriminated
歪	crooked
歪曲	distort
歲	year-old
歷史	history
歷史學家	historian
歷史的	historical
歷時	lasted
歸咎	blaming
歸還	restitution
死	dead
死	die
死	dies
死一般	deathly
死亡	death
死亡	deaths
死亡	died
死亡的打擊	deathblow
死亡纏繞	death-wound
死板	rigid
死氣沉沉	lifeless
死者	departed
死記硬背	rote
殆	perilous
殉國	martyred
殊死	desperate
殖民地	colony
殖民者	colonists
殘忍	cruel
殘株	stubble
殘缺	incomplete
殘羹剩飯	leftovers
殘酷	cruelly
殘酷	cruelty
殘餘	remnants
殯葬業	morticians
殲滅	annihilate
殺	kill
殺	murderous
殺人犯	murderers
殺害	killed
殺手	slayer
殺死	kills
殺無赦	unforgiven
毀了	ruined
毀傷	mutilate
毀壞	destruction
毀壞	devastation
毀容	disfigured
毅力	perseverance
毆打	assaulted
毆打	battering
毆打	beaten
毆打	beatings
母獅	lioness
母羊	ewe
母羊	ewes
母親	mother
母親	mothers
母豬	sow
母豬	sows
母雞	hen
母鹿	doe
每	each
每	per
每個人	everybody
每天	everyday
每年	yearly
每月一次	monthly
每當	whenever
每西亞	Mysia
每週	weekly
毒	poison
毒液	venom
毒蛇	viper
毒蛇	vipers
比	than
比亞利雅	Bealiah
比例	proportion
比利亞	Beriah
比利洗人	Perizzites
比利迦	Berekiah
比加	Pekah
比加轄	Pekahiah
比勒	Peleth
比勒達	Bildad
比喻	parables
比多寧	Betonim
比尼亞幹	Bene-jaakan
比悉	Bezer
比扎萊爾	Bezalel
比拉	Beera
比拜	Bebai
比拿雅	Benaiah
比拿雅	Jaaziel
比提尼亞	Bithynia
比田	Beten
比目魚	flounders
比羅他	Berothah
比色	Bezek
比蒂亞亞	Bithiah
比裡	Beeri
比賽	match
比賽	races
比較	compare
比較	comparing
比較喜歡	prefer
比述	Abishur
比錄	Beeroth
毗	Pelatiah
毗	Pithon
毗他希雅	Pethahiah
毗力	Pelet
毗拉心	Perazim
毗斯巴	Pispah
毗珥	Peor
毗萊雅	Pelaiah
毘尼拿	Peninnah
毛	gross
毛	hairs
毛巾	towel
毛毛蟲	caterpillars
毛茸茸	hairy
毛茸茸	shaggy
毫無疑問，	doubtless
毫髮無損	unscathed
毯	blanket
毯子	blankets
氈	felt
氏族	clan
氏族	clans
氣吁吁的	panting
氣味	odor
氣味	smells
氣旋	cyclone
氣質	qualities
氬	Ar
水	water
水仙	Narcissus
水域	waters
水壺	kettle
水壺	kettles
水平	level
水平	levels
水庫	reservoirs
水手	sailor
水手	sailors
水晶	crystal
水果	fruit
水果	fruits
水桶	buckets
水槽	cistern
水槽	sink
水泡	blistered
水深	soundings
水煙	Shisha
水缸	waterpots
水蘇	Stachys
水蛭	leech
水道	aqueduct
永	evermore
永不褪色	unfading
永久	permanently
永動的	perpetual
永恆	eternal
永恆	eternity
永恆的	everlasting
永遠	forever
永遠	forevermore
永遠活	ever-living
氾濫	overrun
汁液	saps
求	beg
求	begged
求	seeking
求婚	courted
求情	interceded
求情	plead
求賢若渴	thirsting
汗	sweat
汛	Rezin
江湖醫生	quacks
池	pool
池	pools
池	reservoir
污	defile
污垢	dirt
污垢	filth
污染	contaminate
污染	contaminated
污染	contamination
污染	pollute
污染	polluted
污染	pollutes
污染	polluting
污染物	contaminates
污染者	defiler
污水	sewage
污穢	defilement
污穢	filthy
污點	tainted
決不	never
決定	decide
決定	decided
決定	decides
決定	decision
決定	decisions
決定	dictated
決定性	decisive
決心	determined
決明子	cassia
汽	vapor
汽油	fuel
沃	fertile
沉吟	pondered
沉思	meditating
沉沒	sank
沉沒	sunk
沉浸	immersed
沉睡	slumbering
沉積	deposited
沉船	shipwreck
沉迷	indulged
沉降	settlement
沉香	aloes
沉默	silenced
沉默	silences
沐浴	bathed
沒人愛	unloved
沒完沒了	never-ending
沒收	confiscated
沒收	confiscates
沒收	forfeited
沒有	did
沒有	didn't
沒有	haven't
沒有	no
沒有	none
沒有	nothing
沒有人	nobody
沒有受傷	unhurt
沒有受過教育	uneducated
沒有愛心	unloving
沒法比	immeasurably
沒洗過	unwashed
沒經驗	inexperienced
沒藥	myrrh
沒頭沒腦	unthinking
沒頭腦	mindless
沖壓	stamped
沖天	soaring
沖孔	piercing
沖淡	watered-down
沙	sandy
沙亞弗	Shaaph
沙列	Sheleph
沙利色	Sharezer
沙勒幔	Shalman
沙基	Shagee
沙得拉	Shadrach
沙微	Shaveh
沙拉	Shelah
沙拉音	Shaaraim
沙本人以	Eliahba
沙母亞	Shammua
沙比太	Shabbethai
沙沙	rustle
沙沙	swish
沙法	Shaphat
沙洲	sandbars
沙漠	desert
沙漠	deserts
沙灘	sands
沙烏爾	Shaul
沙瑪	Shammah
沙番	Shaphan
沙發	couches
沙米爾	Shamir
沙賓	Shaalbim
沙賴	Sharai
沙雅	Hoshaiah
沙魯	Salu
沙麥	Shammai
沙麥	Shemer
沙龍	Shallum
沙龍	Sharon
沮喪	dismay
沮喪	dismayed
沮喪	downcast
河	river
河伯	Rehoboth
河伯-IR	Rehoboth-ir
河岸	riverbank
河床	riverbed
河床	streambeds
河流	rivers
河邊	riverside
河馬	hippopotamus
沸騰	boiling
油	oil
油	oils
油炸	frying
油煙	fumes
治愈	cure
治愈	cured
治理	govern
治理	governed
治理	governing
治療	treated
治療	treating
治療	treatment
治療	treatments
沼澤	marsh
沼澤	marshes
沼澤	swamp
沼澤	swamps
沿	along
沿海	coastal
泉水	springwater
法	law
法令	decree
法令	decrees
法利	Pharisees
法利賽人	Pharisee
法勒	Peleg
法官	judge
法官	judges
法家	legalists
法庭	court
法庭	courtroom
法律	laws
法律	legal
法律上	legally
法律顧問	counsel
法提雅	Ithream
法案	act
法案	bill
法眼	discernment
法老	pharaoh
法術	spells
法規	regulations
法規	statutes
法路	Pallu
法院	courts
泛	pan
泛光燈	floodlight
泛著	glowing
泡沫	bubble
泡沫	foam
泡沫	foams
泡沫	froth
波	wave
波動	swings
波提	Potiphera
波提乏	Potiphar
波斯	Persia
波斯人	Persians
波斯拉	Bozrah
波斯語	Persian
波浪	waves
波浪狀的	wavy
波羅蜜	perfections
波谷	troughs
波阿斯	Boaz
泣	weeping
泥	mire
泥	mud
泥	soil
泥坑	wallow
泥瓦匠	masons
注定	destine
注定	destined
注定	doomed
注定	ordain
注意	attention
注意	note
注意	notice
注意事項	attentions
注意事項	precautions
注意到	noticed
注意到	Noticing
注重	emphasize
泰伯	Tabor
泰特斯	Titus
泰蘭努斯	Tyrannus
洋蔥	onions
洗	baptize
洗	wash
洗	washed
洗	washes
洗劑	lotion
洗劫一空	looted
洗劫一空	ransacked
洗完澡	showered
洗手	hand-washing
洗滌	washing
洗澡	bathe
洗澡	bathing
洗禮	baptism
洗禮	baptisms
洛伊絲	Lois
洛尼克斯	Andronicus
洞穴	cave
洞穴	caverns
洞穴	caves
津貼	allowance
洩漏	leak
洩漏	leaking
洪水	flood
洪水	flooding
洪水	floods
洪水	floodwaters
活	alive
活力	vigor
活力	vitality
活動	activities
活動	activity
活得比	outlived
活的	living
派出	fielded
派對	parties
派對	party
派對	partying
流	flow
流	stream
流	streaming
流	streams
流亡	exile
流亡者	exiles
流便	Reubenites
流入	flowed
流動	flowing
流動	flows
流口水	drooling
流年	fleeting
流放	banishment
流汗	perspire
流浪	stray
流浪	strays
流浪者	wanderers
流產	miscarriage
流產	miscarriages
流產	miscarried
流蘇	tassels
流血	bloodshed
流血的	bleeding
流行	popular
流行病	epidemics
流離失所	displaced
浩蘭	Hauran
浪湧	surge
浪潮	tide
浪費	waste
浪費	wasted
浪費	wasting
浮動	float
浮動	floated
浮渣	dross
浮渣	scum
浮躁	impulsive
浮雕	relief
浴	bath
浴rabbim	Bath-rabbim
海	naval
海	sea
海勒姆	Hiram
海域	seas
海岸	coasts
海岸	seacoast
海岸	seashores
海岸	shores
海岸線	coastline
海岸線	shoreline
海島	coastlands
海底	seabed
海拔	elevation
海洋	marine
海洋	ocean
海洋	oceans
海港	seaport
海濱	seashore
海灘	beach
海綿	sponge
海草	seaweed
海軍	navy
海關	customs
海風吹拂	windswept
海鷗	seagull
海龍	Helon
浸泡	soaked
浸泡	soaks
浸禮者	Baptist
消失	disappear
消失	disappeared
消失	disappearing
消失	disappears
消失	vanish
消失	vanished
消失	vanishes
消失	vanishing
消息	messages
消散	dissipates
消耗	consume
消耗	consumes
消費	consumed
消費	consuming
消退	subsided
消除	eliminating
涉	ford
涉及	involves
涉及	involving
涉及	relate
涓涓	trickling
液滴	droplets
液體	liquid
液體	liquids
涼	cool
涼鞋	sandals
淋	drench
淋水	tricking
淋浴	shower
淋浴	showering
淑女	lady
淘	winnowed
淙淙	murmuring
淨	net
淨化	cleansing
淨化	purifies
淨化	purify
淨化的	purified
淪	perish
淫	adulteries
淫亂	adulterous
淫亂	promiscuous
淫婦	adulteresses
淫蕩	lewdness
淬火	quench
淬火	quenched
深	deep
深	deeply
深刻	profound
深度	depth
深情	affectionately
深深地	dearly
深色	dark-colored
深處	depths
混亂	confusion
混到	mingled
混合	Blend
混合	mix
混合物	mixture
混沌	chaos
混跡	unworthily
淹	drown
淹死的	drowned
淹沒	overwhelms
淹沒	submerge
淺	shallow
淺	superficial
淺灘	shallows
淺灘	shoal
添加	added
添馬艦	Tamar
清單	listing
清洗	cleansed
清潔	clean
清潔	purifying
清爽	refreshing
清空	emptied
清空	empties
清算	reckoning
清退	repaying
清酒	sake
清醒	sober
清除	cleared
清除	purge
清除	purged
清除	scavenge
清障車	wreckers
清零	clears
減	less
減去	subtract
減少	decrease
減少	diminish
減少	diminished
減少	reduce
減少	reduced
減弱	weakened
減緩	slows
減輕	lighten
減輕	lightened
渠道	channel
渠道	channels
渡渡鳥	Dodo
渣	dregs
測試	test
測試	tested
測試	testing
測試	tests
測試儀	tester
測量	measure
測量	measured
測量	measurement
測量	measurements
測量	measuring
測量學	surveying
港口	harbor
港口	harbors
港口	port
港口	ports
渴	thirsty
渴慕	thirsts
渴望	crave
渴望	craved
渴望	craves
渴望	longed
渴望	longing
渴望	longingly
渴望	yearns
游擊隊	guerrilla
游泳	swim
游泳	swims
游泳的	swimming
游泳者	swimmer
游牧	nomad
游牧	nomadic
游牧民族	nomads
渺小	insignificance
渾	muddy
湊近	leaned
湖	lake
湖岸	lakeshore
湧上	swarmed
湧出	gushed
湯	soup
源頭	headwaters
準備	poised
準備	preparations
準備	prepare
準備	prepared
準備	prepares
準備	preparing
準備	ready
準備就緒	readiness
準確	accurate
準確	accurately
準確性	accuracy
溝	ditch
溝	furrows
溝	trench
溝壑	ravines
溝渠	ditches
溢出	overflow
溢出	overflowed
溢出	overflows
溢出	spilling
溪	brook
溫	lukewarm
溫和	gentle
溫床	hotbed
溫度	temperature
溫暖	warmed
溫柔	gentleness
溫柔	tenderly
溶解	dissolve
溺愛	spoiling
溺死	drowning
滂沱	torrential
滅亡	perishing
滅絕	exterminated
滋味	relish
滋養	nourish
滑	slip
滑	slippery
滑倒	slipping
滑動	sliding
滑翔	gliding
滑行	glide
滑行	slither
滑車	tackle
滑軌	glides
滑輪	pulley
滑輪	sheaves
滔滔	surging
滯後	lagging
滲血	oozing
滲透	penetrates
滲透	permeated
滴	drip
滴	dripped
滴劑	drops
滴水	dripping
滴水	drips
滾	roll
滾動	scroll
滾滾	billowed
滾滾	billowing
滾蛋	Begone
滿意	contentment
滿意	pleased
滿意	satisfaction
滿意	satisfied
滿意的	satisfying
滿桶	bucketful
滿溢	overflowing
滿目瘡痍	devastated
滿腹	bellyful
滿袋	pocketful
滿足	contented
滿足	fulfills
滿足	satisfies
滿足	satisfy
滿面	sounded
漁民	fishermen
漁獲	catches
漂亮	pretty
漂洗	rinsed
漂洗	rinsing
漂浮	adrift
漂白	bleached
漂礫	boulder
漂移	drift
演出	perform
演戲	acting
演替	succession
演示	demonstrate
演習	maneuver
演說者	orator
演講	lecture
演講	lecturing
演講	speeches
漠不關心	indifference
漠不關心	unconcerned
漠視	disregard
漢娜	Hannah
漢寧波	harming
漩渦	swirl
漩渦	swirls
漫不經心	unconcern
漫步	stroll
漫步	strolling
漫步	wander
漫步	wanders
漫漫	boundless
漫遊	roam
漫遊	roaming
漫遊	rove
潑	splashed
潔淨	cleanse
潔淨	cleanses
潔茹	Jerusha
潘菲利亞	Pamphylia
潛伏	lurking
潛伏著	lurks
潛步	slink
潛行	prowl
潦	flooded
潮汐	Tidal
潮汐	tides
潰爛	fester
潺潺	babble
澆水	watered
澆注	pouring
激動	agitated
激動	excitement
激怒	angered
激怒	exasperated
激怒	infuriated
激情	passions
激流	torrent
激烈	fierce
激烈	fiercely
激烈	heatedly
激烈	intense
激烈	intensely
濕	wet
濕	wetness
濕巾	wipes
濕氣	moisture
濕透	drenched
濡	moisten
濫交	promiscuity
濫用	abuse
濫用	abused
濫用	misuse
濫用的	abusive
濫用者	abusers
濱	coast
濺	splash
瀆神	blasphemer
瀑布	waterfall
瀝青	asphalt
瀝青	pitch
瀟灑	dashing
灌叢	thickets
灌木	shrubs
灌木叢	bushes
灌木叢	thicket
灌溉	irrigate
灌溉	irrigation
灑	spill
灑	spilled
灑	sprinkled
灑水	watering
灣	bay
火	fire
火光	firelight
火山	volcano
火災	fires
火炬	torch
火炬	torches
火焰	blaze
火焰	flame
火焰	flames
火熱	fiery
火燒	flamed
火盆	firepot
火腿	Ham
火花	spark
火花	sparkle
火花	sparks
灰	ash
灰塵	dust
灰心	discouraged
灰燼	ashes
灰色	gray
灰頭土臉	disgraced
灼熱	searing
災區	stricken
災害	calamity
災害	disaster
災害	disasters
災難	calamities
災難	catastrophe
炎	inflammation
炷	candlewick
為什麼	why
為情所困	lovesick
為期三天	three-day
為聖	Sanctify
烏利亞	Uriah
烏合之眾	rabble
烏尼	Unni
烏拉	Ulla
烏拉姆	Ulam
烏撒	Uzza
烏撒	Uzzah
烏斯	Uz
烏木	ebony
烏泰	Uthai
烏爾	Ur
烏瑪	Ummah
烏薛	Uzziel
烏薩	Uzal
烏西	Uzzi
烏西雅	Uzziah
烏里	Uri
烏陵	Urim
烏鴉	crow
烏鴉	crows
烏鴉	ravens
烘乾	drying
烘烤的	baked
烤	bake
烤	broiled
烤	grilled
烤	roast
烤	roasted
烤箱	oven
烤箱	ovens
烹飪	cooking
烽火	beacon
焙燒	roasting
無	without
無人	uninhabited
無人盯防	unmarked
無保護	unprotected
無價	priceless
無力	inability
無力	powerless
無助	helpless
無可指責	blameless
無名	nameless
無味	tasteless
無味的	Flavorless
無城牆	unwalled
無奈	helplessly
無子女	childless
無害	harmless
無家可歸	homeless
無家可歸	homelessness
無形	formless
無形	invisible
無恥地	shamelessly
無情	merciless
無情	mercilessly
無情	relentlessly
無情	ruthless
無情	ruthlessly
無情	unforgiving
無情	unrelenting
無意	unintentional
無意中	unintentionally
無意義	meaninglessness
無意義	senseless
無意義的	meaningless
無所畏懼	fearlessly
無政府狀態	anarchy
無效	invalid
無效	nullified
無敵的	unconquered
無數	countless
無數	innumerable
無數	myriads
無數	numberless
無數	uncounted
無止境	unending
無比	unequaled
無水	waterless
無法	incapable
無法	unable
無法形容	indescribable
無法形容	inexpressible
無法形容	unspeakable
無法忍受	intolerable
無法忍受	unbearably
無法無天	lawlessness
無用	futile
無用	futility
無用	useless
無用	worthless
無疑	definitely
無痛人流	painless
無眠	sleepless
無知	ignorance
無神	godless
無禮	disrespectfully
無禮	rude
無窮	endless
無縫	seamless
無罪	sinless
無罪釋放	acquitted
無聊	bored
無聲	breathed
無聲	silent
無花果	figs
無菌	sterile
無處	nowhere
無視	ignoring
無論如何	anyway
無路	trackless
無辜	innocence
無辜	innocent
無酵	unleavened
無關	unrelated
無限	unlimited
無限地	infinitely
焦	burnt
焦	charred
焦	scorched
焦急地	anxiously
焦慮	anxiety
焦點	focus
然後	then
然而	however
然而	yet
煉鐵	iron-smelting
煙囪	chimney
煤	coals
煤炭	coal
煤煙	soot
照	shines
照顧	cared
煩	bother
煩亂	upset
煩人的	tiresome
煩惱	fret
煩擾的	disturbing
煮沸	boiled
煽動	incite
煽動	incited
煽動	inciting
煽動叛亂	sedition
熊	bear
熊	bears
熏黑	blackened
熔化	melt
熔煉	smelted
熔融	molten
熔體	melts
熙	thriving
熟	cooked
熟	familiar
熟	ripen
熟悉	acquainted
熟練	skillful
熟練	trained
熬	boil
熱	heat
熱	hot
熱	hotter
熱心	eagerness
熱心	zealous
熱忱	zealously
熱情	enthusiasm
熱情	enthusiastic
熱情	warmth
熱情	zeal
熱情地	fervently
熱烈	warmly
熱軋	rolled
熾烈	blazing
熾熱	red-hot
熾盛	ablaze
熾盛	flaming
燃燒	burning
燃燒室	firebox
燈	lamp
燈光	lighting
燈具	lamps
燈檯	lampstand
燈檯	lampstands
燈火	lights
燈籠	lanterns
燈紅酒綠	feasting
燈芯	wicks
燈花	firepans
燉	stew
燒	burned
燒傷	burn
燒傷	burns
燒壞	burned-out
燒毛	singed
燒焦	scorch
燒瓶	flask
燕子	swallows
營	battalion
營	camp
營地	camps
營地	campsite
營救	rescuing
營養	nourished
營養	nourishment
燦爛	splendid
燧石	flint
爆炸	blasts
爆炸	explodes
爆發	erupted
爆發	outbursts
爆破	blast
爆破	bursting
爆裂	burst
爐	furnace
爐	hearth
爛	rotten
爪	claws
爪哇	Javan
爪子	paw
爪子	paws
爬	climb
爬	crawled
爬上	climbed
爬坡道	hill
爬行	crawl
爬行	crawling
爬行	creep
爬行	creeping
爬行動物	reptiles
爭	indisputable
爭吵	quarreling
爭吵	quarrels
爭吵	quarrelsome
爭吵	strife
爭奪	grabs
爭奪	scramble
爭搶	jostle
爭論	argue
爭論	argued
爭論	arguing
爭議	contentious
爭議	controversies
爭議	controversy
爭議	dispute
爭議	disputed
爭議	disputes
爭辯	contended
父母	parents
父親	father
父親	fathers
爸爸	Papa
爽快	refreshment
爾	Er
牆壁	walls
片	flakes
片	piece
片	sheet
片劑	tablet
牌	brand
牙	teeth
牙疼	toothache
牛	cow
牛	ox
牛	oxen
牛奶	milk
牛扒	steak
牛油	butter
牛群	herds
牛肉	beef
牛膝草	hyssop
牛角	horns
牛角撞傷	gored
牢不可破	unbreakable
牢牢	firmly
牢騷	discontent
牧人	herdsman
牧場	pasture
牧場	pastureland
牧場	pastures
牧場饋	pasture-fed
牧師	pastors
牧師	preacher
牧師	priest
牧師	priests
牧民	herdsmen
牧羊人	shepherd
牧羊人	shepherds
牧羊犬	sheepdogs
物	matter
物料	materials
物物交換	barter
物理	physical
物理	physically
特別	especially
特別	special
特別	specially
特別	specifically
特哈拿	Tirhanah
特定	designated
特定	given
特定	particular
特庇	Derbe
特徵	features
特拉人	Tirathites
特曼	Teman
特權	privilege
特權	privileged
特此	hereby
特爾蒂烏斯	Tertius
特羅	Trophimus
特羅亞	Troas
特萊姆	Telem
特赦	pardons
特馬	Tema
牽制	sidetracked
犁	plow
犁	plowed
犁頭	plowshares
犧牲	sacrifice
犧牲	sacrificed
犧牲	sacrifices
犧牲	sacrificial
犧牲	sacrificing
犯了罪	sinned
犯罪	crime
犯罪	crimes
犯罪	sinning
犯罪分子	offender
犯規	foul
犯規	fouled
狀態	states
狀態	status
狂	mad
狂人	madman
狂奔	bolted
狂怒	furious
狂歡	carousing
狂歡	orgies
狂歡	rave
狂歡	revelry
狂熱者	Zealot
狄奧尼修斯	Dionysius
狐狸	fox
狐狸	foxes
狐狼	jackal
狗	dog
狠	relentless
狠心	heartless
狡猾	crafty
狡猾	cunning
狡猾	sly
狡詐	deceitful
狡辯	quibble
狩獵	hunting
狩獵	hunts
狹窄	narrow
狺	snarling
狼	wolf
狼	wolves
狼吞虎咽	gorging
猖獗	rampant
猛拉	yanked
猛撲	pounce
猛撲	swoops
猛攻	onslaught
猛烈	violently
猜測	guess
猜疑	suspicions
猥褻	lewd
猥褻	obscene
猥褻	obscenities
猩紅	scarlet
猶	Jew
猶八	Jubal
猶大	Judah
猶大	Judas
猶大	Judeans
猶太	Jewish
猶太	Judea
猶太人	Jews
猶太教	Judaism
猶太教堂	synagogues
猶尼亞	Junia
猶推古	Eutychus
猶豫	hesitated
猶豫	hesitation
獄卒	jailer
獅子	lion
獅子	lions
獎	prize
獎勵	reward
獎勵	rewarded
獎勵	rewards
獎學金	fellowship
獎章	medallion
獐	roebuck
獠牙	fangs
獨立	independence
獨立	independent
獨立的	unaided
獨身	celibate
獨身	singleness
獲刑	jailed
獲勝	victorious
獲得	acquire
獲得	gain
獲得	gained
獲得	obtain
獲得	obtained
獲悉	learns
獲救	rescued
獵	hounding
獵人	hunter
獵人	hunters
獵戶座	Orion
獵殺	hunted
獵物	prey
獵犬	hound
獸	beast
獸	bestial
獸類	beasts
獾	badger
獾	badgers
率	rate
玉米	corn
王侯	princely
王冠	crown
王國	kingdom
王國	kingdoms
王子	prince
王子	princes
王室的	royal
王座	throne
王朝	dynasty
王權	kingship
王權	royalty
王蓮香	Susi
玩	play
玩笑	joke
玫瑰	rose
玲	tinkling
玷污	defiled
玷污	defiling
玷污	undefiled
玻璃	glass
珀隆	Pelon
珊	Dishan
珊瑚	coral
珊瑚礁	reefs
珊迦	Shamgar
珍品	treasures
珍愛的	cherished
珍珠	pearl
珍珠	pearls
珍珠母	mother-of-pearl
珍視	cherish
珍貴	precious
珍貴	prized
珠	beads
珠光寶氣	jeweled
珠子	bead
珠寶	jewels
珠寶商	jewelers
珥	Beor
珥	Ner
珽	scepter
現在	now
現場	scene
現場	site
現實	realities
現實	reality
球	ball
球探	scouted
球迷	fans
球隊	team
球隊	teams
理念	idea
理想	ideally
理所當然	granted
理由	grounds
理由	reasoned
理直氣壯	righteously
理解	comprehend
理解	comprehension
理解	understand
理解	understanding
理解	understands
琥珀色	amber
琵琶	lute
瑟瓦	Sceva
瑣	Sophereth
瑪	Magog
瑪	Mattanah
瑪	Shema
瑪他	Mattaniah
瑪他提亞	Mattathias
瑪代	Medes
瑪利沙	Mareshah
瑪利雅	Shemariah
瑪勒列	Mahalalel
瑪吉	Makir
瑪哈	Mahanaim
瑪哈拉	Mahalath
瑪土撒拉	Methuselah
瑪坦	Mattan
瑪基	Makkedah
瑪基雅	Malkijah
瑪士利加	Masrekah
瑪拉	Mahlah
瑪拉	Marah
瑪拉基書	Malachi
瑪拿西	Manasseh
瑪撒	Massah
瑪斯	Maaz
瑪瑙	agate
瑪瑙	carnelian
瑪莎	Martha
瑪西亞	Maaziah
瑪西雅	Maaseiah
瑪迦	Maacah
瑪迦	Maacathite
瑪雲	Maon
瑪頓	Madon
瑪鹿	Malluch
瑪麗	Mary
璧該	Bilgai
璧迦	Bilgah
環	ring
