aa	胺基酸
peddlers	小販
peddlery	叫賣
peddles	兜售
peddling	兜售
pederast	柴草
pederastic	戀童癖
pederasts	戀童癖者
pederasty	雞姦
pedes	腳
pedestal	座
pedestaled	基座
pedestals	基座
pedestrian	行人
pediatric	兒科
pediatrics	兒科
pediatrist	兒科醫生
pedicab	三輪車
pedicabs	三輪車
pedicel	花梗
pedicels	花梗
pedicle	椎弓根
pedicled	有蒂的
pedicles	椎弓根
pedicular	椎弓根
pediculate	有蒂的
pediculous	有蒂的
pedicure	修腳
pedicured	修腳
pedicures	修腳
pedicuring	修腳
pedicurist	修腳師
pediform	足狀
pedigree	譜系
pedigreed	有血統的
pedigrees	家譜
pediment	山牆
pedimental	山牆
pedimented	山牆飾
pediments	山牆
pedipalp	須肢
pedipalps	須肢
pedlar	墊片
pedlaries	小販
pedlars	小販
pedlary	踏板
pedler	小販
pedleries	小販
pedlers	小販
pedlery	小販
pedocal	佩多卡爾
pedocalic	腳底的
pedocals	腳部
pedogenic	土壤形成
pedologic	土壤學的
pedologies	土壤學
pedologist	土壤學家
pedology	土壤學
pedometer	計步器
pedometers	計步器
pedophile	戀童癖
pedophiles	戀童癖
pedophilia	戀童癖
pedophilic	戀童癖
pedorthic	矯正器
pedro	佩德羅
pedros	佩德羅斯
peds	行人
peduncle	花梗
peduncled	有花梗的
peduncles	花序梗
peduncular	有花梗的
pee	尿尿
peebeen	皮賓
peebeens	皮賓
peed	小便
peeing	小便
peek	窺視
peekaboo	躲貓貓
peekaboos	躲貓貓
peekapoo	窺視孔
peekapoos	偷看
peeked	偷看了
peeking	偷看
peeks	偷看
peel	果皮
peelable	可剝離
peeled	去皮
peeler	削皮器
peelers	削皮器
peeling	剝落
peelings	去皮
peels	果皮
peen	鎚頭
peened	美好的
peening	噴丸
peens	陰莖
peep	窺視
peeped	偷看
peeper	窺視者
peepers	窺視者
peephole	窺視孔
peepholes	窺視孔
peeping	偷窺
peeps	窺視
peepshow	西洋鏡
peepshows	西洋鏡
peepul	窺視孔
peepuls	皮普爾斯
peer	對等體
peerage	貴族
peerages	貴族
peered	凝視
peeress	貴婦
peeresses	貴族夫人
peerie	皮爾
peeries	貴族們
peering	對等
peerless	絕世
peers	同儕
peery	皮里
pees	小便
peesweep	掃視
peesweeps	掃地
peetweet	嗶嗶
peetweets	推特
peeve	忿怒
peeved	惱怒
peeves	煩惱
peeving	生氣
peevish	脾氣暴躁
peevishly	生氣地
peewee	小便
peewees	小矮人
peewit	小矮人
peewits	小矮人
peg	掛鉤
pegboard	釘板
pegboards	釘板
pegbox	弦軸箱
pegboxes	弦軸箱
pegged	釘住
pegging	掛鉤
peglegged	有腿的
pegless	無釘
peglike	釘狀
pegmatite	偉晶岩
pegmatites	偉晶岩
pegmatitic	偉晶岩
pegs	釘子
peh	佩赫
pehs	佩赫斯
peignoir	浴衣
peignoirs	浴袍
pein	佩恩
peined	佩內​​德
peining	培寧
peins	思考
peise	彷彿
peised	佩塞德
peises	壁爐
peising	壁爐
pejorative	貶義
pekan	星期
pekans	北幹
peke	跳
pekepoo	存錢罐
pekepoos	佩克波
pekes	尖
pekin	北京
pekins	北京
pekoe	白毫
pekoes	白毫
pelage	外套
pelages	外套
pelagial	遠洋的
pelagic	遠洋的
pelagics	遠洋
pele	第一的
pelecypod	盤足類
pelecypods	鞘足類
pelerine	靠墊
pelerines	披風
peles	小鼠
pelf	佩爾費
pelfs	皮爾夫斯
pelican	鵜鶘
pelicans	鵜鶘
pelisse	皮毛
pelisses	皮褂
pelite	泥質岩
pelites	泥質岩
pelitic	泥質
pellagra	糙皮病
pellagras	糙皮病
pellagrin	糙皮菌素
pellagrins	糙皮菌
pellagrous	糙皮病
pellet	顆粒
pelletal	顆粒狀
pelleted	顆粒狀
pelleting	製粒
pelletise	製成顆粒
pelletised	顆粒狀
pelletises	顆粒狀
pelletize	製粒
pelletized	顆粒狀
pelletizer	製粒機
pelletizes	製成顆粒
pellets	顆粒
pellicle	薄膜
pellicles	薄膜
pellitory	咒罵
pellmell	突然
pellmells	混亂
pellucid	透明的
pellucidly	清晰地
pelmet	窗簾盒
pelmets	窗簾盒
pelon	害怕
peloria	佩洛里亞
pelorian	裴洛里安
pelorias	佩洛里亞斯
peloric	皮洛里克
pelorus	裴洛魯斯
peloruses	白俄羅斯
pelota	球
pelotas	球
peloton	主車群
pelotons	排
pelt	皮草
peltast	輕盾
peltasts	輕盾步兵
peltate	盾狀
peltately	盾狀地
peltation	皮皮
peltations	皮爾塔斯
pelted	被毛皮
pelter	敲擊
peltered	被擊打
peltering	木飾
pelters	投擲者
pelting	剝皮
peltless	無皮
peltries	皮草
peltry	生皮
pelts	皮草
pelves	骨盆
pelvic	骨盆
pelvics	骨盆
pelvis	骨盆
pelvises	骨盆
pelycosaur	盤龍類
pembina	導師
pembinas	驅逐艦
pemican	演講
pemicans	魚子醬
pemmican	乾肉餅
pemmicans	乾肉餅
pemoline	匹莫林
pemolines	拋光
pemphigus	天皰瘡
pemphix	天皰瘡
pemphixes	天皰瘡
pen	筆
penal	刑事
penalise	懲罰
penalised	受到處罰
penalises	懲罰
penalising	懲罰
penalities	處罰
penality	懲罰
penalize	懲罰
penalized	受到處罰
penalizes	懲罰
penalizing	懲罰
penally	懲罰性地
penalties	處罰
penalty	懲罰
penance	懺悔
penanced	懺悔
penances	懺悔
penancing	苦行
penang	檳城
penangs	錨
penates	家庭
pence	便士
pencel	鉛筆
pencels	鉛筆
penchant	傾向
penchants	傾向
pencil	鉛筆
penciled	用鉛筆寫成
penciler	鉛筆匠
pencilers	鉛筆畫家
penciling	用鉛筆寫
pencilings	鉛筆畫
pencilled	用鉛筆寫成
penciller	鉛筆匠
pencillers	鉛筆畫家
pencilling	用鉛筆畫
pencils	鉛筆
pend	懸而未決
pendant	期間
pendantly	垂懸地
pendants	吊墜
pended	懸而未決
pendencies	懸而未決的案件
pendency	懸而未決
pendent	懸垂式
pendentive	懸垂式
pendently	懸而未決地
pendents	待辦的
pending	待辦的
pendragon	潘德拉貢
pendragons	潘德拉貢
pends	懸而未決
pendular	擺動式
pendulous	懸垂的
pendulum	擺
pendulums	鐘擺
peneplain	準平原
peneplains	準平原
peneplane	佩內​​普雷
peneplanes	佩內​​普雷
penes	僅僅
penetrable	可穿透
penetralia	內部的
penetrance	滲透力
penetrant	滲透劑
penetrants	穿透
penetrate	穿透
penetrated	滲透
penetrates	滲透
pengo	差距
pengos	疲憊
penguin	企鵝
penguins	企鵝
penholder	筆架
penholders	筆筒
penial	身無分文
penicil	青黴素
penicillia	青黴菌
penicillin	青黴素
penicils	鉛筆
penile	陰莖
peninsula	半島
peninsular	半島
peninsulas	半島
penis	陰莖
penises	陰莖
penitence	懺悔
penitences	懺悔
penitent	懺悔者
penitently	懺悔地
penitents	懺悔者
penknife	小刀
penknives	小刀
penlight	筆燈
penlights	筆燈
penlite	penlite
penlites	彭萊特
penman	筆者
penmanship	書法
penmen	筆門
penna	彭納
pennae	羽毛
penname	羽毛
pennames	羽毛
pennant	三角旗
pennants	三角旗
pennate	羽狀
pennated	羽狀的
penne	通心粉
penned	撰文
penner	鋼筆
penners	彭納斯
penni	筆
pennia	彭尼亞
pennies	便士
penniless	身無分文
pennine	奔寧
pennines	奔寧山脈
penning	彭寧
pennis	翅膀
pennon	三角旗
pennoncel	彭農塞爾
pennoncels	佩農塞爾斯
pennoned	彭諾內德
pennons	旗子
penny	一分錢
pennycress	葎草
pennyroyal	薄荷
pennywise	潘尼懷斯
pennywort	積雪草
pennyworth	便士
pennyworts	積雪草
penoche	佩諾奇
penoches	佩諾什
penologies	刑罰學
penologist	刑罰學家
penology	刑罰學
penoncel	佩農塞爾
penoncels	佩農塞爾斯
penpoint	筆尖
penpoints	筆尖
pens	鋼筆
pensee	想法
pensees	想法
pensil	鉛筆
pensile	牆櫃
pensils	鉛筆
pension	退休金
pensionary	退休人員
pensione	退休金
pensioned	退休
pensioner	退休人員
pensioners	退休人員
pensiones	退休金
pensioning	養老
pensions	退休金
pensive	沉思
pensively	沉思地
penstemon	思維過程
penstemons	釣鐘柳
penster	彭斯特
pensters	彭斯特
penstock	壓力水管
penstocks	壓力水管
pent	被壓抑的
pentacle	五角星
pentacles	五角星
pentad	五元組
pentads	五元組
pentagon	五角大廈
pentagonal	五邊形
pentagons	五角大廈
pentagram	五角星
pentagrams	五角星
pentahedra	五面體
pentamery	五聚體
pentameter	五音步
pentane	戊烷
pentanes	戊烷
pentangle	五角星
pentangles	五角星
pentanol	戊醇
pentanols	戊醇
pentaploid	五倍體
pentarch	五角星
pentarchs	五大主教
pentarchy	五主教區
pentathlon	五項全能
pentatonic	五聲音階
pentene	鋼筆
pentenes	戊烯
penthouse	頂樓公寓
penthouses	頂樓公寓
pentode	五極體
pentodes	五極體
pentomic	五組學
pentosan	戊聚醣
pentosans	戊聚醣
pentose	戊糖
pentoses	戊糖
pentoside	戊糖苷
pentosides	戊糖苷
pentoxide	五氧化物
pentoxides	五氧化物
pentstemon	垂柳
pentyl	戊基
pentyls	戊基
penuche	佩努什
penuches	佩努奇斯
penuchi	羽毛
penuchis	佩努奇斯
penuchle	佩努奇克
penuchles	佩努奇爾斯
penuckle	肘關節
penuckles	手指關節
penult	倒數第二
penultima	倒數第二
penultimas	倒數第二
penults	倒數第二
penumbra	半影
penumbrae	半影
penumbral	半影
penumbras	陰影
penuries	貧窮
penurious	吝嗇的
penury	貧窮
peon	日工
peonage	農奴制
peonages	農奴制
peones	棋子
peonies	牡丹
peonism	農事
peonisms	農事
peons	苦工
peony	牡丹
people	人們
peopled	人口
peoplehood	人民性
peopleless	沒有人
peopler	人民
peoplers	人民
peoples	人民
peopling	人口
pep	活力
peperomia	椒草
peperomias	椒草屬
peperoni	辣椒
peperonis	辣椒
pepino	黃瓜
pepinos	黃瓜
pepla	骨灰
peplos	佩普洛斯
peploses	果凍
peplum	短上衣
peplumed	有羽飾的
peplums	短上衣
peplus	佩普盧斯
pepluses	佩普洛斯
pepo	惡魔
peponida	辣椒目
peponidas	甜椒屬
peponium	胡椒屬
peponiums	胡椒屬
pepos	佩波斯
pepped	充滿活力
pepper	胡椒
pepperbox	胡椒盒
peppercorn	胡椒
peppered	胡椒
pepperer	辣椒
pepperers	胡椒
peppering	胡椒
peppermint	薄荷
pepperoni	義大利辣香腸
pepperonis	義大利辣味香腸
peppers	辣椒
peppertree	胡椒樹
peppery	胡椒
peppier	更有活力
peppiest	最有活力的
peppily	活潑地
peppiness	活力
pepping	胡椒
peppy	充滿活力的
peps	活力
pepsin	胃蛋白酶
pepsinate	胃蛋白酶酸鹽
pepsinated	胃蛋白酶
pepsinates	胃蛋白酶酸鹽
pepsine	胃蛋白酶
pepsines	胃蛋白酶
pepsinogen	胃蛋白酶原
pepsins	胃蛋白酶
peptalk	鼓舞人心的演講
peptalked	鼓舞人心的
peptalking	鼓舞士氣的演講
peptalks	鼓舞士氣的演講
peptic	消化性
peptics	消化劑
peptid	勝肽
peptidase	肽酶
peptidases	肽酶
peptide	勝肽
peptides	勝肽
peptidic	勝肽類
peptids	勝肽
peptize	膠溶
peptized	膠溶的
peptizer	膠溶劑
peptizers	膠溶劑
peptizes	膠溶
peptizing	膠溶
peptone	蛋白腖
peptones	蛋白腖
peptonic	腖
peptonize	腖化
peptonized	腖化
peptonizes	腖化
per	每
peracid	過酸
peracids	過酸
perborate	過硼酸鹽
perborates	過硼酸鹽
percale	高級細布
percales	福利
percaline	貝卡林
percalines	貝卡林
perceive	感知
perceived	感知
perceiver	感知者
perceivers	感知者
perceives	察覺到
perceiving	感知
percent	百分比
percentage	百分比
percental	百分比
percentile	百分位數
percents	百分比
percept	感知
perception	洞察力
perceptive	有感知的
percepts	感知
perceptual	知覺的
perch	棲息
perchance	或許
perched	棲息
percher	棲息
perchers	棲息者
perches	棲木
perching	棲息
percipient	他們會察覺
percoid	鱸形目
percoids	鱸形目
percolate	濾
percolated	滲透的
percolates	滲透
percolator	滲濾器
percuss	敲擊
percussed	敲擊
percusses	打擊樂
percussing	敲擊
percussion	打擊樂器
percussive	敲擊的
percussor	前鋒
percussors	打擊樂器
perdie	我輸了
perdition	毀滅
perditions	毀滅
perdu	遺失的
perdue	珀杜
perdues	遺失的
perdurable	持久
perdurably	持久地
perdure	持續
perdured	持續
perdures	忍受
perduring	持續
perdus	遺失的
perdy	佩爾迪
pere	佩雷
perea	佩雷亞
peregrin	遊擊隊員
peregrine	遊隼
peregrines	遊隼
peregrins	朝聖者
pereia	佩雷亞
pereion	佩雷翁
pereions	佩雷翁斯
pereiopod	步足類
pereiopods	步足類
peremptory	蠻橫
perennate	多年生
perennated	多年生的
perennates	多年生植物
perennial	多年生
perennials	多年生植物
pereon	厄運
pereons	淪
pereopod	足足類
pereopods	足足類
peres	佩雷斯
perfect	完美的
perfecta	完美的
perfectas	完美的
perfected	完善
perfecter	完美主義者
perfecters	完美主義者
perfectest	最完美
perfecting	完善
perfection	完美
perfective	完成體
perfectly	完美
perfecto	完美的
perfectos	完美的
perfects	完美
perfervid	非常熱
perfidies	背信棄義
perfidious	背信棄義
perfidy	背信棄義
perfoliate	穿孔
perforate	穿孔
perforated	穿孔
perforates	穿孔
perforator	穿孔器
perforce	被迫
perform	執行
performed	執行
performer	演員
performers	表演者
performing	表演
performs	執行
perfume	香水
perfumed	香
perfumer	調香師
perfumers	調香師
perfumery	香水
perfumes	香水
perfuming	香水
perfumy	香水
perfusate	灌注液
perfusates	灌注液
perfuse	灌注
perfused	灌注
perfuses	灌注
perfusing	灌注
perfusion	灌注
perfusions	點滴
perfusive	灌注性
pergola	涼亭
pergolas	涼亭
perhaps	也許
perhapses	也許
peri	佩里
perianth	花被
perianths	花被
periapses	近拱點
periapsis	非常接近
periapt	護身符
periapts	護身符
periblem	淪
periblems	危險
pericardia	心包
pericarp	果皮
pericarps	果皮
pericopae	佩里科佩斯
pericopal	周圍
pericope	章節
pericopes	佩里科佩斯
pericopic	旁視
pericrania	腦髓
pericycle	中柱鞘
pericycles	中柱鞘
pericyclic	週環
periderm	週皮
periderms	週皮
peridia	包皮屬
peridial	期刊
peridium	破壞
peridot	橄欖石
peridotic	橄欖岩
peridotite	橄欖岩
peridots	橄欖石
perigeal	帕里蓋爾
perigean	佩里格
perigee	近地點
perigees	近地點
perigon	周界
perigons	危險
perigynies	圍產期
perigynous	雌雄同體
perigyny	周圍雌性
perihelia	近日點
perihelial	近日點
perihelion	近日點
perikarya	藝術品
perikaryal	核週細胞
perikaryon	核週體
peril	危險
periled	處於危險之中
periling	循環
perilla	旋鈕
perillas	旋鈕
perilled	危險
perilling	危險
perilous	危險的
perilously	危險地
perils	危險
perilune	近月面
perilunes	近月面
perilymph	外淋巴
perilymphs	外淋巴
perimeter	週長
perimeters	周界
perimetry	視野檢查
perimorph	近形態
perimorphs	近形目
perimysia	肌束膜炎
perimysium	肌束膜
perinatal	圍產期
perinea	會陰
perineal	會陰
perineum	會陰
perineuria	神經束膜
period	時期
periodate	高碘酸鹽
periodates	高碘酸鹽
periodic	定期
periodical	期刊
periodid	期間
periodids	週期蟲
periods	期間
periostea	骨膜
periosteal	骨膜
periosteum	骨膜
periotic	牙周病
peripatus	寵壞
peripeteia	轉折
peripetia	滄桑
peripetias	滄桑
peripeties	滄桑
peripety	轉折點
peripheral	週邊設備
periphery	週邊
periphytic	附生植物
periphyton	附生生物
periplasm	週質
periplasms	週質
periplast	週質體
periplasts	週質體
peripter	圍裙
peripters	圍牆修士
perique	非常
periques	佩里克斯
peris	佩里斯
perisarc	周圍
perisarcs	周圍
periscope	潛望鏡
periscopes	潛望鏡
periscopic	潛望鏡
perish	淪
perishable	易腐爛
perished	滅亡
perishes	消亡
perishing	消亡
peristome	唇
peristomes	唇
peristyle	柱廊
peristyles	柱廊
perithecia	子囊殼
periti	專家
peritonea	腹膜
peritoneal	腹膜
peritoneum	腹膜
peritrich	外壁毛
peritricha	圍毛
peritrichs	圍毛蟲
peritus	專家
periwig	假髮
periwigged	戴假髮
periwigs	假髮
periwinkle	長春花
perjure	偽證
perjured	偽證
perjurer	偽證
perjurers	作偽證的人
perjures	作偽證
perjuries	偽證罪
perjuring	作偽證
perjurious	作偽證
perjury	偽證
perk	振作
perked	振作起來
perkier	活潑的
perkiest	最活潑的
perkily	活潑的
perkiness	活潑
perking	佩金
perkish	根據
perks	福利
perky	活潑的
perlite	珍珠岩
perlites	珍珠岩
perlitic	珍珠岩
perm	燙髮
permafrost	永凍土
permalloy	坡莫合金
permalloys	坡莫合金
permanence	持久性
permanency	永久
permanent	永恆的
permanents	永恆的
permeable	透水
permeably	透水地
permeance	滲透性
permeances	滲透性
permeant	永久的
permease	通透酶
permeases	通透酶
permeate	滲透
permeated	滲透
permeates	滲透
permeating	滲透
permeation	滲透
permeative	滲透性
permeator	滲透器
permeators	滲透劑
permed	燙髮
permethrin	氯菊酯
permian	二疊紀
permillage	千分率
perming	永恆的
permission	允許
permissive	寬容
permit	允許
permits	許可證
permitted	允許
permittee	持證人
permittees	許可證持有者
permitter	允許
permitters	授權人
permitting	允許
perms	燙髮
permutable	可置換
permute	交易所
permuted	排列
permutes	掉期
permuting	置換
pernicious	有害
pernickety	過度挑剔
pernio	凍瘡
perniones	佩尼翁斯
pernod	保樂力加
pernods	保樂力加
peroneal	腓骨
peroral	口服
perorally	口服
perorate	結束語
perorated	結束
perorates	過長
perorating	結束語
peroration	結束語
perorator	演說者
perorators	演說者
perovskite	鈣鈦礦
peroxid	過氧化物
peroxidase	過氧化物酶
peroxide	過氧化物
peroxided	過氧化
peroxides	過氧化物
peroxidic	過氧化物酶
peroxiding	過氧化
peroxids	過氧化物
peroxisome	過氧化物酶體
peroxy	過氧化物
perp	罪犯
perpend	垂直
perpended	垂直
perpending	懸而未決
perpends	垂直
perpent	佩彭特
perpents	蛇類
perpetrate	犯
perpetual	永久
perpetuals	永久物
perpetuate	延續
perpetuity	永久
perplex	困擾
perplexed	困惑
perplexer	困惑者
perplexers	困惑者
perplexes	困惑
perplexing	令人困惑的
perplexity	困惑
perps	罪犯
perquisite	津貼
perries	佩里
perron	佩龍
perrons	平台
perry	佩里
persalt	鹽
persalts	過酸鹽
perse	遺失的
persecute	迫害
persecuted	被迫害
persecutee	受迫害者
persecutes	迫害
persecutor	迫害者
perses	波斯人
persevere	堅持
persevered	堅持不懈
perseveres	堅持不懈
persiflage	嘲諷
persimmon	柿子
persimmons	柿子
persist	堅持
persisted	持續
persistent	執著的
persister	堅持
persisters	堅持者
persisting	堅持
persists	持續
person	人
persona	人
personable	風度翩翩
personae	人物
personage	人士
personages	人物
personal	個人的
personally	親自
personals	個人的
personalty	個性
personas	人們
personate	扮演
personated	化身為
personates	扮演角色
personator	扮演者
personhood	人格
personify	擬人化
personnel	人員
personnels	個人的
persons	人
perspex	有機玻璃
perspexes	有機玻璃
perspire	流汗
perspired	流汗
perspires	流汗
perspiring	流汗
perspiry	流汗
persuade	說服
persuaded	說服
persuader	說服
persuaders	勸說者
persuades	說服
persuading	說服
persuasion	勸說
persuasive	有說服力
pert	珀特
pertain	屬於
pertained	涉及
pertaining	有關的
pertains	涉及
perter	糟糕地
pertest	洛斯特
pertinence	關聯
pertinency	針對性
pertinent	切題
pertly	活潑地
pertness	活潑
pertnesses	弱點
perturb	擾亂
perturbed	忐忑
perturber	打擾
perturbers	擾亂者
perturbing	令人不安
perturbs	打擾
pertussal	咳嗽
pertusses	百日咳
pertussis	百日咳
peruke	假髮
peruked	戴假髮
perukes	假髮
perusable	可閱讀
perusal	細讀
perusals	細讀
peruse	細讀
perused	細讀
peruser	細讀者
perusers	讀者
peruses	細讀
perusing	細讀
perv	變態
pervade	遍及
pervaded	瀰漫
pervader	遍及者
pervaders	滲透者
pervades	遍及
pervading	普遍
pervasion	擴散
pervasions	侵擾
pervasive	普遍的
perverse	反常的
perversely	反常地
perversion	變態
perversity	異常
perversive	反常的
pervert	變態
perverted	變態
perverter	變態
perverters	變態
perverting	扭曲
perverts	變態
pervious	透水
pervs	變態
pes	聚乙烯亞胺
pesade	巢穴
pesades	重的
peseta	比塞塔
pesetas	比塞塔
pesewa	佩塞瓦
pesewas	和平報
peskier	害蟲
peskiest	最討厭的
peskily	令人厭煩地
peskiness	討厭
pesky	討厭的
peso	重量
pesos	比索
pessaries	陰道栓劑
pessary	子宮托
pessimism	悲觀主義
pessimisms	悲觀主義
pessimist	悲觀主義者
pessimists	悲觀主義者
pest	害蟲
pester	糾纏
pestered	被糾纏
pesterer	騷擾
pesterers	騷擾者
pestering	糾纏
pesters	霸凌者
pesthole	瘟疫洞
pestholes	瘟疫洞
pesthouse	傳染病防治所
pesthouses	疫病防治所
pesticide	農藥
pesticides	農藥
pestier	佩斯蒂爾
pestiest	最有害的
pestilence	瘟疫
pestilent	瘟疫
pestle	杵
pestled	搗碎的
pestles	杵
pestling	研杵
pesto	香蒜醬
pestos	香蒜醬
pests	害蟲
pesty	洗淨
pet	寵物
petabyte	PB 級
petabytes	PB 級
petahertz	拍赫茲
petal	花瓣
petaled	花瓣狀
petaline	花瓣狀
petalled	花瓣狀
petallike	花瓣狀
petalodies	花瓣狀
petalody	花瓣狀
petaloid	花瓣狀
petalous	花瓣
petals	花瓣
petard	鞭炮
petards	爆竹
petasos	佩塔索斯
petasoses	佩塔索斯
petasus	佩塔蘇斯
petasuses	佩塔蘇斯
petcock	旋塞閥
petcocks	旋塞閥
petechia	瘀點
petechiae	瘀點
petechial	瘀點
peter	彼得
petered	彼得
petering	彼得
peters	彼得斯
petiolar	葉柄
petiolate	有葉柄的
petiole	葉柄
petioled	有葉柄的
petioles	葉柄
petiolule	小葉柄
petiolules	小葉柄
petit	小的
petite	小的
petiteness	嬌小
petites	小的
petition	請願
petitioned	請願
petitioner	請願人
petitions	請願書
petnap	佩特納普
petnaper	寵物捕捉者
petnapers	寵物
petnaping	綁架寵物
petnapings	佩特納平斯
petnapped	被綁架
petnapper	寵物綁架者
petnappers	寵物綁架者
petnapping	綁架寵物
petnaps	寵物小憩
petrale	佩特拉萊
petrales	佩特拉萊斯
petrel	海燕
petrels	海燕
petrified	石化
petrifier	石化者
petrifiers	石化者
petrifies	石化
petrify	石化
petrifying	石化
petrogeny	岩石形成學
petroglyph	岩畫
petrol	汽油
petrolatum	凡士林
petroleum	石油
petroleums	石油
petrolic	汽油的
petrologic	岩石學的
petrology	岩石學
petrols	汽油
petronel	石油
petronels	石油公司
petrosal	岩鹽
petrous	岩部
pets	寵物
petsai	寵物
petsais	寵物
pettable	可寵物
petted	撫摸
pettedly	輕率地
petter	彼得
petters	彼得
petti	乳房
petticoat	襯裙
petticoats	襯裙
pettier	珀蒂爾
pettiest	最瑣碎的
pettifog	吹毛求疵
pettifogs	吹毛求疵
pettily	小氣地
pettiness	瑣碎
petting	撫摸
pettings	撫摸
pettish	脾氣暴躁
pettishly	脾氣暴躁地
pettitoes	襯裙
pettle	佩特爾
pettled	被寵壞的
pettles	佩特爾斯
pettling	撫摸
petto	胸部
petty	小氣
petulance	性急
petulances	任性
petulancy	性急
petulant	脾氣暴躁
petulantly	生氣地
petunia	矮牽牛
petunias	矮牽牛
petuntse	乞丐
petuntses	你問的是
petuntze	乞丐
petuntzes	你問的是
pew	座位
pewee	佩威
pewees	矮腳雞
pewholder	教堂主持
pewholders	教堂持有者
pewit	佩威特
pewits	佩維特
pews	長椅
pewter	鋂
pewterer	錫鑞匠
pewterers	錫鑞匠
pewters	鋂
peyote	佩尤特
peyotes	佩奧特
peyotl	佩尤特
peyotls	佩約特
peytral	佩特拉爾
peytrals	佩特拉爾斯
peytrel	佩特雷爾
peytrels	佩特雷爾
pfennig	芬尼
pfennige	便士
pfennigs	芬尼
pfft	噗——
pfui	呸
phaeton	輝騰
phaetons	輝騰
phage	噬菌體
phagedena	噬菌體
phagedenas	噬菌體
phages	噬菌體
phagocyte	吞噬細胞
phagocytes	吞噬細胞
phagocytic	吞噬細胞
phagosome	吞噬體
phagosomes	吞噬體
phalangal	指骨
phalange	方陣
phalangeal	指骨
phalanger	法蘭格
phalangers	法朗格爾
phalanges	指骨
phalanx	方陣
phalanxes	方陣
phalarope	瓣蹼鷸
phalaropes	瓣蹼鷸
phalli	陰莖
phallic	陽具的
phallicism	陽具崇拜
phallism	陽具崇拜
phallisms	陽具
phallist	陽具主義者
phallists	陽具主義者
phallus	陰莖
phalluses	陰莖
phanerogam	顯花植物
phantasied	幻想出來的
phantasies	幻想
phantasm	幻象
phantasma	幻象
phantasmal	幻影般的
phantasmic	幻影般的
phantasms	幻象
phantast	幻境
phantasts	幻想家
phantasy	幻想
phantom	幻影
phantoms	幻影
pharaoh	法老
pharaohs	法老
pharaonic	法老的
pharisaic	法利賽人
pharisaism	法利賽主義
pharisee	法利賽人
pharisees	法利賽人
pharmacies	藥局
pharmacist	藥師
pharmacy	藥局
pharming	網路釣魚
pharmings	域名註冊
pharos	燈塔
pharoses	光子學
pharyngal	喉嚨
pharyngals	喉嚨
pharyngeal	咽部
pharynges	咽部
pharynx	咽
pharynxes	喉嚨
phase	階段
phaseal	階段性
phased	分階段
phasedown	逐步淘汰
phasedowns	逐步淘汰
phaseout	逐步淘汰
phaseouts	逐步淘汰
phases	階段
phasic	相位的
phasing	定相
phasis	階段
phasmid	噬菌體
phasmids	噬菌體
phat	柏
phatic	寒暄的
phatically	寒暄地
phatter	喋喋不休
phattest	phattest
pheasant	野雞
pheasants	雉雞
phellem	菲勒姆
phellems	木栓
phelloderm	栓皮屬
phellogen	木栓形成層
phellogens	木栓形成層
phelonia	菲洛尼亞
phelonion	菲洛尼翁
phelonions	鰩子
phenacaine	非那卡因
phenacetin	非那西丁
phenacite	磷灰石
phenacites	磷灰石
phenakite	銅鋼
phenakites	磷灰石
phenate	酚鹽
phenates	酚鹽
phenazin	吩嗪
phenazine	吩嗪
phenazines	吩嗪類
phenazins	吩嗪類
phenetic	表象的
phenetics	表型學
phenetol	苯乙醇
phenetole	苯乙醚
phenetoles	苯乙酮類
phenetols	苯乙醇
phenix	鳳凰
phenixes	鳳凰
phenocopy	表型複製
phenocryst	斑晶
phenol	苯酚
phenolate	酚鹽
phenolated	酚化
phenolates	酚鹽
phenolic	酚醛樹脂
phenolics	酚類物質
phenology	物候學
phenols	酚類
phenom	現象
phenomena	現象
phenomenal	非凡的
phenomenas	現象
phenomenon	現象
phenoms	現象
phenotype	表型
phenotypes	表型
phenotypic	表型的
phenoxide	苯氧化物
phenoxides	苯氧化物
phenoxy	苯氧基
phenyl	苯基
phenylene	亞苯基
phenylenes	苯撐
phenylic	苯基
phenyls	苯基
phenytoin	苯妥英
phenytoins	苯妥英
phereses	費雪
pheresis	血液分離術
pheromonal	信息素
pheromone	信息素
pheromones	信息素
phew	呼
phi	披
phial	小瓶
phials	小瓶
philabeg	菲拉貝格
philabegs	菲拉貝格
philander	風流人物
philanders	浪蕩子
philatelic	集郵的
philately	集郵
philibeg	菲利貝格
philibegs	菲利貝格
philippic	菲利普
philippics	飛利浦
philistia	非利士
philistias	非利士人
philistine	庸俗
philogyny	菲洛格尼
philology	語言文學
philomel	菲洛梅爾
philomela	菲洛梅拉
philomelas	菲洛梅拉斯
philomels	菲洛梅斯
philosophe	哲學家
philosophy	哲學
philter	魔藥
philtered	被污染的
philtering	淫蕩
philters	淫羊藿
philtra	菲特拉
philtre	篩選
philtred	菲特雷德
philtres	春藥
philtring	菲爾特林
philtrum	春藥
phimoses	包莖
phimosis	包莖
phimotic	附肢
phis	菲斯
phiz	物理
phizes	鳳
phlebitic	靜脈炎
phlebitis	靜脈炎
phlebogram	靜脈造影
phlebology	靜脈學
phlebotomy	放血
phlegm	痰
phlegmatic	冷靜的
phlegmier	痰液
phlegmiest	痰多
phlegms	痰
phlegmy	痰
phloem	韌皮部
