de	of
superfluidad	superfluity
superflua	superfluous
superflu	superfluous
superen	overcome
superarlas	overcome them
superabundantes	superabundant
supastoria	superstition
sumérjanlo	sumerian
sumándose	joining
sumuger	suger
summas	amounts
summario	summary
summaria	summaries
sumió	plunged
suministrarme	supply me
suministran	supply
suministrador	supplier
suministraban	supplied
suministraba	supplied
sumieron	sumiero
sumerio	Sumerian
sumerias	Sumerians
sumergir	immerse
sumergidas	submerged
sumerges	you submerge
sumaste	you added
sumasiz	without amount
sumas	amount
sumarán	will add up
sumará	will add up
sumarido	herhusband
sumados	added together
sumadas	added together
sumacion	summation
sultauan	I'm going to die
sultaron	sultan
sulfuro	sulfide
sulco	groove
sul	on the
sujétese	hold on
sujétenlas	hold them
sujétenla	hold her
sujétalas	subjected
sujetẽ	subject
sujeté	frivolous
sujetãdole	down below
sujetáronlos	they held them
sujetense	hold on
sujetemos	let's hold on
sujetasteis	you held
sujecta	subject
suincredulidad	their disbelief
suiectado	Suicided
sui	on
suhamita	the sun
suhal	Suhal
suhabla	subabla
sugrandeza	supremacy
suglorioso	suggestive
sugitiuo	suggest
sugiriendo	suggesting
sugieres	you suggest
sugerís	you suggest
sugerían	They suggested
sugerí	I suggested
sugerirles	suggest to them
sugerirle	suggest to you
sufrẽ	Sufre
sufriríamos	we would suffer
sufragaron	voted
suffriẽdo	suffering
suffristes	sufferers
suffriré	I will suffer
suffrirán	will suffer
suffrirlo	endure it
suffrirlahé	I suffered
suffrieſſe	suffer
suffrida	suffer
suffria	suffer
suffres	suffers
sufficientes	sufficient
sufficiente	sufficient
sufanita	mysticism
sufamita	Sufamite
suerua	Suera
suere	to sew
suerba	serba
suelẽhazer	happy to do
sueltate	let go
sudaderos	sweatpants
suculencia	succulence
sucriado	servant
suceſſores	successors
sucessiõ	succession
sucedí	I happened
sucedió'	happened'
sucediesen	happened
sucediendole	happening to him
sucederlo	succeed him
sucedenle	happen to him
sucedelé	I happened to him
suce	suck
succeſſos	success
successiõ	success
succes	success
succedido	happened
succeder	to happen
succedeles	happens
subîa	subia
subís	you go up
subíase	got on
subyugarlos	subjugate them
subyugada	subjugated
subvierte	subordinated
subuertió	subdued
subterráneos	underground
substituía	replaced
substancia	substance
subsiguientes	subsequent
suborno	bribe
subornarõ	bribe
subornan	suborn
subornado	bribed
sublevaciones	uprisings
subjeto	subject
subjetarlos	subject them
subjetaran	will subject
subjetar	subject
subjetando	subjecting
subjetan	subject
subjetada	subjected
subjectos	subjects
subjecta	subject
subiõ	Subiõ
subiêre	subiere
subitáneamente	suddenly
subirà	will rise
subirlas	upload them
subire	go up
subijo	subija
subieronlo	they uploaded it
subiero	I climbed
subienbo	I climb up
subiectãdolo	the subject
subidó	uploaded
subidla	let's eat
subiase	climbed up
subestime	underestimate
subdivisiones	subdivisions
subdividido	subdivided
subdito	subject
subaptismo	subbaptism
subalterno	subordinate
suavizará	will soften
suavizante	softener
suavizando	softening
suavicen	smooth
suaué	Suaué
suauiſsima	very sweet
stó	stood
strã	straw
stres	stress
strañarõ	strangers
stras	rhinestones
strado	street
stina	stint
stephania	Stephanie
stedes	here
stater	states
stando	standing
stado	herd
stacte	static
spues	speaking
spirar	sprouts
spiraciones	breaths
speras	you hope
soñábamos	We dreamed
soñasteis	you dreamed
sou	on
sotos	basements
sosténlo	hold it
sostuviese	held
sostenéis	you hold
sostenlos	hold them
sosteniéndole	holding him
sostendran	will hold
sossiego	sossi
sossegó	quiet
sossegará	will calm down
sossegar	calm down
sossegados	calm
sossegado	quiet
sospiré	I sighed
sospirã	sigh
sospirarán	will sigh
sospiraron	they sighed
sospirando	sighing
sospiran	sigh
sospechaua	suspected
sospechará	will suspect
soslayan	they ignore
sosegóse	his cousin
sorçado	forked
soruió	sucked
soruido	sad
sortiſsima	very lucky
sortisicãdoſe	sortiexicadose
sortificó	sorted
sortifica	sortify
sorteada	drawn
sorprendían	surprised
sorprendiéndole	surprising him
sorprendidas	surprised
sorprendernos	surprise us
sorprendamos	let's surprise
soro	difficult
sornicaciõ	sneer
sorma	Don't ask
sorgo	sorghum
sorek	afternoon
sordosoyẽ	deaf and deaf
sordera	deafness
sorbos	sips
sorbiéndola	sipping it
sorber	drink
sorara	ask
sor	beer
soportemos	let's support
soportarme	bear with me
soportare	I will endure
soportara	will endure
soplé	sople
soplàre	to blow
soplido	whisper
soplaſſe	soplaſse
soplarán	will blow
sopesó	soapy water
sonríen	they smile
sonrían	smile
sonrojarás	you will blush
sonrojados	blushing
sonrisita	little smile
sonrieron	They smiled
sonriera	smile
sonriendo	smiling
sonreíste	you smiled
sonreírle	smile at him
sonpalabras	word of mouth
sonoras	sound
sondenado	sounding
sonarse	sonar
sonaran	they will ring
sonantes	sounding
somételo	submit it
sométase	sometimes
somnolientos	sleepy
somnolientas	sleepy
somnolencia	sleepiness
sometán	sometan
sometiéndoos	submitting yourselves
sometiendo	submitting
someterla	submit it
sombrío’	gloomy'
sombrios	dark
sombreritos	little hats
sombrasdel	shadowsof
solẽnes	solemn
solẽ	the sun
solíamos	we used to
soluciõ	solution
solucionará	will solve
soltóle	from salt
soltura	release
solterona	spinster
soltemos	let's release
soltauã	let go
soltaua	Soltaua
soltarían	would release
soltaroshá	let go
soltarlohé	let go of it
soltarloha	let it go
soltaria	would release
soltareys	you will release
soltadas	released
solo error	just mistake
sollozaré	I will sob
sollozarán	will sob
sollozante	sobbing
sollozaba	sobbed
soliã	Solian
solieitos	solietos
solidifica	solidifies
solidarizasteis	you showed solidarity
solidarizaron	they showed solidarity
solidarizan	they show solidarity
solicîten	request
solicitaſſen	requested
solicitaſſe	request
solicitarles	request them
solicitara	requested
solicitamente	solicitously
solici	request
soleñidad	loneliness
solenidades	solemnities
solemniſsimo	most solemn
solemnizar	solemnize
soldarà	will soldier
soldarle	weld it
soldadesca	soldiery
solazó	solaced
solazarse	to take pleasure in
solazarme	to solace myself
solares	solar
solapada	overlapping
solamento	only
solada	solid
sojúzguenla	subdue her
soféret	driver
sofocarlo	smother it
sofocan	heartburn
sofar	so far
soez	profane
soecorro	help
sodomítico	sodomitic
socórrenos	help us
socialmente	socially
soccorreme	help me
soccorra	help
socavones	sinkholes
socavados	undermined
sobrè	sober
sobroles	overflows
sobro	left over
sobrevivirías	you would survive
sobrevivirás	you will survive
sobrevivimos	We survived
sobrevivieren	survived
sobreviviere	I will survive
sobreviviendo	surviving
sobreviniera	came about
sobrevienen	come upon
sobrevenirle	come upon him
sobrevendría	would occur
sobretodos	above all
sobresalte	startle
sobrepujaste	you outbid
sobrepujan	outbid
sobrepuestos	superimposed
sobreponte	overbridge
sobrepone	superimposes
sobrepasaste	you surpassed
sobremesa	dessert
sobrellevarán	will bear
sobrellevarlos	cope with them
sobrellevad	bear with
sobrefaz	overflows
sobrecogerá	will overwhelm
sobrecogedora	overwhelming
sobrecargar	overburden
sobrecargados	overloaded
sobrecargado	overloaded
sobreaviso	on notice
sobreabundaba	overabundant
sobrara	left over
sobrada	townhouse
sobornándoles	bribing them
sobornaste	you bribed
soberuecieronſe	save yourself
soberana’	sovereign'
soberanas	sovereign
soberaia	sovereign
sobedecedores	subordinates
soba	room
snlas	snla
snerte	snarky
smo	we are
siſsimo	yes very much
siõ	no
sió	sion
siéte	seven
siéntese	sit down
siémbrenlas	siembrelas
siyo	it is not
situaremos	we will place
sitos	sites
sitiemos	let's besiege
sitiador	besieger
sitados	cited
sistemáticamente	systematically
siríacos	Syriacs
sirvámosles’	sirvámosles'
sirviéreis	you will serve
sirvieras	you served
sirven’	serve'
sirva’	serve'
siruieſſe	reach out
siruieronles	served them
siruieren	to whisper
siruientes	servants
siruiendolos	serving them
siruiendoles	serving them
siruiendole	serving him
sirueme	in Syria
siru	chip
sirnan	systematically
sirmes	Sirmes
sirados	closed
siquenita	syquenita
sios	down
sinéla	sinela
sinuosas	winding
sinuosa	sinuous
sintonía	tuning
sintiẽdolo	we are kneeling
sintiéndome	feeling myself
sinti	Sinti
sinode	synod
singulariſsimo	very singular
singularissimas	the most unique
singularidad	singularity
singu	one by one
singió	singed
singir	charged
singida	i don't go
sineero	sinero
sine	theirs
sinch	since
sincau	sinks
sinarlahan	illuminated
sinada	fornication
sina	theirs
simíente	Simiente
simétricas	symmetrical
simuló	simulated
simulãdo	simulado
simulaſſen	the simulation
simulauã	simulated
simulan	start
simulacion	simulation
simula	beginning
simpatizaba	sympathized
simpatiza	sympathizes
simo	situation
simma	swim
simiéte	simiete
simiènte	seed
simis	apes
simiestra	monkey master
simeítas	simity
simeíta	Simite
simesmos	ourselves
simboloque	symbol
simbolizaría	would symbolize
simbolizarás	you will symbolize
simbolizarán	will symbolize
simbolizará	will symbolize
siluarõ	smoothing
siluarán	will silhouette
siluara	torpedoes
siluados	silhouetted
silençio	Silencio
silenita	silent
silencie	silence
silenciaste	you silenced
silemita	siled
sile	behind
silbó	silbo
silbaron	they whistled
silbaban	dress up
siguras	sure
siguióle	followed him
siguiéndoles	following them
siguierõlos	followed them
siguierõle	followed him
siguieronlos	they followed them
siguieronla	they followed her
siguieroncon	they continued with
siguieren	followed
sigui	be it
sigue’	go on'
siguelo	follow him
siguelas	follow them
siguela	follow her
sigue'	go on'
sigoàl	follow him
sigos	I follow you
significã	mean
significaua	meaningful
significarás	you will mean
significamos	we mean
significaciones	meanings
significacion	significance
signaron	signed
sieté	sit down
sietevezes	net haulage
sieteojos	network
sietecientas	seven hundred
siestas	naps
siescientos	six hundred
sies	is said
siervieron	served
sierna	the seers
sientẽ	super
siendome	being me
siendolo	being it
siempregozos	alwaysjoys
siemprcaparejados	alwayspaired
siegaviene	in one place
siega'	harvest'
siedo	I sit
sie	she
sido’	been'
siderando	Staring
sicomoro	sycamore
sicando	section
siador	sealer
sia	is
shoked	shocked
señâlo	signal
señuelo	lure
señor’	Sir'
señorviniere	sir come
señoritas	Ladies
señorios	lordships
señorias	Ladies and gentlemen
señoriales	stately
señoreé	I ruled
señoreándolos	lording it over them
señorees	gentlemen
señoreauan	lordship
señoreasen	lorded it over
señorearás	you will rule
señoreandolos	lording it over them
señoreamos	we lord over
señoreado	lorded
seño	breast
señarlas	point them out
señarhos	to teach you
señaren	of seña
señaran	they pointed out
señar	to point
señandohos	pointing at you
señal’	sign'
señalô	he pointed
señalãdo	indicated
señaláres	you will point out
señalándote	pointing at you
señalándola	pointing at her
señalàre	point out
señalde	signal
señalate	point out
señalas	you point out
señalarõ	they pointed out
señalaría	would point out
señalaros	point you out
señalarme	point me out
señalaremos	We will point out
señalandole	pointing at him
señalalos	point them out
señalala	point it out
seá	yes
seysena	Seysena
sexagésima	sexagesima
sevá	sows
sevirá	will be
seuidor	yours
seueró	he died
seteta	set
setedá	sitting here
sete	seven
sesentauan	sixty-one
sesentaron	sixty
ses	his
serón	pannier
serálo	seralo
seràs	you will be
servías	you served
servirías	would you serve
servidores’	servers'
servidlo	serve you
servicio’	service'
seruos	servants
seruiuireys	seriuireys
seruistes	servants
seruiste	you served
seruis	servants
seruirã	lock
seruiràs	you will close
seruirse	to serve
seruirleshán	seruirleshan
seruirle	serve him
seruiriamos	let's serve
seruiria	locks
seruildes	serfs
seruidum	a servant
seruidos	serruidos
seruicto	after the service
seruianle	service
seruiales	secret
seruen	serve
seruancia	call for help
seruado	seruated
seru	exciting
sersabios	be wise
serrador	sawyer
serpîentes	serpientes
serpios	snakes
serpien	snake
sernid	serns
sermõ	speech
serleshé	beleshé
serleshás	you have been
serleshà	be slain
serla	be it
seriamos	we would be
sererenidad	serenity
seregeaua	army
seranle	they will be
seracõ	it will be
sequitó	entourage
sequitarán	will be removed
sequioso	following
sequiosa	following
sequera	even
sequem	dry
sequeda	dry
sepárenlo	paired
sepultêla	bury her
sepultáronlos	sepultarónlos
sepultrado	buried
sepultaſſen	buried
sepultarõla	shoulder strap
sepultarían	would bury
sepultaronlos	they buried them
sepultarmehas	bury me
sepultalda	buried
sepultadas	buried
sepulero	I will bury
sepulcho	grave
sepul	grave
separándola	separating it
separaste	you separated
separarle	separate him
separaos	separate
sepacificó	pacified
seos	connection
seo	this
sentẽciosa	sentimental
sentãdo	sitting
sentâre	sentare
sentáren	sit down
sentáre	centar
sentándolos	sitting them down
sentándole	sitting him down
sentábame	I sat down
sentiã	sent
sentis	felt
sentiríamos	we would feel
sentirán asco	They will feel disgust
sentian	feel
senti	felt
senteta	Senta
sentençiados	sentenced
sentenciosas	sententious
sentenciosa	sententious
sentenciaste	you sentenced
sentenciarán	will sentence
sentenciarlos	sentence them
sentenciaran	they will sentence
sentenciandolos	sentencing them
sentenciadas	sentenced
sentaſſe	sit down
sentauamos	thank you
sentaráse	will sit down
sentarsehã	will sit down
sentarsehan	they sat down
sentan	they sit
sentacion	sitting
senta	sit down
sensitiuos	sensitive
sencia	essence
senalasele	we have left
senalaron	sign
senados	senates
semẽtera	Semester
sempiternos	narrow-minded
semos	we are
semjante	similar
semioscuras	semi-dark
seminario	seminar
semidaíta	semi-daily
semicírculo	semicircle
semejãnça	similarity
semejã	similar
semejantemẽte	similarly
semehan	seminary
sembrays	seems
sembraste’	you seemed'
sembrarõ	I will seem
sembraríamos	we would sow
sembraréla	it will seem like it
sembrarè	seem
sembrarloshé	seem like it
sembrarlahé	to seem like it
sembraras	you will seem
sembradío	it seems
semanalmente	weekly
semanales	weekly
seloha	seal
seloboluerás	you will be lucky
sellegáre	to saddle up
sellegarõ	with that
sellarás	you will seal
sellarla	seal it
sellara	sealed
sellamaua	saddle
sellamará	will call
selir	concubine
selice	moving
seleuantauan	the sea
seleuantará	will select
selesiyá	Selesian
selesdé	Selested
seleccioné	I selected
seleccionándolos	selecting them
seleccionemos	let's select
seleccione	select
seleccionaron	selected
seleccionando	Selecting
selaíta	sealed
selanitas	sanity
selaita	browse
sejeros	deep
sehuelgan	they strike
sehaze	hurry up
sehará	will be done
sehartáre	sehartár
sehaga	with a pig
segũdos	assistant
segũdar	seconds
seguîa	seguia
seguíamos	we continued
seguramẽte	hold on
segur	for sure
segunvuestra	according to yours
segunlas	according to them
seguiã	follow
seguiá	follow
seguirías	you would continue
seguirâs	you will follow
seguirtehé	follow you
seguirta	follow you
seguiria	would follow
seguira	will follow
seguimiẽto	follow-up
seguildos	followed
seguiente	next
seguianlo	follow him
seguianle	followed him
seguarden	in seguard
seguarde	keep safe
segnro	sign
segmento	segment
seglar	sails
segauã	said
segastes	stirring
segaránse	will be reaped
segarsehán	to be reaped
segadas	mixed up
sefortalecieron	were strengthened
seescurecerán	will darken
seduzcan	in seduction
seducías	you seduced
seductoramente	seductively
seducirás	you will seduce
seducirán	will seduce
seducirlos	seduce them
sedoso	silky
sediẽtos	headquarters
sedió	sedio
sedechias	Zedekiah
secólo	dried it
secâron	sugarcane
secár	it's worth it
secàren	dry
secura	dryness
secuestraron	kidnapped
secuestrando	kidnapping
secuestrada	kidnapped
secuciones	sequels
sectuose	following
secrè	secret
secreciones	secretions
secircuncidâre	to circumcise
sección 	section
secca	dry
secarõse	mixed wine
secarõ	misc
secaránse	will dry out
secarsehá	has dried up
secarlas	dry them
secarla	dry it
secapó	secapón
secansaren	of secans
secamos	we dry
secadas	dried
sebon	soap
seboluiere	sebouliere
seauia	don't take it
seapagara	will be extinguished
seaos	seao
seanvna	last name
sealleuado	sealed
seais	you are
seahallada	sea ​​hallada
seacũplida	jacóplida
scíencia	science
scìencia	science
scueridad	dark
scubrirás	you will discover
scua	excuse me
scrá	scratch
scripto	writing
scripciõ	writing
scpul	scalp
scitado	cited
scietos	let's know
sciençia	science
sciencias	sciences
sceptros	scepters
sañudo	angry
sauze	Sauce
sauandijas	saucers
sauado	greeted
saua	cruel
saturó	crowbar
saturarán	will saturate
saturará	will saturate
saturarse	become saturated
saturarlos	saturate them
saturan	saturate
saturados	saturated
satiſſacion	satisfaction
satisficiera	would satisfy
satisfazen	satisfaction
satisfaz	satisfies
satisfacían	satisfied
satisfaciõ	satisfaction
satisfacerles	satisfy them
satisfacerla	satisfy her
satisfacemos	we will satisfy
satim	Satim
satigado	satiation
satani	the devil
sastres	tailors
sastre	tailor
saré	sleeping
sarte	delicate
sarios	saries
sargentos	sergeants
sare	high
sardonyca	sardonyx
sarcásticos	sarcastic
sarcástico	sarcastic
saquélos	saquelos
saqueólo	looted it
saqueémoslos	plunder
saqueâuã	saquea
saqueáren	they plundered
saqueáis	sack
saqueolo	plunder
saquennos	take us out
saqueauan	they plundered
saquearõ	they looted
saquearân	plunder
saquearás	you will plunder
saquearloshemos	we have plundered them
saqueareys	lootyou
saquean’	'loot'
saqueamos	we looted
saqueadores'	looters'
saqueador	looter
saqueabas	you were looting
sapo	just
sapiencia	sapience
saph	sap
santuario’	sanctuary'
santifíquenme	sanctify me
santificólas	sanctified them
santificándolos	sanctifying them
santificándola	sanctifying it
santifico’	I sanctify'
santificarnos	sanctify us
santificarle	sanctify him
santificaren	sanctify
sanolo	healthy
sangré	bloody
sangre'	blood'
saneo	healthy
sanearán	will clean up
saneada	sanitized
sanea	clean up
sanctissimos	most holy
sanctisique	and holy
sanctisi	sanctified
sanctis	to the saints
sanctifiquẽ	sanctified
sanctifiqué	sanctified
sanctificólo	sanctify it
sanctificâron	sanctified
sanctificâre	sanctify
sanctificáre	to sanctify
sanctificàre	to sanctify
sanctificolo	sanctimonious
sanctificolas	sanctify
sanctificaualos	sanctify them
sanctificate	sanctify
sanctificastes	sanctified
sanctificarõ	to be sanctified
sanctificaràn	they will be sanctified
sanctificaronſe	sanctified
sanctificarme	sanctify me
sanctificarloshás	you have sanctified them
sanctificarloshas	to sanctify
sanctificarlos	sanctify them
sanctificarlohá	sanctificarloha
sanctificarlas	sanctify them
sanctificarlahás	to sanctify
sanctificarla	sanctify it
sanctificaras	sanctify
sanctificante	sanctifying
sanctificando	sanctifying
sanctifican	sanctify
sanctificalos	sanctify them
sanctificalo	sanctify
sanctificador	sanctifier
sanctificadolos	to be sanctified
sanctificadolo	sanctified
sanctifi	be sanctified
sancti	Saint
sancte	holy
sanctaes	holy
sanclo	sand
sanc	holy
sanauan	there
sanasteme	our vocabulary
sanará'	will heal'
sanarloshà	count
sanarlohé	Sanarlohé
sanarle	I guess
sanaras	Sanaras
sanamente	healthily
sampâres	plague
samparados	samsparados
samparada	sample
samite	summit
sami	find
salĩa	saliya
salûdan	old man
salûda	saluda
salîa	year old
salí'	I left'
salçará	will salçare
salçarsehá	there will be salt
salçar	to jump
salçador	salter
saly	salty
salvóse	salvose
salvéis	you can save
salvársela	save her
salvándote	saving you
salvándonos	saving us
salvándolos	saving them
salvos'	saved'
salvará’	will save'
salvaráme	will save me
salvaren	they saved
salvajes’	'savages'
salvajemente	wildly
salvaguardas	safeguards
salvación’	salvation'
saluóle	greeted him
salué	greeted
saluã	hello
salutifero	healthy
salutaciõ	hello
saluoslos	save them
saluose	safely
salueſe	hello
salues	greet
saludólos	greet them
saludã	hello
saludáre	greetings
saludándome	greeting me
saludevs	greetings
saludaſſen	greeted
saludaronlo	They greeted him
saludarla	greet her
saludandolas	greeting them
saludalda	hello
saluaſſen	equal to
saluaua	shake
saluastelos	sluastelos
saluarſe	greetings
saluarõ	outside
saluarâ	pants
saluarán	will salute
saluarseha	all over
saluaron	the same
saluarnos	all night
saluarloshá	outside
saluarlos	out of the blue
saluariã	next door
saluarhos	all the time
saluaras	throughout
saluara	as long as
saluanos	Greetings
saluando	saying goodbye
saluamẽto	greetings
saluages	greetings
saluadoſe	greeted
saluaciõ	greetings
saluacion	greeting
saltée	salty
saltãdo	salty
saltáre	psaltery
salteauan	mattress
salteaban	they were skipping
saltas	jumps
saltaría	would jump
saltaremos	we will jump
saltare	jump
saltamos	we jump
salsos	salsa
salpullido	rash
salpicarás	you will splash
salpicará	will splash
salpicarla	splash it
salpicare	I will splash
salobres	brackish
salitrosos	salty
salirme	get out
salinos	saline
salgã	salting
salgà	to salt
saldrías	you would go out
saldríamos	we would go out
saldrâ	salt
saldráse	will come out
saldràn	solder
saldrà	will sell
saldrian	would go out
salarâs	salaried
salará	will salt
salarla	with rafts
salados’	salty'
sakar	weave
sajauanse	consolation
sahr	morning
saheron	Heron
sagrare	to celebrate
sagraran	they will sanctify
saetás	saeta
saerificar	saerify
saeará	will be sacked
saddai	sad
sacôlo	get rid of
sacóte	bag
sacóse	saccose
sacãdolo	taking it out
sacãdo	taken
sacâre	poor thing
sacástenos	sacasthenes
sacáres	sacchars
sacárades	saccharides
sacábamos	we took out
sacudiẽdo	shaking
sacudiste	you shook
sacudiría	would shake
sacudirse	shake off
sacudirla	shake it
sacudimiento	sway
sacudi	saud
sacudes	you shake
sactidades	sacredness
sactas	sacred
sacrtificios	sacrifices
sacrilegos	blasphemous
sacrifíquenlo	sacrifice him
sacrificãte	sacrificed
sacrificãdo	sacrificed
sacrificârẽ	sacrificial
sacrificâron	sacrificial
sacrificâre	sacrifice
sacrificáren	they would sacrifice
sacrificándose	sacrificing himself
sacrificolo	sacrifice
sacrificio’	sacrifice'
sacrificas	you sacrifice
sacrificarles	sacrifice them
sacrificariamos	we would sacrifice
sacrificaffemos	let us sacrifice
sacrificadores	sacrificers
sacrifi	sacrifice
saconos	bags
saciólos	satiolos
saciémonos	let us satisfy ourselves
saciarles	to satisfy them
saciaba	satiated
sacerdotes’	priests'
sacerdores	priests
sacer	sacred
saccrdocio	sacrifice
sacastenos	you took us out
sacarſe	to take off
sacarõle	sorrel
sacaránla	They will take it out
sacarà	sugar
sacartehé	take you out
sacartehán	take you out
sacarseha	to be taken out
sacarloseys	take them out and
sacarlohán	to take it out
sacarlohá	take it out
sacarlohan	take it out
sacarleshás	you have to take them out
sacarlashe	to take out lashes
sacareis	you will take out
sacanos	bastards
sacandoles	taking them out
sacadó	saccade
sacador	drawer
sabía’	knew'
sabríais	you would know
sabrã	sabre
sabriamos	we would know
saborearán	will taste
saborearlo	savor it
sabiẽdas	sabiudas
sabió	sage
sabiédo	knowing
sabiosque	wisementhat
sabiendolo	knowing it
sabiedas	get scared
sabidolo	Know it
sabiamẽte	you knew
saberlohas	you know it
sabelotodos	youknoweveryone
sabellos	know-it-alls
sabedores	knowledgeable
sabbatizará	will sabbatize
sabatismo	sabbatism
sabado	saturday
sabachtani	sabbathani
rẽtas	in a row
rẽta	letter
rẽser	reser
rẽpuxon	turnpuxon
rũpida	quick
rĩo	that's it
rĩa	that's it
rẽ	turn
rõpiose	dirty part
rõpimiento	speed
rõperé	röperé
rõperlas	in the room
rómpelas	rumbles
ríos’	rivers'
rígidos	rigid
ríete	you are crying
rãdo	radio
rápidas	fast
rápense	quickthink
ráete	you say
rá	on him
rà	check
ryranos	ryrans
ruynar	ruined
ruynado	experiences
rusticana	rustic
rusim	Russian
rupciõ	rupture
rupcion	ruption
rumiâre	room
rumien	erythema
ruinosas	dilapidated
ruido’	noise'
ruidosos	noisy
ruidosas	noisy
rugientes’	roaring
ruga	pray
ruegõ	rue
ruegãle	rugale
rueganle	beg him
ruegale	beg him
ruedes	wheels
rue	Street
ruch	movement
ruborizó	blushed
ruborizan	waste rice
ruborizaba	blushed
rubios	blondes
rubicunda	red
roído	born
rozará	will graze
rozan	they graze
rota’	lottery
rostró	rostro
rosos	rose
rosia	receipt
rosados	pink
rosadas	pink
ronquido	snore
ronca	snores
romántico	romantic
rompióse	broke
rompióla	broke it
rompiolo	break
rompiola	break
rompimos	we broke up
rompiere	break
rompieras	you broke
rompientes	surf
rompiendoſe	breaking
rompiendoles	breaking them
rompidos	broken
romperían	would break
romperles	break them
roma	Rome
rollando	rolling
rojean	red
rogãdole	begging him
rogándote	begging you
rogatiuas	request
rogatiua	requests
rogaronnos	They begged us
rogarnos	beg us
rogare	to ask
rogamosles	we beg them
rogados	begged
roerás	you will gnaw
roerle	stirred
roedores	rodents
rodos	appear
rodeé	rodeo
rodeáronle	rodeo
rodelas	slices
rodeaſſe	he gnawed
rodeartehá	surround you
rodearte	surround you
rodearse	surround oneself
rodearlas	surround them
rodeare	I will surround
rodeandolo	surrounding it
rodealos	surround them
rodcamos	we rolled
rodarás	you will roll
rodadora	tumbler
rodada	round
rocíale	annually
rocíalas	spray them
rociaste	you sprayed
rociarse	spray
rociarlahán	sprayinghahan
robársela	she was doing
robándolo	stealing it
robustidad	robustness
robustezcan	strengthen
robustez	robustness
robustecen	strengthen
roboã	robot
robarõ	rubber
robarías	you would steal
robaríamos	we would steal
robaronlas	They stole them
robaren	they stole
robaremos	we will steal
robaras	you will steal
robara	stream
riẽda	in bed
rióse	laughed
riñéndolos	scolding them
riñéndoles	scolding them
riñon	kidney
riñole	kidney
riñióle	riñió oil
riñiendo	quarreling
riñays	quarrels
riéndose	laughing
rizada	curly
riveras	riverbanks
risieren	risen
ris	to him
rir	to laugh
riquiſsimo	very rich
riquezis	riches
ripios	rubble
rinoceronte	rhinoceros
riniende	sneezing
rindámonos	we will rindámonos
rindiéndose	surrendering
rindiesen	surrendered
rinas	TIRANA
rijosos	rijos
rigurosiſsimo	the most rigorous
rigurosas	rigorous
rigorismo	rigorism
rierra	land
rientes	laughing
ridículamente	ridiculously
ridos	mileage
rido	shoot
ridiculizaste	ridicule
ridiculizarlo	ridicule him
ridiculizando	ridiculing
ridiculizado	ridiculed
ridiculizada	ridiculed
ridiculizaban	ridiculed
rida	row
ricidios	Ricides
ribilidades	ribilities
riamos	Let's laugh
reſſopla	snorts
reſſabio	resabi
reſiſtîdo	resiſtido
reſiſtí	resisted
reſiſtis	you resist
reſiſtirâ	resist
reſiſtiremos	we will resist
reſiſtieron	they resisted
reſiſtiales	resiſtials
reſistia	resistance
reſeruen	reserve
reſeruaré	I will reserve
reſeruar	reſered
reſeruados	reserved
reúnes	you gather
reúnelo	gather it
reñis	reigned
reñirá	will scold
reñianles	scold them
reñi	color
reísteis	you laughed
reçonglones	reconglones
reçia	recia
reçebireys	receiveyou
reçebir	Recep
reáua	double
rezongones	grumblers
rezongaron	they grumbled
rezo	network
rezias	resists
reziamẽte	resign
rezaron	they prayed
rezar	to pray
rezaga	lags behind
reyès	success
reytéra	the king's name
reyterandolos	reiterandolos
reytera	reiter
reyste	traveled
reyré	reyre
reyrán	will reign
reyr	reed
reynáre	reynár
reynára	Reynar
reynosde	kingdomsof
reyneys	Reyneys
reynes	queen
reynemos	Let us reign
reynays	Reynays
reynarõ	Reynar
reynaré	I will reign
reynarãs	kings
reynaràn	they will reign
reynan	queen
reyl	scream
reydo	raid
reyan	rayon
reya	road
revíveme	we are revising
revélalo	reveal it
revuelca	wallows
revoque	plastering
revolváis	revolvers
revoltosa	revolting
revolqué	revolted
revoloteaban	fluttered
revoloteaba	fluttered
revolcar	to wallow
revocan	revoked
revocadas	revoked
revocaban	revoked
reviviste	you revived
reviviré	I will revive
revivirás	you will revive
revivirlo	revive it
revividos	revived
revitalizándonos	revitalizing ourselves
revitalizar	revitalize
revitalice	revitalization
revistiendo	covering
revisarás	you will review
revisarlas	review them
revisaremos	We will review
revisando	reviewing
revirtió	reversed
revestídoos	coated
revestirnos	cover us
revestimientos	coatings
reveréncienlo	reverent
revertiría	would reverse
revertirse	reverse
revertirlo	reverse it
reverendo	reverend
reverenciaste	you revered
reverenciarte	bow down to you
reverenciarme	reverence me
reverenciarlo	revere it
reverenciaran	will revere
reverenciando	revering
reverenciaba	revered
reverdezcan	turn green again
reverdecida	re-greened
reventarían	would burst
reventaré	resold
reventadas	burst
revelárnoslas	reveal them to us
revelándole	revealing it
reveláis	you reveal
revelasen	I reveal
revelarnos	reveal ourselves
revelarle	reveal to him
revelarla	reveal it
revelaras	you will reveal
reuocaré	I will recall
reuocar	call back
reuniólos	Gather them together
reune	gathers
reunan	the edge
reuierten	repented
reuerẽciaste	you have returned
reuertir	returned
reuertiente	returning
reuertiendo	returning
reuerrẽcia	reuerrecia
reuerenciarán	will reference
reuerenciar	to return
