্নানি	Grandma	naani
পৌত্রাদির	Grandchildren	pautraadir
পৌত্রাদিক্রমে	By descendants	pautraadikrme
পৌত্রাদি।	Grandchildren.	pautraadi / 
পৌত্রাদি	Grandchildren	pautraadi
পৌত্রদেরকে	To the grandchildren	pautrderke
পৌত্রদেরও	Grandchildren too	pautrdero
পৌত্রদের	Grandchildren	pautrder
পৌত্রদিগকে	To the grandchildren	pautrdigke
পৌত্রগণের	Grandchildren	pautrgnner
পৌত্রগণ	Grandchildren	pautrgnn
পৌত্রকে	To the grandson	pautrke
পৌত্র।	Grandson.	pautr / 
পৌত্র	Grandson	pautr
পৌত্তলিকতার	Paganism	pauttliktaar
পৌত্তলিকতা	Paganism	pauttliktaa
পৌত্তলিক	Pagan	pauttlik
পৌছোলাম।	I have arrived.	paucholaam / 
পৌছোলাম	I arrived.	paucholaam
পৌঁছোয়	Arrived.	pauNchoy'
পৌঁছেছেন।	Arrived.	pauNchechen / 
পৌঁছেছে।	Arrived.	pauNcheche / 
পৌঁছেছে	Arrived	pauNcheche
পৌছেছে	Arrived	paucheche
পৌঁছেছিলেন।	Arrived.	pauNchechilen / 
পৌঁছেছিলেন	Arrived	pauNchechilen
পৌঁছেছিল।	Arrived.	pauNchechil / 
পৌঁছেছি।	Arrived.	pauNchechi / 
পৌছেছি।	I have arrived.	pauchechi / 
পৌঁছেছি	Arrived.	pauNchechi
পৌঁছেও	Even if you arrive	pauNcheo
পৌঁছে	Arrived	pauNche
পৌছে	Arrived	pauche
পৌঁছিলেন।	Arrived.	pauNchilen / 
পৌঁছিলেন	Arrived	pauNchilen
পৌঁছিলে	Upon arrival	pauNchile
পৌঁছিলাম।	I have arrived.	pauNchilaam / 
পৌঁছিল।	Arrived.	pauNchil / 
পৌঁছিল	Arrived	pauNchil
পৌছিয়েছে	Arrived	pauchiy'eche
পৌছিয়েছি	Arrived.	pauchiy'echi
পৌঁছিয়ে	Reaching	pauNchiy'e
পৌছিয়ে	Reached	pauchiy'e
পৌঁছিয়াছে	Arrived	pauNchiyyaache
পৌঁছিয়াছি	I have arrived.	pauNchiyyaachi
পৌঁছিয়া	Arriving	pauNchiyyaa
পৌঁছিবে	Will arrive	pauNchibe
পৌঁছিবার	Arrival	pauNchibaar
পৌঁছিবামাত্র	As soon as we arrive	pauNchibaamaatr
পৌঁছিতে	On arrival	pauNchite
পৌঁছিত	Arrived	pauNchit
পৌঁছালো।	Arrived.	pauNchaalo / 
পৌঁছালো	Arrived	pauNchaalo
পৌঁছালেন৷	Arrived.	pauNchaalen4/
পৌঁছালেন।ইলিশায়	Arrived. Elisha	pauNchaalen / ilishaayy
পৌঁছালেন।	Arrived.	pauNchaalen / 
পৌছালেন।	Arrived.	pauchaalen / 
পৌঁছালেন	Arrived	pauNchaalen
পৌছালেন	Arrived	pauchaalen
পৌঁছালে।	When you arrive.	pauNchaale / 
পৌঁছালে	Upon arrival	pauNchaale
পৌছালে	Upon arrival	pauchaale
পৌঁছালাম।	I arrived.	pauNchaalaam / 
পৌঁছালাম	Arrived.	pauNchaalaam
পৌছালাম	I arrived.	pauchaalaam
পৌঁছাল।	Arrived.	pauNchaal / 
পৌঁছাল	Arrived	pauNchaal
পৌঁছায়নি	Did not arrive	pauNchaayyni
পৌঁছায়।	Arrives.	pauNchaayy / 
পৌছায়।	Arrives.	pauchaay' / 
পৌঁছায়	Arrives	pauNchaay'
পৌছায়	Arrives	pauchaay'
পৌঁছামাত্র	Upon arrival	pauNchaamaatr
পৌঁছাবেন	Will arrive	pauNchaaben
পৌঁছাবে।	Will arrive.	pauNchaabe / 
পৌঁছাবে	Will arrive	pauNchaabe
পৌছাবে	Will arrive	pauchaabe
পৌঁছাবার	To arrive	pauNchaabaar
পৌঁছাব।	I will arrive.	pauNchaab / 
পৌঁছাব	I will arrive.	pauNchaab
পৌঁছানোর	To reach	pauNchaaneaar
পৌছানোর	To reach	pauchaanor
পৌঁছানো।	Reach.	pauNchaano / 
পৌঁছানো	Reach	pauNchaaneaa
পৌঁছানমাত্র	Upon arrival	pauNchaanmaatr
পৌঁছান।	Arrive.	pauNchaan / 
পৌঁছান	Arrive	pauNchaan
পৌঁছাতেই	Upon arrival	pauNchaatei
পৌঁছাতে	To arrive	pauNchaate
পৌঁছাত।	It would arrive.	pauNchaat / 
পৌঁছাত	would arrive	pauNchaat
পৌঁছাক।	Arrive.	pauNchaak / 
পৌঁছাক	Reach	pauNchaak
পৌঁছাও	Arrive	pauNchaao
পৌঁছাইলে	Upon arrival	pauNchaaile
পৌঁছাইল	Arrived	pauNchaail
পৌঁছাইয়া	Arrive	pauNchaaiyyaa
পৌঁছাই।	Arrived.	pauNchaai / 
পৌঁছাই	Arrive	pauNchaai
পৌঁছা	Arrive	pauNchaa
পৌঁছলো।	Arrived.	pauNchlo / 
পৌঁছলো	Arrived	pauNchlo
পৌঁছলেন।	Arrived.	pauNchlen / 
পৌঁছলেন	Arrived	pauNchlen
পৌঁছলে	Upon arrival	pauNchle
পৌঁছলাম।	I have arrived.	pauNchlaam / 
পৌঁছলাম	Arrived.	pauNchlaam
পৌঁছল	Arrived	pauNchl
পৌঁছয়।	Arrived.	pauNchy' / 
পৌঁছতে	To reach	pauNchte
পৌঁচেছে।	Arrived.	pauNceche / 
পোহালে	In the morning	peaahaale
পোহালাম	Pohalam	pohaalaam
পোহায়ে	Pohaye	pohaayye
পোহায়।	In the morning.	peaahaayy / 
পোহায়	Pohaya	peaahaayy
পোহাবার	Monday	pohaabaar
পোহাতে	To eat	peaahaate
পোহাচ্ছিলেন।	He was sweating.	pohaacchilen / 
পোহাচ্ছিলেন	Was carrying	pohaacchilen
পোহাচ্ছিল।	It was raining.	pohaacchil / 
পোহাচ্ছিল	Was getting	pohaacchil
পোহাইলে	Pohaile	peaahaaile
পোহাইলাম	Pohailam	peaahaailaam
পোহাইয়া	Pohaya	peaahaaiyyaa
পোহাইবার	Pohaibar	peaahaaibaar
পোহাইতেছিলেন।	He was trying to feed her.	peaahaaitechilen / 
পোহাইতেছিল	was pohai	pohaaitechil
পোহাইতে	In Pohai	peaahaaite
পোষ্যবর্গসহ	Including pets	peaassybrgsh
পোষ্যবর্গ	Pets	peaassybrg
পোষ্যপুত্রী	Foster daughter	peaassyputrii
পোষ্যপুত্র	Foster son	peaassyputr
পোষ্যকন্যা	Foster daughter	peaassyknyaa
পোষ্য	Pet	peaassy
পোষে	To pet	peaasse
পোষিত	Foster	peaassit
পোষাকের	Dress	peaassaaker
পোষাকে	In clothes	peaassaake
পোষাকটিও	The dress too	peaassaakttio
পোষাকটি	The dress	peaassaaktti
পোষাকগুলি	Dresses	peaassaakguli
পোষাকই	The dress itself	peaassaaki
পোষাক।	Dress.	peaassaak / 
পোষাক	Dress	peaassaak
পোষা	Pet	possaa
পোষমানা	Foster	peaassmaanaa
পোষণের	Foster	peaassnner
পোষণকরে	Foster	peaassnnkre
পোষণ	Nourishment	peaassnn
পোষকতার	Host	peaassktaar
পোষকতা	Patronage	peaassktaa
পোষ	Pet	peaass
পোশাকেরও	Also for clothes	poshaakero
পোশাকের	Clothing	peaashaaker
পোশাকে	In clothes	peaashaake
পোশাকাদি	Clothes	poshaakaadi
পোশাকসুদ্ধ	Even with clothes	poshaaksuddh
পোশাকটি	The dress	peaashaaktti
পোশাকগুলো	The clothes	poshaakgulo
পোশাকগুলি	Clothes	peaashaakguli
পোশাকখানি	Clothes	poshaakkhaani
পোশাকও	Clothes too	poshaako
পোশাকই	The clothes themselves	poshaaki
পোশাক।	Clothing.	poshaak / 
পোশাক	Clothing	peaashaak
পোর্সিয়াস	Porcia	peaarsiyyaas
পোরাথঃ	Porath:	peaaraathH
পোয়াল	Shovel	peaayyaal
পোয়াতে	In Poya	peaayyaate
পোয়াচ্ছিলেন।	He was eating.	peaayyaacchilen / 
পোয়াচ্ছিল।	It was pouring.	peaayyaacchil / 
পোনী।	Pony.	peaanii / 
পোনি।	Pony.	peaani / 
পোদ্দারেরা	The changers	peaaddaareraa
পোদ্দারদের	The changers	peaaddaarder
পোদিনা	Mint	peaadinaa
পোতাশ্রয়ের	Harbor	peaataashryyer
পোতাশ্রয়ে	In the harbor	peaataashryye
পোতাশ্রয়	Harbor	peaataashryy
পোঁতা	Pot	peaaNtaa
পোতা	Grandson	peaataa
পোতরাজি	Boat	potraaji
পোত	Ship	peaat
পোড়ো।	Burnt.	porro / 
পোড়ো	Burnt	podd'o
পোড়েনের	Burnt	porrener
পোড়েনে	Burned	peaarrene
পোড়েন	Burn	peaarren
পোড়ে	Burnt	peaarre
পোড়াস্থান	Burnt area	porraasthaan
পোড়ালো	Burned	porraalo
পোড়ালেন।	Burned.	peaarraalen / 
পোড়ালেন	Burned	podd'aalen
পোড়ালে	Burned	peaarraale
পোড়াল।	Burned.	peaarraal / 
পোড়াল	Burned	podd'aal
পোড়ার	Burn	peaarraar
পোড়ায়।	Burns.	peaarraayy / 
পোড়ায়	Burns	peaarraayy
পোড়াবেন	Burn it.	podd'aaben
পোড়াবে।	It will burn.	peaarraabe / 
পোড়াবে	Will burn	peaarraabe
পোড়াবার	To burn	peaarraabaar
পোড়ানোর	Burning	peaarraaneaar
পোড়ানো	Burning	peaarraaneaa
পোড়ান।	Burn.	porraan / 
পোড়ান	Burn	peaarraan
পোড়াতেন	Burned	porraaten
পোড়াতেই	To burn	porraatei
পোড়াতে	To burn	peaarraate
পোড়াত।	Burned.	porraat / 
পোড়াও।	Burn it.	podd'aao / 
পোড়াও	Burn	podd'aao
পোড়াইলেন	Burned	peaarraailen
পোড়াইলে	Burned	peaarraaile
পোড়াইল	Burned	peaarraail
পোড়াইয়াছে	Burned	peaarraaiyyaache
পোড়াইয়াছিলেন	Burned	peaarraaiyyaachilen
পোড়াইয়াছিল	Burned	peaarraaiyyaachil
পোড়াইয়াছি	I burned it.	peaarraaiyyaachi
পোড়াইয়াছ	Burned	peaarraaiyyaach
পোড়াইয়া	Burned	peaarraaiyyaa
পোড়াইবার	To burn	peaarraaibaar
পোড়াইতে	To burn	peaarraaite
পোড়াইত।	Burned.	peaarraait / 
পোড়াই।	Burn.	peaarraai / 
পোড়াই	Burn	podd'aai
পোড়া	Burn	peaarraa
পোড়	Burnt	peaarr
পোটীফেরের	Potiphar's	pottiipherer
পোটীফেরঃ	Potiphar:	peaattiipherH
পোটীফরের	Potiphar's	peaattiiphrer
পোটীফর	Potiphar	peaattiiphr
পোটিফেরার	Potiphar	peaattipheraar
পোটিফারের	Potiphar's	peaattiphaarer
পোটিফার	Potiphar	peaattiphaar
পোঁটলাটা	The skunk	peaaNttlaattaa
পোঁটলা	Potala	peaaNttlaa
পোখেরৎ	Poker	peaakher
পোখরাজের	Topaz	pokhraajer
পোখরাজমণিরও	Topaz too	pokhraajmnniro
পোখরাজ	Topaz	peaakhraaj
পোকারা	Insects	pokaaraa
পোকার	Poker	pokaar
পোকায়ও	Insects too	pokaayyo
পোকায়	In the insect	peaakaayy
পোকামাকড়ের	Insects	peaakaamaakrrer
পোকামাকড়	Insects	peaakaamaakrr
পোকাদের	Insects	pokaader
পোকাকে	To the insect	pokaake
পোকাও	Insect	peaakaao
পোকা	Insect	peaakaa
পৈশাচিক।	Demonic.	paishaacik / 
পৈশাচিক	Demonic	paishaacik
পৈত্রিক	Ancestral	paitrik
পৈতৃিক	Ancestral	paitRik
পৈতৃকভূমিতে	In the ancestral land	paitRkbhuumite
পৈতৃক	Ancestral	paitRk
পেীঁছাল।	It's gone.	peiiNchaal / 
পেস্তা	Pistachio	pestaa
পেষো	Grind	pesso
পেষে।	Crush.	pesse / 
পেষে	Crush	pesse
পেষার	Grinder	pessaar
পেষাই	Grinding	pessaai
পেষা	Grinding	pessaa
পেষণের	Crushing	pessnner
পেষণার্থ	For grinding	pessnnaarth
পেষণকারী	Crusher	pessnnkaarii
পেষণকারিণী	Crusher	pessnnkaarinnii
পেষণ	Crushing	pessnn
পেষ	Crush	pess
পেশীর	Muscle	peshiir
পেশীতে	In the muscles	peshiite
পেশীগুলি	Muscles	peshiiguli
পেশী	Muscle	peshii
পেশিতে	In the muscles	peshite
পেশায়	By profession	peshaay'
পেশাদার	Professional	peshaadaar
পেশাক	Pee	peshaak
পেশাই	The profession	peshaai
পেশা	Occupation	peshaa
পেশ	Presentation	pesh
পেলো।	Got it.	pelo / 
পেলো	Got it	pelo
পেলেন৷	Got it.	pelen4/
পেলেন।	Got it.	pelen / 
পেলেনঃ	Found:	pelenH
পেলেন	Got it.	pelen
পেলেত	Pellet	pelet
পেলেট	Pellet	pelett
পেলেছিলেন	Got it.	pelechilen
পেলেছি	Got it.	pelechi
পেলেগের	Peleg	peleger
পেলেগ	Peleg	peleg
পেলেও	Even if	peleo
পেলেই	If you get	pelei
পেলে।	If you get it.	pele / 
পেলে	If	pele
পেলুসিয়ামকে	To Pelusium	pelusiyyaamke
পেলুসিয়াম	Pelusium	pelusiyyaam
পেলিক্যান	Pelican	pelikyaan
পেলাম।	Got it.	pelaam / 
পেলাম	Got it.	pelaam
পেলনা।	I didn't get it.	pelnaa / 
পেলন।	It fell.	peln / 
পেলথ	Pelth	pelth
পেলৎ	Pellet	pel
পেলতের	Pellet	pelter
পেলতে	To get	pelte
পেলটে	In the pallet	peltte
পেলটিয়া	Peltia	pelttiyyaa
পেলট।	Pellet.	peltt / 
পেলট	Pellet	peltt
পেলগের	Peleg	pelger
পেলগ।	Peleg.	pelg / 
পেলগ	Peleg	pelg
পেলকে	Pelke	pelke
পেল৷	Got it.	pel4/
পেল।	Got it.	pel / 
পেল	Got it.	pel
পেরোজের	Peroz's	pereaajer
পেরোজ	Peroz	pereaaj
পেরেস্	Perez	peres
পেরেসের	Peres	pereser
পেরেস	Peres	peres
পেরেছেন।	You did it.	perechen / 
পেরেছেন	Got it.	perechen
পেরেছে।	Done.	pereche / 
পেরেছে	Got it.	pereche
পেরেছিলেন।	He did it.	perechilen / 
পেরেছিলেন	He managed.	perechilen
পেরেছিলে।	If you could.	perechile / 
পেরেছিলাম।	I did it.	perechilaam / 
পেরেছিলাম	I managed.	perechilaam
পেরেছিল।	I did it.	perechil / 
পেরেছিল	I managed.	perechil
পেরেছি।	I did it.	perechi / 
পেরেছি	I did it.	perechi
পেরেছ।	You got it.	perech / 
পেরেছ	You got it.	perech
পেরেকের	Nail	pereker
পেরেকে	On the nail	pereke
পেরেকগুলোর	The nails	perekgulor
পেরেক।	Nail.	perek / 
পেরেক	Nail	perek
পেরেও	Pareo	pereo
পেরে	Pere	pere
পেরিষীয়	Parishioner	perissiiyy
পেরিষাতী	Perishati	perissaatii
পেরিয়ে।	Beyond.	periyye / 
পেরিয়ে	Beyond	periy'e
পেরিতগণের	Of the departed	peritgnner
পেরাসীমে	In Perasim	peraasiime
পেরাসীম।	Perasim.	peraasiim / 
পেরাসীম	Perasim	peraasiim
পেরস্	Persia	pers
পেরসের	Persephone	perser
পেরসে	Perse	perse
পেরসীয়	Persian	persiiy'
পেরসকে	Perske	perske
পেরস।	Pers.	pers / 
পেরস	Pers	pers
পেরষ	Persian	perss
পেরশের	Perseus	persher
পেরশ	Persian	persh
পেরনোর	Pernod	pernor
পের।	Per.	per / 
পেয়ো	Drink	pey'o
পেয়েছো	Got it.	pey'echo
পেয়েছেন।	Got it.	pey'echen / 
পেয়েছেন	Got it	pey'echen
পেয়েছে।	Got it.	pey'eche / 
পেয়েছে	Got it	pey'eche
পেয়েছিলেন৷	received	pey'echilen4/
পেয়েছিলেন।	Got it.	pey'echilen / 
পেয়েছিলেন	Got	pey'echilen
পেয়েছিলে।	Got it.	peyyechile / 
পেয়েছিলে	Got it.	pey'echile
পেয়েছিলাম।	Got it.	pey'echilaam / 
পেয়েছিলাম	Got it.	pey'echilaam
পেয়েছিল।	Got it.	pey'echil / 
পেয়েছিল	Got it	pey'echil
পেয়েছি।	Got it.	pey'echi / 
পেয়েছি	Got it	pey'echi
পেয়েছ।	Got it.	pey'ech / 
পেয়েছ	Got it.	pey'ech
পেয়েও	Even if you get it	peyyeo
পেয়েই	Just got it	pey'ei
পেয়ে।	Having received.	pey'e / 
পেয়ে	Having	pey'e
পেযে	Found	peye
পেয়ালার	Cup	pey'aalaar
পেয়ালায়	In the cup	pey'aalaay'
পেয়ালাতেই	In the cup	peyyaalaatei
পেয়ালাতে	In the cup	peyyaalaate
পেয়ালাটা	The cup	pey'aalaattaa
পেয়ালাগুলোর	The cups	peyyaalaagulor
পেয়ালাগুলো	The cups	peyyaalaagulo
পেয়ালাও	Cup	peyyaalaao
পেয়ালা।	Cup.	pey'aalaa / 
পেয়ালা	Cup	pey'aalaa
পেয়াদার	Pawn	peyyaadaar
পেঁয়াজের	Onion	peNyyaajer
পেঁয়াজ	Onion	peNy'aaj
পেয়নৈবেদ্যসহ	With drink offering	peyynaibedysh
পেয়ছ	Got it.	pey'ch
পেয়ও	Payo	pey'o
পেয়এছি	Got it.	peyyechi
পেয়এ	Paya	peyye
পেয়	Drink	pey'
পেদাদিয়র	Pedagogue	pedaadiyyr
পেদাইয়াহ্‌র	Pedaiah	pedaaiyyaahr
পেথোর	Pethor	petheaar
পেত্নী	Petni	petnii
পেতেন।	Petni.	peten / 
পেতেন	Petni	peten
পেতেছেন	Got it.	petechen
পেতেছে।	Got it.	peteche / 
পেতেছে	Getting	peteche
পেতেছিল	Was getting	petechil
পেতেছি।	Got it.	petechi / 
পেতেছি	Got it.	petechi
পেতেছ	Got it.	petech
পেতেও	To get	peteo
পেতেই	To get	petei
পেতে	To get	pete
পেতাম।	I would get it.	petaam / 
পেতাম	I would get	petaam
পেতলের	Brass	petler
পেতলকে	Brass	petlke
পেতল	Brass	petl
পেত৷	Got it.	pet4/
পেত।	Got it.	pet / 
পেত	Got	pet
পেড়ো	Pedo	pedd'o
পেড়ে	Pered	pedd'e
পেটের	Stomach	petter
পেটে	In the stomach	pette
পেটুকেরা	Gluttons	pettukeraa
পেটুকের	Gluttony	pettuker
পেটুকদের	Gluttons	pettukder
পেটুক।	Gluttonous.	pettuk / 
পেটুক	Gluttonous	pettuk
পেটানো	Beaten	pettaano
পেটান	Beaten	pettaan
পেটাই	Beating	pettaai
পেটা	Beaten	pettaa
পেটরা	Petra	pettraa
পেটভরে	Full stomach	pettbhre
পেটকে	Stomach	pettke
পেটই	The stomach	petti
পেট	Stomach	pett
পেঁজা	Paw	peNjaa
পেছন্তখোলা	Back open	pechntkholaa
পেছনের	Back	pechner
পেছনে	Back	pechne
পেছন	Back	pechn
পেঁচাল	Spiral	peNcaal
পেঁচারা	Owls	peNcaaraa
পেঁচার	Owl	peNcaar
পেঁচায়	In the owl	peNcaay'
পেঁচাদের	Owls	peNcaader
পেঁচা।	Owl.	peNcaa / 
পেঁচা	Owl	peNcaa
পেচকের	Pechok's	pecker
পেচককুল	Pechakkul	peckkul
পেঁচক	Screw	peNck
পেচক	Pechok	peck
পেকোড	Pequod	pekeaadd
পেকেছে৷	It's ripe.	pekeche4/
পেকেছে।	It's ripe.	pekeche / 
পেকেছে	Ripe	pekeche
পেকে	In the morning	peke
পেকাহ্‌কে	To Pekah	pekaahke
পেকাহ্	Pekah	pekaah
পেকাহিয়াহ্‌র	Pekahiah	pekaahiyyaahr
পেকাহিয়াহ্‌ও	Pekahiah also	pekaahiyyaaho
পেকাহিয়াহ্‌	Pekahiah	pekaahiyyaah
পেকহের	Pekher	pekher
পেকহর	Pekahor	pekhr
পেকহকে	Pekahke	pekhke
পেকহ	Pekah	pekh
পেওনা	Payone	peonaa
পেও	Pay	peo
পে।	Pay.	pe / 
পে	Pay	pe
পৃৃথিবীর	On Earth	pRRthibiir
পৃৃথিবীতে	On Earth	pRRthibiite
পৃষ্ঠের	Surface	pRsstther
পৃষ্ঠেই	On the surface	pRsstthei
পৃষ্ঠে	On the surface	pRsstthe
পৃষ্ঠা	Page	pRsstthaa
পৃষ্ঠপ্রদর্শন।	Back view.	pRsstthprdrshn / 
পৃষ্ঠপ্রদর্শন	Back view	pRsstthprdrshn
পৃষ্ঠদেশ	Back	pRsstthdesh
পৃষ্ঠ	Surface	pRsstth
পৃষত	Page	pRsst
পৃথ্‌ক	Separate	pRthk
পৃথিবীস্থ	Earthly	pRthibiisth
পৃথিবীরসওদাগরেরা	Merchants of the world	pRthibiirsodaagreraa
পৃথিবীরর	Of the world	pRthibiirr
পৃথিবীরও	Also on earth	pRthibiiro
পৃথিবীরই	Of the world	pRthibiiri
পৃথিবীর।	Of the world.	pRthibiir / 
পৃথিবীর	Earth	pRthibiir
পৃথিবীবিধ্বংসী	Earth-shattering	pRthibiibidhbNsii
পৃথিবীবাসী	Earthling	pRthibiibaasii
পৃথিবীনিবাসীদের	Earthlings	pRthibiinibaasiider
পৃথিবীনিবাসীদিগকে	To the inhabitants of the earth	pRthibiinibaasiidigke
পৃথিবীনিবাসী	Earthling	pRthibiinibaasii
পৃথিবীনিবাসিগণ	Earthlings	pRthibiinibaasignn
পৃথিবীনাশকদিগকে	To the destroyers of the world	pRthibiinaashkdigke
পৃথিবীতেও	On earth too	pRthibiiteo
পৃথিবীতে।	On Earth.	pRthibiite / 
পৃথিবীতে	On Earth	pRthibiite
পৃথিবীটাকে	The world	pRthibiittaake
পৃথিবীটা	The world	pRthibiittaa
পৃথিবীগর্ভ	Earthly womb	pRthibiigrbh
পৃথিবীকেও	To the world too	pRthibiikeo
পৃথিবীকে।	The world.	pRthibiike / 
পৃথিবীকে	To the world	pRthibiike
পৃথিবীও	The world too	pRthibiio
পৃথিবী।	Earth.	pRthibii / 
পৃথিবী	Earth	pRthibii
পৃথক্‌স্থিতির	Isolation	pRthksthitir
পৃথক্‌স্থিতিকালীন	Isolation	pRthksthitikaaliin
পৃথক্‌স্থিতি	Isolation	pRthksthiti
পৃথক্‌কৃতের	Separated	pRthkkRter
পৃথক্‌কৃত	Separated	pRthkkRt
পৃথক্‌করণ	Separation	pRthkkrnn
পৃথক্	Separate	pRthk
পৃথকীকৃত	Separated	pRthkiikRt
পৃথকভাবে	Separately	pRthkbhaabe
পৃথককৃতের	Separated	pRthkkRter
পৃথককৃত	Separated	pRthkkRt
পৃথকও	Separately	pRthko
পৃথক।	Separate.	pRthk / 
পৃথক	Separate	pRthk
পূলের	Bridge	puuler
পূল	Bridge	puul
পূর্ম	Puram	puurm
পূর্ব্বোক্ত	aforementioned	puurbbeaakt
পূর্ব্বের	Previous	puurbber
পূর্ব্বেও	Also in the past	puurbbeo
পূর্ব্বেই	Already	puurbbei
পূর্ব্বে	Previously	puurbbe
পূর্ব্বীয়	Eastern	puurbbiiyy
পূর্ব্বাভিমুখ	Eastward	puurbbaabhimukh
পূর্ব্বাবধি।	From the past.	puurbbaabdhi / 
পূর্ব্বাবধি	Previously	puurbbaabdhi
পূর্ব্বাপেক্ষা	Preview	puurbbaapekssaa
পূর্ব্বাগত	Past tense	puurbbaagt
পূর্ব্বসীমা	Eastern border	puurbbsiimaa
পূর্ব্বসমুদ্রের	Eastern Sea	puurbbsmudrer
পূর্ব্বলক্ষিত	Foreseeable	puurbblkssit
পূর্ব্বরীতি	Previous habit	puurbbriiti
পূর্ব্বরাত্রিতে	On the night before	puurbbraatrite
পূর্ব্বমুখে	Eastward	puurbbmukhe
পূর্ব্বমুখ	East facing	puurbbmukh
পূর্ব্বমত	As before	puurbbmt
পূর্ব্ববর্ত্তী	Previous	puurbbbrttii
পূর্ব্ববৎ	As before	puurbbb
পূর্ব্বপ্রান্তে	On the east side	puurbbpraante
পূর্ব্বপ্রান্ত।	East end.	puurbbpraant / 
পূর্ব্বপ্রান্ত	East end	puurbbpraant
পূর্ব্বপ্রতাপের	Of former glory	puurbbprtaaper
পূর্ব্বপুরুষেরা	Ancestors	puurbbpurusseraa
পূর্ব্বপুরুষাবলি	Ancestors	puurbbpurussaabli
পূর্ব্বপুরুষদের	Ancestors	puurbbpurussder
পূর্ব্বপুরুষ	Ancestor	puurbbpuruss
পূর্ব্বপার্শ্বে	On the east side	puurbbpaarshbe
পূর্ব্বপার্শ্বস্থিত	Eastern side	puurbbpaarshbsthit
পূর্ব্বপার্শ্ব	East side	puurbbpaarshb
পূর্ব্বপারে	To the east	puurbbpaare
পূর্ব্বপারস্থিত	Opposite	puurbbpaarsthit
পূর্ব্বপারস্থ	Eastward	puurbbpaarsth
পূর্ব্বপাপসমূহের	Of past sins	puurbbpaapsmuuher
পূর্ব্বপরিচিত	Familiar	puurbbpricit
পূর্ব্বপদে	In the past tense	puurbbpde
পূর্ব্বনির্ম্মিত	Prefabricated	puurbbnirmmit
পূর্ব্বনিরূপিত	Predestined	puurbbniruupit
পূর্ব্বধারণা	Preconception	puurbbdhaarnnaa
পূর্ব্বদ্বারের	East gate	puurbbdbaarer
পূর্ব্বদ্বাররক্ষক	East Gatekeeper	puurbbdbaarrkssk
পূর্ব্বদেশের	From the East	puurbbdesher
পূর্ব্বদেশে	To the east	puurbbdeshe
পূর্ব্বদেশীয়েরা	Easterners	puurbbdeshiiyyeraa
পূর্ব্বদেশ	East	puurbbdesh
পূর্ব্বদিন	Yesterday	puurbbdin
পূর্ব্বদিক্‌স্থিত	Eastward	puurbbdiksthit
পূর্ব্বদিক্‌স্থ	Eastern	puurbbdiksth
পূর্ব্বদিক্‌	Eastward	puurbbdik
পূর্ব্বদিকের	Eastern	puurbbdiker
পূর্ব্বদিকে	Eastward	puurbbdike
পূর্ব্বদিক	Eastward	puurbbdik
পূর্ব্বদশা	Previous condition	puurbbdshaa
পূর্ব্বতীর	Previous	puurbbtiir
পূর্ব্বজ্ঞান	Precognition	puurbbjnyaan
পূর্ব্বগত	Previous	puurbbgt
পূর্ব্বকৃত	Pre-made	puurbbkRt
পূর্ব্বকালের	Ancient	puurbbkaaler
পূর্ব্বকালে	In the past	puurbbkaale
পূর্ব্বকালীয়	Ancient	puurbbkaaliiyy
পূর্ব্বকালীন	Previous	puurbbkaaliin
পূর্ব্বকালাবধি	Since ancient times	puurbbkaalaabdhi
পূর্ব্বকালাগত	Ancient	puurbbkaalaagt
পূর্ব্বকাল	Past tense	puurbbkaal
পূর্ব্বকার	Previous	puurbbkaar
পূর্ব্বকথিত	Foreshadowed	puurbbkthit
পূর্ব্বকথা	Prologue	puurbbkthaa
পূর্ব্বক	Previous	puurbbk
পূর্ব্ব	Previous	puurbb
পূর্বোক্ত	The aforementioned	puurbokt
পূর্বের	Previous	puurber
পূর্বেকার	Previous	puurbekaar
পূর্বেও	Before too	puurbeo
পূর্বেই	Already	puurbei
পূর্বে	Previously	puurbe
পূর্বীয়	Eastern	puurbiiy'
পূর্বাহ্নেই	In the morning	puurbaahnei
পূর্বাভিমুখ	Eastward	puurbaabhimukh
পূর্বাভাস	Forecast	puurbaabhaas
পূর্বাব্দে	In the past year	puurbaabde
পূর্বাবধি।	Since ancient times.	puurbaabdhi / 
পূর্বাবধি	From the past	puurbaabdhi
পূর্বাপেক্ষা	Prior to	puurbaapekssaa
পূর্বাঞ্চলের	Eastern region	puurbaanycler
পূর্বাঞ্চলে	In the eastern region	puurbaanycle
পূর্বাঞ্চল	Eastern region	puurbaanycl
পূর্বাচল	Purbachal	puurbaacl
পূর্বাগত	Previous	puurbaagt
পূর্বা	Purva	puurbaa
পূর্বসূরীদের	Ancestors	puurbsuuriider
পূর্বসূরী	Predecessor	puurbsuurii
পূর্বসীমান্তে	On the eastern border	puurbsiimaante
পূর্বসীমান্ত	Eastern border	puurbsiimaant
পূর্বসীমা	Eastern border	puurbsiimaa
পূর্বসমুদ্রের	Eastern Sea	puurbsmudrer
পূর্বলক্ষিত	Foreseeable	puurblkssit
পূর্বলক্ষণ	Foreshadowing	puurblkssnn
পূর্বরীতি	Precedent	puurbriiti
পূর্বরাত্রিতে	The night before	puurbraatrite
পূর্বমূখী	East facing	puurbmuukhii
