a	and
indexovať	index
indexový	index
India	India
Indián	Indian
indiánka	Indian woman
indiánsky	Native American
indícia	indication
indický	Indian
Indický oceán	Indian Ocean
indiferentný	indifferent
indigo	indigo
indigovník	indigo plant
indigový	indigo
indikácia	indication
indikatív	indicative
indikatívny	indicative
indikovaný	indicated
indikovať	indicate
indiový	indium
indiskrécia	indiscretion
indiskrétnosť	indiscretion
indiskrétny	indiscreet
indisponovaný	indisposed
indispozícia	indisposition
indium	indium
individualista	individualist
individualistický	individualistic
individualita	individuality
individualizácia	individualization
individualizmus	individualism
individualizovaný	individualized
individualizovať	individualize
individuálnosť	individuality
individuálny	individual
indivíduum	individual
Indočína	Indochina
indoeurópsky	Indo-European
indoktrinácia	indoctrination
indol	indole
indolencia	indolence
indolentný	indolent
indológia	Indology
indolový	indole
Indonézan	Indonesian
Indonézia	Indonesia
indonézsky	Indonesian
indonézština	Indonesian
indoorový	indoor
indosácia	endorsement
indosament	endorsement
indosatár	indorser
indosovanie	endorsement
indosovať	to endorse
indukcia	induction
indukčný	inductive
indukovaný	induced
indukovať	induce
induktívny	inductive
induktor	inductor
industrializácia	industrialization
industrializmus	industrialism
industrializovaný	industrialized
industrializovať	to industrialize
industriálny	industrial
inercia	inertia
inerciálny	inertial
inertný	inert
inervácia	innervation
inervovať	innervate
infant	infant
infantéria	infantry
infanterista	infantryman
infantilizmus	infantilism
infantilný	infantile
infarkt	heart attack
infarktový	infarction
infekcia	infection
infekčný	infectious
infektológ	infectologist
inferiorita	inferiority
inferiórny	inferior
infikácia	infection
infikovanie	infection
infikovaný	infected
infikovať	to infect
infiltrácia	infiltration
infiltrát	infiltrate
infiltrovať	infiltrate
infimum	infinitude
infinitív	infinitive
infinitívny	infinitive
inflácia	inflation
inflexný	inflected
infocentrum	info center
infolinka	infoline
informácia	information
informatický	computer science
informatik	computer scientist
informatika	computer science
informatívny	informative
informátor	informant
informovanie	informing
informovaný	informed
informovať	to inform
infračervený	infrared
infrasauna	infrared sauna
infraštruktúra	infrastructure
infrazvuk	infrasound
infrazvukový	infrasonic
infražiarič	infrared heater
infúzia	infusion
infúzny	infusion
Ing.	Ing.
ingerencia	interference
ingot	ingot
ingotový	ingot
ingrediencia	ingredient
inhalácia	inhalation
inhalátor	inhaler
inhalovanie	inhalation
inhalovaný	inhaled
inhalovať	inhale
inherencia	inherence
inherentný	inherent
inhibícia	inhibition
inhibítor	inhibitor
inhibovať	inhibit
iniciácia	initiation
iniciála	initial
inicializácia	initialization
inicializovať	initialize
iniciálový	initial
iniciatíva	initiative
iniciatívny	initiative
iniciátor	initiator
iniciovať	initiate
injekcia	injection
injekčný	injectable
injektáž	injection
injektor	injector
injektovanie	injection
injektovať	inject
injikovať	to inject
ink	ink
inkarnácia	incarnation
inkarnovať sa	to incarnate
inkasný	collection
inkaso	collection
inkasovať	to collect
inkasovateľný	collectable
inklinácia	inclination
inklinovať	to tend
inklúzia	inclusion
inkluzivita	inclusivity
inkluzívny	inclusive
inkognito	incognito
inkoherencia	incoherence
inkoherentný	incoherent
inkompatibilný	incompatible
inkompetencia	incompetence
inkompetentný	incompetent
inkontinencia	incontinence
inkontinenčný	incontinent
inkontinentný	incontinent
inkorporácia	incorporation
inkorporovať	incorporate
inkriminácia	incrimination
inkriminovaný	incriminated
inkriminovať	incriminate
inkský	Inca
inkubácia	incubation
inkubátor	incubator
inkubovať	incubate
inkunábula	incunabula
inkvizícia	inquisition
inkvizítor	inquisitor
inkvizítorský	inquisitorial
inlajny	inlines
inochod	other way
inojazyčný	foreign language
inotaj	other secret
inotajný	secret
inovácia	innovation
inovatívny	innovative
inovatka	innovator
inovátor	innovator
inovátorský	innovative
inovovaný	innovated
inovovať	to innovate
input	input
inscenácia	staging
inscenátor	stage manager
inscenovaný	staged
inscenovať	to stage
insektárium	insectarium
insekticíd	insecticide
insekticídny	insecticidal
inseminácia	insemination
inseminátor	inseminator
inseminovaný	inseminated
inseminovať	to inseminate
insígnie	insignia
insolvencia	insolvency
insolvenčný	insolvent
insolventný	insolvent
insomnia	insomnia
inspirovať	inspire
instabilita	instability
instantný	instant
instilácia	instillation
insuficiencia	insufficiency
insuficientný	insufficient
inšpekcia	inspection
inšpekčný	inspection
inšpektor	inspector
inšpektorát	inspectorate
inšpektorský	inspectoral
inšpicient	stage manager
inšpirácia	inspiration
inšpiratívny	inspirational
inšpirátor	inspirer
inšpirovať	inspire
inšpirujúci	inspiring
inštalácia	installation
inštalatér	plumber
inštalatérsky	plumbing
inštalatérstvo	plumbing
inštalovaný	installed
inštancia	instance
inštinkt	instinct
inštinktívny	instinctive
inštitúcia	institution
inštitucionalizácia	institutionalization
inštitucionalizovať	institutionalize
inštitučný	institutional
inštitút	institute
inštrukcia	instruction
inštrukčný	instructional
inštruktáž	briefing
inštruktážny	instructional
inštruktívne	instructive
inštruktívnosť	instructiveness
inštruktor	instructor
inštruktorský	instructor's
inštrument	instrument
inštrumentácia	instrumentation
inštrumentál	instrumental
inštrumentálka	instrumental
inštrumentálny	instrumental
inštrumentár	instrumentalist
inštrumentárium	instrumentarium
inštrumentovať	to instrument
inštruovať	to instruct
intabulácia	tabulation
intaktný	intact
intarzia	inlay
intarziový	inlaid
intarzovaný	inlaid
intarzovať	to inlay
integrácia	integration
integrál	integral
integrálny	integral
integrant	integrant
integratívny	integrative
integrita	integrity
integrovaný	integrated
integrovať	integrate
integrujúci	integrating
intelekt	intellect
intelektový	intellectual
intelektuál	intellectual
intelektualista	intellectual
intelektualizácia	intellectualization
intelektualizmus	intellectualism
intelektuálny	intellectual
intelektuálsky	intellectually
inteligencia	intelligence
inteligenčný	intelligent
inteligent	intelligent
intencia	intention
intenzia	intensity
intenzifikácia	intensification
intenzionálny	intensional
intenzita	intensity
intenzívnosť	intensity
intenzívny	intensive
interagovať	interact
interakcia	interaction
interakčný	interactive
interaktivita	interactivity
interaktívne	interactive
interdentálny	interdental
interdependencia	interdependence
interdialekt	interdialect
interdikt	interdict
interdisciplinárny	interdisciplinary
interes	interest
interesantný	interesting
interface	interface
interferencia	interference
interferenčný	interference
interferón	interferon
interferovať	interfere
intergalaktický	intergalactic
interhotel	interhotel
interiér	interior
interiérový	interior
interiorizácia	interiorization
interjekcia	interjection
interkontinentálny	intercontinental
interlúdium	interlude
intermediárny	intermediate
intermezzo	interlude
intermitentný	intermittent
intermodálny	intermodal
intermolekulárny	intermolecular
interna	intern
internácia	internment
internacionál	international
internacionála	international
internacionalista	internationalist
internacionalistický	internationalist
internacionalizácia	internationalization
internacionalizmus	internationalism
internacionalizovať	internationalize
internacionálny	international
internát	dormitory
internátny	boarding school
internet	internet
internetový	internet
internista	internist
internovať	to intern
interoperabilita	interoperability
interpelácia	interpellation
interpelovať	to interpellate
interpersonálny	interpersonal
interpolácia	interpolation
interpozícia	interposition
interpret	interpreter
interpretácia	interpretation
interpretovaný	interpreted
interpretovať	interpret
interpunkcia	punctuation
interpunkčný	punctuation
interrupcia	abortion
interrupčný	abortive
intersexualita	intersexuality
intersexuálny	intersexual
intersubjektívny	intersubjective
interval	interval
intervalový	interval
intervencia	intervention
intervencionizmus	interventionism
intervenčný	interventional
intervenovať	intervene
intervent	intervention
interview	interview
intímny	intimate
intolerancia	intolerance
intolerantný	intolerant
intonácia	intonation
intonovať	intonate
intoxikácia	intoxication
intoxikovaný	intoxicated
intraartikulárny	intraarticular
intracerebrálny	intracerebral
intráda	intraday
intradermálny	intradermal
intranzitivita	intransitivity
intranzitívnosť	intransitiveness
intranzitívny	intransitive
intranzitívum	intransitive verb
intravenózny	intravenous
intriga	intrigue
intrigánsky	scheming
intrigánstvo	intrigue
intrigovať	to intrigue
introdukcia	introduction
introspekcia	introspection
introspektívny	introspective
introvert	introvert
introvertný	introverted
introverzia	introversion
introverzný	introverted
intrudovať	to intrude
intrúzia	intrusion
intubácia	intubation
intubovaný	intubated
intubovať	intubate
intuícia	intuition
intuitívny	intuitive
inulín	inulin
invalid	disabled person
invalidný	disabled
invalidovňa	invalid house
invar	invar
invariabilný	invariable
invariancia	invariance
invariant	invariant
invariantný	invariant
invázia	invasion
invázny	invasive
invektíva	invective
invektívny	invective
invencia	invention
invenčný	inventive
inventár	inventory
inventarizácia	inventory
inventarizovať	to inventory
inventárny	inventory
inventúra	inventory
inventúrny	inventory
invertný	inverted
invertor	inverter
inverzia	inversion
inverzný	inverse
investícia	investment
investigatívny	investigative
investitúra	investiture
investor	investor
investorský	investor
investovanie	investing
investovať	to invest
invokácia	invocation
invokovať	to invoke
inzerát	advertisement
inzercia	advertising
inzerent	advertiser
inzerovať	to advertise
inzertný	advertising
inzulín	insulin
inzulínový	insulin
inzultácia	insult
inzultovať	to insult
inžinier	engineer
inžiniersky	engineering
inžinierstvo	engineering
IOC	IOC
ión	ion
ionizácia	ionization
ionizátor	ionizer
ionizovaný	ionized
ionizovať	ionize
ionizujúci	ionizing
ionoforéza	iontophoresis
ionosféra	ionosphere
ionosférický	ionospheric
iónový	ionic
iónsky	Ionic
ipsácia	ipsation
iracionalista	irrationalist
iracionalistický	irrationalist
iracionalita	irrationality
iracionalizmus	irrationalism
iracionálny	irrational
iracký	Iraqi
Iračan	Iraqi
Irak	Iraq
Irán	Iran
Iránec	Iranian
iránsky	Iranian
irbis	snow leopard
írčina	Irish
ireálnosť	unreality
ireálny	unreal
irelevantný	irrelevant
irelevantvosť	irrelevance
ireligiozita	irreligion
ireverzibilný	irreversible
ircha	deer
irchár	irchar
irídiový	iridium
irídium	iridium
íris	iris
iritácia	irritation
iritovať	to irritate
iritujúci	irritating
irónia	irony
ironický	ironic
ironik	ironist
ironizovanie	irony
ironizovať	to ironize
Írsko	Ireland
írsky	Irish
ischémia	ischemia
ischemický	ischemic
ischias	sciatica
ischiatický	sciatic
ískať	to obtain
iskerník	buttercup
iskerníkovitý	buttercup-like
iskrenie	sparking
iskrenie (sa)	sparking
iskriaci	sparkling
iskrička	sparkle
iskriť	to sparkle
iskrivý	sparkling
iskrový	sparkly
islam	Islam
islamista	Islamist
islamistický	Islamist
islamizácia	Islamization
islamizmus	Islamism
islamizovať	to Islamize
islamofóbia	Islamophobia
islamofóbny	Islamophobic
islamský	Islamic
Island	Iceland
Islanďan	Icelander
islandčina	Icelandic
islandský	Icelandic
istenie	insurance
istený	insured
istiaci	insurance
istič	circuit breaker
istidlo	filter
istina	principal
istiť	to ensure
isto-iste	sure-sure
italika	Italian
iterácia	iteration
iteratívny	iterative
itinerár	itinerary
IWD	IWD
izbička	little room
izbový	room
izobar	isobar
izobara	isobar
izobarický	isobaric
izocyklický	isocyclic
izočiara	isoline
izoglosa	isogloss
izochromatický	isochromatic
izochróna	isochrone
izochronizmus	isochronism
izochrónny	isochronous
izoklína	isocline
izolácia	insulation
izolacionistický	isolationist
izolacionizmus	isolationism
izolant	insulator
izolatér	insulator
izolatérsky	insulating
izolátor	insulator
izolepa	duct tape
izolovanie	isolation
izolovaný	isolated
izolovať	isolate
izomér	isomer
izoméria	isomerism
izomérny	isomeric
izometria	isometry
izometrický	isometric
izoprén	isoprene
izostatický	isostatic
izoterma	isotherm
izotermický	isothermal
izotop	isotope
izotopický	isotopic
izotopový	isotopic
izotropia	isotropy
izotropný	isotropic
Izraelčan	Israeli
jabĺčko	apple
jablčný	apple
jablkový	apple
jabloňový	apple
jackpot	jackpot
jačať	to yell
jačavý	yawning
jačmenár	barley farmer
jačmenársky	barley
jačmenárstvo	barley farming
jačmeňový	barley
jadeit	jadeite
jadierko	kernel
Jadran	Adriatic
jadranský	Adriatic
jadrár	nuclear engineer
jadrný	pithy
jadrovina	nucleus
jadrovník	nuclear power plant
jadrový	nuclear
jaguár	jaguar
jáhen	deacon
jáhenstvo	deaconry
jahňací	lamb
jahňacina	lamb
jahňada	lamb
jahniatko	lamb
jahoda	strawberry
jahodový	strawberry
jahôdka	strawberry
jahvizmus	Yahwism
jachta	yacht
jachtanie	sailing
jachtár	yachtsman
jachtársky	yachting
jachtať	yacht
jachtavý	yachting
jachting	yachting
jachtingový	yachting
jachtový	yacht
jakobín	Jacobin
jakobínsky	Jacobin
jakobínstvo	Jacobinism
jakot	as
jakživ	as always
jalec	jackfruit
jaltský	Yalta
Jamajčan	Jamaican
Jamajka	Jamaica
jamajský	Jamaican
jamb	iamb
jambický	iambic
jamka	hole
jamkovač	hole puncher
jamkovisko	putting green
jamovanie	jamming
jamovať	to jam
jang	yang
jankovitosť	whining
jankovitý	janky
Jano	Jano
Janov	Genoa
janovský	Genoese
jantár	amber
jantárový	amber
januárový	January
japan	Japan
japončina	Japanese
Japonec	Japanese
japonista	Japanese
japonistika	Japanese studies
japonský	Japanese
jarabatý	jackdaw
jarabica	partridge
jarabina	rowan
jarabinový	rowanberry
jariabok	partridge
jarina	spring
jarl	jarl
jarmočný	fairground
jarmok	fair
jarmový	yoke
jarmulka	yarmulke
jarok	ditch
jarovizácia	vernalization
jarovizovať	to vernalize
jaseň	ash tree
jasenec	ash tree
jaseňový	ash
jaskyniar	caveman
jaskyniarstvo	caving
jaskynka	cave
jaskynný	cave-like
jasličky	crib
jasnačka	blueberry
jasnosť	clarity
jasnovidecký	clairvoyant
jasnovidný	clairvoyant
jasnozrivý	clairvoyant
jasoň	ash tree
jastrab	hawk
jastrabí	hawks
jastrabník	hawker
jašo	yes
jašter	lizard
jašterí	lizards
jašterička	lizard
jať sa	to eat
jaternica	liverwurst
jatka	slaughterhouse
jatočný	slaughterhouse
jatriť	to eat
Jáva	Java
javisko	stage
javiskový	stage
javiť	to appear
javiť sa	to appear
javor	maple
javorový	maple
javový	phenomenal
jávsky	Javanese
jazdecký	equestrian
jazdectvo	cavalry
jazdený	driven
jazdiareň	riding school
jazdný	driving
jazernatý	lake-like
jazerný	lake
jazierko	pond
jazmín	jasmine
jazmínový	jasmine
jazvec	badger
jazvečí	badger
jazvečík	dachshund
jazvička	scar
jazvovitý	scarred
jazýček	tongue
jazýčkovec	reed-eater
jazyčný	linguistic
jazykolam	tongue twister
jazykoveda	linguistics
jazykovedec	linguist
jazykovedný	linguistic
jazykovka	language course
jazykový	linguistic
jazylka	hyoid bone
jé	hey
jebať	fuck
jebnúť	fuck
jedák	eater
jedáleň	dining room
jedálenský	dining room
jedálny	dining room
jedenástina	eleventh
jedenástka	eleven
jedenásťkrát	eleven times
jedenásťnásobný	elevenfold
jedenástoro	eleven hundred
jedinec	individual
jedinečný	unique
jedlička	fir tree
jedlonosič	food carrier
jedľový	fir
jedlý	edible
jednoaktovka	one-act play
jednobožstvo	monotheism
jednobunkový	unicellular
jednocestný	one-way
jednociferný	single-digit
jednočlen	monosyllabic
jednočlenný	single-member
jednodenný	one-day
jednodielny	one-piece
jednodomý	single-family home
jednodruhový	monospecific
jednoduchosť	simplicity
jednofarebný	monochrome
jednofázový	single-phase
jednohlasný	unanimous
jednohodinový	one-hour
jednohrbý	one-humped
jednohubka	canapé
jednoizbový	one-room
jednojadrový	single-core
jednojazyčný	monolingual
jednoklíčnolistové	monocotyledons
jednoklíčnolistový	monocotyledonous
jednokoľajka	monorail
jednokoľajový	single-track
jednokolesový	one-wheeled
jednokolový	single-wheeled
jednokomorový	single-chamber
jednoliaty	monolithic
jednolibrovka	one pound note
jednolôžko	single bed
jednomesačný	one-month
jednomiestny	single-seater
jednomocný	unipotent
jednomotorový	single-engine
jednomyseľný	unanimous
jednooký	one-eyed
jednoosový	single-axis
jednopercentný	one percent
jednoplošník	monoplane
jednopodlažný	single-storey
jednopohlavný	unisexual
jednopólový	single-pole
jednoposchodový	single-story
jednoradový	single-row
jednoramenný	one-armed
jednorazovka	disposable
jednorazový	disposable
jednoročka	annual
jednorozmerný	one-dimensional
jednorožec	unicorn
jednoručka	one-handed
jednoručný	one-handed
jednoruký	one-handed
jednosedadlový	single-seater
jednoslabičný	monosyllabic
jednoslovný	one-word
jednosmerka	one-way
jednosmerne	one-way
jednosmernosť	unidirectionality
jednosmerný	one-way
jednosťažník	single-masted
jednostopový	single-track
jednostranný	one-sided
jednostupňový	single-stage
jednotenie	unification
jednotiaci	unifying
jednotiť	to unite
jednotka	unit
jednotkár	unit worker
jednotkový	unitary
jednotlivosť	individuality
jednotlivý	individual
jednotný	uniform
jednotvárnosť	monotony
jednotvárny	monotonous
jednotýždňový	one-week
jednoúčelový	single-purpose
jednovajíčkový	single-egg
jednovalcový	single-cylinder
jednovalec	single cylinder
jednoveslica	monohull
jednovrstvový	single-layer
jednozložkový	single-component
jednozmenný	single-shift
jednozväzkový	single-volume
jednoženstvo	monogamy
jedoš	you are eating
jedovať sa	to poison oneself
jedovatý	poisonous
jedový	poisonous
jehovista	jehovista
jehovistický	Jehovistic
jelenča	fawn
jelení	deer
jelenicový	buckskin
jelenkovec	deer antler
jeleňovitý	cervid
jelša	alder
jelšový	alder
Jemen	Yemen
Jemenčan	Yemeni
jemenský	Yemeni
jemnosrstý	soft-haired
jemnozrnný	fine-grained
jen	only
jer	because
jeseter	sturgeon
jezíd	Yazidi
jezuita	Jesuit
jezuitský	Jesuit
jezuitstvo	Jesuitism
Jezuliatko	Baby Jesus
ježatka	hedgehog
ježatý	bristly
ježibaba	witch
ježiško	Jesus Christ
ježiť	to bristle
ježko	hedgehog
ježovka	hedgehog
ježura	lizard
jidiš	Yiddish
jin	other
JIS	ICU
jiska	rock
jive	live
jodičnan	iodate
jodid	iodide
jodidový	iodide
jódlovanie	yodeling
jódlovať	to yodel
jodoform	iodoform
jódovaný	iodized
jódovať	to iodize
jodovodík	hydrogen iodide
jódový	iodine
joga	yoga
jogín	yogi
jogínsky	yogic
jógový	yogic
jogurt	yogurt
jogurtovač	yogurt maker
jogurtový	yogurt
jojoba	jojoba
jojobový	jojoba
jokel	yokel
jola	lol
Jordánec	Jordanian
Jordánsko	Jordan
jordánsky	Jordanian
josta	josta
jota	iota
joule	joules
joystick	joystick
jüan	yuan
jubilant	jubilant
jubileum	anniversary
judaistický	Judaic
judaizmus	Judaism
judáš	Judas
judášsky	Judaic
judášstvo	Judasism
judikatúra	case law
judikatúrny	case law
JUDr.	JUDr.
Juhoafrická republika	South Africa
juhoafrický	South African
Juhoafričan	South African
juhoamerický	South American
Juhoameričan	South American
Juhočínske more	South China Sea
juhoeurópsky	Southern European
Juhokórejčan	South Korean
juhokórejský	South Korean
Juhoslávia	Yugoslavia
Juhoslovan	Yugoslav
juhoslovanský	Yugoslav
juhovýchodný	southeastern
juhozápadný	southwestern
juchta	soup
juka	yucca
jukebox	jukebox
juliánsky	Julian
júlový	July
jún	June
junácky	heroic
junior	junior
juniorský	junior
júnový	June
Jupiter	Jupiter
jura	Jurassic
jurisdikcia	jurisdiction
jurisdikčný	jurisdictional
jurista	lawyer
juristický	legal
jurský	Jurassic
jurta	yurt
jury	Jurassic
justícia	justice
justifikácia	justification
juta	jute
jutový	jute
jutro	tomorrow
juvenilný	juvenile
juxtapozícia	juxtaposition
juxtapozitum	juxtaposition
južan	southerner
južanský	southern
kabala	Kabbalah
kabaleta	cabaret
kabaret	cabaret
kabaretný	cabaret
kabátik	coat
kabela	cable
kabeláž	cabling
kabelážny	cabling
kabelka	handbag
kábelogram	cablegram
kábelovať	to cable
kabernet	cabernet
kabína	cabin
kabinet	cabinet
kabinetný	cabinet
kabínka	cabin
kabínový	cabin
káblik	cable
káblovňa	cable house
káblový	wired
kabriolet	convertible
kacír	heretic
kacírsky	heretical
kacírstvo	heresy
kača	duck
káča	duckling
kačací	duck
káčatko	duckling
káčer	duck
káčerí	ducks
kačica	duck
kačička	duck
kačka	duck
kaďa	vat
kadečo	somewhere
kadejaký	any
kadekoľvek	anywhere
kadekto	someone
kadencia	cadence
kader	curl
káder	cadre
kadernícky	hairdresser
kaderníctvo	hairdressing
kaderník	hairdresser
kadet	cadet
kadetský	cadet
kadeže	vats
kádi	vat
kadibúdka	incense burner
kadlub	kadlub
kadmiový	cadmium
kadmium	cadmium
kádrovať	to frame
kafiléria	rendering plant
kafrať	camphor
kaftan	caftan
Káhira	Cairo
kachektický	cachectic
kachexia	cachexia
kachľa	stove
kachle	stove
kachliar	stove-maker
kachliarsky	tiler
kachliarstvo	tile making
kachlička	tile
kachličkovať	to tile
kachličkový	tiled
kachľový	tiled
kajak	kayak
kajakár	kayaker
kajakársky	kayaking
kajakový	kayak
kajať sa	to repent
kajčí	sly
kajenský	cayenne
kajka	eider
kajman	caiman
kajmaní	Cayman Islands
Kajmanie ostrovy	Cayman Islands
kajmanka	cayman
kajúcnik	penitent
kajuta	cabin
kajutový	cabin
kakadu	cockatoo
kakanie	pooping
kakao	cocoa
kakaovník	cocoa tree
kakaovníkový	cocoa tree
kakaový	cocoa
kakať	poop
kaki	khaki
kakofónia	cacophony
kakofonický	cacophonous
kaktus	cactus
kaktusár	cactus gardener
kaktusový	cactus
kalač	calamari
kalamár	inkwell
kalambúr	pun
kalamita	calamity
kalamitný	calamitous
kalander	calender
kalanetika	callanetics
kalanchoa	kalanchoe
kalašnikov	Kalashnikov
kalciferol	calciferol
kalcifikácia	calcification
kalcifikovať	calcify
kalcinácia	calcination
kalcinóza	calcinosis
kalciový	calcium
kalcit	calcite
kalcitový	calcite
kalcium	calcium
kaldera	caldera
kalderový	caldera
kaledónsky	Caledonian
kaleidoskop	kaleidoscope
kaleidoskopický	kaleidoscopic
kalendár	calendar
kalendárium	calendar
kalendárny	calendar
kalendárový	calendar
kalenie	hardening
kalený	hardened
kaleráb	kohlrabi
kalfas	journeyman
kália	calla lily
kaliaci	hardening
kaliber	caliber
kalibrácia	calibration
kalibrovaný	calibrated
kalibrovať	calibrate
kalič	calico
kalif	caliph
kalifát	caliphate
Kalifornia	California
kalifornium	californium
kalifornský	Californian
kaligrafia	calligraphy
kaligrafický	calligraphic
kalichovitý	goblet-shaped
kaliko	calico
kalikový	calico
kalimba	kalimba
kalina	viburnum
káliový	potassium
kalistenika	calisthenics
kališnícky	Kališník
kališníctvo	cup-making
kališník	calyx
kališný	calyx
kalíšok	cup
kaliť sa	to harden
kálium	potassium
kalk	calculus
Kalkata	Kolkata
kalkul	calculus
kalkulácia	calculation
kalkulačka	calculator
kalkulant	calculator
kalkulátor	calculator
kalkulovaný	calculated
kalkulovať	to calculate
kalmár	squid
kalný	cloudy
kalojem	mud bath
kaloň	fruit bat
kalória	calorie
kalorický	caloric
kalorimeter	calorimeter
kalorimetria	calorimetry
kalový	muddy
kalumet	calumet
kalus	callus
kaluž	puddle
kalva	calvaria
kalvária	calvary
kalvín	Calvin
kalvinista	Calvinist
kalvinistický	Calvinist
kalvinizmus	Calvinism
kalvínsky	Calvinist
kalvínstvo	Calvinism
kamarát	friend
kamarátiť sa	to be friends
kamarátsky	friendly
kamarátstvo	friendship
kamarátšaft	friend shaft
kambala	turbot
kambiálny	cambial
kambium	cambium
Kambodža	Cambodia
Kambodžan	Cambodian
kambodžský	Cambodian
kambrický	Cambrian
kambrium	Cambrian
Kamčatka	Kamchatka
kamea	cameo
kamélia	camellia
kaméliový	camellia
kamelot	gossip
Kamelot	Camelot
kamenáč	stonemason
kameňák	stone
kamenár	stonemason
kamenársky	stonemason
kamenárstvo	stonemasonry
kamenina	stoneware
kameninový	earthenware
kamenitý	stony
kamenivo	aggregate
kameňolom	quarry
kameňoryt	lithograph
kameňorytina	lithograph
kameňosochárstvo	stone carving
kameňotlač	lithography
kameňotlačiar	lithographer
kameňotlačiarsky	lithographic
kameňouhoľný	coal-based
kameňovanie	stoning
kamera	camera
kameraman	cameraman
kamerlengo	camerlegno
kamerový	camera
Kamerun	Cameroon
Kamerunčan	Cameroonian
kamerunský	Cameroonian
kamienkový	pebble
kamilka	chamomile
kamión	truck
kamioňák	truck driver
kamiónový	truck
kamizol	camisole
kampaň	campaign
kampaňový	campaign
kampylobakterióza	campylobacteriosis
kamsi	somewhere
kamufláž	camouflage
kamuflážny	camouflage
kamuflovaný	camouflaged
kamuflovať	camouflage
kamzičník	chamois
kamzík	chamois
kamže	wherever
kaňa	buzzard
kanabinol	cannabinol
kanada	Canada
Kanaďan	Canadian
kanadský	Canadian
kanafas	canvas
kanál	canal
kanálik	canal
kanalizácia	sewerage
kanalizovaný	canalized
kanalizovať	to drain
kanálový	canal
kanapa	sofa
kanár	canary
kanárik	canary
kanárikový	canary
Kanárske ostrovy	Canary Islands
kanársky	Canary
kanasta	canasta
kanava	canvas
kancelária	office
kancelársky	office
kancelárstvo	office
kancerogén	carcinogen
kancerogénny	carcinogenic
kancionál	hymnal
kančí	boar
kandela	candle
kandeláber	lamppost
kandidačný	candidate
kandidát	candidate
kandidátka	candidate
kandidátsky	candidate
kandidatúra	candidacy
kandidovať	to run for office
kandidóza	candidiasis
kandizovaný	candied
kanec	boar
kanibal	cannibal
kanibalizmus	cannibalism
kanibalský	cannibalistic
kanibalstvo	cannibalism
kanisterapia	canine therapy
kanistra	canister
kankán	cancan
kanoe	canoe
kanoista	canoeist
kanoistický	canoeist
kanoistika	canoeing
kanón	cannon
kaňon	canyon
kánon	canon
kanonáda	cannonade
kanonický	canonical
kánonický	canonical
kanonier	gunner
kanonik	canon
kanonizácia	canonization
kanonizovať	to canonize
kanónový	cannon
kantáta	cantata
kantiléna	cantilena
kantína	canteen
kantón	canton
kantonálny	cantonal
kantor	cantor
kantorský	cantor's
kantorstvo	cantorship
kántriť	to country
kanúť	canoe
kanva	watering can
kanvica	kettle
kanvička	kettle
kanyla	cannula
kanylácia	cannulation
kaolín	kaolin
kaolínový	kaolin
kapacita	capacity
kapacitancia	capacitance
kapacitný	capacitive
kaparový	caper
kapec	pocket
kapela	band
kapelnícky	bandleader
kapelník	bandleader
Kapetovec	Capetov
kapia	caper
kapilára	capillary
kapilarita	capillarity
kapilárny	capillary
kapiový	capric
kapitál	capital
kapitála	capital
kapitalista	capitalist
kapitalistický	capitalist
kapitalizácia	capitalization
kapitalizmus	capitalism
kapitalizovať	to capitalize
kapitálka	capital letter
kapitálkový	capital
kapitálny	capital
kapitálový	capital
kapitánsky	captain's
kapitánstvo	captaincy
kapitula	chapter
kapitulácia	capitulation
kapitulant	capitulator
kapitulantský	capitulatory
kapitulantstvo	capitulation
kapitulný	capitular
kapitulovať	to capitulate
kaplán	chaplain
kaplánstvo	chaplaincy
kaplnka	chapel
kápo	hood
kapodaster	capo
kapok	kapok
kapor	carp
kapota	bonnet
kapotáž	fairing
kapotovaný	bonneted
kapotový	bonnet
kaprál	corporal
kaprí	carp
kaprivec	capercaillie
kaprovať	to carp
kaprovité	cyprinids
kaprovitý	cyprinid
kapsa	pocket
kapsáče	pickpockets
kapsička	pocket
kapsida	capsid
Kapské Mesto	Cape Town
kapsľa	capsule
kapsulárny	capsular
kapucín	capuchin
kapucínka	capuchin
kapucínsky	Capuchin
kapucňa	hood
kapučíno	cappuccino
kapún	capon
kapusta	cabbage
kapustnica	cabbage
kapustný	cabbage
kapustovitý	cabbage-like
kapverdský	Cape Verdean
Kapverdy	Cape Verde
kapybara	capybara
karabína	carbine
karabinier	carabinieri
karabínka	carabiner
karafa	carafe
karafka	carafe
karakal	caracal
karakul	karakul
karakulský	Karakul
karambol	carom
karamel	caramel
karamelizácia	caramelization
karamelizovaný	caramelized
karamelizovať	caramelize
karamelový	caramel
karančo	carancho
karanténa	quarantine
karanténny	quarantine
karaoke	karaoke
karas	crucian carp
karát	carat
karate	karate
kárateľ	reprimander
kárateľský	reprimanding
karatista	karateka
karatistický	karate
karátový	carat
karavan	caravan
karavela	caravel
karbid	carbide
karbidový	carbide
karbofuran	carbofuran
karbolový	carbolic
karbón	carbon
karbonádo	carbonado
karbonát	carbonate
karbonátka	meatball
karbonizácia	carbonization
karbonizovať	to carbonize
karbónový	carbon
karbonyl	carbonyl
karbonylácia	carbonylation
karbonylový	carbonyl
karboxyl	carboxyl
karboxylový	carboxyl
karburácia	carburization
